model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
MODEL,A,3e-08,1,False,False,TDD,vanilla,0,[0.04434102 0.05386502 0.05788836 0.07413437],[0.03754226 0.04348853 0.04965953 0.05726126],[ 6.994152   9.197284   9.9795065 14.056449 ],[ 1.9903047  4.546224   5.870633  10.734332 ],[8.303337 8.297277 8.296292 8.288797],[0.19077735 0.19523932 0.19988826 0.20493291],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
MODEL,A,3e-08,10,False,False,TDD,vanilla,0,[0.10750153 0.1839843  0.28371543 0.38322598],[0.10846641 0.21788391 0.4138396  0.4349814 ],[12.475785 22.500391 37.31898  62.75371 ],[ 4.869364 10.682446 24.06548  48.39226 ],[8.147656 8.105624 8.037329 7.898189],[0.5765283 0.6635979 0.80303   1.0547752],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
MODEL,A,3e-08,30,False,False,TDD,vanilla,0,[0.33332583 0.4973354  0.81963944 1.0239965 ],[0.683091   0.46438658 1.2740996  1.1857679 ],[ 29.057074  67.78203  126.516495 189.57431 ],[ 18.046478  56.889236 111.77111  159.92528 ],[7.774809  7.5814857 7.25441   6.812737 ],[1.0618273 1.3130027 1.4077284 1.7392037],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
MODEL,A,1e-07,1,False,False,TDD,vanilla,0,[0.04643535 0.05629123 0.05910519 0.06741557],[0.02546959 0.03214961 0.03179577 0.03980293],[ 8.23699  10.056333 10.676733 12.586622],[3.307897  3.919397  4.4261975 6.437388 ],[8.230728 8.225697 8.226006 8.223825],[0.51559263 0.51769483 0.51774514 0.5201847 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
MODEL,A,1e-07,10,False,False,TDD,vanilla,0,[0.09162439 0.15371753 0.23838511 0.3000989 ],[0.09394033 0.17884572 0.39849374 0.2452438 ],[12.576153 20.993284 34.6485   58.318615],[ 5.2593565 11.779128  27.666695  54.013813 ],[8.086784  8.047647  7.9958587 7.918425 ],[0.6474297  0.71474266 0.7875258  0.86529076],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
MODEL,A,1e-07,30,False,False,TDD,vanilla,0,[0.1969321  0.51375335 0.6181371  0.78331864],[0.18690056 1.4793792  0.47995874 0.38934997],[ 30.031633  73.19733  126.93503  186.3056  ],[ 21.52167   63.365154 107.60905  153.90237 ],[7.923658  7.7072735 7.2458434 6.813496 ],[1.0597956 1.231113  1.608747  1.573068 ],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
MODEL,A,3e-07,1,False,False,TDD,vanilla,0,[0.03964509 0.04706031 0.04954975 0.0554858 ],[0.00924279 0.0112011  0.01242259 0.01510371],[ 9.298805 10.993926 11.42912  12.924993],[2.3461182 2.473347  2.7011695 3.4808512],[8.172972 8.165638 8.165839 8.165804],[0.3556697  0.3575528  0.35881692 0.35971427],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
MODEL,A,3e-07,10,False,False,TDD,vanilla,0,[0.0763953  0.11114604 0.15640882 0.2291874 ],[0.05838729 0.08492623 0.11276712 0.17335938],[13.638514 20.045263 30.330996 47.80469 ],[ 4.0132656  7.3376684 16.11472   32.27481  ],[8.104486 8.072411 8.026892 7.962368],[0.6462254  0.71212876 0.7863299  0.8695732 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
MODEL,A,3e-07,30,False,False,TDD,vanilla,0,[0.13963498 0.26559165 0.47042912 0.67066884],[0.10424893 0.21834536 0.3831264  0.50437444],[ 24.313679  50.008984  96.256615 158.05826 ],[ 10.898542  38.150234  73.57563  131.38089 ],[7.906647  7.798089  7.555904  7.2140527],[1.0098642 1.1025147 1.3100748 1.5707476],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
MODEL,C,3e-08,1,False,False,TDD,vanilla,0,[0.0653877  0.0771072  0.08205017 0.09968103],[0.04514896 0.04836814 0.0556351  0.07074679],[ 7.21288   8.906665  9.405559 12.306875],[1.3585653 1.8025233 2.3642657 4.1410565],[8.289174 8.284896 8.284791 8.278596],[0.13190243 0.13531682 0.1387192  0.14234735],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
MODEL,C,3e-08,10,False,False,TDD,vanilla,0,[0.1343186  0.30841848 0.5006378  0.61413336],[0.10619866 0.35893983 0.5983964  0.43873906],[ 14.804641  34.24598   65.63484  108.35391 ],[ 6.810068 23.547985 53.86025  89.11138 ],[8.146267  8.024147  7.8006783 7.384409 ],[0.45590043 0.55992186 0.7983238  1.3342791 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
MODEL,C,3e-08,30,False,False,TDD,vanilla,0,[0.4607271  0.7837265  0.90721726 0.98625547],[0.39820838 0.5061566  0.4777757  0.5625745 ],[ 84.78868 171.55379 223.64062 251.06557],[ 67.38687 116.00304 130.26697 135.45323],[7.779532  6.8304834 6.34118   5.8761   ],[0.8946939 1.6687484 1.627203  1.725891 ],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
MODEL,C,1e-07,1,False,False,TDD,vanilla,0,[0.04644522 0.05484155 0.05902233 0.06240373],[0.01920727 0.02280976 0.02065346 0.02169406],[ 8.278516  9.958714 10.683673 11.800854],[1.5537145 2.1278071 2.5917175 3.5716944],[8.251051 8.244867 8.240325 8.237358],[0.20053232 0.20328236 0.20536922 0.20752849],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
MODEL,C,1e-07,10,False,False,TDD,vanilla,0,[0.08767841 0.17633364 0.29263136 0.43519023],[0.04388796 0.09863745 0.17168638 0.2392247 ],[ 15.363015  35.57932   66.46443  106.81254 ],[ 6.8070445 27.004734  56.178608  87.30251  ],[8.156023  8.053888  7.873038  7.5775666],[0.42161447 0.47401905 0.5789381  0.7951143 ],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
MODEL,C,1e-07,30,False,False,TDD,vanilla,0,[0.32363623 0.55982584 0.74523324 0.8529525 ],[0.20611814 0.2833289  0.27080393 0.23301367],[ 72.885376 145.57906  197.66063  240.87514 ],[ 58.690777 107.517624 122.3327   131.9899  ],[7.833363  7.1607876 6.650241  6.267192 ],[0.74195844 1.1919942  1.3156979  1.354225  ],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
MODEL,C,3e-07,1,False,False,TDD,vanilla,0,[0.04777426 0.05399316 0.05587839 0.0610459 ],[0.01476517 0.01551027 0.01689858 0.01742105],[11.969361  13.572016  13.9457655 15.368378 ],[3.667863  3.8079185 4.0559382 4.3759956],[8.256274  8.249     8.2475815 8.244826 ],[0.12793696 0.12973402 0.13112304 0.13288222],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
MODEL,C,3e-07,10,False,False,TDD,vanilla,0,[0.07800427 0.12428115 0.1931091  0.29156324],[0.03020598 0.0596339  0.11032848 0.16441339],[18.197231 29.895235 48.527775 76.913025],[ 5.0009336 13.218965  27.853573  47.864273 ],[8.167414 8.100499 7.98779  7.797235],[0.35636112 0.40784767 0.49346587 0.6537643 ],[8.250104 8.243475 8.238306 8.233626],[0.33855358 0.37196392 0.40309045 0.43264046]
MODEL,C,3e-07,30,False,False,TDD,vanilla,0,[0.25478548 0.47701538 0.6265043  0.726635  ],[0.18800081 0.30781204 0.30382138 0.26807818],[ 61.712875 128.30792  178.23633  220.23709 ],[ 44.369102  90.0092   105.23407  119.655075],[7.885835 7.255289 6.994038 6.653321],[0.75098234 1.3860755  1.3332034  1.5411323 ],[8.243394  8.2595005 8.280929  8.2970915],[0.5275148  0.56576973 0.5995795  0.6289665 ]
MODEL,D,3e-08,1,False,False,TDD,vanilla,0,[0.02148501 0.02503639 0.02822633 0.04473976],[0.00439499 0.00783628 0.01327226 0.0380486 ],[ 6.318347  7.397934  8.310348 13.206418],[ 1.5508305  2.5889473  4.221762  11.73266  ],[8.288343 8.28646  8.28529  8.280609],[0.168552   0.16874573 0.16895977 0.16893695],[8.314398 8.314319 8.314234 8.314145],[0.1689577  0.1692839  0.16965668 0.17007592]
MODEL,D,3e-08,10,False,False,TDD,vanilla,0,[0.0341733  0.04585351 0.05687172 0.09248843],[0.01113829 0.01528154 0.02309022 0.04344524],[ 9.997236 13.489275 16.777348 27.571026],[ 3.3628325  4.565681   6.858508  14.369327 ],[8.278416 8.267285 8.258444 8.236542],[0.22243476 0.23376144 0.24513635 0.25971738],[8.316226 8.317209 8.319232 8.322231],[0.22064124 0.22971565 0.23861213 0.24789669]
MODEL,D,3e-08,30,False,False,TDD,vanilla,0,[0.05774113 0.08893117 0.14504106 0.20920114],[0.0279238  0.05578711 0.10054109 0.14438593],[16.00348  24.744543 40.42316  58.68059 ],[ 7.0218773 15.925168  28.93146   40.707256 ],[8.221762 8.166498 8.104215 8.029153],[0.32735744 0.35506323 0.39552277 0.46871418],[8.279626 8.265633 8.254636 8.245803],[0.3149234  0.33140603 0.3475315  0.37491977]
MODEL,D,1e-07,1,False,False,TDD,vanilla,0,[0.02740443 0.0313974  0.03591297 0.05047522],[0.0054155  0.00829755 0.01309475 0.03592119],[ 8.13895   9.339217 10.674551 15.005952],[ 1.62134    2.5422163  3.9847164 10.837761 ],[8.275296 8.272981 8.271094 8.26716 ],[0.04732608 0.04849036 0.05017358 0.05257232],[8.30858  8.308749 8.308917 8.309082],[0.04570846 0.04691132 0.04821616 0.04961289]
