split,model,settings,cell_mean_nmse,source
regular,MODEL,162,0.1246,results/reference/official_per_setting.csv
regular,WIENER,162,0.8236,results/reference/official_per_setting.csv
regular,AR,162,0.7874,results/reference/official_per_setting.csv
regular,PAD,162,0.23,results/reference/official_per_setting.csv
regular,NP,162,1.8081,results/reference/official_per_setting.csv
regular,ours-seed42,162,0.1385,results/run_csv/CAPNOAUX600_full162.csv
robustness,MODEL,486,0.1623,results/reference/official_per_setting.csv
robustness,WIENER,486,0.7734,results/reference/official_per_setting.csv
robustness,AR,486,0.7692,results/reference/official_per_setting.csv
robustness,PAD,486,0.6052,results/reference/official_per_setting.csv
robustness,NP,486,1.3076,results/reference/official_per_setting.csv
robustness,ours-seed42,486,0.1772,results/run_csv/CAPNOAUX600_robust486.csv
generalization-432,MODEL,432,0.2872,results/reference/official_per_setting.csv
generalization-432,WIENER,432,1.0862,results/reference/official_per_setting.csv
generalization-432,AR,432,1.0469,results/reference/official_per_setting.csv
generalization-432,PAD,432,0.3231,results/reference/official_per_setting.csv
generalization-432,NP,432,2.0492,results/reference/official_per_setting.csv
generalization-432,ours-seed42,432,0.2685,results/run_csv/CAPNOAUX600_gen_gen.csv
regular,"DFTGRID (K=1, fixed grid)",162,1.3771,results/run_csv/DFTGRID_K1_full162.csv
robustness,"DFTGRID (K=1, fixed grid)",486,1.2465,results/run_csv/DFTGRID_K1_robust486.csv
generalization-432,"DFTGRID (K=1, fixed grid)",432,1.279,results/run_csv/DFTGRID_K1_gen432.csv
