nmse,h1,h2,h3,h4,residual_share_top16_taps,residual_lag1_across_subcarriers,model,cm,ds_ns,ms,snr_db
0.0102,0.0075,0.0092,0.011,0.0129,0.5054,0.8807,ours,A,29,1,10.0
0.0032,0.0021,0.0027,0.0033,0.0048,0.9618,0.5668,published,A,29,1,10.0
0.0945,0.0291,0.0633,0.1186,0.1668,0.9007,0.8915,ours,A,29,10,10.0
0.087,0.0159,0.0491,0.1054,0.1773,0.9868,0.2315,published,A,29,10,10.0
0.4186,0.1594,0.2898,0.4534,0.7716,0.9746,0.7314,ours,A,29,30,10.0
0.4139,0.1281,0.2369,0.4609,0.8297,0.9913,-0.3668,published,A,29,30,10.0
0.0166,0.0147,0.0158,0.0171,0.0187,0.1942,0.8489,ours,A,100,1,10.0
0.0045,0.0033,0.0039,0.0047,0.0062,0.9106,0.855,published,A,100,1,10.0
0.0757,0.0327,0.0572,0.0886,0.1244,0.6628,0.858,ours,A,100,10,10.0
0.0505,0.0133,0.0327,0.0604,0.0955,0.9497,0.7153,published,A,100,10,10.0
0.3464,0.1084,0.2278,0.4169,0.6324,0.8905,0.8223,ours,A,100,30,10.0
0.3083,0.0633,0.187,0.3697,0.6133,0.9565,-0.3618,published,A,100,30,10.0
0.0092,0.0081,0.0088,0.0095,0.0102,0.3218,0.8722,ours,A,300,1,10.0
0.0037,0.0029,0.0033,0.0038,0.0048,0.7733,0.8562,published,A,300,1,10.0
0.0568,0.022,0.0398,0.0656,0.0996,0.7299,0.8593,ours,A,300,10,10.0
0.0402,0.0116,0.0243,0.0461,0.0786,0.9281,0.4195,published,A,300,10,10.0
0.2475,0.0644,0.1564,0.2988,0.4702,0.9366,0.4299,ours,A,300,30,10.0
0.2187,0.0448,0.1256,0.2637,0.4406,0.9764,-0.2767,published,A,300,30,10.0
0.0153,0.0113,0.0136,0.0164,0.0198,0.4811,0.8772,ours,C,29,1,10.0
0.0058,0.0034,0.0045,0.0061,0.0092,0.9543,0.9302,published,C,29,1,10.0
0.1633,0.0373,0.096,0.2107,0.309,0.9347,0.878,ours,C,29,10,10.0
0.1485,0.0235,0.0776,0.1944,0.2985,0.9854,0.8475,published,C,29,10,10.0
0.6826,0.3545,0.655,0.8037,0.9172,0.9823,-0.1768,ours,C,29,30,10.0
0.6734,0.3154,0.6006,0.8018,0.976,0.9915,-0.965,published,C,29,30,10.0
0.0145,0.0126,0.0137,0.015,0.0167,0.2597,0.8526,ours,C,100,1,10.0
0.005,0.0036,0.0044,0.0052,0.0069,0.8868,0.9359,published,C,100,1,10.0
0.1193,0.0331,0.0715,0.14,0.2327,0.8355,0.8591,ours,C,100,10,10.0
0.0934,0.0191,0.0538,0.1114,0.1892,0.9636,0.6702,published,C,100,10,10.0
0.4875,0.1795,0.4224,0.608,0.7401,0.9448,0.555,ours,C,100,30,10.0
0.3972,0.1494,0.3227,0.4889,0.6276,0.9708,-0.4987,published,C,100,30,10.0
0.0145,0.0128,0.0139,0.0151,0.0163,0.269,0.8464,ours,C,300,1,10.0
0.0056,0.0046,0.005,0.0057,0.0071,0.7311,0.8322,published,C,300,1,10.0
0.0877,0.03,0.0561,0.1017,0.163,0.7209,0.8641,ours,C,300,10,10.0
0.049,0.0165,0.0318,0.0563,0.0913,0.913,0.5686,published,C,300,10,10.0
0.3858,0.1336,0.3268,0.4808,0.6019,0.9098,0.7343,ours,C,300,30,10.0
0.2691,0.088,0.1931,0.3208,0.4743,0.9481,-0.7475,published,C,300,30,10.0
0.0032,0.0025,0.003,0.0035,0.004,0.6072,0.9005,ours,D,29,1,10.0
0.0043,0.0025,0.0028,0.0051,0.0067,0.964,0.0296,published,D,29,1,10.0
0.0133,0.0058,0.0095,0.0152,0.0228,0.8601,0.848,ours,D,29,10,10.0
0.0107,0.0043,0.0077,0.0122,0.0187,0.9662,0.3003,published,D,29,10,10.0
0.0712,0.0196,0.0478,0.0861,0.1311,0.9657,-0.263,ours,D,29,30,10.0
0.039,0.0129,0.0273,0.0456,0.0703,0.9746,0.5352,published,D,29,30,10.0
0.0037,0.003,0.0034,0.004,0.0044,0.5569,0.89,ours,D,100,1,10.0
0.0057,0.0038,0.0041,0.0065,0.0083,0.8118,0.3226,published,D,100,1,10.0
0.0131,0.0065,0.0102,0.0151,0.0207,0.7816,0.8896,ours,D,100,10,10.0
0.0105,0.0052,0.0082,0.0117,0.0169,0.8649,0.7889,published,D,100,10,10.0
0.06,0.0176,0.0399,0.0729,0.1097,0.9334,-0.1793,ours,D,100,30,10.0
0.0375,0.0131,0.0268,0.0438,0.0661,0.9332,0.1742,published,D,100,30,10.0
0.006,0.0053,0.0058,0.0063,0.0068,0.505,0.8183,ours,D,300,1,10.0
0.0073,0.0055,0.0057,0.008,0.0101,0.7342,-0.254,published,D,300,1,10.0
0.0172,0.0108,0.0147,0.0194,0.024,0.7016,0.7026,ours,D,300,10,10.0
0.0125,0.0072,0.0099,0.0134,0.0194,0.7856,-0.1462,published,D,300,10,10.0
0.0522,0.0227,0.0367,0.0606,0.0887,0.8878,0.2462,ours,D,300,30,10.0
0.0349,0.0146,0.0247,0.0413,0.0592,0.9022,0.7979,published,D,300,30,10.0
