model,slice,n,ours,published,ratio
ours,<=10 m/s,72,0.05813184868055557,0.08434893388888888,0.6891829688936135
ours,10-30 m/s,108,0.2971888520601852,0.31082139097222217,0.9561402808558459
ours,>30 m/s,36,0.5411388134722223,0.4603887290277777,1.1753954416194503
ours,all,216,0.25816151116898145,0.26025846162037036,0.9919428154676191
ours,cm B,108,0.4728929901157407,0.4775536995601851,0.9902404495060203
ours,cm E,108,0.04343003222222223,0.042963223680555544,1.0108653052931396
ours,ds 50 ns,72,0.31144457065972225,0.2815748772569444,1.1060808183377844
ours,ds 200 ns,72,0.2407235451736111,0.24037286038194447,1.0014589200757082
ours,ds 400 ns,72,0.22231641767361113,0.25882764722222223,0.858936130121897
mamba64-d64,<=10 m/s,72,0.1329034654861111,0.08434893388888888,1.57563894833789
mamba64-d64,10-30 m/s,108,0.357231366875,0.31082139097222217,1.1493139701795023
mamba64-d64,>30 m/s,36,0.4734957858333333,0.4603887290277777,1.0284695431906734
mamba64-d64,all,216,0.3018328029050926,0.26025846162037036,1.1597425152899168
mamba64-d64,cm B,108,0.5098260827546296,0.4775536995601851,1.067578542945362
mamba64-d64,cm E,108,0.09383952305555557,0.042963223680555544,2.1841825407069213
mamba64-d64,ds 50 ns,72,0.30746220774305555,0.2815748772569444,1.0919376427978988
mamba64-d64,ds 200 ns,72,0.2969122156597222,0.24037286038194447,1.2352152201706073
mamba64-d64,ds 400 ns,72,0.3011239853125,0.25882764722222223,1.1634150700058843
transformer-matched,<=10 m/s,72,0.15558547802083333,0.08434893388888888,1.8445458744716665
transformer-matched,10-30 m/s,108,0.37998131481481473,0.31082139097222217,1.2225069633279304
transformer-matched,>30 m/s,36,0.4707930718055555,0.4603887290277777,1.022599038859507
transformer-matched,all,216,0.32031799538194444,0.26025846162037036,1.230768803395068
transformer-matched,cm B,108,0.5649699355324074,0.4775536995601851,1.1830500654747946
transformer-matched,cm E,108,0.0756660552314815,0.042963223680555544,1.7611819772669135
transformer-matched,ds 50 ns,72,0.3047373365625,0.2815748772569444,1.0822603903132284
transformer-matched,ds 200 ns,72,0.3259748607291667,0.24037286038194447,1.3561217360861935
transformer-matched,ds 400 ns,72,0.33024178885416666,0.25882764722222223,1.275913884773794
