slice,cells,ours,published,paired_mean_diff,ci_low,ci_high,ci_excludes_zero,ours_favoured_cells
all,108,0.1984,0.9461,-0.7477,-0.8899,-0.6076,True,107/108
cmA,36,0.2212,1.5591,-1.3379,-1.6052,-1.0695,True,36/36
cmC,36,0.3318,1.2065,-0.8746,-1.0111,-0.7436,True,36/36
cmD,36,0.0422,0.0729,-0.0307,-0.0355,-0.0257,True,35/36
ds50,36,0.2467,0.526,-0.2793,-0.3547,-0.2092,True,35/36
ds200,36,0.183,0.9516,-0.7686,-0.9684,-0.5694,True,36/36
ds400,36,0.1655,1.3608,-1.1952,-1.4982,-0.887,True,36/36
bandle10,27,0.0444,0.9554,-0.911,-1.245,-0.5882,True,27/27
band10to30,54,0.1803,0.9435,-0.7632,-0.9677,-0.5721,True,54/54
bandgt30,27,0.3887,0.9422,-0.5534,-0.7942,-0.3348,True,26/27
