cm,ds,ms,ours,published,diff,speed_band
A,5e-08,3,0.02771813958333334,0.3501522945833333,-0.32243415499999994,le10
A,5e-08,6,0.0533503975,0.3575992804166666,-0.30424888291666663,le10
A,5e-08,9,0.09542634500000001,0.36372605916666667,-0.26829971416666665,le10
A,5e-08,12,0.12551293083333334,0.4147389875,-0.2892260566666667,10to30
A,5e-08,15,0.16001217541666668,0.5052997870833333,-0.34528761166666666,10to30
A,5e-08,18,0.2576188020833334,0.5939889075,-0.3363701054166666,10to30
A,5e-08,21,0.2316540270833333,0.5638681108333333,-0.33221408375000006,10to30
A,5e-08,24,0.2680957520833333,0.6290766425,-0.36098089041666664,10to30
A,5e-08,27,0.3536026716666667,0.7015184083333333,-0.34791573666666664,10to30
A,5e-08,33,0.44611273,0.6412320820833334,-0.19511935208333336,gt30
A,5e-08,36,0.5841422641666667,0.8147834337500001,-0.23064116958333336,gt30
A,5e-08,42,0.5862104045833333,0.9134390195833334,-0.3272286150000001,gt30
A,2e-07,3,0.029494759166666665,1.7571510874999998,-1.727656328333333,le10
A,2e-07,6,0.04286655833333333,1.83225285,-1.7893862916666665,le10
A,2e-07,9,0.06313760416666667,1.6923317875,-1.6291941833333332,le10
A,2e-07,12,0.09391536291666668,1.805323475,-1.7114081120833333,10to30
A,2e-07,15,0.13754711666666666,1.6883039166666667,-1.5507568,10to30
A,2e-07,18,0.15727191125,1.5822240666666667,-1.4249521554166666,10to30
A,2e-07,21,0.195341175,1.6714809833333335,-1.4761398083333335,10to30
A,2e-07,24,0.22344313916666667,1.640105725,-1.4166625858333333,10to30
A,2e-07,27,0.24519437749999998,1.5818884541666665,-1.3366940766666664,10to30
A,2e-07,33,0.33811292125000003,1.574294975,-1.23618205375,gt30
A,2e-07,36,0.4196301725,1.6759410125,-1.25631084,gt30
A,2e-07,42,0.5151048583333334,1.6017890833333333,-1.086684225,gt30
A,4e-07,3,0.029547037916666668,2.5344363458333334,-2.5048893079166668,le10
A,4e-07,6,0.04743558541666667,2.644035975,-2.596600389583333,le10
A,4e-07,9,0.05923794499999999,2.7343982541666665,-2.6751603091666665,le10
A,4e-07,12,0.08501716333333333,2.5312894291666668,-2.4462722658333336,10to30
A,4e-07,15,0.11408701708333334,2.524063416666667,-2.4099763995833334,10to30
A,4e-07,18,0.148770855,2.4208894791666666,-2.2721186241666667,10to30
A,4e-07,21,0.17486378625,2.4173992708333336,-2.2425354845833336,10to30
A,4e-07,24,0.22147870416666668,2.2964462708333335,-2.074967566666667,10to30
A,4e-07,27,0.24800939083333332,2.3723738500000002,-2.124364459166667,10to30
A,4e-07,33,0.36973293458333334,2.2505787625,-1.8808458279166667,gt30
A,4e-07,36,0.33053640208333335,2.2914198625,-1.960883460416667,gt30
