slice,cells,ours,published,paired_mean_diff,ci_low,ci_high,ci_excludes_zero,ours_favoured_cells
all,108,0.2031,0.2182,-0.0151,-0.0256,-0.0054,True,51/108
cmA,36,0.2257,0.2405,-0.0148,-0.0259,-0.0043,True,18/36
cmC,36,0.339,0.3747,-0.0358,-0.0635,-0.0092,True,20/36
cmD,36,0.0446,0.0393,0.0053,0.0011,0.0097,True,13/36
ds50,36,0.2513,0.2299,0.0214,0.0142,0.0297,True,5/36
ds200,36,0.1873,0.19,-0.0027,-0.0093,0.0028,False,17/36
ds400,36,0.1706,0.2346,-0.064,-0.0854,-0.0434,True,29/36
bandle10,27,0.0471,0.0669,-0.0198,-0.0397,-0.0035,True,18/27
band10to30,54,0.1856,0.1995,-0.0139,-0.0285,-0.0014,True,21/54
bandgt30,27,0.3941,0.4068,-0.0127,-0.0381,0.0108,False,12/27
