slice,seed,cells,ours,published,paired_mean_diff,ci_low,ci_high,ci_excludes_zero,ours_favoured_cells
all,"mean(42,43,44)",72,0.2716,0.2872,-0.0156,-0.025,-0.007,True,40/72
ds50,"mean(42,43,44)",24,0.3109,0.3126,-0.0017,-0.0168,0.0118,False,10/24
ds200,"mean(42,43,44)",24,0.2576,0.266,-0.0084,-0.017,-0.0003,True,15/24
ds400,"mean(42,43,44)",24,0.2462,0.283,-0.0367,-0.0549,-0.0189,True,15/24
all,42,72,0.2685,0.2872,-0.0187,-0.0283,-0.0095,True,44/72
ds50,42,24,0.3095,0.3126,-0.0031,-0.0175,0.0099,False,12/24
ds200,42,24,0.2547,0.266,-0.0113,-0.0209,-0.0022,True,16/24
ds400,42,24,0.2413,0.283,-0.0417,-0.0608,-0.0225,True,16/24
all,43,72,0.2767,0.2872,-0.0105,-0.0194,-0.0022,True,35/72
ds50,43,24,0.3112,0.3126,-0.0014,-0.018,0.0128,False,9/24
ds200,43,24,0.2629,0.266,-0.0031,-0.0115,0.0046,False,11/24
ds400,43,24,0.256,0.283,-0.027,-0.0434,-0.0108,True,15/24
all,44,72,0.2695,0.2872,-0.0177,-0.0273,-0.0086,True,44/72
ds50,44,24,0.3119,0.3126,-0.0006,-0.0154,0.0133,False,11/24
ds200,44,24,0.2551,0.266,-0.0109,-0.0193,-0.0029,True,16/24
ds400,44,24,0.2414,0.283,-0.0416,-0.0604,-0.023,True,17/24
