band,band_label,seed,cells,mean_diff,ci_low,ci_high,sign_test_p,cells_favoured
le10,<=10 m/s,42,18,-0.023,-0.0406,-0.0078,0.00014,17
le10,<=10 m/s,43,18,-0.0143,-0.0311,-0.0005,0.23788,12
le10,<=10 m/s,44,18,-0.0238,-0.0415,-0.0084,0.00014,17
le10,<=10 m/s,mean,18,-0.0204,-0.0378,-0.0057,0.00754,15
10to30,10-30 m/s,42,36,-0.0229,-0.0363,-0.0104,0.61772,20
10to30,10-30 m/s,43,36,-0.0167,-0.0293,-0.0053,0.86794,17
10to30,10-30 m/s,44,36,-0.0236,-0.0366,-0.0116,0.40503,21
10to30,10-30 m/s,mean,36,-0.0211,-0.0339,-0.0092,1.0,18
gt30,>30 m/s,42,18,-0.0059,-0.0259,0.0133,0.48068,7
gt30,>30 m/s,43,18,0.0059,-0.0099,0.0202,0.23788,6
gt30,>30 m/s,44,18,0.0002,-0.0192,0.0187,0.23788,6
gt30,>30 m/s,mean,18,0.0001,-0.018,0.0169,0.48068,7
