cm,ds,ms,snr,speed_band,nmse,published_nmse,diff,ours_favoured
B,5e-08,3.0,0.0,le10,0.0761393675,0.067557735,0.008581632500000005,False
B,5e-08,3.0,5.0,le10,0.0434345525,0.03914986,0.004284692499999999,False
B,5e-08,3.0,10.0,le10,0.028761497500000004,0.0258650075,0.002896490000000005,False
B,5e-08,3.0,15.0,le10,0.022021875,0.0200043625,0.002017512499999999,False
B,5e-08,3.0,20.0,le10,0.0191110975,0.017456305,0.0016547925000000019,False
B,5e-08,3.0,25.0,le10,0.01748935,0.0167571275,0.0007322225000000009,False
B,5e-08,6.0,0.0,le10,0.1612701025,0.1610342875,0.00023581500000000033,False
B,5e-08,6.0,5.0,le10,0.1117002675,0.11292824,-0.0012279724999999936,True
B,5e-08,6.0,10.0,le10,0.087493215,0.091294265,-0.0038010500000000003,True
B,5e-08,6.0,15.0,le10,0.0766419725,0.07673133,-8.935749999999798e-05,True
B,5e-08,6.0,20.0,le10,0.07142016749999999,0.0712612175,0.00015894999999999104,False
B,5e-08,6.0,25.0,le10,0.068304375,0.06965831,-0.0013539350000000006,True
B,5e-08,9.0,0.0,le10,0.24891495749999998,0.2496892025,-0.0007742450000000345,True
B,5e-08,9.0,5.0,le10,0.189280985,0.2004849875,-0.011204002499999977,True
B,5e-08,9.0,10.0,le10,0.1600836175,0.1698426925,-0.009759075000000006,True
B,5e-08,9.0,15.0,le10,0.14899805500000002,0.1543122425,-0.005314187499999984,True
B,5e-08,9.0,20.0,le10,0.143753395,0.14932361,-0.0055702149999999895,True
B,5e-08,9.0,25.0,le10,0.14019955,0.147726025,-0.007526475000000005,True
B,5e-08,12.0,0.0,10to30,0.358863355,0.38029465,-0.021431295000000017,True
B,5e-08,12.0,5.0,10to30,0.3010909475,0.3239227725,-0.022831825000000028,True
B,5e-08,12.0,10.0,10to30,0.2740895775,0.2960499649999999,-0.0219603874999999,True
B,5e-08,12.0,15.0,10to30,0.26411332,0.2846653349999999,-0.020552014999999924,True
B,5e-08,12.0,20.0,10to30,0.259591985,0.2825731525,-0.022981167499999955,True
B,5e-08,12.0,25.0,10to30,0.2566326375,0.2812914725,-0.02465883499999999,True
B,5e-08,15.0,0.0,10to30,0.44575110000000007,0.49235038,-0.04659927999999991,True
B,5e-08,15.0,5.0,10to30,0.40679472,0.430630505,-0.023835784999999998,True
B,5e-08,15.0,10.0,10to30,0.3897914575,0.417733265,-0.027941807500000027,True
B,5e-08,15.0,15.0,10to30,0.383297355,0.4114267175,-0.028129362499999977,True
B,5e-08,15.0,20.0,10to30,0.37966724,0.4092636424999999,-0.029596402499999896,True
B,5e-08,15.0,25.0,10to30,0.37839452500000004,0.4093135625,-0.03091903749999997,True
B,5e-08,18.0,0.0,10to30,0.645039775,0.7311230599999999,-0.08608328499999995,True
B,5e-08,18.0,5.0,10to30,0.5999735775,0.66694283,-0.06696925249999996,True
B,5e-08,18.0,10.0,10to30,0.585746095,0.6422724275,-0.056526332500000054,True
B,5e-08,18.0,15.0,10to30,0.57845462,0.6312569075,-0.052802287499999934,True
B,5e-08,18.0,20.0,10to30,0.5770869225,0.630993115,-0.05390619249999995,True
B,5e-08,18.0,25.0,10to30,0.575835305,0.629612655,-0.053777349999999946,True
B,5e-08,21.0,0.0,10to30,0.7011743175,0.7680483174999999,-0.06687399999999988,True
B,5e-08,21.0,5.0,10to30,0.6720090550000001,0.7222550375,-0.0502459824999999,True
B,5e-08,21.0,10.0,10to30,0.6570319175,0.6910257399999999,-0.03399382249999994,True
B,5e-08,21.0,15.0,10to30,0.65350042,0.6810870025,-0.027586582500000012,True
B,5e-08,21.0,20.0,10to30,0.6520271875,0.6812136200000001,-0.02918643250000008,True
B,5e-08,21.0,25.0,10to30,0.651206765,0.680065205,-0.02885844000000004,True
B,5e-08,24.0,0.0,10to30,0.67551219,0.7367395999999999,-0.06122740999999998,True
B,5e-08,24.0,5.0,10to30,0.642780515,0.6824841675,-0.039703652499999964,True
B,5e-08,24.0,10.0,10to30,0.6320496325,0.6642455899999999,-0.03219595749999993,True
B,5e-08,24.0,15.0,10to30,0.6271387825,0.658371275,-0.031232492500000042,True
B,5e-08,24.0,20.0,10to30,0.6254389975,0.6545933,-0.029154302500000062,True
B,5e-08,24.0,25.0,10to30,0.6248151825,0.6556463425,-0.03083115999999997,True
B,5e-08,27.0,0.0,10to30,0.7386070275,0.88157655,-0.14296952250000006,True
B,5e-08,27.0,5.0,10to30,0.713324305,0.816754985,-0.10343068,True
B,5e-08,27.0,10.0,10to30,0.70584024,0.8008147175,-0.09497447749999999,True
B,5e-08,27.0,15.0,10to30,0.70225904,0.799248715,-0.09698967500000011,True
B,5e-08,27.0,20.0,10to30,0.70180157,0.7971454175,-0.09534384750000002,True
B,5e-08,27.0,25.0,10to30,0.7005425625,0.79810307,-0.0975605075,True
B,5e-08,33.0,0.0,gt30,0.9753986000000001,1.043447775,-0.06804917499999985,True
B,5e-08,33.0,5.0,gt30,0.9534203875,0.982987565,-0.02956717749999993,True
B,5e-08,33.0,10.0,gt30,0.9511067,0.9631369925,-0.012030292499999984,True
B,5e-08,33.0,15.0,gt30,0.9520265875,0.962107815,-0.010081227499999956,True
B,5e-08,33.0,20.0,gt30,0.952866425,0.95927044,-0.006404014999999985,True
B,5e-08,33.0,25.0,gt30,0.953152825,0.96207977,-0.00892694500000002,True
B,5e-08,36.0,0.0,gt30,1.0915253925,1.11638395,-0.02485855749999999,True
B,5e-08,36.0,5.0,gt30,1.090219775,1.0465870075,0.04363276749999989,False
B,5e-08,36.0,10.0,gt30,1.09264165,1.0306699325,0.06197171750000008,False
B,5e-08,36.0,15.0,gt30,1.0967252825,1.026820525,0.06990475750000003,False
B,5e-08,36.0,20.0,gt30,1.0983380249999999,1.026714175,0.07162384999999993,False
B,5e-08,36.0,25.0,gt30,1.0993587999999999,1.0258101175,0.0735486824999998,False
B,5e-08,42.0,0.0,gt30,1.06383929,1.1132817,-0.04944240999999994,True
B,5e-08,42.0,5.0,gt30,1.0564244,1.05759304,-0.001168639999999943,True
B,5e-08,42.0,10.0,gt30,1.0567501375,1.0419921125,0.014758024999999897,False
B,5e-08,42.0,15.0,gt30,1.0605704999999999,1.04252911,0.018041389999999824,False
B,5e-08,42.0,20.0,gt30,1.059963325,1.042476075,0.017487250000000065,False
B,5e-08,42.0,25.0,gt30,1.061040025,1.0425013,0.018538724999999978,False
B,2e-07,3.0,0.0,le10,0.08222769249999999,0.0824014875,-0.00017379500000000436,True
B,2e-07,3.0,5.0,le10,0.049982824999999995,0.0567650524999999,-0.006782227499999904,True
B,2e-07,3.0,10.0,le10,0.0337572725,0.0458331975,-0.012075925000000001,True
B,2e-07,3.0,15.0,le10,0.0252468325,0.04081381,-0.015566977499999999,True
B,2e-07,3.0,20.0,le10,0.0211940475,0.03875358,-0.017559532500000002,True
B,2e-07,3.0,25.0,le10,0.01930892,0.0379853025,-0.018676382499999998,True
B,2e-07,6.0,0.0,le10,0.159823035,0.161211425,-0.0013883899999999894,True
B,2e-07,6.0,5.0,le10,0.1099167325,0.1170306375,-0.007113905000000004,True
B,2e-07,6.0,10.0,le10,0.0842869275,0.0949668625,-0.010679935000000002,True
B,2e-07,6.0,15.0,le10,0.0695986575,0.08459195,-0.014993292500000005,True
B,2e-07,6.0,20.0,le10,0.062061605,0.079711115,-0.01764951,True
B,2e-07,6.0,25.0,le10,0.0583785825,0.0780261699999999,-0.019647587499999897,True
B,2e-07,9.0,0.0,le10,0.24178898999999998,0.239341865,0.0024471249999999944,False
B,2e-07,9.0,5.0,le10,0.182792065,0.1876413325,-0.004849267500000004,True
B,2e-07,9.0,10.0,le10,0.1519172675,0.160683535,-0.00876626749999998,True
B,2e-07,9.0,15.0,le10,0.13537396499999999,0.1460889275,-0.010714962500000008,True
B,2e-07,9.0,20.0,le10,0.126259865,0.1398364574999999,-0.013576592499999901,True
B,2e-07,9.0,25.0,le10,0.12185722,0.137727315,-0.015870094999999987,True
B,2e-07,12.0,0.0,10to30,0.35757282,0.3692406,-0.011667779999999961,True
B,2e-07,12.0,5.0,10to30,0.3002339075,0.3093134724999999,-0.0090795649999999,True
B,2e-07,12.0,10.0,10to30,0.2682146575,0.2800710925,-0.011856434999999999,True
B,2e-07,12.0,15.0,10to30,0.2511837125,0.267550485,-0.016366772500000015,True
B,2e-07,12.0,20.0,10to30,0.2419701025,0.26153852,-0.01956841749999999,True
B,2e-07,12.0,25.0,10to30,0.23733296999999998,0.2598804799999999,-0.022547509999999937,True
B,2e-07,15.0,0.0,10to30,0.4117129825,0.4054271375,0.006285845000000012,False
B,2e-07,15.0,5.0,10to30,0.3583840675,0.3562332775,0.0021507900000000135,False
B,2e-07,15.0,10.0,10to30,0.33233076000000006,0.33325153,-0.0009207699999999597,True
B,2e-07,15.0,15.0,10to30,0.3192444125,0.3242916475,-0.005047234999999983,True
B,2e-07,15.0,20.0,10to30,0.3121869875,0.319860405,-0.0076734175000000016,True
B,2e-07,15.0,25.0,10to30,0.309030205,0.318485625,-0.009455419999999992,True
B,2e-07,18.0,0.0,10to30,0.47286663000000007,0.4864413125,-0.013574682499999935,True
B,2e-07,18.0,5.0,10to30,0.424137675,0.428349395,-0.00421172000000003,True
B,2e-07,18.0,10.0,10to30,0.3981323925,0.40739303,-0.009260637500000002,True
B,2e-07,18.0,15.0,10to30,0.38421510000000003,0.39696674,-0.012751639999999953,True
B,2e-07,18.0,20.0,10to30,0.37802200750000003,0.3952122825,-0.017190274999999977,True
B,2e-07,18.0,25.0,10to30,0.37516259750000003,0.3936646975,-0.018502099999999966,True
B,2e-07,21.0,0.0,10to30,0.6123627174999999,0.65414632,-0.04178360250000002,True
B,2e-07,21.0,5.0,10to30,0.5733510225,0.59678285,-0.023431827499999947,True
B,2e-07,21.0,10.0,10to30,0.555016365,0.5781311,-0.023114735000000053,True
B,2e-07,21.0,15.0,10to30,0.5439974825,0.57269776,-0.028700277499999927,True
B,2e-07,21.0,20.0,10to30,0.54000461,0.570512765,-0.030508155000000037,True
B,2e-07,21.0,25.0,10to30,0.5379596825,0.5707306050000001,-0.03277092250000002,True
B,2e-07,24.0,0.0,10to30,0.6327525350000001,0.68270933,-0.04995679499999994,True
B,2e-07,24.0,5.0,10to30,0.6021603225000001,0.63517145,-0.033011127499999904,True
B,2e-07,24.0,10.0,10to30,0.5836969700000001,0.6212358099999999,-0.03753883999999985,True
B,2e-07,24.0,15.0,10to30,0.5753126225,0.61928323,-0.043970607499999925,True
B,2e-07,24.0,20.0,10to30,0.5716981674999999,0.6183565325,-0.04665836500000009,True
B,2e-07,24.0,25.0,10to30,0.5696967675,0.6183715325,-0.04867476500000001,True
B,2e-07,27.0,0.0,10to30,0.641586075,0.7179068475,-0.07632077250000002,True
B,2e-07,27.0,5.0,10to30,0.6110962600000001,0.66567164,-0.05457537999999995,True
B,2e-07,27.0,10.0,10to30,0.594852725,0.6497217225,-0.05486899750000007,True
B,2e-07,27.0,15.0,10to30,0.5869769425,0.646036505,-0.059059562499999996,True
B,2e-07,27.0,20.0,10to30,0.58349919,0.6437543525,-0.06025516250000007,True
B,2e-07,27.0,25.0,10to30,0.58191786,0.6442290025,-0.06231114250000003,True
B,2e-07,33.0,0.0,gt30,0.7907265274999999,0.86087175,-0.0701452225000001,True
B,2e-07,33.0,5.0,gt30,0.7726013174999999,0.8147815325,-0.04218021500000002,True
B,2e-07,33.0,10.0,gt30,0.7661010374999999,0.8013178425,-0.03521680500000013,True
B,2e-07,33.0,15.0,gt30,0.762636495,0.797178095,-0.03454160000000006,True
B,2e-07,33.0,20.0,gt30,0.7614105175,0.7950978375,-0.033687319999999965,True
B,2e-07,33.0,25.0,gt30,0.76036734,0.7953112675,-0.03494392750000008,True
B,2e-07,36.0,0.0,gt30,0.8155405975000001,0.90766843,-0.0921278324999999,True
B,2e-07,36.0,5.0,gt30,0.80202146,0.858877345,-0.05685588500000005,True
B,2e-07,36.0,10.0,gt30,0.792738975,0.8431029225,-0.05036394749999995,True
B,2e-07,36.0,15.0,gt30,0.78698623,0.8370360975,-0.050049867499999956,True
B,2e-07,36.0,20.0,gt30,0.7851011575,0.8363084225,-0.05120726500000006,True
B,2e-07,36.0,25.0,gt30,0.78471282,0.8363447125,-0.0516318925,True
B,2e-07,42.0,0.0,gt30,0.88888955,0.9756663,-0.08677674999999996,True
B,2e-07,42.0,5.0,gt30,0.877212595,0.92418144,-0.04696884499999998,True
B,2e-07,42.0,10.0,gt30,0.8708839500000001,0.9092598575,-0.03837590749999997,True
B,2e-07,42.0,15.0,gt30,0.86909295,0.8994921874999999,-0.030399237499999954,True
B,2e-07,42.0,20.0,gt30,0.8666436399999999,0.899066425,-0.032422785000000065,True
B,2e-07,42.0,25.0,gt30,0.866494305,0.8984315125,-0.03193720749999995,True
B,4e-07,3.0,0.0,le10,0.09175316,0.1859627,-0.09420954000000001,True
B,4e-07,3.0,5.0,le10,0.0592614575,0.16317898,-0.1039175225,True
