cm,ds,ms,snr,speed_band,nmse,published_nmse,diff,ours_favoured
B,5e-08,3.0,0.0,le10,0.08562908999999999,0.067557735,0.018071354999999997,False
B,5e-08,3.0,5.0,le10,0.0519052025,0.03914986,0.012755342499999996,False
B,5e-08,3.0,10.0,le10,0.0351303575,0.0258650075,0.009265350000000002,False
B,5e-08,3.0,15.0,le10,0.02609136,0.0200043625,0.0060869975,False
B,5e-08,3.0,20.0,le10,0.023099235,0.017456305,0.005642930000000001,False
B,5e-08,3.0,25.0,le10,0.021992412500000003,0.0167571275,0.005235285000000003,False
B,5e-08,6.0,0.0,le10,0.18929021499999998,0.1610342875,0.028255927499999972,False
B,5e-08,6.0,5.0,le10,0.1266856525,0.11292824,0.013757412499999996,False
B,5e-08,6.0,10.0,le10,0.0962291075,0.091294265,0.004934842499999995,False
B,5e-08,6.0,15.0,le10,0.08323373749999999,0.07673133,0.006502407499999988,False
B,5e-08,6.0,20.0,le10,0.07853684999999999,0.0712612175,0.00727563249999999,False
B,5e-08,6.0,25.0,le10,0.0764974275,0.06965831,0.006839117500000005,False
B,5e-08,9.0,0.0,le10,0.266239035,0.2496892025,0.0165498325,False
B,5e-08,9.0,5.0,le10,0.208697525,0.2004849875,0.008212537500000006,False
B,5e-08,9.0,10.0,le10,0.18000878250000002,0.1698426925,0.010166090000000017,False
B,5e-08,9.0,15.0,le10,0.17039061249999998,0.1543122425,0.01607836999999998,False
B,5e-08,9.0,20.0,le10,0.1666385425,0.14932361,0.01731493249999999,False
B,5e-08,9.0,25.0,le10,0.165594725,0.147726025,0.017868699999999987,False
B,5e-08,12.0,0.0,10to30,0.364205675,0.38029465,-0.016088975000000005,True
B,5e-08,12.0,5.0,10to30,0.3103479375,0.3239227725,-0.013574835000000007,True
B,5e-08,12.0,10.0,10to30,0.28534514,0.2960499649999999,-0.010704824999999918,True
B,5e-08,12.0,15.0,10to30,0.2806123775,0.2846653349999999,-0.0040529574999998985,True
B,5e-08,12.0,20.0,10to30,0.27943747,0.2825731525,-0.003135682499999959,True
B,5e-08,12.0,25.0,10to30,0.27869525500000003,0.2812914725,-0.002596217499999942,True
B,5e-08,15.0,0.0,10to30,0.46348287499999996,0.49235038,-0.028867505000000016,True
B,5e-08,15.0,5.0,10to30,0.41012276999999997,0.430630505,-0.020507735000000027,True
B,5e-08,15.0,10.0,10to30,0.39501899,0.417733265,-0.022714275000000006,True
B,5e-08,15.0,15.0,10to30,0.390925015,0.4114267175,-0.020501702499999996,True
B,5e-08,15.0,20.0,10to30,0.3894607225,0.4092636424999999,-0.01980291999999989,True
B,5e-08,15.0,25.0,10to30,0.38958018,0.4093135625,-0.019733382500000007,True
B,5e-08,18.0,0.0,10to30,0.6629042075,0.7311230599999999,-0.06821885249999993,True
B,5e-08,18.0,5.0,10to30,0.60407218,0.66694283,-0.06287065000000003,True
B,5e-08,18.0,10.0,10to30,0.5831226924999999,0.6422724275,-0.05914973500000009,True
B,5e-08,18.0,15.0,10to30,0.578361925,0.6312569075,-0.05289498249999991,True
B,5e-08,18.0,20.0,10to30,0.57660636,0.630993115,-0.05438675500000001,True
B,5e-08,18.0,25.0,10to30,0.5755811075,0.629612655,-0.05403154749999994,True
B,5e-08,21.0,0.0,10to30,0.7165133925,0.7680483174999999,-0.0515349249999999,True
B,5e-08,21.0,5.0,10to30,0.6512339125,0.7222550375,-0.07102112500000002,True
B,5e-08,21.0,10.0,10to30,0.639896045,0.6910257399999999,-0.051129694999999975,True
B,5e-08,21.0,15.0,10to30,0.6365576125,0.6810870025,-0.04452939,True
B,5e-08,21.0,20.0,10to30,0.6369247025,0.6812136200000001,-0.04428891750000008,True
B,5e-08,21.0,25.0,10to30,0.636260065,0.680065205,-0.04380514000000002,True
B,5e-08,24.0,0.0,10to30,0.6850232375,0.7367395999999999,-0.05171636249999989,True
B,5e-08,24.0,5.0,10to30,0.6298981849999999,0.6824841675,-0.05258598250000002,True
B,5e-08,24.0,10.0,10to30,0.6232220925,0.6642455899999999,-0.041023497499999895,True
B,5e-08,24.0,15.0,10to30,0.6179102825,0.658371275,-0.040460992500000015,True
B,5e-08,24.0,20.0,10to30,0.6173997,0.6545933,-0.03719360000000005,True
B,5e-08,24.0,25.0,10to30,0.6161884,0.6556463425,-0.03945794250000001,True
B,5e-08,27.0,0.0,10to30,0.739130315,0.88157655,-0.14244623499999998,True
B,5e-08,27.0,5.0,10to30,0.6878084775,0.816754985,-0.12894650750000003,True
B,5e-08,27.0,10.0,10to30,0.67923798,0.8008147175,-0.12157673749999998,True
B,5e-08,27.0,15.0,10to30,0.6781546900000001,0.799248715,-0.121094025,True
B,5e-08,27.0,20.0,10to30,0.6777409775000001,0.7971454175,-0.11940443999999995,True
B,5e-08,27.0,25.0,10to30,0.6776112975,0.79810307,-0.12049177249999998,True
B,5e-08,33.0,0.0,gt30,0.90541437,1.043447775,-0.13803340499999994,True
B,5e-08,33.0,5.0,gt30,0.86220516,0.982987565,-0.12078240499999993,True
B,5e-08,33.0,10.0,gt30,0.8502514525,0.9631369925,-0.11288553999999995,True
B,5e-08,33.0,15.0,gt30,0.8470224099999999,0.962107815,-0.11508540500000008,True
B,5e-08,33.0,20.0,gt30,0.8466602575,0.95927044,-0.11261018249999999,True
B,5e-08,33.0,25.0,gt30,0.8469545,0.96207977,-0.11512526999999995,True
B,5e-08,36.0,0.0,gt30,0.9891042999999999,1.11638395,-0.12727964999999997,True
B,5e-08,36.0,5.0,gt30,0.946373275,1.0465870075,-0.1002137325000001,True
B,5e-08,36.0,10.0,gt30,0.9328908250000001,1.0306699325,-0.09777910749999985,True
B,5e-08,36.0,15.0,gt30,0.9278967499999999,1.026820525,-0.09892377500000005,True
B,5e-08,36.0,20.0,gt30,0.9271684250000001,1.026714175,-0.09954574999999988,True
B,5e-08,36.0,25.0,gt30,0.92619851,1.0258101175,-0.09961160750000009,True
B,5e-08,42.0,0.0,gt30,0.9546235925,1.1132817,-0.15865810749999998,True
B,5e-08,42.0,5.0,gt30,0.935208965,1.05759304,-0.12238407500000004,True
B,5e-08,42.0,10.0,gt30,0.933592175,1.0419921125,-0.10839993749999999,True
B,5e-08,42.0,15.0,gt30,0.9330478625,1.04252911,-0.10948124749999999,True
B,5e-08,42.0,20.0,gt30,0.9337993649999999,1.042476075,-0.10867671000000001,True
B,5e-08,42.0,25.0,gt30,0.933349715,1.0425013,-0.1091515850000001,True
B,2e-07,3.0,0.0,le10,0.125833205,0.0824014875,0.04343171750000001,False
B,2e-07,3.0,5.0,le10,0.092238245,0.0567650524999999,0.0354731925000001,False
B,2e-07,3.0,10.0,le10,0.073566585,0.0458331975,0.027733387500000005,False
B,2e-07,3.0,15.0,le10,0.06433759,0.04081381,0.02352378,False
B,2e-07,3.0,20.0,le10,0.06068416,0.03875358,0.021930579999999998,False
B,2e-07,3.0,25.0,le10,0.0595033625,0.0379853025,0.02151806,False
B,2e-07,6.0,0.0,le10,0.2080642775,0.161211425,0.046852852500000014,False
B,2e-07,6.0,5.0,le10,0.15134250999999999,0.1170306375,0.03431187249999998,False
B,2e-07,6.0,10.0,le10,0.11986708499999998,0.0949668625,0.024900222499999985,False
B,2e-07,6.0,15.0,le10,0.10565048999999999,0.08459195,0.021058539999999987,False
B,2e-07,6.0,20.0,le10,0.09955248250000001,0.079711115,0.019841367500000012,False
B,2e-07,6.0,25.0,le10,0.097802915,0.0780261699999999,0.01977674500000011,False
B,2e-07,9.0,0.0,le10,0.2784291275,0.239341865,0.0390872625,False
B,2e-07,9.0,5.0,le10,0.214377325,0.1876413325,0.0267359925,False
B,2e-07,9.0,10.0,le10,0.18290406250000002,0.160683535,0.02222052750000003,False
B,2e-07,9.0,15.0,le10,0.1699316575,0.1460889275,0.023842730000000006,False
B,2e-07,9.0,20.0,le10,0.16496283750000001,0.1398364574999999,0.025126380000000115,False
B,2e-07,9.0,25.0,le10,0.163199345,0.137727315,0.025472030000000007,False
B,2e-07,12.0,0.0,10to30,0.39009195750000003,0.3692406,0.020851357500000056,False
B,2e-07,12.0,5.0,10to30,0.334964335,0.3093134724999999,0.025650862500000093,False
B,2e-07,12.0,10.0,10to30,0.309899615,0.2800710925,0.02982852250000001,False
B,2e-07,12.0,15.0,10to30,0.3008141475,0.267550485,0.03326366250000001,False
B,2e-07,12.0,20.0,10to30,0.29700468999999996,0.26153852,0.035466169999999964,False
B,2e-07,12.0,25.0,10to30,0.2954680875,0.2598804799999999,0.03558760750000006,False
B,2e-07,15.0,0.0,10to30,0.44026967249999993,0.4054271375,0.03484253499999995,False
B,2e-07,15.0,5.0,10to30,0.387977055,0.3562332775,0.031743777500000014,False
B,2e-07,15.0,10.0,10to30,0.3695824225,0.33325153,0.03633089249999999,False
B,2e-07,15.0,15.0,10to30,0.3624445975,0.3242916475,0.03815295000000002,False
B,2e-07,15.0,20.0,10to30,0.360247865,0.319860405,0.040387459999999986,False
B,2e-07,15.0,25.0,10to30,0.3596384925,0.318485625,0.04115286750000002,False
B,2e-07,18.0,0.0,10to30,0.5106350125,0.4864413125,0.024193699999999985,False
B,2e-07,18.0,5.0,10to30,0.45547617999999995,0.428349395,0.02712678499999993,False
B,2e-07,18.0,10.0,10to30,0.43376317750000004,0.40739303,0.026370147500000052,False
B,2e-07,18.0,15.0,10to30,0.42865875,0.39696674,0.03169200999999999,False
B,2e-07,18.0,20.0,10to30,0.42730634,0.3952122825,0.032094057499999995,False
B,2e-07,18.0,25.0,10to30,0.4262349075,0.3936646975,0.03257020999999999,False
B,2e-07,21.0,0.0,10to30,0.618531755,0.65414632,-0.03561456499999993,True
B,2e-07,21.0,5.0,10to30,0.58185988,0.59678285,-0.01492296999999998,True
B,2e-07,21.0,10.0,10to30,0.570489935,0.5781311,-0.007641165000000005,True
B,2e-07,21.0,15.0,10to30,0.56634527,0.57269776,-0.006352489999999933,True
B,2e-07,21.0,20.0,10to30,0.5659692675,0.570512765,-0.004543497500000049,True
B,2e-07,21.0,25.0,10to30,0.565586625,0.5707306050000001,-0.005143980000000048,True
B,2e-07,24.0,0.0,10to30,0.6489004175,0.68270933,-0.033808912499999955,True
B,2e-07,24.0,5.0,10to30,0.612703615,0.63517145,-0.022467834999999936,True
B,2e-07,24.0,10.0,10to30,0.5998612875,0.6212358099999999,-0.021374522499999937,True
B,2e-07,24.0,15.0,10to30,0.5977122349999999,0.61928323,-0.021570995000000037,True
B,2e-07,24.0,20.0,10to30,0.5967254799999999,0.6183565325,-0.02163105250000008,True
B,2e-07,24.0,25.0,10to30,0.5962773275,0.6183715325,-0.022094205000000033,True
B,2e-07,27.0,0.0,10to30,0.67097918,0.7179068475,-0.04692766749999999,True
B,2e-07,27.0,5.0,10to30,0.6354234624999999,0.66567164,-0.030248177500000084,True
B,2e-07,27.0,10.0,10to30,0.6260137125,0.6497217225,-0.02370801,True
B,2e-07,27.0,15.0,10to30,0.62221948,0.646036505,-0.023817024999999936,True
B,2e-07,27.0,20.0,10to30,0.6210761925,0.6437543525,-0.022678160000000003,True
B,2e-07,27.0,25.0,10to30,0.62128078,0.6442290025,-0.02294822250000006,True
B,2e-07,33.0,0.0,gt30,0.76565183,0.86087175,-0.09521992000000001,True
B,2e-07,33.0,5.0,gt30,0.74057292,0.8147815325,-0.07420861249999999,True
B,2e-07,33.0,10.0,gt30,0.732506855,0.8013178425,-0.06881098750000003,True
B,2e-07,33.0,15.0,gt30,0.7314456375,0.797178095,-0.06573245750000001,True
B,2e-07,33.0,20.0,gt30,0.7303946225,0.7950978375,-0.06470321499999998,True
B,2e-07,33.0,25.0,gt30,0.7307041625,0.7953112675,-0.064607105,True
B,2e-07,36.0,0.0,gt30,0.7912511074999999,0.90766843,-0.11641732250000003,True
B,2e-07,36.0,5.0,gt30,0.769816565,0.858877345,-0.08906078000000006,True
B,2e-07,36.0,10.0,gt30,0.759472435,0.8431029225,-0.08363048750000002,True
B,2e-07,36.0,15.0,gt30,0.7577971075000001,0.8370360975,-0.0792389899999999,True
B,2e-07,36.0,20.0,gt30,0.7572249349999999,0.8363084225,-0.07908348750000016,True
B,2e-07,36.0,25.0,gt30,0.7574526925,0.8363447125,-0.07889201999999995,True
B,2e-07,42.0,0.0,gt30,0.87513565,0.9756663,-0.10053064999999994,True
B,2e-07,42.0,5.0,gt30,0.8459800625,0.92418144,-0.0782013775,True
B,2e-07,42.0,10.0,gt30,0.8415617175000001,0.9092598575,-0.06769813999999996,True
B,2e-07,42.0,15.0,gt30,0.840112215,0.8994921874999999,-0.05937997249999993,True
B,2e-07,42.0,20.0,gt30,0.840122365,0.899066425,-0.058944059999999965,True
B,2e-07,42.0,25.0,gt30,0.8400759575,0.8984315125,-0.058355555,True
B,4e-07,3.0,0.0,le10,0.191056045,0.1859627,0.005093344999999999,False
