cm,ds,ms,snr,speed_band,nmse,published_nmse,diff,ours_favoured
B,5e-08,3.0,0.0,le10,0.11988124,0.067557735,0.052323505000000006,False
B,5e-08,3.0,5.0,le10,0.07178564,0.03914986,0.032635779999999996,False
B,5e-08,3.0,10.0,le10,0.0517774875,0.0258650075,0.025912479999999998,False
B,5e-08,3.0,15.0,le10,0.044047077500000004,0.0200043625,0.024042715000000003,False
B,5e-08,3.0,20.0,le10,0.0420701575,0.017456305,0.0246138525,False
B,5e-08,3.0,25.0,le10,0.0413044925,0.0167571275,0.024547364999999998,False
B,5e-08,6.0,0.0,le10,0.2252227925,0.1610342875,0.06418850499999998,False
B,5e-08,6.0,5.0,le10,0.1595237275,0.11292824,0.04659548749999999,False
B,5e-08,6.0,10.0,le10,0.1326542075,0.091294265,0.04135994250000001,False
B,5e-08,6.0,15.0,le10,0.123455135,0.07673133,0.04672380499999999,False
B,5e-08,6.0,20.0,le10,0.1204340425,0.0712612175,0.049172825,False
B,5e-08,6.0,25.0,le10,0.11945570250000001,0.06965831,0.04979739250000001,False
B,5e-08,9.0,0.0,le10,0.32680678750000003,0.2496892025,0.07711758500000002,False
B,5e-08,9.0,5.0,le10,0.26507553500000003,0.2004849875,0.06459054750000004,False
B,5e-08,9.0,10.0,le10,0.2410807425,0.1698426925,0.07123805,False
B,5e-08,9.0,15.0,le10,0.2338194975,0.1543122425,0.079507255,False
B,5e-08,9.0,20.0,le10,0.231187365,0.14932361,0.08186375500000001,False
B,5e-08,9.0,25.0,le10,0.2307687275,0.147726025,0.08304270249999998,False
B,5e-08,12.0,0.0,10to30,0.447991395,0.38029465,0.067696745,False
B,5e-08,12.0,5.0,10to30,0.38064959750000005,0.3239227725,0.056726825000000036,False
B,5e-08,12.0,10.0,10to30,0.34991467750000005,0.2960499649999999,0.053864712500000134,False
B,5e-08,12.0,15.0,10to30,0.3454336175,0.2846653349999999,0.060768282500000104,False
B,5e-08,12.0,20.0,10to30,0.3433696475,0.2825731525,0.060796495000000006,False
B,5e-08,12.0,25.0,10to30,0.34269162750000004,0.2812914725,0.06140015500000007,False
B,5e-08,15.0,0.0,10to30,0.54438137,0.49235038,0.05203099,False
B,5e-08,15.0,5.0,10to30,0.485874915,0.430630505,0.05524441000000002,False
B,5e-08,15.0,10.0,10to30,0.4712018775,0.417733265,0.05346861249999996,False
B,5e-08,15.0,15.0,10to30,0.469113445,0.4114267175,0.057686727500000035,False
B,5e-08,15.0,20.0,10to30,0.4680851925,0.4092636424999999,0.05882155000000011,False
B,5e-08,15.0,25.0,10to30,0.4681767775,0.4093135625,0.05886321499999997,False
B,5e-08,18.0,0.0,10to30,0.74656999,0.7311230599999999,0.015446930000000081,False
B,5e-08,18.0,5.0,10to30,0.6857299675,0.66694283,0.01878713750000005,False
B,5e-08,18.0,10.0,10to30,0.66086775,0.6422724275,0.018595322499999956,False
B,5e-08,18.0,15.0,10to30,0.654879435,0.6312569075,0.023622527500000046,False
B,5e-08,18.0,20.0,10to30,0.6525692825,0.630993115,0.02157616750000002,False
B,5e-08,18.0,25.0,10to30,0.6517131225,0.629612655,0.022100467500000054,False
B,5e-08,21.0,0.0,10to30,0.765295425,0.7680483174999999,-0.0027528924999998816,True
B,5e-08,21.0,5.0,10to30,0.7084287025,0.7222550375,-0.013826334999999967,True
B,5e-08,21.0,10.0,10to30,0.68915471,0.6910257399999999,-0.0018710299999999958,True
B,5e-08,21.0,15.0,10to30,0.6844545925000001,0.6810870025,0.003367590000000087,False
B,5e-08,21.0,20.0,10to30,0.682573905,0.6812136200000001,0.0013602849999999611,False
B,5e-08,21.0,25.0,10to30,0.681933635,0.680065205,0.001868430000000032,False
B,5e-08,24.0,0.0,10to30,0.7625471399999999,0.7367395999999999,0.025807539999999962,False
B,5e-08,24.0,5.0,10to30,0.7069841925,0.6824841675,0.024500025000000036,False
B,5e-08,24.0,10.0,10to30,0.6919864275,0.6642455899999999,0.027740837500000004,False
B,5e-08,24.0,15.0,10to30,0.6861240900000001,0.658371275,0.027752815000000042,False
B,5e-08,24.0,20.0,10to30,0.6839499325,0.6545933,0.02935663249999998,False
B,5e-08,24.0,25.0,10to30,0.6827660799999999,0.6556463425,0.027119737499999963,False
B,5e-08,27.0,0.0,10to30,0.8275641249999999,0.88157655,-0.05401242500000014,True
B,5e-08,27.0,5.0,10to30,0.77982817,0.816754985,-0.036926814999999946,True
B,5e-08,27.0,10.0,10to30,0.7618893625000001,0.8008147175,-0.03892535499999994,True
B,5e-08,27.0,15.0,10to30,0.7568424149999999,0.799248715,-0.04240630000000012,True
B,5e-08,27.0,20.0,10to30,0.7542526199999999,0.7971454175,-0.04289279750000008,True
B,5e-08,27.0,25.0,10to30,0.7535293024999999,0.79810307,-0.04457376750000008,True
B,5e-08,33.0,0.0,gt30,0.972581885,1.043447775,-0.07086588999999999,True
B,5e-08,33.0,5.0,gt30,0.9091854500000001,0.982987565,-0.07380211499999989,True
B,5e-08,33.0,10.0,gt30,0.8849244249999999,0.9631369925,-0.07821256750000005,True
B,5e-08,33.0,15.0,gt30,0.8762663999999999,0.962107815,-0.08584141500000009,True
B,5e-08,33.0,20.0,gt30,0.8738898499999999,0.95927044,-0.08538059000000009,True
B,5e-08,33.0,25.0,gt30,0.87274016,0.96207977,-0.08933961000000001,True
B,5e-08,36.0,0.0,gt30,1.02313505,1.11638395,-0.09324889999999986,True
B,5e-08,36.0,5.0,gt30,0.976959175,1.0465870075,-0.06962783250000015,True
B,5e-08,36.0,10.0,gt30,0.9529503500000001,1.0306699325,-0.07771958249999988,True
B,5e-08,36.0,15.0,gt30,0.945065525,1.026820525,-0.08175500000000002,True
B,5e-08,36.0,20.0,gt30,0.9418244600000001,1.026714175,-0.08488971499999987,True
B,5e-08,36.0,25.0,gt30,0.9398746,1.0258101175,-0.08593551750000006,True
B,5e-08,42.0,0.0,gt30,0.964162365,1.1132817,-0.14911933499999996,True
B,5e-08,42.0,5.0,gt30,0.946141525,1.05759304,-0.11145151499999995,True
B,5e-08,42.0,10.0,gt30,0.9352886,1.0419921125,-0.10670351249999999,True
B,5e-08,42.0,15.0,gt30,0.9296953,1.04252911,-0.11283381000000003,True
B,5e-08,42.0,20.0,gt30,0.9286392275,1.042476075,-0.1138368474999999,True
B,5e-08,42.0,25.0,gt30,0.9274471099999999,1.0425013,-0.11505419000000017,True
B,2e-07,3.0,0.0,le10,0.1999409325,0.0824014875,0.117539445,False
B,2e-07,3.0,5.0,le10,0.1565152575,0.0567650524999999,0.0997502050000001,False
B,2e-07,3.0,10.0,le10,0.13897039,0.0458331975,0.0931371925,False
B,2e-07,3.0,15.0,le10,0.13230584499999998,0.04081381,0.09149203499999997,False
B,2e-07,3.0,20.0,le10,0.1304707875,0.03875358,0.09171720749999998,False
B,2e-07,3.0,25.0,le10,0.12970236000000002,0.0379853025,0.09171705750000002,False
B,2e-07,6.0,0.0,le10,0.260417915,0.161211425,0.09920649000000001,False
B,2e-07,6.0,5.0,le10,0.2068740475,0.1170306375,0.08984340999999998,False
B,2e-07,6.0,10.0,le10,0.18530983499999998,0.0949668625,0.09034297249999998,False
B,2e-07,6.0,15.0,le10,0.17903901249999998,0.08459195,0.09444706249999998,False
B,2e-07,6.0,20.0,le10,0.176450115,0.079711115,0.09673899999999999,False
B,2e-07,6.0,25.0,le10,0.1758517825,0.0780261699999999,0.0978256125000001,False
B,2e-07,9.0,0.0,le10,0.338508195,0.239341865,0.09916633000000002,False
B,2e-07,9.0,5.0,le10,0.27768544,0.1876413325,0.0900441075,False
B,2e-07,9.0,10.0,le10,0.25709390249999997,0.160683535,0.09641036749999998,False
B,2e-07,9.0,15.0,le10,0.2511203825,0.1460889275,0.10503145500000002,False
B,2e-07,9.0,20.0,le10,0.24896764,0.1398364574999999,0.10913118250000009,False
B,2e-07,9.0,25.0,le10,0.248460935,0.137727315,0.11073362,False
B,2e-07,12.0,0.0,10to30,0.4615831375,0.3692406,0.09234253750000004,False
B,2e-07,12.0,5.0,10to30,0.4065928525,0.3093134724999999,0.09727938000000008,False
B,2e-07,12.0,10.0,10to30,0.38860605000000004,0.2800710925,0.10853495750000003,False
B,2e-07,12.0,15.0,10to30,0.38315526,0.267550485,0.11560477499999999,False
B,2e-07,12.0,20.0,10to30,0.3814578125,0.26153852,0.1199192925,False
B,2e-07,12.0,25.0,10to30,0.381107525,0.2598804799999999,0.12122704500000009,False
B,2e-07,15.0,0.0,10to30,0.5078554925,0.4054271375,0.10242835499999997,False
B,2e-07,15.0,5.0,10to30,0.46103684749999996,0.3562332775,0.10480356999999996,False
B,2e-07,15.0,10.0,10to30,0.4497067225,0.33325153,0.11645519249999997,False
B,2e-07,15.0,15.0,10to30,0.4469119575,0.3242916475,0.12262031000000001,False
B,2e-07,15.0,20.0,10to30,0.446201805,0.319860405,0.1263414,False
B,2e-07,15.0,25.0,10to30,0.4460989475,0.318485625,0.12761332250000001,False
B,2e-07,18.0,0.0,10to30,0.572367375,0.4864413125,0.08592606250000001,False
B,2e-07,18.0,5.0,10to30,0.52579697,0.428349395,0.09744757500000001,False
B,2e-07,18.0,10.0,10to30,0.511174785,0.40739303,0.10378175500000003,False
B,2e-07,18.0,15.0,10to30,0.5086462900000001,0.39696674,0.11167955000000007,False
B,2e-07,18.0,20.0,10to30,0.5079157249999999,0.3952122825,0.11270344249999992,False
B,2e-07,18.0,25.0,10to30,0.50747234,0.3936646975,0.11380764249999997,False
B,2e-07,21.0,0.0,10to30,0.675625565,0.65414632,0.02147924500000009,False
B,2e-07,21.0,5.0,10to30,0.6426821549999999,0.59678285,0.045899304999999946,False
B,2e-07,21.0,10.0,10to30,0.6348029625,0.5781311,0.0566718625,False
B,2e-07,21.0,15.0,10to30,0.6332876325,0.57269776,0.06058987250000003,False
B,2e-07,21.0,20.0,10to30,0.63297702,0.570512765,0.06246425499999997,False
B,2e-07,21.0,25.0,10to30,0.63298034,0.5707306050000001,0.06224973499999997,False
B,2e-07,24.0,0.0,10to30,0.701442345,0.68270933,0.01873301500000002,False
B,2e-07,24.0,5.0,10to30,0.66911385,0.63517145,0.03394240000000004,False
B,2e-07,24.0,10.0,10to30,0.6610321299999999,0.6212358099999999,0.039796319999999996,False
B,2e-07,24.0,15.0,10to30,0.66061028,0.61928323,0.04132705000000003,False
B,2e-07,24.0,20.0,10to30,0.6604421225,0.6183565325,0.042085590000000006,False
B,2e-07,24.0,25.0,10to30,0.660386965,0.6183715325,0.04201543250000006,False
B,2e-07,27.0,0.0,10to30,0.7268207449999999,0.7179068475,0.008913897499999934,False
B,2e-07,27.0,5.0,10to30,0.6970550375,0.66567164,0.031383397499999965,False
B,2e-07,27.0,10.0,10to30,0.6892062649999999,0.6497217225,0.039484542499999886,False
B,2e-07,27.0,15.0,10to30,0.68746317,0.646036505,0.04142666500000003,False
B,2e-07,27.0,20.0,10to30,0.6869329975,0.6437543525,0.043178645000000015,False
B,2e-07,27.0,25.0,10to30,0.6869815225,0.6442290025,0.04275251999999996,False
B,2e-07,33.0,0.0,gt30,0.8062179899999999,0.86087175,-0.05465376000000011,True
B,2e-07,33.0,5.0,gt30,0.7830653750000001,0.8147815325,-0.0317161574999999,True
B,2e-07,33.0,10.0,gt30,0.7773663025,0.8013178425,-0.023951539999999993,True
B,2e-07,33.0,15.0,gt30,0.7764662124999999,0.797178095,-0.02071188250000011,True
B,2e-07,33.0,20.0,gt30,0.7759702949999999,0.7950978375,-0.01912754250000004,True
B,2e-07,33.0,25.0,gt30,0.7761677899999999,0.7953112675,-0.019143477500000117,True
B,2e-07,36.0,0.0,gt30,0.8218868050000001,0.90766843,-0.08578162499999986,True
B,2e-07,36.0,5.0,gt30,0.8023275799999999,0.858877345,-0.056549765000000085,True
B,2e-07,36.0,10.0,gt30,0.7936537175,0.8431029225,-0.04944920499999994,True
B,2e-07,36.0,15.0,gt30,0.7910062425,0.8370360975,-0.04602985500000001,True
B,2e-07,36.0,20.0,gt30,0.79050679,0.8363084225,-0.04580163250000002,True
B,2e-07,36.0,25.0,gt30,0.7899044175000001,0.8363447125,-0.04644029499999991,True
B,2e-07,42.0,0.0,gt30,0.8659413,0.9756663,-0.10972499999999996,True
B,2e-07,42.0,5.0,gt30,0.84902961,0.92418144,-0.07515183000000003,True
B,2e-07,42.0,10.0,gt30,0.843557025,0.9092598575,-0.06570283250000009,True
B,2e-07,42.0,15.0,gt30,0.842157425,0.8994921874999999,-0.057334762499999914,True
B,2e-07,42.0,20.0,gt30,0.8419331025,0.899066425,-0.05713332250000003,True
