cm,ds,ms,snr,speed_band,nmse,published_nmse,diff,ours_favoured
B,5e-08,3.0,0.0,le10,0.10530795,0.067557735,0.037750215000000004,False
B,5e-08,3.0,5.0,le10,0.0664531875,0.03914986,0.027303327499999995,False
B,5e-08,3.0,10.0,le10,0.0513888875,0.0258650075,0.025523880000000002,False
B,5e-08,3.0,15.0,le10,0.044635709999999995,0.0200043625,0.024631347499999994,False
B,5e-08,3.0,20.0,le10,0.0418198225,0.017456305,0.0243635175,False
B,5e-08,3.0,25.0,le10,0.040965375,0.0167571275,0.0242082475,False
B,5e-08,6.0,0.0,le10,0.2137616625,0.1610342875,0.05272737499999999,False
B,5e-08,6.0,5.0,le10,0.1567672075,0.11292824,0.043838967500000006,False
B,5e-08,6.0,10.0,le10,0.132942275,0.091294265,0.04164801,False
B,5e-08,6.0,15.0,le10,0.11848331000000001,0.07673133,0.04175198000000001,False
B,5e-08,6.0,20.0,le10,0.1142797125,0.0712612175,0.043018495000000004,False
B,5e-08,6.0,25.0,le10,0.1123861025,0.06965831,0.0427277925,False
B,5e-08,9.0,0.0,le10,0.2994108175,0.2496892025,0.04972161499999997,False
B,5e-08,9.0,5.0,le10,0.24242383,0.2004849875,0.04193884250000002,False
B,5e-08,9.0,10.0,le10,0.22230914499999999,0.1698426925,0.05246645249999998,False
B,5e-08,9.0,15.0,le10,0.2134750875,0.1543122425,0.05916284499999999,False
B,5e-08,9.0,20.0,le10,0.21027967749999998,0.14932361,0.06095606749999999,False
B,5e-08,9.0,25.0,le10,0.20975668749999998,0.147726025,0.06203066249999997,False
B,5e-08,12.0,0.0,10to30,0.4039097625,0.38029465,0.02361511249999998,False
B,5e-08,12.0,5.0,10to30,0.3538351925,0.3239227725,0.029912419999999995,False
B,5e-08,12.0,10.0,10to30,0.33638077,0.2960499649999999,0.04033080500000008,False
B,5e-08,12.0,15.0,10to30,0.3286685025,0.2846653349999999,0.04400316750000011,False
B,5e-08,12.0,20.0,10to30,0.32519157249999997,0.2825731525,0.04261841999999999,False
B,5e-08,12.0,25.0,10to30,0.324180635,0.2812914725,0.04288916250000002,False
B,5e-08,15.0,0.0,10to30,0.4868719125,0.49235038,-0.005478467499999973,True
B,5e-08,15.0,5.0,10to30,0.45143431999999994,0.430630505,0.020803814999999948,False
B,5e-08,15.0,10.0,10to30,0.4368668025,0.417733265,0.019133537499999964,False
B,5e-08,15.0,15.0,10to30,0.43333983750000005,0.4114267175,0.021913120000000064,False
B,5e-08,15.0,20.0,10to30,0.43322111500000005,0.4092636424999999,0.023957472500000132,False
B,5e-08,15.0,25.0,10to30,0.4325446425,0.4093135625,0.023231080000000015,False
B,5e-08,18.0,0.0,10to30,0.6607787,0.7311230599999999,-0.07034435999999988,True
B,5e-08,18.0,5.0,10to30,0.61642339,0.66694283,-0.05051943999999997,True
B,5e-08,18.0,10.0,10to30,0.6051720775,0.6422724275,-0.037100350000000004,True
B,5e-08,18.0,15.0,10to30,0.5982233675,0.6312569075,-0.03303353999999992,True
B,5e-08,18.0,20.0,10to30,0.598046595,0.630993115,-0.03294651999999998,True
B,5e-08,18.0,25.0,10to30,0.5977155375000001,0.629612655,-0.031897117499999905,True
B,5e-08,21.0,0.0,10to30,0.6856286325,0.7680483174999999,-0.08241968499999996,True
B,5e-08,21.0,5.0,10to30,0.6550625875,0.7222550375,-0.06719244999999996,True
B,5e-08,21.0,10.0,10to30,0.6441608175,0.6910257399999999,-0.04686492249999996,True
B,5e-08,21.0,15.0,10to30,0.642034625,0.6810870025,-0.03905237750000001,True
B,5e-08,21.0,20.0,10to30,0.6418297425,0.6812136200000001,-0.03938387750000005,True
B,5e-08,21.0,25.0,10to30,0.64108641,0.680065205,-0.03897879500000001,True
B,5e-08,24.0,0.0,10to30,0.6744777449999999,0.7367395999999999,-0.06226185500000003,True
B,5e-08,24.0,5.0,10to30,0.6500283575,0.6824841675,-0.032455809999999974,True
B,5e-08,24.0,10.0,10to30,0.642724825,0.6642455899999999,-0.021520764999999886,True
B,5e-08,24.0,15.0,10to30,0.642269425,0.658371275,-0.016101850000000084,True
B,5e-08,24.0,20.0,10to30,0.641870515,0.6545933,-0.012722785000000014,True
B,5e-08,24.0,25.0,10to30,0.64256292,0.6556463425,-0.013083422499999942,True
B,5e-08,27.0,0.0,10to30,0.742486855,0.88157655,-0.139089695,True
B,5e-08,27.0,5.0,10to30,0.7158756224999999,0.816754985,-0.10087936250000007,True
