cm,ds,ms,snr,speed_band,nmse,published_nmse,diff,ours_favoured
B,5e-08,3.0,0.0,le10,0.1037962875,0.067557735,0.03623855250000001,False
B,5e-08,3.0,5.0,le10,0.0776904675,0.03914986,0.0385406075,False
B,5e-08,3.0,10.0,le10,0.06818097249999999,0.0258650075,0.042315965,False
B,5e-08,3.0,15.0,le10,0.064107655,0.0200043625,0.0441032925,False
B,5e-08,3.0,20.0,le10,0.06351572250000001,0.017456305,0.04605941750000001,False
B,5e-08,3.0,25.0,le10,0.06306643749999999,0.0167571275,0.04630930999999999,False
B,5e-08,6.0,0.0,le10,0.21803365,0.1610342875,0.056999362499999984,False
B,5e-08,6.0,5.0,le10,0.192418335,0.11292824,0.079490095,False
B,5e-08,6.0,10.0,le10,0.181880365,0.091294265,0.09058609999999999,False
B,5e-08,6.0,15.0,le10,0.178837475,0.07673133,0.102106145,False
B,5e-08,6.0,20.0,le10,0.17772323499999998,0.0712612175,0.10646201749999998,False
B,5e-08,6.0,25.0,le10,0.177268845,0.06965831,0.10761053500000001,False
B,5e-08,9.0,0.0,le10,0.323275005,0.2496892025,0.07358580249999999,False
B,5e-08,9.0,5.0,le10,0.3003774075,0.2004849875,0.09989242000000004,False
B,5e-08,9.0,10.0,le10,0.2903615225,0.1698426925,0.12051883000000002,False
B,5e-08,9.0,15.0,le10,0.287807975,0.1543122425,0.1334957325,False
B,5e-08,9.0,20.0,le10,0.2869258275,0.14932361,0.1376022175,False
B,5e-08,9.0,25.0,le10,0.28632922250000004,0.147726025,0.13860319750000002,False
B,5e-08,12.0,0.0,10to30,0.44674408750000005,0.38029465,0.06644943750000004,False
B,5e-08,12.0,5.0,10to30,0.421626605,0.3239227725,0.09770383249999998,False
B,5e-08,12.0,10.0,10to30,0.4139182925,0.2960499649999999,0.11786832750000009,False
B,5e-08,12.0,15.0,10to30,0.40916128,0.2846653349999999,0.12449594500000011,False
B,5e-08,12.0,20.0,10to30,0.408922805,0.2825731525,0.12634965250000002,False
B,5e-08,12.0,25.0,10to30,0.4087943175,0.2812914725,0.12750284500000003,False
B,5e-08,15.0,0.0,10to30,0.528003285,0.49235038,0.03565290500000007,False
B,5e-08,15.0,5.0,10to30,0.504275555,0.430630505,0.07364504999999999,False
B,5e-08,15.0,10.0,10to30,0.4982406025,0.417733265,0.0805073375,False
B,5e-08,15.0,15.0,10to30,0.496413635,0.4114267175,0.08498691750000004,False
B,5e-08,15.0,20.0,10to30,0.49575857,0.4092636424999999,0.0864949275000001,False
B,5e-08,15.0,25.0,10to30,0.49516317,0.4093135625,0.08584960749999998,False
B,5e-08,18.0,0.0,10to30,0.724614835,0.7311230599999999,-0.006508224999999923,True
B,5e-08,18.0,5.0,10to30,0.707841225,0.66694283,0.04089839500000003,False
B,5e-08,18.0,10.0,10to30,0.70333818,0.6422724275,0.061065752500000015,False
B,5e-08,18.0,15.0,10to30,0.70158637,0.6312569075,0.07032946250000005,False
B,5e-08,18.0,20.0,10to30,0.7001463800000001,0.630993115,0.06915326500000007,False
B,5e-08,18.0,25.0,10to30,0.6999799,0.629612655,0.07036724500000002,False
B,5e-08,21.0,0.0,10to30,0.7370401400000001,0.7680483174999999,-0.031008177499999845,True
B,5e-08,21.0,5.0,10to30,0.7219935375000001,0.7222550375,-0.0002614999999999146,True
B,5e-08,21.0,10.0,10to30,0.71980794,0.6910257399999999,0.02878220000000009,False
B,5e-08,21.0,15.0,10to30,0.717407775,0.6810870025,0.03632077249999999,False
B,5e-08,21.0,20.0,10to30,0.7164569000000001,0.6812136200000001,0.03524327999999999,False
B,5e-08,21.0,25.0,10to30,0.7162294475,0.680065205,0.03616424249999994,False
B,5e-08,24.0,0.0,10to30,0.7237084,0.7367395999999999,-0.01303119999999991,True
B,5e-08,24.0,5.0,10to30,0.70557793,0.6824841675,0.02309376250000006,False
B,5e-08,24.0,10.0,10to30,0.6999034824999999,0.6642455899999999,0.035657892499999955,False
B,5e-08,24.0,15.0,10to30,0.6981737225,0.658371275,0.03980244749999995,False
B,5e-08,24.0,20.0,10to30,0.6977813399999999,0.6545933,0.04318803999999987,False
B,5e-08,24.0,25.0,10to30,0.69773995,0.6556463425,0.04209360750000002,False
B,5e-08,27.0,0.0,10to30,0.795443175,0.88157655,-0.08613337500000007,True
B,5e-08,27.0,5.0,10to30,0.7847740649999999,0.816754985,-0.03198092000000008,True
B,5e-08,27.0,10.0,10to30,0.77845802,0.8008147175,-0.022356697500000022,True
B,5e-08,27.0,15.0,10to30,0.7769189750000001,0.799248715,-0.022329739999999987,True
B,5e-08,27.0,20.0,10to30,0.777311765,0.7971454175,-0.01983365250000002,True
B,5e-08,27.0,25.0,10to30,0.77694641,0.79810307,-0.02115666000000005,True
B,5e-08,33.0,0.0,gt30,0.8788660849999999,1.043447775,-0.1645816900000001,True
B,5e-08,33.0,5.0,gt30,0.865014835,0.982987565,-0.11797272999999997,True
B,5e-08,33.0,10.0,gt30,0.8641634149999999,0.9631369925,-0.09897357750000002,True
B,5e-08,33.0,15.0,gt30,0.86291808,0.962107815,-0.09918973499999995,True
B,5e-08,33.0,20.0,gt30,0.8625744275,0.95927044,-0.09669601249999993,True
B,5e-08,33.0,25.0,gt30,0.8620810525,0.96207977,-0.0999987175,True
B,5e-08,36.0,0.0,gt30,0.9605874875,1.11638395,-0.1557964624999999,True
B,5e-08,36.0,5.0,gt30,0.95072869,1.0465870075,-0.09585831750000007,True
B,5e-08,36.0,10.0,gt30,0.9494133725,1.0306699325,-0.08125655999999992,True
B,5e-08,36.0,15.0,gt30,0.9496803325,1.026820525,-0.07714019250000004,True
B,5e-08,36.0,20.0,gt30,0.9484186625,1.026714175,-0.0782955125,True
B,5e-08,36.0,25.0,gt30,0.9486430299999999,1.0258101175,-0.07716708750000012,True
B,5e-08,42.0,0.0,gt30,0.9502429749999999,1.1132817,-0.16303872500000005,True
B,5e-08,42.0,5.0,gt30,0.9480365,1.05759304,-0.10955654000000004,True
B,5e-08,42.0,10.0,gt30,0.9461852625,1.0419921125,-0.09580685,True
B,5e-08,42.0,15.0,gt30,0.946041885,1.04252911,-0.09648722500000007,True
B,5e-08,42.0,20.0,gt30,0.9445781900000001,1.042476075,-0.09789788499999985,True
B,5e-08,42.0,25.0,gt30,0.9450397425000001,1.0425013,-0.09746155749999996,True
B,2e-07,3.0,0.0,le10,0.2327900225,0.0824014875,0.150388535,False
B,2e-07,3.0,5.0,le10,0.21311658749999995,0.0567650524999999,0.15635153500000004,False
B,2e-07,3.0,10.0,le10,0.2066252575,0.0458331975,0.16079206,False
B,2e-07,3.0,15.0,le10,0.2048806325,0.04081381,0.1640668225,False
B,2e-07,3.0,20.0,le10,0.2040308525,0.03875358,0.1652772725,False
B,2e-07,3.0,25.0,le10,0.20382156499999998,0.0379853025,0.1658362625,False
B,2e-07,6.0,0.0,le10,0.30810848,0.161211425,0.14689705500000003,False
B,2e-07,6.0,5.0,le10,0.28506277,0.1170306375,0.16803213250000001,False
B,2e-07,6.0,10.0,le10,0.2787359575,0.0949668625,0.18376909500000002,False
B,2e-07,6.0,15.0,le10,0.2761899625,0.08459195,0.1915980125,False
B,2e-07,6.0,20.0,le10,0.27505716999999996,0.079711115,0.19534605499999996,False
B,2e-07,6.0,25.0,le10,0.274912995,0.0780261699999999,0.1968868250000001,False
B,2e-07,9.0,0.0,le10,0.3985211225,0.239341865,0.1591792575,False
B,2e-07,9.0,5.0,le10,0.37995096,0.1876413325,0.1923096275,False
B,2e-07,9.0,10.0,le10,0.37111978,0.160683535,0.21043624500000002,False
B,2e-07,9.0,15.0,le10,0.369182825,0.1460889275,0.2230938975,False
B,2e-07,9.0,20.0,le10,0.3678925675,0.1398364574999999,0.2280561100000001,False
B,2e-07,9.0,25.0,le10,0.3678406825,0.137727315,0.23011336750000003,False
B,2e-07,12.0,0.0,10to30,0.502042605,0.3692406,0.132802005,False
B,2e-07,12.0,5.0,10to30,0.4866450725,0.3093134724999999,0.1773316000000001,False
B,2e-07,12.0,10.0,10to30,0.47683039,0.2800710925,0.19675929749999999,False
B,2e-07,12.0,15.0,10to30,0.474775115,0.267550485,0.20722463000000002,False
B,2e-07,12.0,20.0,10to30,0.4736473075,0.26153852,0.2121087875,False
B,2e-07,12.0,25.0,10to30,0.47344326999999997,0.2598804799999999,0.21356279000000006,False
B,2e-07,15.0,0.0,10to30,0.562706645,0.4054271375,0.15727950750000003,False
B,2e-07,15.0,5.0,10to30,0.5405317375,0.3562332775,0.18429846000000005,False
B,2e-07,15.0,10.0,10to30,0.53380033,0.33325153,0.20054880000000003,False
B,2e-07,15.0,15.0,10to30,0.531197385,0.3242916475,0.20690573750000002,False
B,2e-07,15.0,20.0,10to30,0.530818035,0.319860405,0.21095763,False
B,2e-07,15.0,25.0,10to30,0.530585165,0.318485625,0.21209953999999998,False
B,2e-07,18.0,0.0,10to30,0.6245438400000001,0.4864413125,0.13810252750000007,False
B,2e-07,18.0,5.0,10to30,0.6078205624999999,0.428349395,0.17947116749999992,False
B,2e-07,18.0,10.0,10to30,0.599324575,0.40739303,0.19193154500000004,False
B,2e-07,18.0,15.0,10to30,0.598623795,0.39696674,0.20165705499999997,False
B,2e-07,18.0,20.0,10to30,0.597693275,0.3952122825,0.2024809925,False
B,2e-07,18.0,25.0,10to30,0.597526785,0.3936646975,0.2038620875,False
B,2e-07,21.0,0.0,10to30,0.7313528,0.65414632,0.07720648000000008,False
B,2e-07,21.0,5.0,10to30,0.7176464,0.59678285,0.12086355000000004,False
B,2e-07,21.0,10.0,10to30,0.7120461225,0.5781311,0.13391502249999998,False
B,2e-07,21.0,15.0,10to30,0.711301845,0.57269776,0.1386040850000001,False
B,2e-07,21.0,20.0,10to30,0.71077515,0.570512765,0.140262385,False
B,2e-07,21.0,25.0,10to30,0.7104792475,0.5707306050000001,0.13974864249999996,False
B,2e-07,24.0,0.0,10to30,0.751607255,0.68270933,0.06889792500000003,False
B,2e-07,24.0,5.0,10to30,0.73750942,0.63517145,0.10233797,False
B,2e-07,24.0,10.0,10to30,0.7331338325000001,0.6212358099999999,0.11189802250000014,False
B,2e-07,24.0,15.0,10to30,0.7309394075,0.61928323,0.11165617750000001,False
B,2e-07,24.0,20.0,10to30,0.7308390874999999,0.6183565325,0.11248255499999993,False
B,2e-07,24.0,25.0,10to30,0.7304077950000001,0.6183715325,0.1120362625000001,False
B,2e-07,27.0,0.0,10to30,0.7760462124999999,0.7179068475,0.05813936499999994,False
B,2e-07,27.0,5.0,10to30,0.7614169775,0.66567164,0.09574533750000003,False
B,2e-07,27.0,10.0,10to30,0.7577252724999999,0.6497217225,0.10800354999999984,False
B,2e-07,27.0,15.0,10to30,0.7570224175,0.646036505,0.1109859125,False
B,2e-07,27.0,20.0,10to30,0.7560160625,0.6437543525,0.11226170999999996,False
B,2e-07,27.0,25.0,10to30,0.75612421,0.6442290025,0.11189520749999993,False
B,2e-07,33.0,0.0,gt30,0.8459021675,0.86087175,-0.014969582500000023,True
B,2e-07,33.0,5.0,gt30,0.8350168374999999,0.8147815325,0.020235304999999926,False
B,2e-07,33.0,10.0,gt30,0.8305568875,0.8013178425,0.029239044999999964,False
B,2e-07,33.0,15.0,gt30,0.829322925,0.797178095,0.03214483000000001,False
B,2e-07,33.0,20.0,gt30,0.8293169899999999,0.7950978375,0.03421915249999996,False
B,2e-07,33.0,25.0,gt30,0.829215025,0.7953112675,0.033903757499999965,False
B,2e-07,36.0,0.0,gt30,0.8428913550000001,0.90766843,-0.06477707499999985,True
B,2e-07,36.0,5.0,gt30,0.8313577675,0.858877345,-0.027519577500000003,True
B,2e-07,36.0,10.0,gt30,0.83017319,0.8431029225,-0.012929732499999957,True
B,2e-07,36.0,15.0,gt30,0.8287276825000001,0.8370360975,-0.008308414999999902,True
B,2e-07,36.0,20.0,gt30,0.8291706624999999,0.8363084225,-0.007137760000000104,True
B,2e-07,36.0,25.0,gt30,0.8288018075,0.8363447125,-0.007542904999999989,True
B,2e-07,42.0,0.0,gt30,0.8985743875000001,0.9756663,-0.07709191249999992,True
B,2e-07,42.0,5.0,gt30,0.8885552999999999,0.92418144,-0.035626140000000084,True
B,2e-07,42.0,10.0,gt30,0.88538182,0.9092598575,-0.02387803750000006,True
B,2e-07,42.0,15.0,gt30,0.8846926749999999,0.8994921874999999,-0.0147995125,True
B,2e-07,42.0,20.0,gt30,0.8846235225000001,0.899066425,-0.01444290249999991,True
B,2e-07,42.0,25.0,gt30,0.884514935,0.8984315125,-0.013916577499999971,True
B,4e-07,3.0,0.0,le10,0.24843909,0.1859627,0.06247638999999999,False
B,4e-07,3.0,5.0,le10,0.2318598925,0.16317898,0.0686809125,False
B,4e-07,3.0,10.0,le10,0.22540664500000002,0.1534117875,0.07199485750000001,False
B,4e-07,3.0,15.0,le10,0.22348136,0.1493123075,0.0741690525,False
B,4e-07,3.0,20.0,le10,0.22293229,0.14751103,0.07542126000000002,False
B,4e-07,3.0,25.0,le10,0.2226963475,0.14688515,0.07581119750000001,False
B,4e-07,6.0,0.0,le10,0.32313474999999997,0.246184755,0.07694999499999997,False
B,4e-07,6.0,5.0,le10,0.3018566075,0.2092541975,0.09260241,False
B,4e-07,6.0,10.0,le10,0.2954290725,0.1915816825,0.10384739000000001,False
B,4e-07,6.0,15.0,le10,0.292976785,0.181894095,0.11108269000000001,False
B,4e-07,6.0,20.0,le10,0.29226465749999997,0.17803775,0.11422690749999997,False
B,4e-07,6.0,25.0,le10,0.292097955,0.17671021,0.11538774500000001,False
B,4e-07,9.0,0.0,le10,0.40015776999999997,0.311924595,0.08823317499999994,False
B,4e-07,9.0,5.0,le10,0.37998119249999995,0.2661637225,0.11381746999999998,False
B,4e-07,9.0,10.0,le10,0.3723763925,0.24149418,0.13088221249999998,False
B,4e-07,9.0,15.0,le10,0.36978177,0.2315282625,0.1382535075,False
B,4e-07,9.0,20.0,le10,0.3690323675,0.2261085325,0.14292383500000003,False
B,4e-07,9.0,25.0,le10,0.3686767725,0.2247193225,0.14395745000000001,False
B,4e-07,12.0,0.0,10to30,0.495395005,0.3891364075,0.1062585975,False
B,4e-07,12.0,5.0,10to30,0.4724062875,0.34135806,0.1310482275,False
B,4e-07,12.0,10.0,10to30,0.46595267,0.3171327225,0.1488199475,False
B,4e-07,12.0,15.0,10to30,0.4640884775,0.3085346399999999,0.15555383750000007,False
B,4e-07,12.0,20.0,10to30,0.463156725,0.3034616125,0.1596951125,False
B,4e-07,12.0,25.0,10to30,0.46314425000000004,0.3020400199999999,0.16110423000000013,False
B,4e-07,15.0,0.0,10to30,0.61221832,0.477658985,0.134559335,False
B,4e-07,15.0,5.0,10to30,0.5940352525,0.43073959,0.1632956625,False
B,4e-07,15.0,10.0,10to30,0.5869908925,0.4090300325,0.17796086000000005,False
B,4e-07,15.0,15.0,10to30,0.5853929025,0.4012298825,0.18416301999999996,False
B,4e-07,15.0,20.0,10to30,0.5848892450000001,0.3984577425,0.18643150250000007,False
B,4e-07,15.0,25.0,10to30,0.5846903800000001,0.3979888325,0.18670154750000006,False
B,4e-07,18.0,0.0,10to30,0.657884625,0.5490402325,0.1088443925,False
B,4e-07,18.0,5.0,10to30,0.640753155,0.501528025,0.13922512999999992,False
B,4e-07,18.0,10.0,10to30,0.636101365,0.484260255,0.15184111000000006,False
B,4e-07,18.0,15.0,10to30,0.6335995249999999,0.4761566175,0.15744290749999995,False
B,4e-07,18.0,20.0,10to30,0.633118225,0.473166375,0.15995185000000006,False
B,4e-07,18.0,25.0,10to30,0.632843595,0.473362585,0.15948100999999998,False
B,4e-07,21.0,0.0,10to30,0.6921535325,0.5725949,0.11955863249999998,False
B,4e-07,21.0,5.0,10to30,0.677766325,0.5245890775,0.15317724750000006,False
B,4e-07,21.0,10.0,10to30,0.6732637025,0.5064795525,0.16678415000000002,False
B,4e-07,21.0,15.0,10to30,0.67201632,0.49930238,0.17271394,False
B,4e-07,21.0,20.0,10to30,0.6713314324999999,0.4983177075,0.17301372499999995,False
B,4e-07,21.0,25.0,10to30,0.6711743450000001,0.49828235,0.17289199500000008,False
B,4e-07,24.0,0.0,10to30,0.7518435375,0.6600818175000001,0.09176171999999994,False
B,4e-07,24.0,5.0,10to30,0.7400671675,0.624193625,0.11587354250000004,False
B,4e-07,24.0,10.0,10to30,0.7351108325,0.607832915,0.12727791749999995,False
B,4e-07,24.0,15.0,10to30,0.734014935,0.6025007800000001,0.13151415499999997,False
B,4e-07,24.0,20.0,10to30,0.7332970624999999,0.600757395,0.1325396674999999,False
B,4e-07,24.0,25.0,10to30,0.7329531475,0.6007943625,0.132158785,False
B,4e-07,27.0,0.0,10to30,0.802176115,0.7441911575,0.05798495749999999,False
B,4e-07,27.0,5.0,10to30,0.7898390925000001,0.70104795,0.08879114250000009,False
