label,source,params,macs_per_sample,nmse,nmse_1ms,nmse_10ms,nmse_30ms,ratio_vs_published,status
CSI-4CAST-published,"results/reference/official_per_setting.csv (MODEL, TDD, regular, vanilla)",21913750,804901376,0.1246,0.0078,0.0687,0.2973,1.0,ok
capacity-XS-77k,results/run_csv/CAPLONG_CAPACITY_XS_full162.csv,77110,4978464,0.1367,0.0131,0.0818,0.3153,1.097,ok
ours-reported-seed44,results/run_csv/HEADNOAUXS44_full162.csv,173190,6514464,0.1378,0.0123,0.0804,0.3208,1.106,ok
capacity-S-96k,results/run_csv/CAPLONG_CAPACITY_S_full162.csv,96326,5285664,0.1383,0.0127,0.0835,0.3188,1.11,ok
ours-reported-seed42,results/run_csv/CAPNOAUX600_full162.csv,173190,6514464,0.1385,0.0128,0.0821,0.3207,1.112,ok
capacity-TINY-58k,results/run_csv/CAPLONG_CAPACITY_TINY_full162.csv,57894,4671264,0.1393,0.0127,0.0841,0.3212,1.118,ok
capacity-M-250k,results/run_csv/CAPLONG_CAPACITY_M_full162.csv,250054,7743264,0.1408,0.0125,0.0835,0.3265,1.13,ok
capacity-L-327k,results/run_csv/CAPLONG_CAPACITY_L_full162.csv,326918,8972064,0.1423,0.0127,0.0838,0.3303,1.142,ok
ours-reported-seed43,results/run_csv/CAPNOAUXS43_full162.csv,173190,6514464,0.1442,0.0142,0.0894,0.3291,1.157,ok
mambacsp-plateau,results/run_csv/MAMBA64CONV_C_full162.csv,881604,2856963584,0.1468,0.013,0.0871,0.3403,1.178,ok
ours-with-loss-seed42,results/run_csv/LONGFULL_full162.csv,173190,6514464,0.1478,0.0116,0.0819,0.35,1.186,ok
ours-with-loss-240ep-seed43,results/run_csv/S49KS43_full162.csv,173190,6514464,0.1489,0.0119,0.0847,0.3501,1.195,ok
ours-with-loss-seed43,results/run_csv/SEED43_full162.csv,173190,6514464,0.1528,0.0123,0.0865,0.3595,1.226,ok
ours-with-loss-240ep-seed42,results/run_csv/S49K_full162.csv,173190,6514464,0.156,0.0129,0.0906,0.3644,1.252,ok
published-architecture-91k,results/run_csv/P3CONV_full162.csv,91410,15484416,0.1807,0.0327,0.1249,0.3847,1.45,ok
transformer-262k,results/run_csv/TRANSFORMER_full162.csv,262432,768000,0.1891,0.0208,0.1364,0.4102,1.518,ok
capacity-matched-transformer,results/run_csv/TRANSMATCHED_full162.csv,149560,480000,0.2106,0.027,0.1493,0.4555,1.69,ok
tsmixer-L-2023,results/run_csv/NBTSML_full162.csv,124337,73766400,0.2177,0.0464,0.1618,0.4449,1.747,ok
patchtst-617k,results/run_csv/PATCHTST_full162.csv,616560,921600,0.219,0.0277,0.1506,0.4786,1.757,ok
mamba-lite-L,results/run_csv/NBMAML_full162.csv,180898,532224,0.3011,0.0499,0.2736,0.5798,2.416,ok
mlp-baseline,results/run_csv/MLP_full162.csv,580800,578304,0.3143,0.0595,0.2215,0.6618,2.522,ok
gru-baseline,results/run_csv/GRU_full162.csv,283872,153600,0.3239,0.0485,0.231,0.6923,2.599,ok
itransformer-L-iclr24,results/run_csv/NBITFL_full162.csv,302900,414720,0.3877,0.3131,0.3255,0.5245,3.111,ok
timemixer-L-iclr24,results/run_csv/NBTIML_full162.csv,157841,93772800,0.5814,0.1996,0.6227,0.9219,4.666,ok
dlinear-baseline,results/run_csv/DLINEAR_full162.csv,68,38400,0.7941,0.3073,0.9388,1.1361,6.373,ok
tcn-baseline,results/run_csv/TCN_full162.csv,295968,2866176,0.8353,0.4852,0.8659,1.1547,6.703,ok
