family,tag,x,nmse,pct_vs_stock,mean_diff,ci_low,ci_high,worse_settings,n,sign_p
stock,stock,,0.1385,0.0,0.0,0.0,0.0,0,162,
offset,off000,0.0,0.1923,38.8,0.0537,0.0503,0.0572,162,162,0.0
offset,off015,0.15,0.1994,44.0,0.0609,0.0562,0.0656,162,162,0.0
offset,off025,0.25,0.2257,62.9,0.0872,0.0815,0.0927,162,162,0.0
offset,off050,0.5,0.3626,161.8,0.2241,0.2154,0.2326,162,162,0.0
quant,quant0500,0.5,0.1552,12.0,0.0166,0.0157,0.0176,162,162,0.0
quant,quant0250,0.25,0.1462,5.5,0.0077,0.0071,0.0082,162,162,0.0
quant,quant0125,0.125,0.1398,0.9,0.0013,0.0012,0.0014,159,162,0.0
topk,top8,8.0,0.1623,17.1,0.0237,0.0224,0.0252,162,162,0.0
topk,top4,4.0,0.1884,36.0,0.0498,0.0456,0.0541,162,162,0.0
