model,cm,ds,ms,snr,rate_perfect,rate_model,loss_pct,n
DD_KOOP8,A,3e-08,1,0.0,5.030401171875,5.014175244140625,0.32255733051857344,120000.0
DD_KOOP8,A,3e-08,1,5.0,6.6605603515625,6.6526216796875,0.11918924919189373,120000.0
DD_KOOP8,A,3e-08,1,10.0,8.311641861979167,8.307867513020833,0.04541038968004121,120000.0
DD_KOOP8,A,3e-08,1,15.0,9.969466666666667,9.967553092447917,0.019194348932916747,120000.0
DD_KOOP8,A,3e-08,1,20.0,11.629436295572917,11.628228125,0.010388900564145069,120000.0
DD_KOOP8,A,3e-08,1,25.0,13.290085872395833,13.289132649739583,0.007172434139268839,120000.0
DD_KOOP8,A,3e-08,30,0.0,4.757628645833333,4.362305143229166,8.309255135967486,120000.0
DD_KOOP8,A,3e-08,30,5.0,6.371682145182292,6.0195783203125,5.526073285623981,120000.0
DD_KOOP8,A,3e-08,30,10.0,8.017270279947917,7.6845619140625,4.149895840702263,120000.0
DD_KOOP8,A,3e-08,30,15.0,9.673313313802083,9.349810123697917,3.3442852475643976,120000.0
DD_KOOP8,A,3e-08,30,20.0,11.332715006510417,11.011648470052084,2.833094596254186,120000.0
DD_KOOP8,A,3e-08,30,25.0,12.993184244791667,12.672088541666668,2.471262602573432,120000.0
DD_KOOP8,A,1e-07,1,0.0,4.94514013671875,4.915686116536459,0.5956154804105377,120000.0
DD_KOOP8,A,1e-07,1,5.0,6.570997721354167,6.556167838541667,0.2256869267250943,120000.0
DD_KOOP8,A,1e-07,1,10.0,8.220643196614583,8.212418782552083,0.10004587069156637,120000.0
DD_KOOP8,A,1e-07,1,15.0,9.878005826822916,9.872670084635416,0.054016390363030325,120000.0
DD_KOOP8,A,1e-07,1,20.0,11.537828841145833,11.533729134114584,0.03553274266497505,120000.0
DD_KOOP8,A,1e-07,1,25.0,13.198431575520834,13.19485234375,0.027118614438038743,120000.0
DD_KOOP8,A,1e-07,30,0.0,4.759296647135416,4.300728841145833,9.635201164978682,120000.0
DD_KOOP8,A,1e-07,30,5.0,6.371744921875,5.982364762369792,6.111044372922357,120000.0
DD_KOOP8,A,1e-07,30,10.0,8.016623600260417,7.665125390625,4.384616606223082,120000.0
DD_KOOP8,A,1e-07,30,15.0,9.672412662760417,9.338024772135416,3.4571301110055166,120000.0
DD_KOOP8,A,1e-07,30,20.0,11.331730859375,11.008498046875,2.8524575504948806,120000.0
DD_KOOP8,A,1e-07,30,25.0,12.992173307291667,12.6719787109375,2.4645191284083494,120000.0
DD_KOOP8,A,3e-07,1,0.0,4.933924934895833,4.9036296875,0.6140192199027231,120000.0
DD_KOOP8,A,3e-07,1,5.0,6.558561067708333,6.542739583333334,0.24123407881186062,120000.0
DD_KOOP8,A,3e-07,1,10.0,8.20777783203125,8.198258203125,0.11598302367661682,120000.0
DD_KOOP8,A,3e-07,1,15.0,9.864999869791667,9.85822822265625,0.06864315483828573,120000.0
DD_KOOP8,A,3e-07,1,20.0,11.524778125,11.519227994791667,0.04815823912733682,120000.0
DD_KOOP8,A,3e-07,1,25.0,13.185366959635417,13.180382356770833,0.03780405111092405,120000.0
DD_KOOP8,A,3e-07,30,0.0,4.70180341796875,4.333730550130208,7.828333835308561,120000.0
DD_KOOP8,A,3e-07,30,5.0,6.309497412109375,6.009191048177083,4.759592473339245,120000.0
DD_KOOP8,A,3e-07,30,10.0,7.952716341145833,7.689862076822917,3.305213628241192,120000.0
DD_KOOP8,A,3e-07,30,15.0,9.607964973958333,9.363760774739584,2.5416849445293246,120000.0
DD_KOOP8,A,3e-07,30,20.0,11.267110221354166,11.032973697916667,2.078053013040985,120000.0
DD_KOOP8,A,3e-07,30,25.0,12.927498372395833,12.696955045572917,1.783356069223701,120000.0
DD_KOOP8,C,3e-08,1,0.0,5.0377496744791666,5.016890673828125,0.4140539327849424,120000.0
DD_KOOP8,C,3e-08,1,5.0,6.668219791666667,6.657933870442708,0.1542528822582213,120000.0
DD_KOOP8,C,3e-08,1,10.0,8.319403776041666,8.31394052734375,0.06566875277347874,120000.0
DD_KOOP8,C,3e-08,1,15.0,9.977260807291668,9.973913932291667,0.03354502868717324,120000.0
DD_KOOP8,C,3e-08,1,20.0,11.6372416015625,11.634704166666667,0.02180443598844474,120000.0
DD_KOOP8,C,3e-08,1,25.0,13.297894140625,13.29565703125,0.016823034920742063,120000.0
DD_KOOP8,C,3e-08,30,0.0,4.908590592447917,3.8854987467447915,20.842884050611133,120000.0
DD_KOOP8,C,3e-08,30,5.0,6.532682161458333,5.490877620442708,15.947577354399503,120000.0
DD_KOOP8,C,3e-08,30,10.0,8.181739973958333,7.132836783854167,12.820050422559518,120000.0
DD_KOOP8,C,3e-08,30,15.0,9.8389134765625,8.791228841145834,10.648377363134443,120000.0
DD_KOOP8,C,3e-08,30,20.0,11.498676204427083,10.450257747395833,9.117731801401629,120000.0
DD_KOOP8,C,3e-08,30,25.0,13.159260123697917,12.111042578125,7.965626758036572,120000.0
DD_KOOP8,C,1e-07,1,0.0,5.019055859375,4.98358076171875,0.7068081856468453,120000.0
DD_KOOP8,C,1e-07,1,5.0,6.64866865234375,6.628692236328125,0.3004573856840242,120000.0
DD_KOOP8,C,1e-07,1,10.0,8.299568684895833,8.2863880859375,0.15881064979100437,120000.0
DD_KOOP8,C,1e-07,1,15.0,9.957334798177083,9.947105598958334,0.10273029305614553,120000.0
DD_KOOP8,C,1e-07,1,20.0,11.6172859375,11.608131901041666,0.07879668717445469,120000.0
DD_KOOP8,C,1e-07,1,25.0,13.277929654947917,13.269130533854167,0.0662687732380853,120000.0
DD_KOOP8,C,1e-07,30,0.0,4.932628938802083,4.06487333984375,17.592152374005103,120000.0
DD_KOOP8,C,1e-07,30,5.0,6.557829768880208,5.7347079915364585,12.551740535410438,120000.0
DD_KOOP8,C,1e-07,30,10.0,8.207255794270834,7.4050150390625,9.774774605762227,120000.0
DD_KOOP8,C,1e-07,30,15.0,9.86454755859375,9.076582389322917,7.987849058362315,120000.0
DD_KOOP8,C,1e-07,30,20.0,11.524347395833333,10.74139853515625,6.79386722548958,120000.0
DD_KOOP8,C,1e-07,30,25.0,13.184943880208333,12.404082552083333,5.922371268467336,120000.0
DD_KOOP8,C,3e-07,1,0.0,5.012392545572917,4.976604052734375,0.7140002007654223,120000.0
DD_KOOP8,C,3e-07,1,5.0,6.641710953776042,6.623024462890625,0.2813505588464762,120000.0
DD_KOOP8,C,3e-07,1,10.0,8.292513671875,8.281446484375,0.13345998496855968,120000.0
DD_KOOP8,C,3e-07,1,15.0,9.9502486328125,9.9429638671875,0.07321189543925044,120000.0
DD_KOOP8,C,3e-07,1,20.0,11.610190234375,11.604722819010417,0.04709152265563531,120000.0
DD_KOOP8,C,3e-07,1,25.0,13.270830729166667,13.266105598958333,0.03560538375302034,120000.0
DD_KOOP8,C,3e-07,30,0.0,4.923959505208333,4.099938834635417,16.73491972672208,120000.0
DD_KOOP8,C,3e-07,30,5.0,6.548779475911458,5.82642548828125,11.030360547141063,120000.0
DD_KOOP8,C,3e-07,30,10.0,8.198077213541668,7.524391927083333,8.2176011387833,120000.0
DD_KOOP8,C,3e-07,30,15.0,9.855327994791667,9.205501236979167,6.593659370402687,120000.0
DD_KOOP8,C,3e-07,30,20.0,11.515114908854168,10.872101009114584,5.584085828315613,120000.0
DD_KOOP8,C,3e-07,30,25.0,13.175706966145833,12.535199348958333,4.861277036847021,120000.0
DD_KOOP8,D,3e-08,1,0.0,5.026294010416667,5.0100105794270835,0.3239649522259707,120000.0
DD_KOOP8,D,3e-08,1,5.0,6.656254296875,6.648290983072917,0.11963656204994741,120000.0
DD_KOOP8,D,3e-08,1,10.0,8.3072701171875,8.30345126953125,0.04596994683426596,120000.0
DD_KOOP8,D,3e-08,1,15.0,9.965073470052083,9.963081705729167,0.01998745246487337,120000.0
DD_KOOP8,D,3e-08,1,20.0,11.6250365234375,11.623781998697917,0.010791576758090069,120000.0
DD_KOOP8,D,3e-08,1,25.0,13.285683658854166,13.284708821614583,0.007337501513774324,120000.0
DD_KOOP8,D,3e-08,30,0.0,4.998242171223958,4.886942333984375,2.226779604244914,120000.0
DD_KOOP8,D,3e-08,30,5.0,6.6267380533854165,6.548133544921875,1.1861719571574882,120000.0
DD_KOOP8,D,3e-08,30,10.0,8.27726396484375,8.210322395833334,0.8087402950387755,120000.0
