model,cm,ds,ms,snr,rate_perfect,rate_model,loss_pct,n
MODEL,A,3e-08,1,0.0,5.030401171875,5.020770833333334,0.19144275401949168,120000.0
MODEL,A,3e-08,1,5.0,6.6605603515625,6.656566764322917,0.05995872762637283,120000.0
MODEL,A,3e-08,1,10.0,8.311641861979167,8.309679817708334,0.023605977055005316,120000.0
MODEL,A,3e-08,1,15.0,9.969466666666667,9.968252083333333,0.012183032191637534,120000.0
MODEL,A,3e-08,1,20.0,11.629436295572917,11.628491796875,0.008121620635015566,120000.0
MODEL,A,3e-08,1,25.0,13.290085872395833,13.2892171875,0.006536337719512625,120000.0
MODEL,A,3e-08,30,0.0,4.757628645833333,4.417978824869792,7.139057001874284,120000.0
MODEL,A,3e-08,30,5.0,6.371682145182292,6.052061002604167,5.016275691338347,120000.0
MODEL,A,3e-08,30,10.0,8.017270279947917,7.702026497395833,3.932058812343447,120000.0
MODEL,A,3e-08,30,15.0,9.673313313802083,9.35459677734375,3.2948021646686727,120000.0
MODEL,A,3e-08,30,20.0,11.332715006510417,11.010178092447916,2.8460692241639416,120000.0
MODEL,A,3e-08,30,25.0,12.993184244791667,12.669855143229167,2.4884516025554455,120000.0
MODEL,A,1e-07,1,0.0,4.94514013671875,4.932827262369791,0.24898939177746085,120000.0
MODEL,A,1e-07,1,5.0,6.570997721354167,6.56566064453125,0.0812217116675086,120000.0
MODEL,A,1e-07,1,10.0,8.220643196614583,8.217819694010416,0.03434649256313895,120000.0
MODEL,A,1e-07,1,15.0,9.878005826822916,9.876115234375,0.019139414179957834,120000.0
MODEL,A,1e-07,1,20.0,11.537828841145833,11.536319205729166,0.013084224401766582,120000.0
MODEL,A,1e-07,1,25.0,13.198431575520834,13.197030924479167,0.010612253688270661,120000.0
MODEL,A,1e-07,30,0.0,4.759296647135416,4.39804697265625,7.59040045752559,120000.0
MODEL,A,1e-07,30,5.0,6.371744921875,6.067266731770833,4.778568411595618,120000.0
MODEL,A,1e-07,30,10.0,8.016623600260417,7.739499479166667,3.4568683140461727,120000.0
MODEL,A,1e-07,30,15.0,9.672412662760417,9.40171123046875,2.798696061985538,120000.0
MODEL,A,1e-07,30,20.0,11.331730859375,11.065009114583333,2.3537599692548468,120000.0
MODEL,A,1e-07,30,25.0,12.992173307291667,12.724086067708333,2.0634518432175932,120000.0
MODEL,A,3e-07,1,0.0,4.933924934895833,4.917914127604167,0.32450447671847416,120000.0
MODEL,A,3e-07,1,5.0,6.558561067708333,6.551333154296875,0.11020578045762479,120000.0
MODEL,A,3e-07,1,10.0,8.20777783203125,8.203715234375,0.04949692522615176,120000.0
MODEL,A,3e-07,1,15.0,9.864999869791667,9.862061197916667,0.029788868867592487,120000.0
MODEL,A,3e-07,1,20.0,11.524778125,11.5223455078125,0.02110771384156245,120000.0
MODEL,A,3e-07,1,25.0,13.185366959635417,13.183121321614584,0.0170312895174438,120000.0
MODEL,A,3e-07,30,0.0,4.70180341796875,4.403636051432292,6.341553230340523,120000.0
MODEL,A,3e-07,30,5.0,6.309497412109375,6.062652848307292,3.9122698319573295,120000.0
MODEL,A,3e-07,30,10.0,7.952716341145833,7.722050618489583,2.90046460556916,120000.0
MODEL,A,3e-07,30,15.0,9.607964973958333,9.386241080729167,2.3077092165732496,120000.0
MODEL,A,3e-07,30,20.0,11.267110221354166,11.048871875,1.9369504874510464,120000.0
MODEL,A,3e-07,30,25.0,12.927498372395833,12.710320442708333,1.6799687258227871,120000.0
MODEL,C,3e-08,1,0.0,5.0377496744791666,5.026879036458333,0.21578360822299267,120000.0
MODEL,C,3e-08,1,5.0,6.668219791666667,6.663276302083333,0.07413507259481332,120000.0
MODEL,C,3e-08,1,10.0,8.319403776041666,8.316676497395834,0.032782140634716427,120000.0
MODEL,C,3e-08,1,15.0,9.977260807291668,9.975351953125,0.019132046395672654,120000.0
MODEL,C,3e-08,1,20.0,11.6372416015625,11.6356423828125,0.013742249278259355,120000.0
MODEL,C,3e-08,1,25.0,13.297894140625,13.296370345052082,0.011458923922872764,120000.0
MODEL,C,3e-08,30,0.0,4.908590592447917,3.9271267252604165,19.994820278911135,120000.0
MODEL,C,3e-08,30,5.0,6.532682161458333,5.6160826171875,14.030983317673225,120000.0
MODEL,C,3e-08,30,10.0,8.181739973958333,7.256033528645833,11.314298037568188,120000.0
MODEL,C,3e-08,30,15.0,9.8389134765625,8.901112662760417,9.531548539745161,120000.0
MODEL,C,3e-08,30,20.0,11.498676204427083,10.55139990234375,8.238133548961263,120000.0
MODEL,C,3e-08,30,25.0,13.159260123697917,12.212034928385417,7.198164535152587,120000.0
MODEL,C,1e-07,1,0.0,5.019055859375,5.0033559895833335,0.3128052412953589,120000.0
MODEL,C,1e-07,1,5.0,6.64866865234375,6.6416765950520835,0.10516477293844465,120000.0
MODEL,C,1e-07,1,10.0,8.299568684895833,8.295557389322918,0.04833137389676329,120000.0
MODEL,C,1e-07,1,15.0,9.957334798177083,9.954407682291667,0.02939657995583691,120000.0
MODEL,C,1e-07,1,20.0,11.6172859375,11.614761100260417,0.0217334517990436,120000.0
MODEL,C,1e-07,1,25.0,13.277929654947917,13.275520638020833,0.018143016190676525,120000.0
MODEL,C,1e-07,30,0.0,4.932628938802083,4.319460270182292,12.430869546994607,120000.0
MODEL,C,1e-07,30,5.0,6.557829768880208,6.00104443359375,8.490390188666536,120000.0
MODEL,C,1e-07,30,10.0,8.207255794270834,7.664373274739583,6.614665524501085,120000.0
MODEL,C,1e-07,30,15.0,9.86454755859375,9.325501920572917,5.464474014839443,120000.0
MODEL,C,1e-07,30,20.0,11.524347395833333,10.986489388020834,4.667145039440268,120000.0
