comparison,cells,mean_diff,ci_low,ci_high,ci_excludes_zero,cells_favoured,sign_test_p,wilcoxon_p
regular-162 seed42,27,0.0139,0.0038,0.0251,True,7,0.01916,0.00297
regular-162 seed43,27,0.0196,0.0101,0.0302,True,5,0.00151,8e-05
regular-162 seed44,27,0.0132,0.0029,0.0245,True,6,0.00592,0.00388
unseen-cm 432 seed42,72,-0.0187,-0.0283,-0.0095,True,44,0.07637,0.00538
unseen-cm 432 seed43,72,-0.0105,-0.0194,-0.0022,True,35,0.90629,0.35741
unseen-cm 432 seed44,72,-0.0177,-0.0273,-0.0086,True,44,0.07637,0.00421
interpolation 108 (3 seeds),108,-0.0151,-0.0256,-0.0054,True,51,0.63063,0.40099
robustness-486 seed42 (per setting),486,0.015,0.0105,0.0194,True,177,0.0,0.0
robustness-486 seed43 (per setting),486,0.0112,0.0073,0.0153,True,176,0.0,0.0
robustness-486 seed44 (per setting),486,0.0154,0.0109,0.0199,True,177,0.0,0.0
