model,duplex,split,cm,ds,ms,noise_type,snr,h1,h2,h3,h4,nmse_mean,source
AR,TDD,generalization,A,3e-08,1.0,vanilla,0.0,0.29689616,0.3039045,0.3175244,0.35079375,0.31727970250000004,AR\TDD\generalization\slice_0\20260227_173848\result.csv
AR,TDD,generalization,A,3e-08,1.0,vanilla,5.0,0.14216708,0.19631252,0.26216504,0.30515927,0.22645097749999998,AR\TDD\generalization\slice_3\20260227_173848\result.csv
AR,TDD,generalization,A,3e-08,1.0,vanilla,10.0,0.09348615,0.16203295,0.24474421,0.29100034,0.1978159125,AR\TDD\generalization\slice_6\20260227_185328\result.csv
AR,TDD,generalization,A,3e-08,1.0,vanilla,15.0,0.0780793,0.15137891,0.2390654,0.28635466,0.1887195675,AR\TDD\generalization\slice_9\20260227_185737\result.csv
AR,TDD,generalization,A,3e-08,1.0,vanilla,20.0,0.07315481,0.14786461,0.23720893,0.28496882,0.18579929250000002,AR\TDD\generalization\slice_12\20260227_190549\result.csv
AR,TDD,generalization,A,3e-08,1.0,vanilla,25.0,0.07156928,0.14672406,0.23668666,0.2844417,0.184855425,AR\TDD\generalization\slice_15\20260227_190957\result.csv
AR,TDD,generalization,A,3e-08,3.0,vanilla,0.0,0.36814195,0.51708484,0.6921403,0.79784554,0.5938031575,AR\TDD\generalization\slice_0\20260227_173848\result.csv
AR,TDD,generalization,A,3e-08,3.0,vanilla,5.0,0.23876162,0.4290556,0.64710045,0.759577,0.5186236675,AR\TDD\generalization\slice_3\20260227_173848\result.csv
AR,TDD,generalization,A,3e-08,3.0,vanilla,10.0,0.19717789,0.3999913,0.63180536,0.74713916,0.4940284275,AR\TDD\generalization\slice_6\20260227_185328\result.csv
AR,TDD,generalization,A,3e-08,3.0,vanilla,15.0,0.18408209,0.39027774,0.62717277,0.74308676,0.48615484,AR\TDD\generalization\slice_9\20260227_185737\result.csv
AR,TDD,generalization,A,3e-08,3.0,vanilla,20.0,0.18002826,0.3874848,0.62571895,0.741769,0.48375025250000003,AR\TDD\generalization\slice_12\20260227_190549\result.csv
AR,TDD,generalization,A,3e-08,3.0,vanilla,25.0,0.17864986,0.3864592,0.6251637,0.74137026,0.48291075499999997,AR\TDD\generalization\slice_15\20260227_190957\result.csv
AR,TDD,generalization,A,3e-08,6.0,vanilla,0.0,0.48220557,0.77248895,1.0553331,1.1850196,0.873761805,AR\TDD\generalization\slice_0\20260227_173848\result.csv
AR,TDD,generalization,A,3e-08,6.0,vanilla,5.0,0.35465592,0.6789793,1.0065196,1.1442804,0.796108805,AR\TDD\generalization\slice_3\20260227_173848\result.csv
AR,TDD,generalization,A,3e-08,6.0,vanilla,10.0,0.31443217,0.6506305,0.9918605,1.1321187,0.7722604675,AR\TDD\generalization\slice_6\20260227_185328\result.csv
AR,TDD,generalization,A,3e-08,6.0,vanilla,15.0,0.30193165,0.6415171,0.9871173,1.1278999,0.7646164875,AR\TDD\generalization\slice_9\20260227_185737\result.csv
AR,TDD,generalization,A,3e-08,6.0,vanilla,20.0,0.29768437,0.6384217,0.98546624,1.1264396,0.7620029775,AR\TDD\generalization\slice_12\20260227_190549\result.csv
AR,TDD,generalization,A,3e-08,6.0,vanilla,25.0,0.2964717,0.6376075,0.9850671,1.1262083,0.76133865,AR\TDD\generalization\slice_15\20260227_190957\result.csv
AR,TDD,generalization,A,3e-08,9.0,vanilla,0.0,0.70249593,1.0821463,1.2591649,1.3488727,1.0981699575000001,AR\TDD\generalization\slice_0\20260227_173848\result.csv
