model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
MODEL,A,3e-08,1,False,False,TDD,vanilla,0,[0.01221914 0.01500014 0.01913976 0.02621231],[0.0098533  0.01081325 0.014561   0.02110987],[1.8842076 2.5115263 3.2661996 4.7503524],[0.6323858 1.3567457 2.192023  4.1751513],[8.323215  8.320076  8.3163595 8.310728 ],[0.19001563 0.19455099 0.19938843 0.2044595 ],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
MODEL,A,3e-08,10,False,False,TDD,vanilla,0,[0.05293635 0.10621276 0.18258086 0.28042883],[0.06157132 0.114009   0.22313952 0.3813284 ],[ 5.0629544 11.24483   21.01129   36.088882 ],[ 1.7072299  6.0944037 15.588883  30.623587 ],[8.176701 8.144617 8.09458  8.020088],[0.562388   0.63984346 0.7294416  0.84364265],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
MODEL,A,3e-08,30,False,False,TDD,vanilla,0,[0.20701474 0.3983593  0.72273934 0.92811114],[0.380354   0.5174334  0.99131805 1.042005  ],[ 13.69468  37.8712   79.5261  128.86343],[  7.155133  31.338352  73.777084 119.19357 ],[7.836817  7.6758013 7.459613  7.1660595],[1.0222626 1.3096521 1.3554673 1.5499281],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
MODEL,A,1e-07,1,False,False,TDD,vanilla,0,[0.01530393 0.01820137 0.02123628 0.02626137],[0.0096474  0.01147688 0.01364289 0.01759092],[2.5273292 3.0585952 3.5170188 4.4642925],[1.0148041 1.3080517 1.5630412 2.254773 ],[8.252077 8.250677 8.249521 8.246753],[0.51509786 0.51585346 0.5168351  0.5182644 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
MODEL,A,1e-07,10,False,False,TDD,vanilla,0,[0.05001489 0.10167649 0.14120384 0.20967518],[0.06545906 0.17932336 0.18754867 0.25462806],[ 5.669071 10.887164 18.447931 29.93348 ],[ 1.9360473  4.595667   9.617936  18.406744 ],[8.114067 8.08886  8.053727 8.004376],[0.63674873 0.69423115 0.756396   0.8199952 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
MODEL,A,1e-07,30,False,False,TDD,vanilla,0,[0.11924031 0.48105538 0.60403717 0.9042088 ],[0.12213396 2.0888052  1.1081518  0.99435353],[ 14.302166  38.54347   76.78071  127.50417 ],[  7.0436487  31.65301    67.72012   108.760216 ],[7.989075 7.815924 7.5203   7.071977],[1.0259265 1.1913829 1.4250532 1.7347043],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
MODEL,A,3e-07,1,False,False,TDD,vanilla,0,[0.01209294 0.01356498 0.01558    0.0188216 ],[0.00390783 0.00433887 0.00536845 0.00673089],[2.65214  3.03216  3.515489 4.342081],[0.7236899 0.8736918 1.0986706 1.4924717],[8.200451 8.199689 8.198736 8.196163],[0.35449988 0.35551006 0.35692766 0.35833788],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
MODEL,A,3e-07,10,False,False,TDD,vanilla,0,[0.03733415 0.0666194  0.10647182 0.1608914 ],[0.02277702 0.04625578 0.08103806 0.13685623],[ 6.5022144 11.77171   19.298456  29.948841 ],[ 1.9414434  4.481903   9.678875  17.933788 ],[8.135706 8.111006 8.075723 8.02854 ],[0.63216907 0.6910598  0.75324446 0.8170912 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
MODEL,A,3e-07,30,False,False,TDD,vanilla,0,[0.09167378 0.21799165 0.41096893 0.6213001 ],[0.07730992 0.23242824 0.4084187  0.58437246],[ 14.136136  34.299694  69.539566 116.141914],[ 6.0452676 22.665993  53.805443  90.71331  ],[7.953304 7.850139 7.643212 7.335441],[0.9681294 1.0785111 1.278347  1.5275692],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
MODEL,C,3e-08,1,False,False,TDD,vanilla,0,[0.0202249  0.02466197 0.0305572  0.03975129],[0.01523069 0.01956122 0.02360877 0.03156887],[1.9091196 2.3610547 2.9619927 3.9764712],[0.36457366 0.5136408  0.7915553  1.3256521 ],[8.311621 8.310465 8.308732 8.305517],[0.13184078 0.13448825 0.13756819 0.14107808],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
MODEL,C,3e-08,10,False,False,TDD,vanilla,0,[0.07814877 0.19065128 0.34982514 0.4940715 ],[0.07265191 0.21208988 0.42892748 0.570444  ],[ 7.2791   19.254902 40.063667 68.93157 ],[ 4.030126 15.437627 37.743355 64.70922 ],[8.17711   8.095465  7.9673214 7.781856 ],[0.4479277  0.52057934 0.66069525 0.87421596],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
MODEL,C,3e-08,30,False,False,TDD,vanilla,0,[0.37312067 0.75504166 0.9992945  1.1204042 ],[0.39445072 0.5850346  0.9276749  0.9563496 ],[ 52.24496  124.272835 170.25983  199.55511 ],[ 47.932247  93.76301  103.26631  103.72039 ],[7.9656277 7.3378215 6.8493323 6.3711443],[0.7551318 1.2025237 1.4217169 1.7333827],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
