model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.04595175 0.05541945 0.0637048  0.06750503],[0.04845941 0.05637524 0.06079626 0.06322445],[ 6.396726  8.283606  9.879752 10.780217],[1.9294014 3.0562387 3.9422238 4.519333 ],[8.308071 8.300935 8.293634 8.287602],[0.1899663  0.19455527 0.19968084 0.20504403],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.12443808 0.23211716 0.3735301  0.47532377],[0.14001149 0.31985128 0.716032   0.70088834],[13.378827 24.722868 37.207077 54.9367  ],[ 3.3370502  8.0205145 14.961374  27.30053  ],[8.138805  8.083025  8.021487  7.9508424],[0.57705826 0.65951717 0.7413287  0.82108784],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.68418604 1.0396144  1.4664084  1.6600047 ],[1.9644579 2.1185932 1.9231027 2.1871078],[ 28.312717  69.15806  129.26044  187.24109 ],[ 10.340022  54.316975 100.03782  151.70265 ],[7.748858  7.533034  7.2379856 6.8662944],[1.0945288 1.3395821 1.3935571 1.6978457],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.05425867 0.06247327 0.07121422 0.07570008],[0.03282627 0.03670015 0.04157897 0.04127391],[10.949375 12.72301  14.423884 15.779294],[4.452825  5.8316445 7.052615  7.885772 ],[8.222517 8.216227 8.209694 8.204126],[0.5135224  0.51486826 0.51613545 0.5167943 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.13056248 0.24098364 0.40705508 0.44051084],[0.11983729 0.28170413 0.9585335  0.5631978 ],[20.743885 33.643486 47.74929  62.457397],[ 7.327748 12.445875 20.315527 29.734966],[8.04447   7.9772935 7.905554  7.8380785],[0.65423894 0.7254877  0.79816186 0.8668762 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.40310693 0.7874808  1.2203133  1.290846  ],[1.0440514 1.7603791 2.0838795 1.1367368],[ 41.096523  80.74737  136.62585  184.46024 ],[ 17.303825  57.85771   97.0018   133.2507  ],[7.818443  7.5797253 7.1182556 6.735934 ],[1.162757  1.2997004 1.5962327 1.6586846],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.03084534 0.03735488 0.04363492 0.04802547],[0.01047486 0.01421508 0.01742094 0.02004104],[ 7.2271404  8.834229  10.335479  11.357549 ],[2.750911  3.786204  4.5876746 5.206384 ],[8.180353 8.175253 8.169884 8.16611 ],[0.357405   0.35831362 0.36035267 0.36241886],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.07677427 0.13754499 0.20075217 0.27616554],[0.04715503 0.09241273 0.12614186 0.20166455],[14.130018 25.629665 38.981003 54.746204],[ 4.5490775  9.226942  16.085445  29.24178  ],[8.095327  8.039854  7.9750886 7.9091315],[0.6468876 0.7170817 0.7859307 0.8543205],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.1727425  0.4354059  0.77617335 0.92583436],[0.13707751 0.5344343  0.8853983  1.0005144 ],[ 26.864328  73.06351  132.77824  170.56522 ],[ 10.194713  61.037678 103.06497  126.633934],[7.8764753 7.641669  7.3002357 7.0408463],[1.0120903 1.2052583 1.4695879 1.6420875],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.06699614 0.08229492 0.09941506 0.10635038],[0.05512093 0.07185718 0.09232361 0.09435815],[ 6.956848  8.86388  10.634385 11.759865],[1.4200505 2.250963  2.9273064 3.4410858],[8.293916 8.288072 8.281714 8.276455],[0.13248104 0.1355919  0.1395571  0.14342129],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,0,[0.15872711 0.3522483  0.6446715  0.8467642 ],[0.13281815 0.3200897  0.62526023 0.8295001 ],[16.004536 35.063187 61.06662  96.82082 ],[ 4.8759413 16.996029  35.71374   63.789715 ],[8.136865  8.016559  7.8530517 7.609214 ],[0.46376288 0.55198306 0.70883286 1.0134894 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,vanilla,0,[0.529076  1.0742927 1.3498335 1.4557331],[0.5108205 0.8542633 1.1656408 0.9625677],[ 67.158005 161.10158  223.02031  257.54282 ],[ 48.43809 122.77513 140.4424  143.74477],[7.916067  7.232522  6.5276365 6.0007434],[0.7745384 1.1014047 1.4892473 1.6670761],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,vanilla,0,[0.04649533 0.05439767 0.06358419 0.07038737],[0.01852026 0.02117448 0.0265491  0.02901172],[ 9.3849125 11.194283  12.953932  14.281222 ],[2.1325731 3.3629034 4.3699775 4.9701552],[8.242967 8.235081 8.226462 8.218712],[0.20049709 0.20256859 0.20511241 0.20839617],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
DDK8,C,1e-07,10,False,False,TDD,vanilla,0,[0.11025509 0.21568389 0.36046803 0.51858217],[0.04308793 0.08998647 0.1877129  0.2922036 ],[ 22.106834  44.350975  72.82738  107.71575 ],[ 6.0001073 19.610334  41.623455  68.70289  ],[8.116584  7.9999304 7.825381  7.5831337],[0.42692208 0.4843571  0.57148296 0.7138331 ],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
DDK8,C,1e-07,30,False,False,TDD,vanilla,0,[0.36669824 0.70694643 0.9300589  1.0041971 ],[0.23736851 0.39456093 0.4582613  0.3823493 ],[ 66.94954 153.56041 207.79988 250.00522],[ 37.75108 106.74517 130.92284 151.10251],[7.829549  7.1454577 6.614005  6.124223 ],[0.73078513 1.0518736  1.1881545  1.351596  ],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
DDK8,C,3e-07,1,False,False,TDD,vanilla,0,[0.03844252 0.04575761 0.0529863  0.05832916],[0.00794509 0.01216716 0.01578249 0.01800751],[10.332296 12.381151 14.356143 15.751878],[2.235962  3.4557254 4.459312  5.148799 ],[8.267989 8.260199 8.251687 8.245035],[0.12725487 0.12864877 0.12991707 0.1316401 ],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
