model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.02584215 0.02994499 0.03551552 0.04004588],[0.02067769 0.02268179 0.02927841 0.03216906],[4.4256444 5.129284  5.9862413 6.839168 ],[1.1034139 1.3781126 1.8645784 2.4195693],[8.318206  8.314166  8.3100605 8.306025 ],[0.19014551 0.19476262 0.19975126 0.20503357],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.07944755 0.13384783 0.19605039 0.26307905],[0.08898765 0.15196058 0.25301373 0.33907458],[ 9.655563 16.502302 26.140703 38.1127  ],[ 2.4145212  5.957929  11.978977  21.752611 ],[8.165324 8.132278 8.088837 8.040555],[0.56494874 0.6368954  0.71303844 0.7930313 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.2482257  0.42044103 0.59728605 0.78525573],[0.41305828 0.43269694 0.5201213  0.58850956],[ 20.926949  48.52143   94.41588  146.8766  ],[  9.902662  35.949368  81.114174 128.42464 ],[7.816537  7.6393456 7.426858  7.1012464],[1.0270168 1.2299771 1.3219732 1.5507114],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.03889354 0.04202647 0.04654466 0.05094691],[0.01389759 0.01486364 0.01758221 0.02058657],[ 8.471796  8.998212  9.727481 10.449637],[3.0640612 3.2152686 3.486594  3.821078 ],[8.235689 8.234488 8.231806 8.230132],[0.51474416 0.5158136  0.5167597  0.5178031 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.09061971 0.13658248 0.19305298 0.2379703 ],[0.06422109 0.12119178 0.21947809 0.1840011 ],[15.587694 22.220013 32.06367  44.32654 ],[ 5.0390606  8.5357485 14.969011  24.924206 ],[8.080873 8.050015 8.006751 7.956148],[0.64355177 0.7008636  0.7632114  0.8286805 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.19849811 0.39991528 0.56812483 0.7584108 ],[0.17740582 0.62196773 0.48662198 0.48703644],[ 31.48147   60.367954 103.42633  152.56618 ],[ 14.584441  42.915173  81.43509  125.64816 ],[7.9140716 7.7221313 7.386253  6.9238906],[1.0661064 1.2428572 1.4903947 1.6452645],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.0268919  0.02844802 0.03149262 0.03375468],[0.00848731 0.00923305 0.01032797 0.01179263],[6.1139784 6.408669  7.088494  7.564395 ],[1.8534281 1.9023172 2.0613167 2.2815769],[8.18527  8.185175 8.183223 8.182997],[0.35659555 0.35784352 0.35930663 0.36075565],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.06757187 0.10229728 0.1454756  0.19929856],[0.03896449 0.06518126 0.08856366 0.12887591],[12.560773 19.292805 29.01156  41.52562 ],[ 3.9139833  7.233662  12.76545   21.180382 ],[8.103326 8.074365 8.034272 7.985378],[0.64588666 0.7081266  0.77487093 0.8429339 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.1428444  0.26237288 0.4334985  0.5941434 ],[0.10372359 0.19302215 0.33632135 0.41133666],[ 24.158882  50.29831   92.32862  144.08173 ],[  8.36244   33.788853  72.74396  119.57631 ],[7.894064  7.7808614 7.5657067 7.2537413],[1.0124524 1.1319443 1.3542019 1.5690159],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04051245 0.04820651 0.05601616 0.06535607],[0.02386691 0.03110172 0.03749976 0.04916323],[4.9732227 5.7989154 6.771168  7.811914 ],[0.8502991 1.0178418 1.3721646 1.7628177],[8.30352  8.300981 8.297968 8.294879],[0.13232087 0.1350764  0.13821411 0.14194359],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
