model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.0308643  0.03509529 0.03826126 0.04361504],[0.02934855 0.02989274 0.03024664 0.03471297],[4.659893  5.3930593 6.135283  7.082046 ],[1.1381767 1.4466106 1.8374252 2.5032313],[8.315111 8.310508 8.30609  8.301012],[0.19000211 0.19463219 0.19960144 0.20477676],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.08768985 0.14618197 0.21371144 0.30643195],[0.09474336 0.16376536 0.28497115 0.531619  ],[10.017128 17.604937 27.688349 40.59183 ],[ 2.248891  5.990657 12.426647 22.94395 ],[8.156066 8.118104 8.069422 8.011615],[0.571049   0.64787483 0.726898   0.8148699 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.38243783 0.48106393 0.68092185 0.84697753],[1.2403164  0.6962323  0.66399854 0.6706937 ],[ 21.502842  49.59272   96.6044   150.79836 ],[  8.568636  38.9207    81.43989  131.75592 ],[7.7892785 7.641588  7.369469  7.0519996],[1.0635911 1.2139884 1.4039044 1.6026444],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.04423077 0.04925774 0.05327205 0.05822199],[0.01764452 0.02001614 0.022097   0.02582536],[10.029224 10.879153 11.692854 12.581778],[3.9598289 4.3056316 4.776773  5.3421574],[8.229616  8.225905  8.2227335 8.219492 ],[0.513253   0.51435244 0.51504445 0.5160326 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.09516345 0.14864334 0.21652807 0.24639349],[0.06289019 0.13731794 0.34028155 0.17840122],[16.922419 24.389536 33.914467 45.93664 ],[ 5.527234  8.601452 14.700164 25.093245],[8.067416  8.02757   7.977776  7.9189234],[0.6443166 0.7038652 0.7688814 0.8371796],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.22892115 0.47523236 0.63533974 0.8164142 ],[0.2733176 1.0513985 0.6343945 0.5402185],[ 32.06466   62.216522 106.96165  161.41931 ],[ 13.544878  41.33281   82.659744 135.36224 ],[7.893097  7.6995916 7.327539  6.8910007],[1.0806179 1.2225584 1.4870746 1.5320884],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02531763 0.02863807 0.03179896 0.03529904],[0.00833877 0.00962508 0.01100747 0.01264917],[5.998225  6.724518  7.4572515 8.260697 ],[2.1700077 2.3727975 2.639305  3.034956 ],[8.186475 8.183753 8.181514 8.178856],[0.35627967 0.3577517  0.359173   0.36064446],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.06160791 0.09487567 0.13544919 0.18602957],[0.03527748 0.05629058 0.08298063 0.12765665],[11.561567 17.919731 26.428127 37.225628],[ 3.6532352  5.904272  10.477599  18.534836 ],[8.108706  8.075624  8.033268  7.9826293],[0.6423116  0.70607233 0.77234805 0.84045494],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.1268621  0.24567167 0.4246904  0.60807043],[0.09484048 0.19145405 0.33447012 0.47239387],[ 20.78382  44.78035  84.74382 139.24321],[  7.1924987  29.736712   64.047485  115.8217   ],[7.904827  7.782857  7.548129  7.1874256],[1.0065994 1.1379627 1.3692962 1.6462218],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04607968 0.05408689 0.06178727 0.07069688],[0.02992126 0.03385786 0.04248872 0.04808975],[5.33342   6.2306933 7.130463  8.330777 ],[0.9022989 1.1578972 1.4703605 2.0454662],[8.301287 8.297873 8.294589 8.29034 ],[0.13226984 0.13498847 0.13818483 0.14165528],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,0,[0.11619087 0.22136374 0.35484052 0.4650996 ],[0.07862037 0.17118333 0.2595348  0.29164654],[12.806401 26.588028 49.65811  78.77222 ],[ 4.0729647 14.181055  33.07472   56.266487 ],[8.153045  8.063791  7.9276347 7.7410645],[0.4590871 0.5341144 0.6633299 0.8419643],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,vanilla,0,[0.3614547  0.74738044 0.87950784 0.9901606 ],[0.295094   0.55565834 0.4529644  0.5193489 ],[ 57.00197 139.12146 192.45685 220.7037 ],[ 43.871532 103.02607  121.64446  123.15955 ],[7.964139  7.3106885 6.715036  6.242002 ],[0.749407  1.1732181 1.3872966 1.6103319],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
