model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,B,5e-08,3,True,False,TDD,vanilla,0,[0.04714241 0.06718746 0.09454631 0.12888221],[0.018214   0.02985401 0.05401256 0.07486171],[ 8.756868 12.385778 17.449549 24.636667],[ 2.4053667  4.241675   7.426379  12.440199 ],[8.270493  8.254853  8.2330885 8.202034 ],[0.28912723 0.30260724 0.3168669  0.33259076],[8.310017 8.311025 8.311322 8.311014],[0.28663874 0.29886186 0.31123886 0.32331756]
DDK8,B,5e-08,6,True,False,TDD,vanilla,0,[0.07146579 0.12614565 0.19951464 0.29511967],[0.0311104  0.07397266 0.12355173 0.18734291],[11.527671 21.05678  36.635933 58.826187],[ 3.679974 10.078839 22.454702 40.03225 ],[8.1431465 8.094211  8.00969   7.8745446],[0.4034944  0.42822492 0.4760318  0.5766635 ],[8.200852 8.201836 8.201868 8.201473],[0.3916575  0.39977843 0.40850884 0.41598985]
DDK8,B,5e-08,9,True,False,TDD,vanilla,0,[0.08943468 0.19037296 0.3158762  0.45217186],[0.05198397 0.14070483 0.2143518  0.29033023],[ 15.408126  35.09587   66.43805  102.7949  ],[ 6.485284 25.094883 52.574543 77.323265],[8.176689  8.085348  7.9045568 7.6160994],[0.45961162 0.5082092  0.63621646 0.9178805 ],[8.251503 8.261046 8.269067 8.268887],[0.43901262 0.44828582 0.46303815 0.4847499 ]
DDK8,B,5e-08,12,True,False,TDD,vanilla,0,[0.12816018 0.29308057 0.45795634 0.589551  ],[0.07389359 0.20302558 0.27566    0.28606167],[ 20.021103  53.699417  96.638885 138.23976 ],[ 9.567177 38.001854 67.53068  89.26527 ],[8.064556  7.87227   7.5106163 7.0877686],[0.45522612 0.5932766  0.9619425  1.310555  ],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534223 0.456648   0.4968093  0.52424604]
DDK8,B,5e-08,15,True,False,TDD,vanilla,0,[0.16459136 0.37971577 0.5677761  0.69903594],[0.1330318  0.27084652 0.3330978  0.3183958 ],[ 28.95114  83.81256 140.75075 190.03214],[ 17.042856  63.3537    98.964874 121.32058 ],[8.161432  7.7965617 7.234321  6.740267 ],[0.58490586 0.91853315 1.3870102  1.5182316 ],[8.301512 8.301376 8.295099 8.286509],[0.5188588  0.5244441  0.5284308  0.55424315]
DDK8,B,5e-08,18,True,False,TDD,vanilla,0,[0.23746161 0.60048985 0.7938003  0.89918226],[0.14272259 0.3548807  0.38803768 0.3144372 ],[ 44.46066 131.8603  196.29765 244.8441 ],[ 31.142946  98.7216   129.08792  145.23697 ],[7.9040575 7.1356215 6.405028  5.938528 ],[0.61807674 1.1971048  1.6470901  1.651552  ],[8.143847 8.165355 8.19014  8.226463],[0.5570067  0.5532856  0.5880717  0.64253396]
DDK8,B,5e-08,21,True,False,TDD,vanilla,0,[0.264688  0.6486386 0.8884967 0.921783 ],[0.18402913 0.38272294 0.49278533 0.27593115],[ 50.310616 143.71992  202.07388  241.3708  ],[ 37.048336 105.485016 120.13385  123.052315],[7.830954  6.9817224 6.227358  5.8150816],[0.6898859 1.3103691 1.5923651 1.4832473],[8.123272 8.136701 8.135805 8.15118 ],[0.5637358  0.5555875  0.58310056 0.62311333]
DDK8,B,5e-08,24,True,False,TDD,vanilla,0,[0.30738038 0.6440053  0.8114499  0.90692294],[0.27509123 0.40319    0.34531265 0.23967533],[ 60.566864 157.16158  213.20168  258.2241  ],[ 51.67727 121.56318 130.62244 141.29395],[7.9421163 7.062894  6.381382  5.969001 ],[0.70184183 1.3484751  1.576816   1.4720255 ],[8.270131 8.258452 8.255482 8.262504],[0.5118271  0.51376563 0.5234589  0.57083213]
DDK8,B,5e-08,27,True,False,TDD,vanilla,0,[0.3632577  0.7104084  0.86536574 0.9708247 ],[0.26164517 0.3870695  0.38572204 0.2932421 ],[ 67.5359  163.14413 214.80652 252.36926],[ 56.99251 118.96794 126.51598 127.99346],[7.7728157 6.7448645 6.1196413 5.6337557],[0.72439265 1.4709587  1.6197587  1.5130891 ],[8.164666 8.149782 8.144778 8.15001 ],[0.5907433 0.6523984 0.6741813 0.6614096]
DDK8,B,5e-08,33,True,False,TDD,vanilla,0,[0.55787396 0.96194655 1.1600338  1.255966  ],[0.48946345 0.5724149  0.6512565  0.6572508 ],[108.61359 209.76108 269.63174 291.08667],[ 94.640526 135.24855  138.00511  138.34789 ],[7.546774  6.5850997 5.7889667 5.4118347],[1.1404759 1.5226113 1.6575779 1.5890579],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
DDK8,B,5e-08,36,True,False,TDD,vanilla,0,[0.7921041 1.1739702 1.3003955 1.3320644],[0.7265269  0.74090916 0.5925876  0.51812994],[149.86607 257.98627 300.7318  330.49048],[104.27912 151.06427 143.18205 153.53519],[7.251545  5.984901  5.4058547 4.9824467],[1.2510679 1.7867725 1.5914745 1.5997758],[8.266978 8.223077 8.203336 8.203679],[0.6390856  0.63954604 0.61311203 0.6540083 ]
DDK8,B,5e-08,42,True,False,TDD,vanilla,0,[0.8651012 1.1513302 1.2073787 1.2135111],[0.62463504 0.571392   0.4443973  0.36805195],[169.00026 270.77518 310.42093 341.26312],[143.75687 180.45076 156.3605  170.82272],[6.934597  6.008102  5.3168144 5.0516357],[1.3843037 1.5870892 1.6159624 1.4334129],[8.1687   8.187472 8.230034 8.259732],[0.55716753 0.59658355 0.6257369  0.63968194]
DDK8,B,2e-07,3,True,False,TDD,vanilla,0,[0.05296827 0.07106885 0.09306353 0.12317184],[0.01481129 0.02514629 0.03971012 0.05947989],[12.331108 16.314568 21.294518 28.601704],[ 3.7772233  5.9376373  9.416264  14.691421 ],[8.074339 8.055912 8.032768 7.997644],[0.4057007  0.41374263 0.4235255  0.4367641 ],[8.140387 8.142667 8.144901 8.14683 ],[0.4020315  0.40776485 0.41400665 0.42071086]
DDK8,B,2e-07,6,True,False,TDD,vanilla,0,[0.07416274 0.12107128 0.19109875 0.27754664],[0.02325503 0.05070068 0.09929281 0.15372334],[17.67431  28.642265 45.722977 68.48113 ],[ 5.080922 10.801359 22.49411  37.833454],[8.110062  8.056024  7.9658594 7.832625 ],[0.38518885 0.4076295  0.45357856 0.5376001 ],[8.200198 8.203735 8.207059 8.210534],[0.37354088 0.3805655  0.3896417  0.39972013]
DDK8,B,2e-07,9,True,False,TDD,vanilla,0,[0.09244557 0.17622982 0.30302095 0.43847385],[0.02671313 0.07129972 0.1443615  0.2078626 ],[ 22.486238  44.24628   79.272606 120.06809 ],[ 8.110434 24.011114 51.372772 79.25278 ],[8.103844  7.993365  7.7883763 7.4869604],[0.4127218  0.4179954  0.46143046 0.6080469 ],[8.216351 8.215251 8.214624 8.214304],[0.40763524 0.41026485 0.41645423 0.42503932]
DDK8,B,2e-07,12,True,False,TDD,vanilla,0,[0.13141681 0.28431705 0.45906875 0.6014354 ],[0.06297314 0.18248458 0.27469137 0.29335588],[ 28.191395  62.21968  106.72261  147.83774 ],[10.967769 36.15847  64.09795  80.59308 ],[7.9582586 7.7042346 7.2416778 6.796086 ],[0.49185306 0.6867846  1.1348068  1.3808935 ],[8.120098  8.1142645 8.112743  8.113856 ],[0.43833014 0.4555621  0.47286943 0.49387443]
DDK8,B,2e-07,15,True,False,TDD,vanilla,0,[0.15457141 0.35471898 0.53265834 0.66307473],[0.07826892 0.22153652 0.28086513 0.25155702],[ 35.402756  87.65186  142.40343  189.2258  ],[ 16.949162  59.1248    90.509636 103.24272 ],[8.0085745 7.647614  7.133944  6.7482257],[0.5397029  0.81765634 1.2149175  1.3202987 ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
DDK8,B,2e-07,18,True,False,TDD,vanilla,0,[0.18565312 0.40914294 0.588789   0.7145494 ],[0.10383628 0.25616395 0.2897876  0.25352025],[ 41.755    100.966934 154.30591  198.03291 ],[ 24.785036  74.52621   96.6194   103.30032 ],[7.944101  7.496316  6.973191  6.5021386],[0.5453994 0.9433339 1.2719667 1.4592394],[8.1638975 8.175692  8.188434  8.202102 ],[0.48944053 0.50745434 0.51854205 0.5220388 ]
DDK8,B,2e-07,21,True,False,TDD,vanilla,0,[0.24896024 0.5785916  0.7528116  0.86613345],[0.12985149 0.3179987  0.3133063  0.27320498],[ 61.17256 149.62663 198.16881 234.34145],[ 34.70614  88.16106  98.89822 103.07848],[7.8672414 7.0403337 6.2466516 5.8257055],[0.52130026 1.0637823  1.4948508  1.4182895 ],[8.188612 8.176667 8.144227 8.140654],[0.44568112 0.44044286 0.4572289  0.47989473]
DDK8,B,2e-07,24,True,False,TDD,vanilla,0,[0.2847793  0.6020509  0.76926565 0.88215566],[0.18681584 0.34238794 0.32046285 0.25060487],[ 65.083206 149.32108  201.17706  252.0003  ],[ 41.306767  91.60103   97.43201  112.665886],[7.7497125 6.833928  6.2913747 5.820143 ],[0.6796214 1.4353168 1.495042  1.4833009],[8.138821 8.121225 8.131564 8.179233],[0.5049219  0.5401905  0.55457497 0.5767097 ]
DDK8,B,2e-07,27,True,False,TDD,vanilla,0,[0.30767876 0.615321   0.7874659  0.8958924 ],[0.21609719 0.3223957  0.28700966 0.25158978],[ 73.312965 161.5717   211.83162  246.62128 ],[ 51.40319  103.44844  108.785385 107.15057 ],[7.7543116 6.8934135 6.305841  5.687572 ],[0.786343  1.3606939 1.4729317 1.5293448],[8.195908 8.177614 8.161719 8.149493],[0.58492225 0.5956014  0.5773279  0.5629562 ]
DDK8,B,2e-07,33,True,False,TDD,vanilla,0,[0.47543672 0.7653204  0.95188844 1.0202302 ],[0.30783436 0.34312734 0.34132117 0.26626298],[109.51958 196.3655  249.8216  275.57275],[ 77.5892  110.54433 113.05633 112.0871 ],[7.3741417 6.4085374 5.709631  5.2445354],[0.8649868 1.3939251 1.4756893 1.4277843],[8.113809 8.133947 8.133893 8.112729],[0.5259433  0.55339056 0.55033195 0.5765365 ]
DDK8,B,2e-07,36,True,False,TDD,vanilla,0,[0.46732667 0.81468004 1.0077677  1.0769782 ],[0.3708198  0.5198726  0.4511948  0.30954552],[109.22083 195.3729  244.82555 271.0435 ],[ 83.11642 116.97041 108.04432 104.49889],[7.430206  6.5483913 5.904198  5.166379 ],[1.0405532 1.5103446 1.3226931 1.3317121],[8.202237 8.165164 8.124358 8.063301],[0.48082286 0.5317794  0.5752137  0.61029977]
DDK8,B,2e-07,42,True,False,TDD,vanilla,0,[0.6754518 0.9382621 1.0586541 1.1026909],[0.51144093 0.42287922 0.35580075 0.2800908 ],[153.23071 243.09723 273.86087 292.78876],[114.87559 142.41609 123.1571  120.40028],[6.9176245 6.044076  5.5517335 5.060046 ],[1.363795  1.4722176 1.2475487 1.1447539],[8.116588  8.1407385 8.108494  8.074529 ],[0.5461969 0.5206076 0.5220433 0.5106325]
DDK8,B,4e-07,3,True,False,TDD,vanilla,0,[0.07683423 0.09263232 0.11206488 0.13777108],[0.02392064 0.02924912 0.03689937 0.04713462],[19.699331 23.757309 28.969685 36.055775],[ 5.4099026  6.5985045  8.945851  11.970873 ],[8.108079 8.090182 8.067967 8.036926],[0.34897867 0.35667622 0.36416146 0.37524894],[8.20847  8.210395 8.212237 8.213969],[0.3344236  0.33968472 0.345037   0.3505006 ]
DDK8,B,4e-07,6,True,False,TDD,vanilla,0,[0.09908631 0.13596547 0.18984196 0.2580802 ],[0.03035173 0.04400816 0.07494952 0.11549581],[24.555542 34.261337 48.878628 68.17553 ],[ 7.9822946 12.322642  21.822174  35.667347 ],[8.057367  8.006946  7.927924  7.8166475],[0.33576587 0.34767345 0.3743212  0.4245706 ],[8.184885 8.185724 8.186444 8.187491],[0.3219428  0.32802498 0.33519444 0.34295762]
