model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.02971691 0.03461575 0.03880266 0.04114294],[0.02991739 0.03759076 0.04019291 0.03929127],[4.367683  4.940349  5.6781898 6.2456145],[0.940435  1.1696069 1.5018513 1.8460677],[8.31646  8.312557 8.308233 8.304735],[0.19027784 0.19493128 0.19991127 0.20525728],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.08961469 0.13898918 0.19456585 0.26131642],[0.10174762 0.14211875 0.21430568 0.31429067],[ 9.926041 16.73717  26.673717 38.874104],[ 2.3628373  5.812736  11.835123  21.163424 ],[8.156822 8.123003 8.078091 8.025114],[0.56913596 0.64228684 0.7182128  0.8030408 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.30742717 0.47189113 0.6642101  0.7956641 ],[0.5514175  0.5862604  0.6694911  0.59324974],[ 21.029505  48.297417  94.670876 144.61601 ],[  8.727953  34.68943   80.08611  125.254166],[7.795835 7.622639 7.380055 7.056405],[1.043925  1.2387925 1.3464347 1.5350697],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.04156637 0.04561079 0.0491605  0.05187532],[0.01923089 0.02119661 0.02191978 0.02183095],[ 9.074649  9.766092 10.413053 11.026141],[3.4358766 3.7182505 3.947654  4.223575 ],[8.232324  8.229761  8.227313  8.2258415],[0.51378584 0.5145144  0.515661   0.5167686 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.09832123 0.14176463 0.19846392 0.24436775],[0.07691412 0.11455145 0.20056812 0.18404023],[16.856808 23.665146 33.537468 45.16771 ],[ 5.4689927  8.421037  14.881554  24.028223 ],[8.065477  8.030054  7.9813924 7.9292235],[0.645466  0.7042886 0.7674646 0.8313405],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.22816834 0.42790172 0.5969562  0.80372447],[0.28623173 0.7189911  0.5170584  0.5088136 ],[ 31.920435  60.71624  104.88547  155.40424 ],[ 12.764126  41.716057  80.502075 126.2428  ],[7.889413  7.698096  7.3228607 6.8425517],[1.0814232 1.2349567 1.4812602 1.6379856],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02313478 0.02571104 0.02862584 0.0308977 ],[0.00732439 0.00818652 0.00897165 0.00984531],[5.4705687 6.018685  6.6776414 7.198794 ],[1.8926336 2.0034869 2.1647615 2.3384469],[8.18904  8.18727  8.185241 8.18409 ],[0.35568258 0.35720512 0.35873407 0.36048716],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.06074737 0.09228693 0.13287707 0.18418388],[0.0329593  0.05314315 0.07661181 0.12102368],[11.458246 17.512945 26.371607 37.407215],[ 3.757135   6.2393603 11.128037  18.51723  ],[8.10877   8.07905   8.037098  7.9864364],[0.641762   0.7027939  0.76785076 0.8359623 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.12679984 0.2437149  0.41615495 0.5854035 ],[0.09810858 0.19708782 0.35659608 0.44438866],[ 20.52994   44.002525  82.45863  135.19368 ],[  6.8872924  28.435297   63.969337  112.064865 ],[7.9072223 7.78874   7.57155   7.247382 ],[1.0041926 1.1352183 1.349623  1.5558289],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04477785 0.05300116 0.05894374 0.06557143],[0.02864051 0.0341424  0.03744688 0.04393105],[5.049061  5.801087  6.636996  7.4881263],[0.8008024 0.9832599 1.2515745 1.6288574],[8.302478 8.299695 8.296723 8.293936],[0.13230816 0.13501291 0.13811629 0.14169699],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,0,[0.11776778 0.219893   0.35318375 0.46088687],[0.07981909 0.18228775 0.28289592 0.3046094 ],[13.027714 27.098316 49.72684  78.83479 ],[ 4.4881086 15.377434  33.57825   56.05106  ],[8.152295  8.063224  7.931893  7.7413335],[0.45766276 0.53362095 0.66281587 0.87561905],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,vanilla,0,[0.4041361 0.7512419 0.9021982 0.9582726],[0.4045758  0.62916994 0.51894546 0.42632806],[ 56.514137 134.36383  185.47696  215.4274  ],[ 43.745026  99.88749  108.125984 116.40771 ],[7.9541698 7.298613  6.712052  6.4065266],[0.7707954 1.2758447 1.4820937 1.4405735],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,vanilla,0,[0.03647739 0.04115545 0.04545278 0.04989091],[0.0137635  0.01658449 0.01755556 0.01903673],[ 7.6191015  8.426011   9.264514  10.097928 ],[1.4058083 1.7802533 2.183583  2.6254535],[8.251812 8.246943 8.241931 8.237367],[0.20083988 0.20293131 0.2052555  0.20797822],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
DDK8,C,1e-07,10,False,False,TDD,vanilla,0,[0.09265058 0.16058473 0.25734726 0.36724237],[0.03147872 0.06849268 0.12731506 0.19141676],[19.238493 34.509426 58.080585 87.544754],[ 5.679858 18.120424 39.29035  65.97458 ],[8.131795  8.051256  7.918503  7.7255535],[0.42125523 0.47187033 0.5364913  0.6316984 ],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
DDK8,C,1e-07,30,False,False,TDD,vanilla,0,[0.26487726 0.5135387  0.6929422  0.7872438 ],[0.15736635 0.2694698  0.2709503  0.23642097],[ 53.320763 118.06222  169.97517  210.00851 ],[ 33.33515   84.23302  109.139015 130.47887 ],[7.918509 7.445262 7.039002 6.577916],[0.6693829 0.8537065 0.947231  1.2313929],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
DDK8,C,3e-07,1,False,False,TDD,vanilla,0,[0.03056198 0.03369228 0.03701463 0.04007855],[0.00447156 0.00525879 0.00620846 0.00760807],[ 8.408048  9.214197 10.057721 10.790685],[1.2591099 1.4629462 1.699058  1.9637597],[8.279093 8.274915 8.270844 8.267236],[0.12778266 0.1290202  0.13060881 0.13273019],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
DDK8,C,3e-07,10,False,False,TDD,vanilla,0,[0.07760539 0.12848563 0.20284048 0.2849967 ],[0.02557008 0.05953194 0.10616857 0.14547709],[19.73966  32.465656 51.83266  74.747635],[ 5.0894   13.180229 25.89946  40.306053],[8.159228  8.081363  7.9626555 7.8092523],[0.35343724 0.4084654  0.4865598  0.5874479 ],[8.250104 8.243475 8.238306 8.233626],[0.33855358 0.37196392 0.40309045 0.43264046]
DDK8,C,3e-07,30,False,False,TDD,vanilla,0,[0.21142258 0.43438682 0.57734936 0.6834186 ],[0.12789455 0.2702854  0.27505136 0.24959783],[ 50.856644 112.17278  159.19804  203.40004 ],[ 26.862019  68.23519   80.57     103.36046 ],[7.970102  7.48453   7.1457567 6.8069897],[0.6421535 1.1304246 1.2450306 1.3665859],[8.243394  8.2595005 8.280929  8.2970915],[0.5275148  0.56576973 0.5995795  0.6289665 ]
DDK8,D,3e-08,1,False,False,TDD,vanilla,0,[0.00938953 0.01105024 0.01311433 0.01445587],[0.0018545  0.00266619 0.00357859 0.00457286],[2.75136   3.2372236 3.8510478 4.2517834],[0.59536237 0.83208317 1.1146675  1.4278067 ],[8.302798 8.300414 8.297776 8.295612],[0.16905417 0.16949031 0.16998357 0.17058828],[8.314398 8.314319 8.314234 8.314145],[0.1689577  0.1692839  0.16965668 0.17007592]
DDK8,D,3e-08,10,False,False,TDD,vanilla,0,[0.02216503 0.03260926 0.04755992 0.06490591],[0.00619802 0.01067117 0.01851695 0.02797951],[ 6.529581  9.608277 14.066728 19.295385],[1.9475514 3.135253  5.469636  8.285401 ],[8.287061 8.27448  8.258394 8.241415],[0.22188853 0.23232558 0.24414417 0.25586146],[8.316226 8.317209 8.319232 8.322231],[0.22064124 0.22971565 0.23861213 0.24789669]
DDK8,D,3e-08,30,False,False,TDD,vanilla,0,[0.04494658 0.08502977 0.13112414 0.18506157],[0.02316411 0.05514589 0.08534592 0.11245202],[12.452496 23.608973 36.58978  52.39544 ],[ 4.805586 14.614355 23.145147 33.240788],[8.223291 8.164822 8.107743 8.045239],[0.33389118 0.36441335 0.39419565 0.4388302 ],[8.279626 8.265633 8.254636 8.245803],[0.3149234  0.33140603 0.3475315  0.37491977]
DDK8,D,1e-07,1,False,False,TDD,vanilla,0,[0.01023275 0.0118715  0.01384801 0.01513669],[0.00191393 0.00247233 0.00303105 0.00376117],[3.042163  3.529684  4.1220474 4.5057073],[0.5961593  0.7712215  0.94695294 1.1662668 ],[8.295559 8.293476 8.291171 8.289331],[0.04605028 0.04720089 0.04843955 0.0499331 ],[8.30858  8.308749 8.308917 8.309082],[0.04570846 0.04691132 0.04821616 0.04961289]
DDK8,D,1e-07,10,False,False,TDD,vanilla,0,[0.02340176 0.03359925 0.0479947  0.06376418],[0.00613144 0.0099368  0.01650735 0.02378925],[ 6.857814   9.837281  14.0536375 18.73513  ],[1.6190368 2.6043043 4.3969293 6.5373383],[8.270829 8.257975 8.241044 8.223297],[0.14797887 0.16887346 0.19065504 0.21137203],[8.302197 8.302738 8.303449 8.304353],[0.14413556 0.16243479 0.18018848 0.19722274]
DDK8,D,1e-07,30,False,False,TDD,vanilla,0,[0.04173364 0.07505689 0.11775108 0.16370207],[0.01618469 0.03642325 0.06070075 0.0877164 ],[12.1054325 22.095284  34.741974  48.622242 ],[ 3.924276 11.017464 17.48735  24.959421],[8.254121 8.220456 8.183004 8.141515],[0.30241045 0.33761147 0.37800914 0.42074576],[8.307436 8.310596 8.312113 8.31137 ],[0.28931206 0.31602684 0.33770058 0.35521185]
DDK8,D,3e-07,1,False,False,TDD,vanilla,0,[0.01319239 0.01472694 0.01657529 0.01788862],[0.0033454  0.00376785 0.00429164 0.00503486],[3.90442  4.360407 4.911465 5.301325],[0.97997737 1.1081557  1.2632673  1.4851444 ],[8.288178 8.286057 8.283697 8.281722],[0.02284245 0.02449551 0.02627884 0.02823453],[8.304571 8.304598 8.304624 8.304644],[0.02125929 0.02278931 0.02444145 0.02619203]
DDK8,D,3e-07,10,False,False,TDD,vanilla,0,[0.02787426 0.03629694 0.04904447 0.06435256],[0.00846371 0.01027387 0.01495554 0.02097353],[ 8.139508 10.618076 14.367654 18.90156 ],[2.3963034 2.9101717 4.18659   5.875467 ],[8.256489 8.245462 8.230507 8.214407],[0.13848187 0.15846291 0.17921199 0.20061937],[8.291802 8.291453 8.291422 8.291797],[0.13622427 0.15536554 0.17447104 0.193445  ]
DDK8,D,3e-07,30,False,False,TDD,vanilla,0,[0.04374631 0.07008255 0.10410737 0.14377667],[0.0188651  0.03105976 0.04973533 0.0711064 ],[12.675519 20.349781 30.33035  42.258842],[ 4.1726217  7.5703707 12.583893  19.990253 ],[8.261092 8.224131 8.186964 8.14359 ],[0.27007404 0.30685487 0.34490475 0.38065907],[8.314291 8.305841 8.296564 8.287483],[0.25759736 0.28634158 0.31637365 0.34177953]
DDK8,A,3e-08,1,False,False,TDD,vanilla,5,[0.01483496 0.01711277 0.01963746 0.02148351],[0.01423497 0.01651452 0.01878385 0.01933148],[2.4373624 2.728678  3.1032526 3.4602022],[0.5091124  0.6043055  0.7099157  0.84345007],[8.325328  8.322803  8.32002   8.3173065],[0.19018482 0.19473518 0.19969968 0.2050976 ],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,5,[0.04646391 0.08762642 0.14251108 0.20770715],[0.05906736 0.10267839 0.18765548 0.30803707],[ 5.3475957 10.101674  17.56921   27.8409   ],[ 1.4467934  4.486134  10.14286   19.117819 ],[8.18206  8.158996 8.126385 8.086181],[0.5587549  0.62684417 0.6981123  0.7758988 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,5,[0.19720961 0.3628521  0.56374675 0.74025565],[0.35949054 0.44356903 0.56157506 0.60607564],[ 14.5401745  38.828354   83.55524   132.98393  ],[  7.729883  33.460987  78.19799  122.877884],[7.8478003 7.7022204 7.4842577 7.197689 ],[1.0065061 1.1950877 1.3010442 1.4518988],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,5,[0.024888   0.02742933 0.02956505 0.03161722],[0.00688638 0.00874748 0.01002791 0.01107447],[6.0471554 6.4828587 6.8761234 7.286407 ],[2.0859714 2.2922742 2.4504752 2.6373925],[8.247645 8.246308 8.245062 8.24398 ],[0.5149079  0.5152322  0.51593983 0.5167904 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,5,[0.0533489  0.08712348 0.13690221 0.17088352],[0.03015249 0.07201232 0.19029951 0.14136072],[10.020577 14.562037 21.470522 30.428658],[ 3.1240623  5.509955  10.703261  18.417208 ],[8.107122 8.085928 8.053694 8.017525],[0.63474953 0.6871426  0.74558914 0.8031292 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,5,[0.14300337 0.3230978  0.4822772  0.7129319 ],[0.16013648 0.62399423 0.4135143  0.49612916],[ 20.699158  45.843693  88.32794  139.4625  ],[ 10.07794  38.57236  77.37034 123.89876],[7.9742055 7.8210616 7.514104  7.0628204],[1.030893  1.1688571 1.3629785 1.5375563],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,5,[0.0137542  0.01520323 0.0168246  0.01833031],[0.00518015 0.00543016 0.00572523 0.00617479],[3.4374397 3.749383  4.1124372 4.4513335],[1.5129701 1.5434003 1.5858679 1.6341778],[8.19973  8.199287 8.198767 8.198463],[0.35455737 0.35592514 0.35742754 0.35895035],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,5,[0.03335962 0.05632566 0.0862627  0.12512307],[0.01784729 0.03638083 0.05837271 0.09431078],[ 6.5064178 10.490925  16.454308  24.441032 ],[ 2.559216  4.230646  7.750883 13.854401],[8.138685  8.120439  8.0930395 8.060382 ],[0.629721   0.68631196 0.74539346 0.8037534 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,5,[0.08021807 0.17640811 0.33334273 0.50978124],[0.06165297 0.1482828  0.28083578 0.38846898],[ 13.097695  32.3099    67.78461  119.50003 ],[  5.5773473  25.755081   61.360977  108.42331  ],[7.9652576 7.882559  7.7071867 7.420913 ],[0.96016353 1.0623149  1.2346315  1.4347463 ],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,5,[0.02274694 0.02763551 0.03179157 0.03648312],[0.01401907 0.01869939 0.0210216  0.02525192],[2.9271054 3.3082721 3.7818832 4.309417 ],[0.5022378  0.5817811  0.7161187  0.94660294],[8.312384 8.311344 8.310029 8.308519],[0.1319347  0.13449736 0.13750254 0.14081788],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,5,[0.06411899 0.14716649 0.26048943 0.37916103],[0.05042228 0.14869866 0.22511196 0.28550556],[ 7.354455 17.806364 37.175423 64.60434 ],[ 2.8862736 12.318162  30.537567  53.951538 ],[8.183525 8.117377 8.016972 7.866251],[0.44621068 0.50933415 0.6101021  0.75773126],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,vanilla,5,[0.34229672 0.6928749  0.85141826 0.93683743],[0.37743172 0.5790612  0.5345376  0.45250708],[ 49.378223 127.044785 176.87547  208.67007 ],[ 44.995613 103.0875   109.500916 116.402176],[8.002388  7.370934  6.8324695 6.5324254],[0.74936014 1.2561097  1.4468049  1.4012102 ],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,vanilla,5,[0.02141636 0.02405888 0.02672657 0.02930034],[0.00510757 0.00656172 0.0078281  0.00906963],[4.9823008 5.4461017 5.933988  6.432179 ],[0.80275834 0.9296844  1.0883766  1.2717601 ],[8.264948 8.261653 8.258339 8.255009],[0.20126322 0.20346408 0.20583415 0.20841506],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
