model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,B,5e-08,3,True,False,TDD,vanilla,0,[0.04475917 0.06407066 0.09067024 0.12483307],[0.01683844 0.02522508 0.03893146 0.06054084],[ 8.157413 11.773981 17.212158 24.258417],[ 2.2675786  4.2619066  7.8683596 13.231219 ],[8.27376  8.258875 8.236299 8.20671 ],[0.28933808 0.30317757 0.31791002 0.33501872],[8.310017 8.311025 8.311322 8.311014],[0.28663874 0.29886186 0.31123886 0.32331756]
DDK8,B,5e-08,6,True,False,TDD,vanilla,0,[0.07061256 0.12719452 0.20509726 0.29858008],[0.03191952 0.08359136 0.13247482 0.19299595],[11.285165 21.125547 37.61314  59.670197],[ 3.6729846 11.04196   24.320839  42.271385 ],[8.14443   8.095915  8.006797  7.8647203],[0.4041757  0.42830265 0.4794102  0.59544384],[8.200852 8.201836 8.201868 8.201473],[0.3916575  0.39977843 0.40850884 0.41598985]
DDK8,B,5e-08,9,True,False,TDD,vanilla,0,[0.08967485 0.18831062 0.32165468 0.4753237 ],[0.05037034 0.12978423 0.21958666 0.3457915 ],[ 15.154008  34.464184  65.92582  102.59967 ],[ 6.098563 23.412994 51.791283 78.249146],[8.177869  8.088947  7.907052  7.6104054],[0.4580732  0.50336903 0.63312125 0.91784805],[8.251503 8.261046 8.269067 8.268887],[0.43901262 0.44828582 0.46303815 0.4847499 ]
DDK8,B,5e-08,12,True,False,TDD,vanilla,0,[0.12862211 0.29094875 0.4632469  0.5992216 ],[0.07783095 0.20341396 0.28816307 0.3102017 ],[ 19.826584  52.198326  93.91187  135.92148 ],[ 9.723186 36.422348 65.09741  89.323784],[8.064738  7.8812585 7.539073  7.135577 ],[0.45636275 0.59653133 0.9413967  1.2323021 ],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534223 0.456648   0.4968093  0.52424604]
DDK8,B,5e-08,15,True,False,TDD,vanilla,0,[0.16603483 0.3832261  0.5714923  0.70073813],[0.13120526 0.27238002 0.34062836 0.3317488 ],[ 29.329815  83.41362  139.52458  187.39691 ],[ 18.01292   62.140976  96.40057  120.1117  ],[8.161796  7.8075056 7.2695765 6.8335404],[0.58053815 0.87236816 1.3373567  1.3992226 ],[8.301512 8.301376 8.295099 8.286509],[0.5188588  0.5244441  0.5284308  0.55424315]
DDK8,B,5e-08,18,True,False,TDD,vanilla,0,[0.2506034  0.61248106 0.80690116 0.9169306 ],[0.16483127 0.39138168 0.41681346 0.32844076],[ 46.147945 130.3883   193.94733  245.69305 ],[ 35.64267   98.358925 126.510345 148.58908 ],[7.8871455 7.155631  6.481098  5.9754033],[0.62832767 1.1700618  1.5486885  1.5831263 ],[8.143847 8.165355 8.19014  8.226463],[0.5570067  0.5532856  0.5880717  0.64253396]
DDK8,B,5e-08,21,True,False,TDD,vanilla,0,[0.28610486 0.66938406 0.9025411  0.9470055 ],[0.22032437 0.4173723  0.5391104  0.34049463],[ 52.893883 146.00394  202.64685  241.98822 ],[ 43.5883   109.129745 120.824936 123.37129 ],[7.8073616 6.954095  6.1802397 5.665816 ],[0.70229805 1.3188022  1.6557727  1.6770554 ],[8.123272 8.136701 8.135805 8.15118 ],[0.5637358  0.5555875  0.58310056 0.62311333]
DDK8,B,5e-08,24,True,False,TDD,vanilla,0,[0.31153426 0.65793234 0.83472496 0.9317464 ],[0.26630184 0.46811405 0.4011811  0.28604084],[ 61.959938 157.74106  213.84363  258.07748 ],[ 54.928944 130.00267  136.20294  143.86804 ],[7.9361944 7.024859  6.397568  5.9967065],[0.6882321 1.456671  1.5792235 1.4916627],[8.270131 8.258452 8.255482 8.262504],[0.5118271  0.51376563 0.5234589  0.57083213]
DDK8,B,5e-08,27,True,False,TDD,vanilla,0,[0.35068747 0.72541845 0.9203137  1.0023953 ],[0.2539386  0.42560884 0.4387143  0.33550334],[ 65.72775 163.77887 219.49707 251.41205],[ 58.882923 121.027245 133.95317  124.32413 ],[7.7896256 6.7138667 6.1504917 5.595743 ],[0.7057456 1.5680964 1.591993  1.6358658],[8.164666 8.149782 8.144778 8.15001 ],[0.5907433 0.6523984 0.6741813 0.6614096]
DDK8,B,5e-08,33,True,False,TDD,vanilla,0,[0.5746753 1.0464165 1.1267701 1.3136226],[0.48906475 0.8489899  0.53370184 0.83419424],[108.1415  216.14435 260.38876 296.48022],[ 86.81281 149.19621 130.98251 135.6484 ],[7.5558763 6.5292907 5.845638  5.3726807],[1.0324856 1.5269741 1.6462191 1.5527622],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
