model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.03963036 0.04648337 0.05488029 0.0658764 ],[0.03516899 0.03823502 0.04158325 0.04907244],[ 6.277184   7.8110785  9.563536  11.708524 ],[1.9500434 3.3249376 4.3105044 5.6197004],[8.309939 8.301828 8.292996 8.283089],[0.19015095 0.19469823 0.1999525  0.20514253],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.10829116 0.20320652 0.31578347 0.3960337 ],[0.11043289 0.2375523  0.45867473 0.4462444 ],[12.612431 23.627937 40.379734 61.928123],[ 3.0542536  7.6108127 16.98346   32.494144 ],[8.143442  8.086321  8.011026  7.9237003],[0.57623345 0.6591833  0.7443868  0.8257502 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.5604276 0.7531691 1.0092276 1.0425572],[1.7383484 1.2659346 1.2135115 0.9080113],[ 25.364527  63.819897 120.10834  175.38776 ],[  9.393945  47.521755  96.35108  148.92052 ],[7.7668157 7.563193  7.207236  6.802347 ],[1.0759937 1.2560301 1.4824276 1.707084 ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.05241621 0.05830808 0.06774925 0.0785898 ],[0.02388887 0.02758809 0.03233702 0.03702516],[11.431797  12.898188  14.9648695 17.322416 ],[4.6520824 6.0845575 7.5149345 8.930303 ],[8.222537 8.216063 8.207023 8.197461],[0.513963   0.5160889  0.51694024 0.5183702 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.1236942  0.21766797 0.33541194 0.38834575],[0.09232258 0.21959552 0.5678886  0.35073242],[21.00142  33.438374 49.971783 69.65498 ],[ 7.004965 12.260338 22.856646 38.972958],[8.042622  7.972572  7.89056   7.7948256],[0.6537452  0.72615564 0.7962694  0.8752887 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.33002827 0.68111    0.9143045  1.0399523 ],[0.77874297 1.5689292  1.10249    0.7306688 ],[ 38.048817  83.39977  138.73547  190.44199 ],[ 14.901036  63.52672  113.15875  148.99698 ],[7.846616  7.5831914 7.108933  6.663491 ],[1.132964  1.3010882 1.6401613 1.6279173],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.03200356 0.038026   0.0453405  0.05438296],[0.01085526 0.01492852 0.01874338 0.02338743],[ 7.6574407  9.27766   10.967325  13.086262 ],[3.0864646 4.344232  5.2382026 6.463882 ],[8.178562 8.171903 8.164927 8.157134],[0.3567341  0.35756636 0.3596461  0.36103368],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.07751375 0.13296461 0.1962886  0.27600482],[0.0466546  0.08444341 0.1089005  0.15565935],[14.433303 25.303198 41.2848   62.02127 ],[ 4.4903255  8.440631  17.797665  33.021477 ],[8.092798 8.036956 7.963928 7.877252],[0.6469706 0.7169824 0.7879838 0.858134 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.1521154  0.35425568 0.5908721  0.7697512 ],[0.10250676 0.3125275  0.520494   0.6614856 ],[ 25.35598  66.95294 123.29569 175.98062],[  8.270958  56.726994 108.321724 147.09763 ],[7.884619  7.683383  7.330171  6.9655514],[1.0052966 1.1756878 1.4514273 1.6713161],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.05994869 0.06950399 0.08458117 0.10050247],[0.04418184 0.05050406 0.06026796 0.07048207],[ 7.12625   8.683918 10.628121 12.825344],[1.44721   2.3610375 3.1232402 3.957898 ],[8.295127 8.288548 8.280434 8.271708],[0.13270365 0.1359508  0.13964641 0.14398223],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,0,[0.14184661 0.30013007 0.4796564  0.6319945 ],[0.10597839 0.2458543  0.375768   0.45155263],[15.295971 33.226974 61.82621  99.34266 ],[ 4.408701 15.990616 35.660397 59.61903 ],[8.142713  8.029481  7.8621016 7.603789 ],[0.46051648 0.5450474  0.69449705 1.0207916 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
