model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,B,5e-08,3,True,False,TDD,vanilla,0,[0.05901817 0.09330195 0.13680181 0.19673185],[0.019681   0.03268449 0.0539313  0.08053198],[11.180015 18.033463 27.093872 40.902405],[ 2.9374115  5.7203684 10.3143635 18.452322 ],[8.259519 8.228256 8.190014 8.135485],[0.29026657 0.30538562 0.3208139  0.33733845],[8.310017 8.311025 8.311322 8.311014],[0.28663874 0.29886186 0.31123886 0.32331756]
DDK8,B,5e-08,6,True,False,TDD,vanilla,0,[0.08269762 0.15679389 0.25973985 0.39127892],[0.03300478 0.08064245 0.14715451 0.22728375],[13.629751 26.644749 48.17568  79.4848  ],[ 3.629662  10.3130455 24.430439  45.328472 ],[8.132902  8.066272  7.948312  7.7479167],[0.4054484  0.43206325 0.49166572 0.62573206],[8.200852 8.201836 8.201868 8.201473],[0.3916575  0.39977843 0.40850884 0.41598985]
DDK8,B,5e-08,9,True,False,TDD,vanilla,0,[0.10148937 0.22480644 0.38564354 0.5521174 ],[0.0600001  0.15264742 0.26956517 0.33108217],[ 17.096703  39.840992  76.03508  119.84876 ],[ 5.7455316 22.509577  49.036392  73.91571  ],[8.168899  8.058938  7.8514595 7.5125346],[0.46046937 0.5126635  0.63845587 0.8841998 ],[8.251503 8.261046 8.269067 8.268887],[0.43901262 0.44828582 0.46303815 0.4847499 ]
DDK8,B,5e-08,12,True,False,TDD,vanilla,0,[0.13929155 0.34638873 0.5423135  0.6891674 ],[0.08257267 0.2651414  0.36707753 0.3648972 ],[ 20.728569  55.185078 101.42667  149.51045 ],[ 8.62125  33.757812 63.916042 87.755775],[8.061203  7.8641834 7.501297  7.040314 ],[0.4530809  0.5678983  0.90475035 1.2908843 ],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534223 0.456648   0.4968093  0.52424604]
DDK8,B,5e-08,15,True,False,TDD,vanilla,0,[0.17915928 0.4645222  0.6865782  0.8291068 ],[0.17842716 0.34511396 0.4608779  0.4290912 ],[ 28.278297  92.6881   153.99387  207.1343  ],[ 14.316273  60.986095  97.8434   123.06457 ],[8.1629095 7.7581353 7.2069874 6.5271516],[0.579708  0.8515299 1.2692056 1.6489738],[8.301512 8.301376 8.295099 8.286509],[0.5188588  0.5244441  0.5284308  0.55424315]
DDK8,B,5e-08,18,True,False,TDD,vanilla,0,[0.2637999 0.7404382 0.9170758 1.0209529],[0.18781625 0.47323182 0.45338246 0.3509183 ],[ 44.76084 142.7184  211.33937 265.18658],[ 32.353825  93.10596  124.722565 147.35083 ],[7.8990626 7.0671554 6.290602  5.6949544],[0.62082064 1.1801993  1.6373314  1.6561402 ],[8.143847 8.165355 8.19014  8.226463],[0.5570067  0.5532856  0.5880717  0.64253396]
DDK8,B,5e-08,21,True,False,TDD,vanilla,0,[0.29993206 0.7177762  0.9377509  1.0329746 ],[0.24324033 0.40566644 0.41550183 0.32239607],[ 52.439953 154.9731   217.17809  259.85593 ],[ 40.095226 102.49777  120.780426 125.11628 ],[7.8143287 6.8191247 6.061595  5.4956856],[0.7055129 1.4266196 1.6453854 1.6691065],[8.123272 8.136701 8.135805 8.15118 ],[0.5637358  0.5555875  0.58310056 0.62311333]
DDK8,B,5e-08,24,True,False,TDD,vanilla,0,[0.34867805 0.7365028  0.8851481  0.98858607],[0.33697304 0.5162394  0.4299178  0.26669928],[ 63.24923 167.4372  224.70639 269.66992],[ 56.44497 123.3196  128.99579 129.9649 ],[7.9166827 6.972059  6.3415227 5.8590713],[0.7310832 1.4040309 1.5075125 1.3253688],[8.270131 8.258452 8.255482 8.262504],[0.5118271  0.51376563 0.5234589  0.57083213]
DDK8,B,5e-08,27,True,False,TDD,vanilla,0,[0.41883433 0.8245756  0.9458111  1.0342957 ],[0.31036517 0.47799093 0.37592274 0.3431242 ],[ 73.098114 170.80446  225.38158  261.20825 ],[ 65.370605 116.230705 124.583786 127.225586],[7.7518377 6.669212  6.0064936 5.5043426],[0.6972236 1.5418152 1.5598952 1.5659573],[8.164666 8.149782 8.144778 8.15001 ],[0.5907433 0.6523984 0.6741813 0.6614096]
DDK8,B,5e-08,33,True,False,TDD,vanilla,0,[0.8752322 1.1400747 1.2583851 1.4864185],[0.8239764  0.84986705 0.67003226 2.8656745 ],[156.83017 229.30637 290.7194  294.34338],[148.60686 160.03264 165.36699 136.63132],[7.3122864 6.4457107 5.610339  5.2839375],[1.1883465 1.5007076 1.6055415 1.5108707],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
