model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.0401433  0.04413263 0.04741064 0.05410865],[0.0338654  0.03286535 0.03639968 0.04077416],[6.4430113 7.6460056 8.160356  9.288249 ],[1.9049019 2.9954414 3.4394195 4.0109587],[8.308069 8.30193  8.298596 8.292211],[0.18991774 0.19437833 0.19955625 0.2048483 ],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.1229653  0.21462071 0.32653016 0.41854584],[0.1326438  0.24434692 0.45594275 0.55115   ],[13.612353 23.849747 40.539204 61.8603  ],[ 3.380824  7.585434 16.97308  32.06114 ],[8.136896  8.085132  8.010018  7.9251137],[0.57877517 0.66119564 0.7470373  0.83321965],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.65195197 0.90590996 1.0960096  1.1556548 ],[2.2742682 2.085858  1.3454797 1.1198658],[ 27.236628  73.8253   127.74066  182.4246  ],[ 10.755844  64.356    100.591675 162.00366 ],[7.757492  7.4986744 7.1856575 6.896655 ],[1.0920038 1.334134  1.5285499 1.5909286],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.05480336 0.0603109  0.06231773 0.06905189],[0.0263421  0.02835582 0.02990855 0.03198808],[11.87993   13.177503  13.594336  15.0388365],[4.896468  6.0001035 6.517482  7.3565598],[8.220392 8.215269 8.214346 8.208574],[0.5136472  0.5149933  0.51646096 0.5176309 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.13095635 0.2098426  0.34348    0.38644043],[0.13798127 0.22930399 0.62034625 0.38330612],[20.954256 32.56948  49.28061  68.377174],[ 7.383178 12.894614 24.164705 39.378582],[8.042224  7.9814396 7.901662  7.8175306],[0.65301967 0.7185009  0.79435956 0.8680318 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.34964126 0.59905165 0.84995323 0.9731862 ],[0.9308561  0.96123517 0.8915213  0.6826629 ],[ 39.065502  89.77275  140.8415   186.88763 ],[ 17.910208  84.30869  121.4613   151.75932 ],[7.8454347 7.563234  7.156082  6.6563   ],[1.1383693 1.3017541 1.533421  1.7123163],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.03284591 0.03786408 0.03998069 0.04515772],[0.01073543 0.01383051 0.01599958 0.01777522],[ 7.8101335  9.12188    9.685166  10.886466 ],[2.9417925 3.8729582 4.451476  4.958236 ],[8.177873 8.17329  8.172083 8.167736],[0.3567909  0.35791156 0.35907802 0.36072847],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.07906809 0.13306996 0.19699115 0.27057222],[0.0442684  0.08317258 0.10532713 0.14620388],[14.86854  25.245728 41.413364 60.98638 ],[ 4.7637143  8.939598  18.644245  32.038475 ],[8.090272  8.038709  7.9659834 7.887044 ],[0.6481021 0.7184326 0.7905614 0.8632391],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.15725254 0.37241638 0.62022597 0.77995455],[0.11636115 0.33972055 0.631743   0.68775785],[ 26.68156   79.671234 132.19827  179.23555 ],[ 10.683003  94.001945 123.77421  155.2988  ],[7.8865447 7.636337  7.332542  7.0021544],[1.0051415 1.2100557 1.4545591 1.6682527],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.06204549 0.07025535 0.0776017  0.08922979],[0.04544569 0.05093271 0.05995167 0.06772946],[ 7.1137347  8.48091    9.145628  10.719417 ],[1.4034885 2.177419  2.6036494 3.3173404],[8.293386 8.288431 8.286171 8.279616],[0.13268964 0.1358446  0.13956183 0.14372633],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,0,[0.14650208 0.3055651  0.48839873 0.61205655],[0.10774146 0.29131135 0.40766835 0.44699094],[15.522693 32.37121  60.108047 94.71638 ],[ 4.219971 15.260882 33.940918 56.295864],[8.1383   8.02944  7.861827 7.644197],[0.46157515 0.5438593  0.70181686 0.91695255],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
