model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,B,5e-08,3,True,False,TDD,vanilla,0,[0.0559333  0.08813569 0.13103384 0.1844158 ],[0.02025609 0.03518947 0.06317865 0.08949585],[10.566668 16.742352 25.382072 37.66191 ],[ 2.8284318  5.415217  10.224084  17.860058 ],[8.262164 8.234172 8.196992 8.146711],[0.29033396 0.30544776 0.32159382 0.3393095 ],[8.310017 8.311025 8.311322 8.311014],[0.28663874 0.29886186 0.31123886 0.32331756]
DDK8,B,5e-08,6,True,False,TDD,vanilla,0,[0.08041528 0.15218091 0.2532262  0.37446675],[0.03253764 0.08115407 0.1452347  0.22314379],[13.183013 26.040743 46.886024 74.8048  ],[ 3.7822044 11.170409  24.935524  43.05715  ],[8.135346  8.069287  7.953657  7.7735186],[0.40418306 0.43134958 0.49245557 0.61642975],[8.200852 8.201836 8.201868 8.201473],[0.3916575  0.39977843 0.40850884 0.41598985]
DDK8,B,5e-08,9,True,False,TDD,vanilla,0,[0.09894345 0.21768366 0.37745273 0.5432724 ],[0.06399988 0.14550377 0.2504973  0.35613507],[ 16.844418  38.942986  74.6569   116.21561 ],[ 5.7017713 22.606886  49.177956  74.920906 ],[8.169919  8.064229  7.8620567 7.539873 ],[0.45990923 0.50557506 0.6133942  0.8654586 ],[8.251503 8.261046 8.269067 8.268887],[0.43901262 0.44828582 0.46303815 0.4847499 ]
DDK8,B,5e-08,12,True,False,TDD,vanilla,0,[0.13184817 0.3316597  0.5442209  0.6863289 ],[0.07329809 0.27766594 0.39648744 0.41763702],[ 20.152822  52.94324   97.58287  144.37048 ],[ 8.1798315 32.338223  60.41664   86.10423  ],[8.064088  7.8741717 7.517328  7.051859 ],[0.45107344 0.57731646 0.9332982  1.3837056 ],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534223 0.456648   0.4968093  0.52424604]
DDK8,B,5e-08,15,True,False,TDD,vanilla,0,[0.17147602 0.4408204  0.67745394 0.83020407],[0.16396685 0.32173142 0.47041818 0.45800155],[ 27.710413  87.87968  147.14969  202.2777  ],[ 13.898791  59.475063  96.79438  122.135475],[8.166263  7.8012905 7.254005  6.660594 ],[0.5719588  0.80795306 1.2721468  1.5263307 ],[8.301512 8.301376 8.295099 8.286509],[0.5188588  0.5244441  0.5284308  0.55424315]
DDK8,B,5e-08,18,True,False,TDD,vanilla,0,[0.2610559  0.72811437 0.892923   1.0068295 ],[0.18404725 0.512545   0.43042323 0.38266408],[ 44.582664 140.08203  208.71478  259.63007 ],[ 32.33547   94.401215 128.04573  147.22629 ],[7.897092  7.0914626 6.4041643 5.8344593],[0.6232947 1.1968238 1.4623202 1.5926819],[8.143847 8.165355 8.19014  8.226463],[0.5570067  0.5532856  0.5880717  0.64253396]
DDK8,B,5e-08,21,True,False,TDD,vanilla,0,[0.30742535 0.7470181  0.964563   1.028313  ],[0.25351736 0.45474234 0.4553693  0.37429753],[ 53.483932 158.02852  216.9925   254.55008 ],[ 42.346714 109.314316 125.16243  126.53011 ],[7.807406  6.8336315 6.0938735 5.6615257],[0.7104492 1.3258638 1.6557367 1.5898249],[8.123272 8.136701 8.135805 8.15118 ],[0.5637358  0.5555875  0.58310056 0.62311333]
DDK8,B,5e-08,24,True,False,TDD,vanilla,0,[0.35782614 0.7540491  0.8911322  0.99129486],[0.37196898 0.6178298  0.48533493 0.32588205],[ 66.253876 167.96165  222.04277  264.73538 ],[ 67.88022 131.5044  134.26929 133.73457],[7.9121504 6.917762  6.324181  5.7982426],[0.73497397 1.516503   1.6218791  1.5262963 ],[8.270131 8.258452 8.255482 8.262504],[0.5118271  0.51376563 0.5234589  0.57083213]
DDK8,B,5e-08,27,True,False,TDD,vanilla,0,[0.4361572  0.83617747 0.9677429  1.021644  ],[0.3399047  0.46537876 0.4479459  0.31702176],[ 73.63714 172.21225 223.50726 254.2357 ],[ 67.42589 120.41141 128.57721 124.40962],[7.74478   6.638052  6.0789394 5.520399 ],[0.7135852 1.5725254 1.5599823 1.6108774],[8.164666 8.149782 8.144778 8.15001 ],[0.5907433 0.6523984 0.6741813 0.6614096]
DDK8,B,5e-08,33,True,False,TDD,vanilla,0,[0.8071202 1.1252099 1.2913797 1.3845766],[0.7215032  0.90157837 0.7139159  1.0014211 ],[146.86264 224.20299 291.0514  305.39307],[131.31094 156.2643  167.78482 147.89397],[7.340518  6.4762115 5.6388893 5.1727157],[1.1268343 1.4801732 1.7328043 1.6384119],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
DDK8,B,5e-08,36,True,False,TDD,vanilla,0,[1.3154438 1.424346  1.6723366 1.6557094],[1.628423  1.0264964 0.9545658 1.4029794],[220.1495 276.6219 348.0399 349.9097],[178.294   143.15991 164.11403 158.4648 ],[6.8374786 5.8917346 5.519306  4.86893  ],[1.5315336 1.7587568 1.4184244 1.4439747],[8.266978 8.223077 8.203336 8.203679],[0.6390856  0.63954604 0.61311203 0.6540083 ]
DDK8,B,5e-08,42,True,False,TDD,vanilla,0,[1.3482188 1.4175454 1.6325146 1.6055874],[1.1167388  0.9163851  0.98119295 1.8898704 ],[245.27135 297.50467 382.13156 390.73746],[235.40042 177.18378 234.32982 428.4018 ],[6.606681  5.9190784 5.0094337 4.8504367],[1.5466546 1.3830899 1.419502  1.4621311],[8.1687   8.187472 8.230034 8.259732],[0.55716753 0.59658355 0.6257369  0.63968194]
