model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.04113098 0.04558524 0.05588271 0.06364731],[0.03826678 0.03808454 0.04296473 0.04800081],[ 6.2330804  7.56727    9.704742  11.31331  ],[1.948261  3.2255578 4.289858  5.228374 ],[8.309658 8.302646 8.292024 8.284671],[0.19024296 0.194714   0.20038858 0.20539573],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.11223153 0.1952154  0.3026735  0.4019224 ],[0.11564725 0.20890155 0.3925682  0.48538414],[12.792848 23.915285 41.69591  63.447365],[ 3.1490598  7.871288  17.595982  33.450687 ],[8.142042 8.08605  8.005285 7.915755],[0.5762637 0.6569461 0.7437475 0.8321617],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.62896806 0.7492683  1.0461141  1.1004564 ],[2.1100006 1.3060194 1.4771186 1.0342071],[ 25.175753  65.10041  120.74992  180.26688 ],[  9.351264  48.71158   95.59814  153.16594 ],[7.766758  7.557839  7.212706  6.7065587],[1.0778261 1.2394379 1.455226  1.8461614],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.05188913 0.05674054 0.06778429 0.07572661],[0.02560915 0.02818126 0.03248134 0.03711612],[11.1693125 12.355896  14.784096  16.54901  ],[4.501628  5.8131537 7.2740135 8.357286 ],[8.22378  8.218754 8.207429 8.201171],[0.5142283  0.5164884  0.51744324 0.5186311 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.12435222 0.2153594  0.3374899  0.3939349 ],[0.10120346 0.2156582  0.60880977 0.38083053],[20.717186 33.20909  49.476254 69.28759 ],[ 6.7299743 12.079304  22.417328  39.093487 ],[8.043914  7.974344  7.8925843 7.796606 ],[0.65395564 0.7258469  0.79822    0.87838507],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.32474098 0.68862176 0.8812246  1.0322127 ],[0.7343946  1.6224484  1.1405455  0.78891563],[ 37.567963  83.460075 138.09851  188.59607 ],[ 15.099461  63.716957 116.89444  152.85657 ],[7.8516903 7.578083  7.1167426 6.644943 ],[1.1273988 1.298793  1.6205841 1.7095419],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.03082239 0.03573279 0.04395634 0.0499495 ],[0.01055063 0.01416405 0.01780462 0.02105591],[ 7.3860316  8.689807  10.619504  12.044329 ],[2.9800427 4.055852  4.999737  5.891162 ],[8.179909 8.175033 8.166599 8.162152],[0.35658377 0.3574255  0.35954076 0.36109647],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.0767374  0.12977742 0.19488423 0.27425763],[0.04708816 0.08148494 0.10904271 0.15684001],[14.215538 24.783545 40.931778 61.398502],[ 4.507426  8.504359 17.659313 33.689888],[8.093896  8.040186  7.965319  7.8798933],[0.6468084  0.71587324 0.7874908  0.8586758 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.14983621 0.36008793 0.5886742  0.7768187 ],[0.10673814 0.33329755 0.5046707  0.63821775],[ 24.297043  67.61729  123.38456  178.23506 ],[  8.369397  59.317112 112.1311   148.58174 ],[7.889822  7.6776533 7.318438  6.941255 ],[1.0059522 1.1853814 1.470227  1.6779071],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.06091931 0.06996509 0.08664635 0.09700707],[0.04616527 0.05529138 0.06178115 0.06538393],[ 7.0410323  8.384584  10.763629  12.531638 ],[1.413675  2.2770941 3.1817603 3.7984347],[8.294954 8.289359 8.27914  8.272689],[0.1325718  0.13595922 0.14008605 0.14411974],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
