model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,B,5e-08,3,True,False,TDD,vanilla,0,[0.05862573 0.09120365 0.13919191 0.19711685],[0.02010424 0.03237007 0.0546429  0.08231495],[11.076427 17.592686 27.589148 41.14865 ],[ 2.896928   5.6168184 10.540856  19.019861 ],[8.259732  8.2302475 8.188008  8.132432 ],[0.290262   0.30503574 0.32107309 0.33908686],[8.310017 8.311025 8.311322 8.311014],[0.28663874 0.29886186 0.31123886 0.32331756]
DDK8,B,5e-08,6,True,False,TDD,vanilla,0,[0.08357033 0.15618755 0.26115796 0.39513484],[0.03368958 0.08204962 0.14652504 0.22638923],[13.736577 26.475945 48.338795 79.97274 ],[ 3.7658687 10.520025  24.397577  45.20733  ],[8.132056  8.066731  7.9468293 7.742855 ],[0.40511498 0.430395   0.48997486 0.62625694],[8.200852 8.201836 8.201868 8.201473],[0.3916575  0.39977843 0.40850884 0.41598985]
DDK8,B,5e-08,9,True,False,TDD,vanilla,0,[0.1025892  0.22880484 0.38774827 0.5525385 ],[0.059825  0.1567801 0.2738902 0.3226832],[ 17.25842  40.08903  76.36214 121.881  ],[ 5.5282593 22.403717  48.928513  76.45018  ],[8.167635  8.056706  7.845555  7.4871507],[0.46057507 0.5111245  0.64216584 0.91954106],[8.251503 8.261046 8.269067 8.268887],[0.43901262 0.44828582 0.46303815 0.4847499 ]
DDK8,B,5e-08,12,True,False,TDD,vanilla,0,[0.13912794 0.34776187 0.5453004  0.6825938 ],[0.08057435 0.26442286 0.3606764  0.3396154 ],[ 20.697289  55.77686  101.56725  152.03178 ],[ 8.652077 34.668343 62.99768  88.6699  ],[8.061055  7.858342  7.4955316 7.010227 ],[0.45220375 0.5786016  0.9303836  1.2742268 ],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534223 0.456648   0.4968093  0.52424604]
DDK8,B,5e-08,15,True,False,TDD,vanilla,0,[0.17905912 0.4701265  0.6965945  0.8481291 ],[0.17552568 0.34981686 0.45642704 0.3905237 ],[ 28.501856  93.21669  155.94893  219.93332 ],[ 14.240793  60.653786  98.3988   128.23755 ],[8.161783  7.7616553 7.1995277 6.4144917],[0.5765319 0.8235098 1.2211081 1.6098946],[8.301512 8.301376 8.295099 8.286509],[0.5188588  0.5244441  0.5284308  0.55424315]
DDK8,B,5e-08,18,True,False,TDD,vanilla,0,[0.26376858 0.7339155  0.89585745 1.0131012 ],[0.18541764 0.45723727 0.41818067 0.35008076],[ 44.932514 142.54825  210.56046  263.84485 ],[ 31.857601  91.72642  123.66224  146.0342  ],[7.897886  7.0675273 6.2331624 5.755829 ],[0.6221888 1.1788917 1.7133524 1.5675514],[8.143847 8.165355 8.19014  8.226463],[0.5570067  0.5532856  0.5880717  0.64253396]
DDK8,B,5e-08,21,True,False,TDD,vanilla,0,[0.30639517 0.7107838  0.92251915 1.0058538 ],[0.25263602 0.39352953 0.42048484 0.29848143],[ 53.220856 155.10008  215.0823   254.51471 ],[ 40.329563 104.0766   121.20942  122.786835],[7.8087883 6.8336806 6.109643  5.574957 ],[0.7071069 1.380785  1.593313  1.6120151],[8.123272 8.136701 8.135805 8.15118 ],[0.5637358  0.5555875  0.58310056 0.62311333]
DDK8,B,5e-08,24,True,False,TDD,vanilla,0,[0.35351112 0.7423586  0.8699809  0.9775412 ],[0.3444227  0.51534563 0.39874354 0.254695  ],[ 63.736813 168.95143  222.87529  270.33246 ],[ 55.988953 120.96636  126.80352  129.79955 ],[7.9246087 6.9159937 6.3348627 5.701265 ],[0.70261997 1.4845515  1.5549117  1.4214957 ],[8.270131 8.258452 8.255482 8.262504],[0.5118271  0.51376563 0.5234589  0.57083213]
DDK8,B,5e-08,27,True,False,TDD,vanilla,0,[0.4202414  0.8221917  0.92262834 1.0011443 ],[0.30072135 0.47168544 0.34941807 0.32141763],[ 74.421684 172.03178  223.37393  256.91763 ],[ 64.7668   114.94663  123.44732  124.871056],[7.7401137 6.6559296 6.078326  5.5608687],[0.7012693 1.5372854 1.5265865 1.5410641],[8.164666 8.149782 8.144778 8.15001 ],[0.5907433 0.6523984 0.6741813 0.6614096]
DDK8,B,5e-08,33,True,False,TDD,vanilla,0,[0.81772256 1.1294063  1.180537   1.4862547 ],[0.7308178 0.8765155 0.5659459 2.2670443],[146.84608 226.15916 281.575   305.75137],[128.04614 152.70189 151.14851 146.63852],[7.336532  6.4142537 5.669371  5.252844 ],[1.1506826 1.5872462 1.578451  1.6173856],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
DDK8,B,5e-08,36,True,False,TDD,vanilla,0,[1.2429144 1.5380168 1.5830665 1.4258357],[1.1101838  1.2879884  1.1832815  0.69214565],[227.6155  292.9508  343.97736 329.631  ],[184.07492 158.33978 197.45384 139.47838],[6.794303  5.8809123 5.3592076 4.945296 ],[1.597557  1.6479502 1.5173904 1.5017166],[8.266978 8.223077 8.203336 8.203679],[0.6390856  0.63954604 0.61311203 0.6540083 ]
DDK8,B,5e-08,42,True,False,TDD,vanilla,0,[1.3547615 1.5591264 1.9086659 1.3426951],[1.1028438  1.3302537  4.881061   0.68836176],[240.22975 322.59344 408.9027  346.25183],[217.13213 225.98499 619.42566 155.011  ],[6.652069  5.742654  5.1037292 4.8896103],[1.44579   1.5219653 1.4383113 1.3874756],[8.1687   8.187472 8.230034 8.259732],[0.55716753 0.59658355 0.6257369  0.63968194]
DDK8,B,2e-07,3,True,False,TDD,vanilla,0,[0.06475041 0.09180353 0.12914294 0.17769285],[0.01711673 0.0296812  0.04654307 0.07419007],[15.061022 21.292    30.1929   42.11789 ],[ 4.2345166  7.1957183 11.96505   19.870739 ],[8.05973   8.028796  7.9878626 7.9333086],[0.40722916 0.41510168 0.4247646  0.4400132 ],[8.140387 8.142667 8.144901 8.14683 ],[0.4020315  0.40776485 0.41400665 0.42071086]
DDK8,B,2e-07,6,True,False,TDD,vanilla,0,[0.0830213  0.1395222  0.22398794 0.33890665],[0.02214944 0.04545096 0.08513942 0.14388874],[19.839148 33.187584 53.96736  83.975876],[ 5.171798  9.841552 19.248285 34.74454 ],[8.098155  8.030148  7.920992  7.7432117],[0.38514373 0.4056614  0.4462364  0.5299443 ],[8.200198 8.203735 8.207059 8.210534],[0.37354088 0.3805655  0.3896417  0.39972013]
