model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.0410314  0.04277536 0.04741231 0.05479666],[0.03713351 0.03332178 0.03653806 0.04088574],[6.1087866 7.161273  8.055047  9.471996 ],[1.7709106 2.8745058 3.708111  4.647126 ],[8.30945  8.30365  8.298391 8.292303],[0.19020198 0.19465457 0.19977742 0.2051069 ],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.12137907 0.21037768 0.31603944 0.40408465],[0.13582467 0.23847336 0.44579795 0.54156274],[12.996403 23.532743 39.88649  61.841698],[ 3.2572556  8.115066  18.012897  33.2953   ],[8.140187  8.086266  8.010987  7.9165998],[0.5771774  0.65963596 0.7446208  0.83672255],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.4822236 0.7962753 0.9559816 1.0369027],[1.1218576  1.6657938  1.067625   0.86963737],[ 25.038418  66.7709   118.67494  170.33282 ],[  8.986585  54.74371   94.86788  146.44576 ],[7.7664647 7.5491047 7.2145147 6.802756 ],[1.077069  1.2583979 1.4843826 1.729532 ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.0512404  0.05561919 0.05930272 0.06614952],[0.02571236 0.02777764 0.02987471 0.03278238],[10.888239 11.911486 12.682439 14.076923],[4.3778377 5.4295387 6.308927  7.203912 ],[8.225136 8.22107  8.218032 8.212983],[0.5146313 0.5165766 0.5179906 0.5192986],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.12410481 0.20073237 0.33231312 0.37592947],[0.12268264 0.22037958 0.64301515 0.39679626],[20.024744 31.415495 46.58193  65.76205 ],[ 6.983562 12.69494  22.853737 38.181423],[8.0482235 7.9862804 7.9079304 7.816725 ],[0.65197265 0.71701413 0.7908747  0.8660182 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.3130766  0.56024927 0.842964   0.9813633 ],[0.7406363 0.8047309 1.020819  0.686354 ],[ 35.989594  80.407555 132.944    182.23444 ],[ 14.976408  69.96682  111.99586  147.90321 ],[7.8663344 7.602207  7.1851015 6.7576623],[1.1104442 1.3065411 1.5411848 1.5321429],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.03013498 0.03421659 0.03722977 0.04239539],[0.0099615  0.01314859 0.0157672  0.01825156],[ 7.207239  8.327152  9.099077 10.309222],[2.7518775 3.7208424 4.480767  5.147849 ],[8.1806555 8.176897  8.174479  8.171054 ],[0.3562892  0.35719594 0.35823902 0.3598156 ],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.0768671  0.12753195 0.18968809 0.26621836],[0.04255171 0.07505334 0.10361074 0.15020403],[14.486371 24.511658 39.432655 59.507397],[ 4.530962  8.478688 17.191238 30.639507],[8.09222  8.040433 7.969038 7.884827],[0.64705527 0.71634007 0.7912321  0.86679804],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.14619815 0.34599155 0.58316344 0.78143173],[0.10656388 0.31891152 0.5620765  0.7074162 ],[ 24.332447  69.76342  121.750244 175.4493  ],[  8.622733  75.16942  112.96971  151.90317 ],[7.8907695 7.6869426 7.359879  6.938719 ],[1.0071782 1.1790489 1.4427845 1.6537386],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.06204398 0.0675799  0.0784322  0.08940312],[0.04900998 0.0525648  0.06896006 0.06930821],[ 6.7544823  7.9395213  8.99029   10.714229 ],[1.325922  2.0853102 2.7318232 3.5337052],[8.295276 8.290527 8.286388 8.280491],[0.13251963 0.13584134 0.13977008 0.14364235],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
