model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,B,5e-08,3,True,False,TDD,vanilla,0,[0.05818745 0.08999626 0.13377869 0.18809661],[0.02199401 0.03602131 0.06461223 0.08900141],[10.666152 16.969032 25.821524 38.502724],[ 2.7770176  5.4695983 10.470925  18.285225 ],[8.261215 8.233107 8.195233 8.144387],[0.29034632 0.30498603 0.32078528 0.33895192],[8.310017 8.311025 8.311322 8.311014],[0.28663874 0.29886186 0.31123886 0.32331756]
DDK8,B,5e-08,6,True,False,TDD,vanilla,0,[0.08351717 0.15570265 0.25844058 0.38180745],[0.03500307 0.08346974 0.15111922 0.23058107],[13.4211035 26.397642  47.85076   76.45385  ],[ 3.866978 11.276361 25.687195 43.765438],[8.133348  8.066908  7.9477315 7.7622266],[0.40482485 0.43218702 0.49450576 0.6224147 ],[8.200852 8.201836 8.201868 8.201473],[0.3916575  0.39977843 0.40850884 0.41598985]
DDK8,B,5e-08,9,True,False,TDD,vanilla,0,[0.10323208 0.2227857  0.3833978  0.5433914 ],[0.06516252 0.14934608 0.2507485  0.34086645],[ 17.351028  39.71274   76.47225  118.08646 ],[ 5.99503  22.942427 49.67207  74.2249  ],[8.166344  8.059262  7.848013  7.5224767],[0.4610398  0.5078728  0.62369645 0.86979383],[8.251503 8.261046 8.269067 8.268887],[0.43901262 0.44828582 0.46303815 0.4847499 ]
DDK8,B,5e-08,12,True,False,TDD,vanilla,0,[0.13864225 0.33744565 0.5528092  0.7005756 ],[0.07803071 0.28304976 0.39906478 0.4238191 ],[ 20.90534  53.76524  99.73381 148.05156],[ 8.825025 33.359688 62.432747 87.89103 ],[8.059393  7.8702216 7.500497  7.019294 ],[0.45195654 0.5772476  0.95130795 1.3841801 ],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534223 0.456648   0.4968093  0.52424604]
DDK8,B,5e-08,15,True,False,TDD,vanilla,0,[0.17720243 0.44229484 0.6939055  0.84720224],[0.17026348 0.32240903 0.46470252 0.45525354],[ 28.787046  90.03726  153.508    208.58691 ],[ 14.529172  61.569817 101.741936 126.03668 ],[8.159991  7.7922783 7.204887  6.5546484],[0.57516235 0.806912   1.2578553  1.5686581 ],[8.301512 8.301376 8.295099 8.286509],[0.5188588  0.5244441  0.5284308  0.55424315]
DDK8,B,5e-08,18,True,False,TDD,vanilla,0,[0.26433322 0.74197316 0.9115905  1.014216  ],[0.17744009 0.5225306  0.43537393 0.3641697 ],[ 45.391827 142.77852  214.51303  265.24808 ],[ 30.820152  94.874435 129.96089  149.43329 ],[7.892485 7.08577  6.294718 5.661592],[0.6214653 1.1632342 1.5479242 1.6203244],[8.143847 8.165355 8.19014  8.226463],[0.5570067  0.5532856  0.5880717  0.64253396]
DDK8,B,5e-08,21,True,False,TDD,vanilla,0,[0.3133236  0.75731695 0.96899766 1.0365583 ],[0.25871533 0.46602973 0.4514605  0.34375775],[ 53.861435 160.25656  219.67604  258.51202 ],[ 39.69924  108.32382  125.42764  127.079384],[7.803756  6.8090186 6.055557  5.489555 ],[0.71035033 1.3482274  1.6326236  1.6717945 ],[8.123272 8.136701 8.135805 8.15118 ],[0.5637358  0.5555875  0.58310056 0.62311333]
DDK8,B,5e-08,24,True,False,TDD,vanilla,0,[0.3559964 0.764501  0.8960239 0.9995544],[0.37483135 0.66084266 0.4497336  0.31423786],[ 65.68212 170.59712 225.43848 269.3391 ],[ 62.67242 131.38734 132.42476 132.94778],[7.912426 6.934841 6.296189 5.816154],[0.722558  1.4511167 1.6149106 1.4591253],[8.270131 8.258452 8.255482 8.262504],[0.5118271  0.51376563 0.5234589  0.57083213]
DDK8,B,5e-08,27,True,False,TDD,vanilla,0,[0.44424176 0.844451   0.95256585 1.023594  ],[0.3389036  0.4527989  0.39853507 0.37153307],[ 75.021065 174.88074  222.13036  257.60413 ],[ 64.65953 120.15278 121.74148 125.85285],[7.7364435 6.572031  6.063509  5.401638 ],[0.7072825 1.6146798 1.5717069 1.6663193],[8.164666 8.149782 8.144778 8.15001 ],[0.5907433 0.6523984 0.6741813 0.6614096]
DDK8,B,5e-08,33,True,False,TDD,vanilla,0,[0.7670173 1.0962938 1.223439  1.3555702],[0.6461987  0.9909502  0.57529867 1.2077409 ],[144.16411 223.03395 285.57053 297.21878],[122.977745 157.50136  157.76263  139.41046 ],[7.311342  6.4587812 5.624993  5.1309996],[1.1569307 1.4961758 1.6273991 1.6243141],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
DDK8,B,5e-08,36,True,False,TDD,vanilla,0,[1.232302  1.3852015 1.6129367 1.5476658],[1.304552  0.9316422 0.9603671 1.0238677],[218.53769 274.68756 340.745   341.17242],[171.82066 139.50684 162.13562 143.9775 ],[6.7700443 5.892293  5.4154263 4.711059 ],[1.5628759 1.7200259 1.5126344 1.500608 ],[8.266978 8.223077 8.203336 8.203679],[0.6390856  0.63954604 0.61311203 0.6540083 ]
DDK8,B,5e-08,42,True,False,TDD,vanilla,0,[1.2996827 1.3876919 1.5265895 1.3083885],[1.1244726  0.8482502  0.8429659  0.46735325],[241.95822 294.952   358.32922 352.7216 ],[247.58693 167.33604 178.66754 169.5565 ],[6.6083665 5.7659807 5.069939  4.795511 ],[1.5202097 1.4810214 1.3407716 1.4268725],[8.1687   8.187472 8.230034 8.259732],[0.55716753 0.59658355 0.6257369  0.63968194]
