model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.02648504 0.03008783 0.0336262  0.03892291],[0.0191403  0.02095748 0.02306226 0.02701575],[4.6639595 5.3446307 6.0860505 7.148811 ],[1.2036936 1.6125323 2.1462724 2.8665068],[8.317163 8.313194 8.309199 8.304126],[0.19022237 0.19474271 0.19971782 0.20489722],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.07314444 0.13002948 0.19290732 0.28319824],[0.06710497 0.14084782 0.2494282  0.5043502 ],[ 9.508263 16.489853 25.735485 37.72261 ],[ 2.433464   6.0361714 12.250601  22.038465 ],[8.164727 8.129196 8.083307 8.029223],[0.56669194 0.64402044 0.7271987  0.8142193 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.33352497 0.4482912  0.63763547 0.8017681 ],[1.133706   0.75867426 0.69009805 0.62950903],[ 19.531605  46.123123  91.125046 143.92728 ],[  8.453933  38.165413  81.94442  131.90948 ],[7.809792  7.66823   7.4244947 7.1455173],[1.0492117 1.1907806 1.3551428 1.5334864],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.04020571 0.04407676 0.0480469  0.05301184],[0.01341229 0.01537972 0.01753278 0.01981928],[ 8.917226  9.742191 10.505453 11.516161],[3.3365176 3.7240877 4.083031  4.663541 ],[8.23508  8.232771 8.231    8.22829 ],[0.5145438  0.51522875 0.51608986 0.5172431 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.08767271 0.13424127 0.19477305 0.23042177],[0.05708386 0.11909618 0.28475386 0.1656594 ],[15.326294 22.119802 31.231325 43.35852 ],[ 4.9276533  8.328726  14.698009  25.12162  ],[8.081529  8.050554  8.0083475 7.952992 ],[0.641955   0.7000696  0.7627889  0.83321357],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.20796238 0.45789197 0.584778   0.78344536],[0.24662787 1.0972492  0.5543291  0.5206181 ],[ 30.27599  59.66694 103.27861 157.57712],[ 13.671579  41.592827  82.28199  132.9629  ],[7.9188023 7.7351575 7.3959904 6.92274  ],[1.0624914 1.2137487 1.4234011 1.5492102],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02675715 0.02962624 0.03215105 0.03656358],[0.00875639 0.01004515 0.01138284 0.01374699],[6.1639643 6.81715   7.365357  8.368631 ],[2.093427  2.3760974 2.614274  3.15221  ],[8.184656 8.182813 8.18169  8.179074],[0.35704073 0.35859174 0.35990012 0.36154234],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.06735838 0.09976449 0.1420042  0.19464341],[0.03994221 0.06266739 0.0881748  0.1322683 ],[12.421063 18.672415 27.957474 39.960957],[ 3.9625883  6.558428  11.595962  20.322412 ],[8.103446  8.075478  8.0344715 7.983032 ],[0.64599633 0.7084717  0.7761233  0.8449966 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.14043166 0.2534393  0.43424347 0.6071445 ],[0.09764365 0.1861633  0.3301746  0.4355724 ],[ 23.526123  47.999912  90.5228   143.84915 ],[  8.572709  32.926018  70.37395  122.11618 ],[7.8947253 7.780722  7.5285435 7.175751 ],[1.0104958 1.133641  1.3825245 1.6469133],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04233754 0.04853733 0.05594459 0.06459565],[0.02671956 0.02985546 0.03734086 0.04257479],[5.246539  6.0506916 6.9907374 8.220345 ],[0.8919444 1.140419  1.4842762 1.9712865],[8.302873 8.30027  8.297174 8.293115],[0.13228568 0.13502695 0.13837515 0.14197853],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,0,[0.0991075  0.19691606 0.34102067 0.45172483],[0.06083214 0.14263736 0.28909296 0.2955791 ],[11.783472 24.357826 45.983498 74.80839 ],[ 3.780485 13.359222 32.046917 56.117107],[8.164197  8.082827  7.9532514 7.764622 ],[0.45396218 0.5248993  0.6543976  0.8594389 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,vanilla,0,[0.339095   0.72327906 0.8743277  0.9834169 ],[0.2771777  0.53252107 0.49166638 0.5224373 ],[ 55.45494 139.54219 192.86592 220.72061],[ 41.092773 106.84068  123.3262   124.07978 ],[7.991509  7.3161964 6.6298428 6.2285113],[0.72671604 1.1435496  1.5048445  1.5374141 ],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,vanilla,0,[0.0360163  0.03994318 0.04435705 0.0502655 ],[0.01050066 0.01153682 0.01369333 0.01592513],[ 7.562762  8.408199  9.242336 10.452166],[1.472881  1.8578483 2.254799  2.925655 ],[8.254853 8.249984 8.245201 8.239162],[0.20134088 0.20367272 0.20642973 0.20919362],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
DDK8,C,1e-07,10,False,False,TDD,vanilla,0,[0.08398025 0.1466264  0.24373776 0.3585519 ],[0.03028847 0.06365088 0.12474967 0.19565149],[17.399452 31.616072 55.479618 85.59248 ],[ 4.777745 16.518967 38.681873 65.99942 ],[8.145932  8.074218  7.944383  7.7492847],[0.42132053 0.47021642 0.52946454 0.62402254],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
DDK8,C,1e-07,30,False,False,TDD,vanilla,0,[0.24687774 0.48505947 0.7010705  0.7986395 ],[0.14761035 0.26412618 0.29783186 0.2461173 ],[ 50.824516 114.96743  172.13078  215.86522 ],[ 31.923752  85.240364 111.530945 131.45927 ],[7.940285  7.4920697 6.981935  6.4481797],[0.6671483  0.87861955 1.0019827  1.4412205 ],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
DDK8,C,3e-07,1,False,False,TDD,vanilla,0,[0.03587575 0.03906489 0.04211414 0.04671623],[0.00539961 0.00660874 0.00809844 0.01004338],[ 9.599171 10.392774 11.093424 12.20285 ],[1.4410243 1.6787511 1.9385742 2.3646677],[8.272885  8.269112  8.265882  8.2608595],[0.12766017 0.12911856 0.13095081 0.13296737],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
DDK8,C,3e-07,10,False,False,TDD,vanilla,0,[0.08518355 0.13162245 0.20101671 0.28176537],[0.02645262 0.05399586 0.09181137 0.1290449 ],[21.316256 33.050426 51.449062 74.152374],[ 4.7353888 11.427915  22.757687  35.89775  ],[8.149749  8.079238  7.9683986 7.826276 ],[0.35633373 0.40588486 0.470018   0.5534258 ],[8.250104 8.243475 8.238306 8.233626],[0.33855358 0.37196392 0.40309045 0.43264046]
DDK8,C,3e-07,30,False,False,TDD,vanilla,0,[0.21301316 0.4226123  0.5964963  0.6848908 ],[0.1220895  0.24056704 0.2611152  0.23240326],[ 51.296844 110.633934 168.01938  204.81831 ],[ 24.633656  62.489704  84.88962  103.048775],[7.964196  7.5474095 7.0651875 6.856676 ],[0.649313   0.99560815 1.3133968  1.2736424 ],[8.243394  8.2595005 8.280929  8.2970915],[0.5275148  0.56576973 0.5995795  0.6289665 ]
DDK8,D,3e-08,1,False,False,TDD,vanilla,0,[0.00989064 0.01191468 0.01382166 0.01633488],[0.00219626 0.00305545 0.00427484 0.00532532],[2.8794127 3.484778  4.05782   4.8056664],[0.6392839 0.9331789 1.3157675 1.667542 ],[8.302088 8.299538 8.297197 8.294186],[0.16928871 0.1696687  0.17006364 0.17043737],[8.314398 8.314319 8.314234 8.314145],[0.1689577  0.1692839  0.16965668 0.17007592]
