model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,B,5e-08,3,True,False,TDD,vanilla,0,[0.04330154 0.06092329 0.08501529 0.11667144],[0.01441177 0.02397146 0.04346959 0.06360438],[ 8.511416 11.955491 16.513708 23.019838],[ 2.320246   3.9387686  6.7175984 11.275092 ],[8.274153 8.260599 8.241449 8.214344],[0.28947395 0.3028507  0.3169841  0.33188748],[8.310017 8.311025 8.311322 8.311014],[0.28663874 0.29886186 0.31123886 0.32331756]
DDK8,B,5e-08,6,True,False,TDD,vanilla,0,[0.06601098 0.11561964 0.18514799 0.27436367],[0.02907935 0.06769391 0.11615644 0.17902255],[10.968069 19.584606 34.02197  54.64258 ],[ 3.633293  9.415584 20.445118 37.398247],[8.149389  8.107236  8.029958  7.9053416],[0.40259275 0.42625502 0.4716501  0.5680065 ],[8.200852 8.201836 8.201868 8.201473],[0.3916575  0.39977843 0.40850884 0.41598985]
DDK8,B,5e-08,9,True,False,TDD,vanilla,0,[0.08215103 0.17587586 0.29613167 0.43544155],[0.04436251 0.13133891 0.20394564 0.2979043 ],[14.6175  32.36663 61.96634 97.18169],[ 5.9046884 22.503523  49.39946   74.99866  ],[8.185274  8.106241  7.9390697 7.6598516],[0.45675376 0.49938872 0.61620593 0.90944874],[8.251503 8.261046 8.269067 8.268887],[0.43901262 0.44828582 0.46303815 0.4847499 ]
DDK8,B,5e-08,12,True,False,TDD,vanilla,0,[0.11693916 0.27212182 0.44168568 0.577881  ],[0.06432466 0.1897972  0.26993558 0.2898087 ],[ 19.046581  49.356117  92.18426  133.89287 ],[ 9.10905  34.180054 64.64929  87.365265],[8.075596  7.904437  7.560917  7.1451893],[0.4511079  0.57466733 0.89739966 1.2515092 ],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534223 0.456648   0.4968093  0.52424604]
DDK8,B,5e-08,15,True,False,TDD,vanilla,0,[0.15068097 0.36033553 0.55967337 0.70095325],[0.12197431 0.2736268  0.338066   0.33422914],[ 27.580935  78.08495  137.00867  187.1886  ],[ 15.898027  59.527588  97.866104 122.34259 ],[8.174557  7.846615  7.2896776 6.7503567],[0.5810976 0.8770179 1.3208092 1.542906 ],[8.301512 8.301376 8.295099 8.286509],[0.5188588  0.5244441  0.5284308  0.55424315]
DDK8,B,5e-08,18,True,False,TDD,vanilla,0,[0.22430073 0.5811434  0.7933052  0.89523447],[0.14036542 0.35601166 0.39437565 0.32832062],[ 42.223442 124.67891  193.81053  242.69608 ],[ 29.931808  94.16101  127.50426  146.13573 ],[7.922824  7.2291155 6.465631  5.951577 ],[0.61594653 1.1239544  1.5628521  1.720311  ],[8.143847 8.165355 8.19014  8.226463],[0.5570067  0.5532856  0.5880717  0.64253396]
DDK8,B,5e-08,21,True,False,TDD,vanilla,0,[0.25511992 0.63034815 0.86756796 0.9332308 ],[0.1812834  0.37096292 0.43276292 0.29548594],[ 49.445858 140.32608  200.3813   240.65842 ],[ 38.028057 104.27296  119.63297  125.15822 ],[7.8444057 7.001633  6.244249  5.736642 ],[0.67820823 1.3115389  1.6140028  1.5417107 ],[8.123272 8.136701 8.135805 8.15118 ],[0.5637358  0.5555875  0.58310056 0.62311333]
DDK8,B,5e-08,24,True,False,TDD,vanilla,0,[0.30030838 0.64090705 0.8020636  0.9009047 ],[0.27614096 0.4381976  0.36739323 0.25469193],[ 60.30959 154.36546 209.14375 255.48674],[ 52.424713 125.58118  130.5493   145.73685 ],[7.94867   7.1087337 6.4790936 6.017362 ],[0.6998816 1.3350924 1.516887  1.4805521],[8.270131 8.258452 8.255482 8.262504],[0.5118271  0.51376563 0.5234589  0.57083213]
DDK8,B,5e-08,27,True,False,TDD,vanilla,0,[0.35029548 0.70368975 0.87043    0.9615675 ],[0.27350298 0.40085107 0.4139269  0.28504914],[ 66.355515 161.80374  214.12979  250.66176 ],[ 57.813797 118.74641  126.764915 128.78285 ],[7.790358  6.769575  6.1278143 5.6181855],[0.7210614 1.5228065 1.6485083 1.6140022],[8.164666 8.149782 8.144778 8.15001 ],[0.5907433 0.6523984 0.6741813 0.6614096]
DDK8,B,5e-08,33,True,False,TDD,vanilla,0,[0.51931816 0.930906   1.1226231  1.207973  ],[0.45318484 0.5800247  0.7400545  0.6330948 ],[103.95043 206.89256 263.49426 287.2289 ],[ 82.878334 136.0541   139.6323   140.81877 ],[7.5718274 6.5925164 5.9236507 5.4537354],[1.1294782 1.4795413 1.6311101 1.5733219],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
DDK8,B,5e-08,36,True,False,TDD,vanilla,0,[0.7201511 1.1336464 1.2180449 1.2632293],[0.67643356 0.9332694  0.5461429  0.46987838],[146.15425 249.74812 287.74622 321.87567],[101.74905 152.58437 133.90009 143.42795],[7.248335  6.0490966 5.373346  4.9654117],[1.2758552 1.7234839 1.640996  1.6201283],[8.266978 8.223077 8.203336 8.203679],[0.6390856  0.63954604 0.61311203 0.6540083 ]
DDK8,B,5e-08,42,True,False,TDD,vanilla,0,[0.78066397 1.0850965  1.132357   1.1555086 ],[0.5334198  0.5018585  0.34689808 0.332256  ],[160.634   263.4148  298.085   333.12027],[131.67868 165.50423 144.0571  160.98857],[6.922324  6.061951  5.313943  4.9776063],[1.4517713 1.5661708 1.5820844 1.4215851],[8.1687   8.187472 8.230034 8.259732],[0.55716753 0.59658355 0.6257369  0.63968194]
DDK8,B,2e-07,3,True,False,TDD,vanilla,0,[0.0539059  0.07141213 0.09252915 0.12121528],[0.01638751 0.02632959 0.03956369 0.05616439],[12.200781 16.101496 20.892004 27.891716],[ 3.8895702  6.0599213  9.230514  13.974798 ],[8.076288 8.059214 8.037251 8.005171],[0.40736246 0.41584077 0.4265466  0.43865296],[8.140387 8.142667 8.144901 8.14683 ],[0.4020315  0.40776485 0.41400665 0.42071086]
DDK8,B,2e-07,6,True,False,TDD,vanilla,0,[0.07602824 0.12027927 0.1847818  0.26489308],[0.0242833  0.05058879 0.09334828 0.14564385],[17.81316  28.13379  43.880108 64.7728  ],[ 5.158835 10.781989 21.133387 35.40282 ],[8.1100445 8.061557  7.9801335 7.8573704],[0.38717207 0.4087502  0.44937193 0.52973986],[8.200198 8.203735 8.207059 8.210534],[0.37354088 0.3805655  0.3896417  0.39972013]
DDK8,B,2e-07,9,True,False,TDD,vanilla,0,[0.09374921 0.17120396 0.28832823 0.41841382],[0.02859211 0.06814234 0.13368306 0.19532995],[ 22.486065  42.37061   74.54189  113.41034 ],[ 7.9545784 22.029509  46.787838  74.08593  ],[8.105466  8.006709  7.822652  7.5508466],[0.41663042 0.424358   0.460143   0.5755904 ],[8.216351 8.215251 8.214624 8.214304],[0.40763524 0.41026485 0.41645423 0.42503932]
DDK8,B,2e-07,12,True,False,TDD,vanilla,0,[0.13284251 0.27225333 0.44490176 0.5882493 ],[0.06348257 0.16919984 0.26363117 0.29301903],[ 28.288013  59.19749  102.35993  142.58159 ],[10.971503 32.784424 59.947044 77.28427 ],[7.959933  7.7294354 7.300685  6.8456297],[0.4930999  0.67111367 1.0703795  1.4059026 ],[8.120098  8.1142645 8.112743  8.113856 ],[0.43833014 0.4555621  0.47286943 0.49387443]
DDK8,B,2e-07,15,True,False,TDD,vanilla,0,[0.1573732  0.33560184 0.5217939  0.65115684],[0.07521049 0.19888057 0.26294783 0.24558268],[ 35.82117  82.04716 138.77948 185.26799],[ 15.924716  52.19497   86.189735 101.55332 ],[8.006603  7.700305  7.1956677 6.804868 ],[0.54051185 0.7474844  1.1443602  1.3132609 ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
DDK8,B,2e-07,18,True,False,TDD,vanilla,0,[0.18723835 0.39723775 0.5796257  0.7039841 ],[0.10412044 0.24595422 0.28543687 0.25872937],[ 41.684414  95.9712   149.77039  193.15707 ],[ 24.403479  68.783325  91.84663  100.42578 ],[7.9449162 7.552913  7.02201   6.6013117],[0.5467348  0.86015505 1.2687078  1.3949399 ],[8.1638975 8.175692  8.188434  8.202102 ],[0.48944053 0.50745434 0.51854205 0.5220388 ]
