model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.02466867 0.02878288 0.03368964 0.03763416],[0.01908091 0.0212575  0.0262693  0.02770673],[4.29233   4.9557605 5.704042  6.578343 ],[1.0581331 1.2814428 1.812846  2.367437 ],[8.318513 8.314384 8.310439 8.306776],[0.19009566 0.19471045 0.19956718 0.20493548],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.07723062 0.12885551 0.19141592 0.2625115 ],[0.08883052 0.13832338 0.2543061  0.35663348],[ 9.240032 15.758799 25.136503 36.61879 ],[ 2.1918287  5.469484  11.309982  21.033413 ],[8.166309 8.133835 8.090708 8.043384],[0.5650355  0.63696814 0.7108926  0.7893407 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.25276065 0.4242221  0.59831655 0.80367655],[0.4670734  0.46502537 0.5166991  0.64693815],[ 20.474724  46.143536  92.71827  143.5623  ],[  9.987101  33.867664  79.455154 126.33111 ],[7.8175025 7.651369  7.4460573 7.115858 ],[1.0272584 1.222504  1.2991805 1.5355687],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.03828695 0.04143894 0.04528715 0.04938034],[0.01363689 0.01480943 0.0167435  0.01918303],[ 8.378022  8.895819  9.544073 10.233   ],[3.0123806 3.1768136 3.448133  3.747021 ],[8.23584  8.234409 8.232279 8.230821],[0.5146512  0.5155996  0.5165217  0.51749045],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.08919191 0.13667245 0.19366775 0.23471376],[0.06282455 0.12985934 0.24774005 0.18590984],[15.357397 21.710136 31.40938  43.08958 ],[ 4.880268  8.170975 14.612228 24.165808],[8.081937 8.051833 8.009143 7.959918],[0.64310735 0.69980925 0.76123875 0.8256001 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.19500667 0.4008667  0.5702248  0.77474785],[0.17051508 0.66215813 0.49274915 0.51468617],[ 30.892122  58.88777  102.74564  152.08769 ],[ 14.271055  41.93243   82.77349  124.948235],[7.9171624 7.734264  7.3921537 6.9253345],[1.0646696 1.2268392 1.4702215 1.646027 ],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02646152 0.02802643 0.03060188 0.03265212],[0.00804999 0.00878559 0.00985467 0.01100393],[6.0396705 6.347163  6.8991594 7.358676 ],[1.8139282 1.8663223 2.048899  2.2628267],[8.185261 8.184804 8.18342  8.183172],[0.35638544 0.3576862  0.35904157 0.36052263],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.06755    0.10062109 0.14293037 0.19700792],[0.0393318  0.06461374 0.0876416  0.13159649],[12.525257 18.80369  28.254509 40.465622],[ 3.8752582  6.853803  12.1345415 20.330246 ],[8.103087  8.075269  8.035246  7.9869146],[0.6463212  0.70812047 0.7749575  0.8422424 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.14349793 0.2627249  0.43464383 0.5943711 ],[0.10111694 0.19303177 0.33806622 0.40824333],[ 24.559416  50.428505  92.0256   142.2517  ],[  8.775326  34.451084  72.861046 117.01666 ],[7.894187 7.779108 7.564379 7.250678],[1.0089664 1.1338427 1.3529187 1.5755975],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.03908911 0.04607655 0.05363042 0.06200828],[0.02217478 0.02745074 0.03525215 0.04353603],[4.8549385 5.5967736 6.441655  7.4168487],[0.79429364 0.9300773  1.2741354  1.6091228 ],[8.303836 8.30142  8.298661 8.296167],[0.13224003 0.13499372 0.1380623  0.1416561 ],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
