model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.02635683 0.02969822 0.0342411  0.03923957],[0.02098073 0.022588   0.02664213 0.02949379],[4.501527  5.0981355 5.864319  6.7482862],[1.1155387 1.5447268 1.9385184 2.4529276],[8.31744  8.314662 8.310419 8.305973],[0.19009984 0.19454576 0.1996831  0.20498669],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.0729022  0.12864523 0.19281821 0.25447708],[0.06907175 0.13289192 0.2550275  0.30565405],[ 9.46023  16.380884 25.65583  38.389915],[ 2.4269314  5.93827   12.440009  22.624693 ],[8.165094 8.131384 8.08887  8.037075],[0.56549096 0.64035046 0.71883315 0.80060434],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.2686677  0.41262794 0.64821726 0.7927506 ],[0.53792006 0.5192448  0.6389681  0.56380886],[ 19.784151  45.07336   92.68313  143.42453 ],[  8.945084  33.354465  80.27868  129.59857 ],[7.8185463 7.698389  7.4055977 7.106654 ],[1.0259904 1.1256509 1.3727449 1.5735855],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.03838418 0.04102976 0.04503061 0.04989284],[0.0145553  0.01601469 0.01727975 0.02015815],[ 8.358125  8.766272  9.499162 10.380411],[3.0975752 3.24482   3.470635  3.917652 ],[8.235965 8.23534  8.233255 8.230261],[0.5142658 0.5152795 0.5163119 0.5173892],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.09121618 0.13730708 0.18959391 0.23871066],[0.06923717 0.13685685 0.19370854 0.17864142],[15.352683 21.80215  31.653908 44.35824 ],[ 4.9549375  8.138881  15.248199  26.623104 ],[8.079183  8.048748  8.007281  7.9530168],[0.64435196 0.70172304 0.7678143  0.8332244 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.21258424 0.39481136 0.59870577 0.74824554],[0.28094926 0.69950217 0.5595611  0.45054153],[ 29.95705   56.309242 104.891396 153.874   ],[ 12.4779825  40.31605    84.06065   125.991585 ],[7.9144096 7.75723   7.402261  6.907526 ],[1.0617732 1.1864327 1.4037839 1.6392709],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02550385 0.02711851 0.02976842 0.03255826],[0.00812339 0.00900619 0.01007313 0.01132075],[5.8496184 6.1599336 6.74242   7.3638167],[1.9094869 2.0603545 2.2031865 2.4899094],[8.186143 8.186185 8.184689 8.183042],[0.35640064 0.35757965 0.35911006 0.36063853],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.06719355 0.09970175 0.14130527 0.19572006],[0.03762004 0.0612228  0.08743296 0.13270147],[12.515051 18.787386 27.835108 40.27502 ],[ 3.9895794  6.8026824 12.584081  21.254784 ],[8.103518  8.075246  8.037641  7.9868364],[0.6454591  0.70794076 0.7731346  0.84160316],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.13898905 0.25728568 0.43951398 0.5974992 ],[0.09962865 0.19416092 0.3497408  0.4322322 ],[ 22.844494  47.388947  90.82167  141.5043  ],[  8.150014  30.929764  71.37344  116.81513 ],[7.8960915 7.787785  7.550979  7.206139 ],[1.0088681 1.125962  1.3581427 1.6397091],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04067864 0.04704259 0.05464644 0.0637954 ],[0.02280368 0.02836724 0.03458503 0.04237222],[5.0533814 5.7564626 6.682757  7.791604 ],[0.87435436 1.1394675  1.4744745  1.893861  ],[8.303407 8.301745 8.298944 8.295176],[0.13256142 0.13545826 0.1389205  0.14267062],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,0,[0.10431358 0.19740985 0.3442396  0.4421779 ],[0.07276582 0.14876093 0.32187542 0.29930502],[12.031176 24.374083 46.66092  74.816986],[ 4.157722 13.557692 32.751713 54.772205],[8.162766  8.082245  7.9529967 7.781148 ],[0.45305336 0.5233358  0.6522784  0.8385737 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,vanilla,0,[0.37983155 0.7516054  0.9031189  0.9951224 ],[0.35796252 0.6211814  0.5852275  0.4778413 ],[ 57.260693 135.84747  191.02242  221.40167 ],[ 44.71659  106.76193  115.89125  121.850266],[7.9738555 7.3815618 6.6617107 6.1491466],[0.7416535 1.0951618 1.4555082 1.750717 ],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,vanilla,0,[0.03477578 0.03806152 0.0426345  0.0478145 ],[0.01055217 0.01245628 0.01433201 0.01700836],[7.1635423 7.6857057 8.522911  9.477678 ],[1.3318918 1.6268077 1.9784082 2.4077425],[8.256238  8.25309   8.2483635 8.24299  ],[0.20100893 0.20325035 0.20574671 0.20831764],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
DDK8,C,1e-07,10,False,False,TDD,vanilla,0,[0.08565556 0.15032895 0.24689943 0.3539324 ],[0.02880508 0.06451729 0.12501587 0.1815453 ],[17.83599  32.215668 56.139107 85.76357 ],[ 5.54535  17.395655 39.605705 65.20933 ],[8.143654  8.070549  7.9422164 7.764439 ],[0.42030758 0.47049335 0.5339872  0.6172671 ],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
