model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.02512897 0.02884769 0.03376048 0.03772904],[0.01923527 0.02075565 0.02538345 0.02693144],[4.3827796 5.0276184 5.796614  6.6573157],[1.0831771 1.2758197 1.7810004 2.2808888],[8.318205 8.314016 8.309965 8.306234],[0.19008705 0.1947199  0.19961527 0.20500877],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.07848226 0.13332897 0.19459325 0.26876408],[0.0894858  0.14772248 0.25229928 0.36452976],[ 9.498072 16.26523  25.925432 37.98646 ],[ 2.3193967  5.748871  11.95571   21.883345 ],[8.165626 8.132594 8.088971 8.040025],[0.565163  0.6370982 0.7112034 0.7907353],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.2507141  0.430995   0.59346765 0.79455787],[0.45732412 0.48359567 0.5071678  0.63439393],[ 21.05799   47.176266  93.66301  144.64386 ],[ 10.26626   34.76055   79.918396 126.598785],[7.8183417 7.6448107 7.443324  7.106565 ],[1.0235463 1.2305214 1.3096384 1.5335915],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.03850658 0.04156988 0.04544054 0.04954186],[0.01365453 0.01491163 0.01675521 0.01927845],[ 8.429787  8.927696  9.596999 10.296429],[3.0488513 3.1932354 3.4447992 3.7398224],[8.235782 8.234511 8.232128 8.230551],[0.5146224  0.5156084  0.51644826 0.51749456],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.08903674 0.1361431  0.19368535 0.23344836],[0.06185964 0.12751532 0.25072193 0.18046713],[15.416369 21.77154  31.50541  43.268803],[ 4.947908  8.223306 14.772364 24.310112],[8.082516  8.052459  8.010107  7.9609966],[0.64328575 0.7004516  0.7623518  0.8257266 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.19437924 0.4104067  0.55834043 0.7647436 ],[0.15795961 0.7399135  0.45756978 0.48457375],[ 31.332481  59.251766 102.463104 151.63983 ],[ 14.333772  41.782444  80.7626   122.7874  ],[7.916551  7.7326827 7.396949  6.937461 ],[1.0648143 1.2276964 1.4737495 1.641501 ],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02656495 0.02815569 0.03087296 0.03302323],[0.00800466 0.00878085 0.00970327 0.01093489],[6.0731416 6.3768    6.971979  7.4447136],[1.8052826 1.8488837 1.9953367 2.1934423],[8.185199 8.184793 8.183066 8.182832],[0.3563609  0.3577015  0.35913965 0.36053967],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.06742017 0.10132528 0.14414655 0.19828601],[0.03955793 0.06577617 0.08826084 0.12909627],[12.470925 18.929443 28.589506 40.939823],[ 3.841243  6.917228 12.309376 20.496178],[8.103547 8.074964 8.034569 7.985301],[0.64637923 0.70862794 0.7755254  0.8433621 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.14525919 0.26204175 0.4366898  0.5962075 ],[0.10143117 0.19120574 0.3465522  0.41967127],[ 25.21073   50.883095  93.00171  142.83672 ],[  8.880414  35.140385  73.222404 116.82896 ],[7.8934674 7.7799354 7.565729  7.254179 ],[1.0107577 1.1320837 1.3495855 1.563416 ],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.03958928 0.0466757  0.05416887 0.06299037],[0.02222639 0.02825616 0.03581626 0.04774377],[4.928274  5.646082  6.502139  7.4787574],[0.8126675  0.93426186 1.2586207  1.6030091 ],[8.303542 8.301125 8.298287 8.295691],[0.13223873 0.13500005 0.13808647 0.14172262],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,0,[0.1019909  0.19997828 0.3387267  0.45277447],[0.06858482 0.16030608 0.30583388 0.31808576],[12.010616 24.583086 45.64063  74.26924 ],[ 4.154357 13.794308 31.541132 54.577263],[8.163891  8.081974  7.9637914 7.7853103],[0.45211998 0.5231846  0.63609064 0.81798655],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,vanilla,0,[0.36759436 0.76380426 0.8714378  0.9543103 ],[0.3411181  0.6719556  0.46544135 0.42799264],[ 56.22165 137.19511 188.2249  216.13115],[ 40.62346 102.20134 114.38295 115.52622],[7.986005  7.3128037 6.6556315 6.288129 ],[0.73915374 1.1947908  1.546209   1.583874  ],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,vanilla,0,[0.03496422 0.0384851  0.04291119 0.04719242],[0.01033053 0.01206102 0.01424027 0.01601663],[7.2043276 7.7945995 8.56801   9.375885 ],[1.287412  1.4995756 1.8205296 2.169243 ],[8.256334 8.252435 8.247745 8.243231],[0.20133905 0.20335764 0.20586187 0.20853761],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
DDK8,C,1e-07,10,False,False,TDD,vanilla,0,[0.08337757 0.14578585 0.23874502 0.34813258],[0.02802031 0.06068535 0.11565242 0.18206517],[17.306795 31.198494 54.12158  83.328995],[ 5.077166 16.190176 36.653236 62.260593],[8.146649  8.076162  7.955304  7.7756763],[0.4192078  0.46770763 0.52252537 0.605725  ],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
