model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,B,5e-08,3,True,False,TDD,vanilla,0,[0.04280787 0.0607798  0.0850146  0.11614056],[0.01428418 0.02172292 0.03442486 0.05293582],[ 8.145411 11.56356  16.513048 23.032959],[ 2.2267869  3.9579911  7.045187  11.85065  ],[8.27637  8.262539 8.24278  8.216259],[0.2897091  0.3032268  0.31763026 0.3330057 ],[8.310017 8.311025 8.311322 8.311014],[0.28663874 0.29886186 0.31123886 0.32331756]
DDK8,B,5e-08,6,True,False,TDD,vanilla,0,[0.06346308 0.11794546 0.18792711 0.27709934],[0.02735492 0.08589328 0.12249381 0.1818372 ],[10.768613 19.561613 34.53116  54.98582 ],[ 3.555997  9.858708 22.05916  38.890827],[8.150828 8.107712 8.028332 7.897725],[0.40351257 0.42594585 0.47019923 0.5751227 ],[8.200852 8.201836 8.201868 8.201473],[0.3916575  0.39977843 0.40850884 0.41598985]
DDK8,B,5e-08,9,True,False,TDD,vanilla,0,[0.07975145 0.17183693 0.29972938 0.44360393],[0.04267617 0.12004182 0.21440773 0.31456584],[14.165811 31.631128 60.860607 95.98278 ],[ 5.5554094 21.527872  48.50637   76.146515 ],[8.187671 8.109323 7.94646  7.668321],[0.4554542  0.49619684 0.6023102  0.86203015],[8.251503 8.261046 8.269067 8.268887],[0.43901262 0.44828582 0.46303815 0.4847499 ]
DDK8,B,5e-08,12,True,False,TDD,vanilla,0,[0.11560754 0.27080667 0.45038548 0.58996314],[0.06780215 0.18742643 0.28381678 0.30957168],[ 18.494604  48.376095  90.774796 133.26173 ],[ 8.587682 33.04887  63.52085  89.282715],[8.077725  7.9148607 7.5861096 7.171419 ],[0.45128322 0.5720436  0.87975997 1.2014809 ],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534223 0.456648   0.4968093  0.52424604]
DDK8,B,5e-08,15,True,False,TDD,vanilla,0,[0.15187807 0.3669049  0.56218714 0.69201696],[0.11602829 0.27490726 0.35861114 0.3328546 ],[ 27.381187  78.42525  134.5563   183.68336 ],[ 16.224112  57.924427  94.49381  119.926315],[8.17458   7.849459  7.2967644 6.8540125],[0.57716   0.8589805 1.4043095 1.4385871],[8.301512 8.301376 8.295099 8.286509],[0.5188588  0.5244441  0.5284308  0.55424315]
DDK8,B,5e-08,18,True,False,TDD,vanilla,0,[0.23797901 0.612634   0.81433696 0.9199717 ],[0.15535031 0.41441727 0.47479823 0.34832674],[ 43.790627 127.89447  191.44998  243.9166  ],[ 32.544483  98.975525 126.07696  148.00583 ],[7.9050093 7.2035956 6.458705  6.0520983],[0.62445074 1.130523   1.6112684  1.5411729 ],[8.143847 8.165355 8.19014  8.226463],[0.5570067  0.5532856  0.5880717  0.64253396]
DDK8,B,5e-08,21,True,False,TDD,vanilla,0,[0.27477172 0.66755617 0.910898   0.94967306],[0.21365882 0.44405884 0.58911073 0.361595  ],[ 50.975643 142.49263  199.80695  239.77957 ],[ 41.079865 105.71914  119.95791  122.256584],[7.825802  6.997838  6.2627773 5.721953 ],[0.6918849 1.3186805 1.6295385 1.720039 ],[8.123272 8.136701 8.135805 8.15118 ],[0.5637358  0.5555875  0.58310056 0.62311333]
DDK8,B,5e-08,24,True,False,TDD,vanilla,0,[0.2962384  0.6520632  0.826047   0.93518853],[0.25971138 0.46657562 0.420986   0.29924545],[ 59.404247 154.96042  210.49025  256.03046 ],[ 50.468887 124.68791  135.13332  145.88191 ],[7.9518394 7.0731916 6.4680095 6.0153956],[0.69774383 1.3714007  1.5153148  1.4722227 ],[8.270131 8.258452 8.255482 8.262504],[0.5118271  0.51376563 0.5234589  0.57083213]
DDK8,B,5e-08,27,True,False,TDD,vanilla,0,[0.3311892 0.7154547 0.9179927 0.9942163],[0.24675867 0.43528363 0.46950477 0.32958344],[ 63.72623 161.61194 218.95781 250.74786],[ 55.908474 123.621895 136.11504  126.018074],[7.8133216 6.765111  6.1661577 5.637344 ],[0.6944251 1.5514487 1.6123756 1.6640049],[8.164666 8.149782 8.144778 8.15001 ],[0.5907433 0.6523984 0.6741813 0.6614096]
DDK8,B,5e-08,33,True,False,TDD,vanilla,0,[0.53813946 0.9919535  1.0785534  1.2566438 ],[0.4455289 0.7698234 0.5113279 0.7288865],[105.58893 210.01248 254.6568  290.25995],[ 85.109604 144.90112  131.6833   135.48619 ],[7.5748425 6.60873   5.891079  5.5614514],[1.031829  1.4735068 1.6590433 1.4749924],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
DDK8,B,5e-08,36,True,False,TDD,vanilla,0,[0.76158553 1.1588814  1.20164    1.2352277 ],[0.55844146 0.77290845 0.4374726  0.40049654],[153.64822 249.22809 290.88266 310.53284],[105.19338 150.94029 140.60416 132.45325],[7.1928687 6.0608478 5.2474227 5.0310884],[1.2893518 1.7061996 1.777271  1.5850003],[8.266978 8.223077 8.203336 8.203679],[0.6390856  0.63954604 0.61311203 0.6540083 ]
DDK8,B,5e-08,42,True,False,TDD,vanilla,0,[0.8119801 1.111846  1.1191266 1.1916692],[0.57186824 0.5594254  0.36971492 0.57529634],[168.49825 260.49927 293.5452  323.508  ],[140.84482 162.71463 134.65094 145.00613],[6.745786  6.013593  5.5109863 4.8883038],[1.5962478 1.5831782 1.5253903 1.5241445],[8.1687   8.187472 8.230034 8.259732],[0.55716753 0.59658355 0.6257369  0.63968194]
DDK8,B,2e-07,3,True,False,TDD,vanilla,0,[0.05134621 0.06881364 0.09171488 0.11966416],[0.0156765  0.02620625 0.04161757 0.05950034],[11.483184 15.309875 20.587975 27.322363],[ 3.538351   5.7839727  9.488755  14.357432 ],[8.080907 8.063646 8.040211 8.009692],[0.4079873  0.4164213  0.4271015  0.44007543],[8.140387 8.142667 8.144901 8.14683 ],[0.4020315  0.40776485 0.41400665 0.42071086]
DDK8,B,2e-07,6,True,False,TDD,vanilla,0,[0.07463163 0.11921787 0.18505608 0.26412553],[0.02563782 0.05317146 0.09494396 0.14598294],[17.435171 27.711172 43.940784 64.41712 ],[ 5.2159915 11.098147  21.328115  34.653984 ],[8.113587  8.064326  7.9819355 7.861127 ],[0.3869454  0.40977463 0.4516146  0.5301552 ],[8.200198 8.203735 8.207059 8.210534],[0.37354088 0.3805655  0.3896417  0.39972013]
DDK8,B,2e-07,9,True,False,TDD,vanilla,0,[0.09279729 0.17018917 0.28720465 0.41667834],[0.02718216 0.06749713 0.13117225 0.19878665],[ 22.313604  41.790806  73.71968  110.92062 ],[ 7.8780284 21.64445   46.431957  73.49356  ],[8.107025  8.006753  7.8263383 7.56138  ],[0.41534767 0.4233484  0.45692423 0.5761934 ],[8.216351 8.215251 8.214624 8.214304],[0.40763524 0.41026485 0.41645423 0.42503932]
DDK8,B,2e-07,12,True,False,TDD,vanilla,0,[0.13026324 0.27493387 0.4495201  0.5836885 ],[0.06105963 0.17108618 0.27496698 0.29607478],[ 27.682076  59.627197 101.86533  140.14694 ],[10.638897 33.471443 58.80815  75.38385 ],[7.962263  7.727173  7.321239  6.8798127],[0.4893125 0.6717725 1.0472623 1.3940729],[8.120098  8.1142645 8.112743  8.113856 ],[0.43833014 0.4555621  0.47286943 0.49387443]
DDK8,B,2e-07,15,True,False,TDD,vanilla,0,[0.15419061 0.3370529  0.5096807  0.6349966 ],[0.0757526  0.20221043 0.26213333 0.24662118],[ 34.854996  81.95401  135.11082  179.4444  ],[15.533922 51.311176 82.71467  96.97984 ],[8.011454  7.713344  7.26898   6.8426037],[0.54022706 0.7284963  1.0395142  1.2812948 ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
DDK8,B,2e-07,18,True,False,TDD,vanilla,0,[0.18895927 0.4115284  0.58295286 0.7123581 ],[0.10931925 0.25977087 0.2976449  0.26794258],[ 41.553295  99.31127  150.09279  194.84242 ],[ 24.889936  73.63265   94.53693  101.96889 ],[7.9398527 7.521892  7.0456395 6.543704 ],[0.551803  0.8843512 1.2167759 1.4342211],[8.1638975 8.175692  8.188434  8.202102 ],[0.48944053 0.50745434 0.51854205 0.5220388 ]
DDK8,B,2e-07,21,True,False,TDD,vanilla,0,[0.24925575 0.5643809  0.75374395 0.87633723],[0.14150691 0.32730097 0.36810908 0.35097677],[ 58.680817 139.83203  191.26407  228.23248 ],[34.093616 82.29273  96.22782  98.90633 ],[7.8666325 7.176182  6.4243054 5.8948193],[0.52884763 0.9488448  1.406817   1.4739556 ],[8.188612 8.176667 8.144227 8.140654],[0.44568112 0.44044286 0.4572289  0.47989473]
DDK8,B,2e-07,24,True,False,TDD,vanilla,0,[0.2864144  0.5995839  0.77924275 0.87687576],[0.1972913  0.35496005 0.3498023  0.25629842],[ 64.88298 145.65279 199.9474  248.60596],[ 42.123642  88.886215  96.06489  109.662415],[7.734552  6.9012365 6.324947  5.7811155],[0.7099309 1.4004244 1.5272139 1.6235698],[8.138821 8.121225 8.131564 8.179233],[0.5049219  0.5401905  0.55457497 0.5767097 ]
DDK8,B,2e-07,27,True,False,TDD,vanilla,0,[0.30739534 0.60450613 0.7801458  0.8897844 ],[0.21291444 0.31688753 0.303896   0.2486444 ],[ 72.16336 155.83246 207.39726 243.4237 ],[ 51.893402 103.441505 110.71854  105.97904 ],[7.772153  6.9797697 6.3312697 5.7213717],[0.7595047 1.2833804 1.5020142 1.5495052],[8.195908 8.177614 8.161719 8.149493],[0.58492225 0.5956014  0.5773279  0.5629562 ]
DDK8,B,2e-07,33,True,False,TDD,vanilla,0,[0.46295196 0.7768377  0.92676413 0.99462837],[0.3084927  0.3993599  0.34006953 0.24681024],[105.256355 197.08307  243.28703  269.79437 ],[ 70.29096 110.92333 112.90801 113.01516],[7.4051576 6.4105515 5.8150816 5.314756 ],[0.8426921 1.4284691 1.432078  1.4652579],[8.113809 8.133947 8.133893 8.112729],[0.5259433  0.55339056 0.55033195 0.5765365 ]
DDK8,B,2e-07,36,True,False,TDD,vanilla,0,[0.4396891  0.81754494 0.9529387  1.0375463 ],[0.3019502  0.57548016 0.36507875 0.25276718],[105.87684 194.00545 239.851   263.98816],[ 79.961845 127.21388  123.57558  104.00026 ],[7.465066  6.5256495 5.8540273 5.177735 ],[0.93218887 1.5442948  1.5085468  1.3787744 ],[8.202237 8.165164 8.124358 8.063301],[0.48082286 0.5317794  0.5752137  0.61029977]
DDK8,B,2e-07,42,True,False,TDD,vanilla,0,[0.61667717 0.91590124 0.98962164 1.032603  ],[0.44767165 0.3949563  0.2687968  0.20694618],[140.82036 233.74147 263.91452 277.88467],[ 99.06002 125.97944 121.11794 113.72455],[6.9933867 6.040301  5.4055414 5.009364 ],[1.298011  1.4693435 1.2989284 1.165326 ],[8.116588  8.1407385 8.108494  8.074529 ],[0.5461969 0.5206076 0.5220433 0.5106325]
DDK8,B,4e-07,3,True,False,TDD,vanilla,0,[0.06327288 0.07926152 0.10017867 0.12607293],[0.01662848 0.02343396 0.03432764 0.04659028],[16.17642  20.350811 25.876009 32.89329 ],[ 4.0704017  5.8213987  8.648094  12.097518 ],[8.127229 8.108812 8.085169 8.056745],[0.3438588  0.351754   0.36197153 0.37384567],[8.20847  8.210395 8.212237 8.213969],[0.3344236  0.33968472 0.345037   0.3505006 ]
DDK8,B,4e-07,6,True,False,TDD,vanilla,0,[0.0891071  0.12827824 0.18659644 0.2502533 ],[0.02529739 0.04543658 0.07732023 0.11234222],[22.003584 32.166714 47.874565 65.780914],[ 6.7599216 12.383593  22.22447   34.185863 ],[8.072992 8.021619 7.939996 7.83676 ],[0.33280638 0.34701946 0.37310985 0.41620353],[8.184885 8.185724 8.186444 8.187491],[0.3219428  0.32802498 0.33519444 0.34295762]
DDK8,B,4e-07,9,True,False,TDD,vanilla,0,[0.11232685 0.18208192 0.28189054 0.38900346],[0.03866557 0.08286856 0.14355922 0.20507191],[ 27.741158  45.400597  72.247765 102.62822 ],[ 9.583814 20.651476 38.299675 58.37892 ],[8.048156  7.948554  7.7756085 7.526976 ],[0.3499367  0.37190792 0.44664526 0.62165827],[8.193824  8.191843  8.1865635 8.178488 ],[0.33316842 0.33920407 0.35002944 0.36504003]
