model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.02626405 0.02789026 0.03229965 0.03649421],[0.02301441 0.02321045 0.02649448 0.03373948],[4.2098727 4.630243  5.283831  5.766881 ],[0.9961387 1.2990538 1.5848596 1.9668114],[8.317833 8.315153 8.311531 8.308552],[0.19010723 0.19469792 0.19974113 0.20507699],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.07555194 0.1330597  0.1984355  0.2920309 ],[0.07957967 0.1543832  0.28234142 0.5206922 ],[ 8.658866 14.67668  22.761284 33.414925],[ 2.0552456  5.0329657 10.379218  18.178555 ],[8.166511 8.136131 8.096959 8.050697],[0.56514925 0.6388229  0.7123666  0.79324836],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.2852819 0.4931596 0.7129792 0.9925351],[0.55726016 0.7204902  0.82394814 0.9916274 ],[ 18.643211  41.0814    80.073235 128.95241 ],[  8.182648  29.901968  68.92995  115.310974],[7.8118987 7.6670213 7.460553  7.1277637],[1.0498047 1.2466143 1.324664  1.6007453],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.03684872 0.03918682 0.04314612 0.04578504],[0.01335149 0.01446785 0.01744523 0.01877834],[7.850056 8.281254 8.854218 9.238596],[2.9199257 3.081496  3.2324007 3.4012299],[8.2355795 8.234225  8.232579  8.231992 ],[0.51430136 0.5149977  0.5160728  0.5172439 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.09036463 0.1387876  0.20177962 0.23428547],[0.0742619  0.1513772  0.3073134  0.21494634],[14.530013 20.333796 28.484652 38.7433  ],[ 4.5927453  7.2697473 12.067399  19.981712 ],[8.079672  8.051093  8.011823  7.9656343],[0.643675   0.70140725 0.76512414 0.8277038 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.22314312 0.5147972  0.7027617  0.9587833 ],[0.29596397 1.4203638  0.9459771  0.928369  ],[ 29.883692  53.554478  90.50892  138.26787 ],[ 11.524757  35.413216  64.95813  106.30047 ],[7.906329  7.7439013 7.432983  7.008432 ],[1.0786804 1.2134365 1.4537784 1.6754234],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02523065 0.02659062 0.02906184 0.03070555],[0.00789582 0.00841056 0.00955745 0.01065439],[5.683546  5.984766  6.5157986 6.821888 ],[1.7643573 1.8270937 1.980179  2.1178155],[8.186736  8.186493  8.1852255 8.185288 ],[0.35655332 0.3576785  0.35892084 0.36040065],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.0690406  0.10146809 0.14083973 0.19138063],[0.0439908  0.07433965 0.09466074 0.14518683],[12.3468895 17.938194  26.413479  36.69994  ],[ 3.837769   6.1990724 10.787369  17.886826 ],[8.10304   8.077348  8.0401325 7.996324 ],[0.6473089  0.70797133 0.7703272  0.83079255],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.1489769  0.27170655 0.4586805  0.64372563],[0.11214064 0.23695637 0.44949144 0.613346  ],[ 23.95091  45.7967   79.83193 126.15501],[ 8.474679 27.828915 53.870857 96.53171 ],[7.8915467 7.7920313 7.582178  7.289981 ],[1.0124452 1.1164712 1.3454156 1.6028278],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04031156 0.04511512 0.05300341 0.06044265],[0.02352513 0.02861584 0.03785416 0.04908371],[4.726504  5.2536836 6.053591  6.704298 ],[0.761484  0.9725711 1.1756518 1.524371 ],[8.303557 8.302146 8.299694 8.297771],[0.13240942 0.13520794 0.13852924 0.14212026],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,0,[0.10216765 0.2109232  0.3775102  0.5121627 ],[0.07851714 0.19504337 0.40054852 0.4645746 ],[10.84344  22.015818 40.51877  65.18047 ],[ 3.505915 11.929419 28.435284 47.37892 ],[8.165949  8.089593  7.9812074 7.8386316],[0.4525318  0.521141   0.62415135 0.7597351 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,vanilla,0,[0.3916326  0.84013504 1.0810488  1.1780012 ],[0.40750322 0.8281439  1.0813007  0.8173763 ],[ 50.53324 123.20873 177.00029 202.23271],[ 39.306744 100.484474 121.58198  119.08916 ],[7.9936786 7.4302526 6.8448486 6.5330176],[0.75103426 1.129776   1.401091   1.4011601 ],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,vanilla,0,[0.03381953 0.03687994 0.04069184 0.04449104],[0.0110036  0.01265655 0.01362641 0.01644379],[6.802539 7.348055 7.987828 8.560346],[1.2773957 1.5638037 1.7732602 2.1188326],[8.25789  8.25444  8.250415 8.246744],[0.20101364 0.2030664  0.20564547 0.20842145],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
DDK8,C,1e-07,10,False,False,TDD,vanilla,0,[0.08260196 0.14353848 0.23639692 0.35162908],[0.02972022 0.06451661 0.1268021  0.21022609],[16.643715 29.383278 49.87333  76.4926  ],[ 4.649068 14.765128 33.392902 59.27611 ],[8.148718  8.081553  7.9653    7.7972064],[0.42060354 0.4687489  0.52334315 0.60150796],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
DDK8,C,1e-07,30,False,False,TDD,vanilla,0,[0.25411788 0.5025303  0.7166741  0.81908697],[0.15605976 0.3094925  0.3423421  0.31607652],[ 49.581715 107.48918  160.77744  200.42711 ],[ 29.049843  78.92491  103.830055 126.94153 ],[7.943637  7.542221  7.1270123 6.702002 ],[0.65803784 0.8070943  0.90083516 1.1916409 ],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
DDK8,C,3e-07,1,False,False,TDD,vanilla,0,[0.03269417 0.03452849 0.03741229 0.03993459],[0.00553798 0.00646245 0.00807595 0.0097686 ],[ 8.594981  9.042876  9.71859  10.31273 ],[1.286375  1.4626845 1.7666366 2.0769   ],[8.275529 8.273586 8.270496 8.267846],[0.12787944 0.12938671 0.13127767 0.1335452 ],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
DDK8,C,3e-07,10,False,False,TDD,vanilla,0,[0.08597298 0.13009709 0.19577482 0.26944762],[0.02666631 0.05101091 0.08880186 0.12288935],[21.43646  32.569206 49.484886 69.82907 ],[ 4.9027934 11.17736   21.182156  32.895493 ],[8.147724 8.080324 7.97787  7.848581],[0.3564467  0.4049109  0.46518552 0.5334175 ],[8.250104 8.243475 8.238306 8.233626],[0.33855358 0.37196392 0.40309045 0.43264046]
DDK8,C,3e-07,30,False,False,TDD,vanilla,0,[0.22493738 0.41845822 0.57413495 0.66632676],[0.12740453 0.25103915 0.28151557 0.28268415],[ 53.27692 103.56729 151.5993  185.54033],[25.017447 54.442898 71.08171  85.68602 ],[7.949576  7.594531  7.246234  7.0402336],[0.65545565 0.9496086  1.1679679  1.2526542 ],[8.243394  8.2595005 8.280929  8.2970915],[0.5275148  0.56576973 0.5995795  0.6289665 ]
DDK8,D,3e-08,1,False,False,TDD,vanilla,0,[0.00886914 0.00992397 0.01156035 0.01271519],[0.00198038 0.00296357 0.00355861 0.00480429],[2.5864043 2.8930862 3.367901  3.7064035],[0.62466985 0.8869856  1.043012   1.4143586 ],[8.303361 8.301988 8.299782 8.298457],[0.16910149 0.16963354 0.17025237 0.17078029],[8.314398 8.314319 8.314234 8.314145],[0.1689577  0.1692839  0.16965668 0.17007592]
DDK8,D,3e-08,10,False,False,TDD,vanilla,0,[0.01841694 0.02701    0.03801254 0.0495162 ],[0.00531603 0.00873791 0.01398097 0.02046691],[ 5.3968143  7.9244576 11.20527   14.696222 ],[1.5288033 2.5055819 4.055472  6.1189213],[8.292862 8.283138 8.270807 8.260297],[0.22210771 0.23249845 0.24267147 0.2532306 ],[8.316226 8.317209 8.319232 8.322231],[0.22064124 0.22971565 0.23861213 0.24789669]
