model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
MODEL,A,3e-08,1,False,False,TDD,vanilla,0,[0.0578978  0.07357889 0.08520372 0.12427717],[0.04717596 0.06284333 0.0737121  0.11162879],[ 8.461079 10.950286 13.121191 19.285503],[ 2.5082262  6.119401   9.65543   14.002408 ],[8.301369 8.290008 8.287917 8.268059],[0.19069561 0.19572257 0.20035921 0.20663553],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
MODEL,A,3e-08,10,False,False,TDD,vanilla,0,[0.13874942 0.23678616 0.3417243  0.43939123],[0.13823828 0.34255955 0.5586969  0.47307083],[15.349308 27.093294 42.68536  69.96646 ],[ 6.260834 11.916855 26.4505   50.1537  ],[8.136996  8.084922  8.018277  7.9037557],[0.5734959  0.66070384 0.7714521  0.92805725],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
MODEL,A,3e-08,30,False,False,TDD,vanilla,0,[0.49903256 0.5644696  0.91043395 1.2015156 ],[1.1591523 0.5288101 1.2970651 1.4046863],[ 40.92617  76.50696 143.16953 194.34235],[ 25.851063  59.25768  118.43025  164.3848  ],[7.659845  7.511399  7.0944624 6.824949 ],[1.2326514 1.3359096 1.5436313 1.6937943],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
MODEL,A,1e-07,1,False,False,TDD,vanilla,0,[0.05569419 0.07268079 0.07846406 0.10854816],[0.03454801 0.04783157 0.05361795 0.07258385],[ 9.288021 12.033405 13.083994 17.956596],[3.35733   4.9739776 6.465818  8.819429 ],[8.2300205 8.218581  8.217879  8.200088 ],[0.5168372  0.519151   0.52051854 0.52228445],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
MODEL,A,1e-07,10,False,False,TDD,vanilla,0,[0.1156697  0.18454413 0.26464242 0.351037  ],[0.12899941 0.16133882 0.2990042  0.25580645],[14.845761 26.226913 41.37762  67.25833 ],[ 7.231065 14.160158 29.110558 55.250927],[8.078743  8.028016  7.971304  7.8889666],[0.6477825 0.7162305 0.7898266 0.8766534],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
MODEL,A,1e-07,30,False,False,TDD,vanilla,0,[0.27331793 0.5784869  0.67479944 0.8726581 ],[0.2445596  1.7423673  0.46333656 0.5356505 ],[ 44.24477   80.608215 144.63268  191.58412 ],[ 37.35689  68.81709 128.53784 162.28304],[7.8539357 7.66828   7.20895   6.7369623],[1.1290039 1.2411492 1.5597836 1.6194034],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
MODEL,A,3e-07,1,False,False,TDD,vanilla,0,[0.04473527 0.05223878 0.05514059 0.07635158],[0.01126134 0.01368624 0.015779   0.02137451],[10.197032  11.706437  12.2934885 16.89098  ],[2.61969   2.4351797 2.6631029 4.112086 ],[8.172863  8.159765  8.160635  8.1395445],[0.35618457 0.35970312 0.3611852  0.3655718 ],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
MODEL,A,3e-07,10,False,False,TDD,vanilla,0,[0.09341621 0.13574827 0.18933786 0.27885816],[0.06448234 0.09702603 0.12119207 0.18715349],[16.551764 24.151817 37.510563 58.438877],[ 7.475695  9.103128 19.213047 35.685825],[8.098077  8.053625  7.997099  7.9161205],[0.6443462 0.7165094 0.7915344 0.8784979],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
MODEL,A,3e-07,30,False,False,TDD,vanilla,0,[0.21941268 0.3271615  0.6089475  0.8000641 ],[0.18741304 0.27032405 0.62114644 0.86560893],[ 39.03816  63.78307 126.32674 175.1175 ],[ 24.371279  46.283627  97.3157   138.58282 ],[7.820554  7.7218    7.396881  7.1080794],[1.1096929 1.1616839 1.4442546 1.6388125],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
MODEL,C,3e-08,1,False,False,TDD,vanilla,0,[0.07453331 0.09564222 0.1088907  0.15588501],[0.04516753 0.05928418 0.07875572 0.10476683],[ 7.974435  9.751545 11.049291 16.318653],[1.3094484 1.9452082 2.9254627 4.3310685],[8.287604 8.277897 8.276338 8.256194],[0.13230175 0.13601089 0.13928461 0.14460868],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
