model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.02599956 0.02954738 0.03312063 0.03701038],[0.02133321 0.02308092 0.02502741 0.02871093],[4.27722   4.985315  5.5349083 6.30151  ],[1.0001793 1.3877987 1.7461122 2.4421566],[8.317848 8.31434  8.310856 8.307233],[0.19009586 0.19461228 0.19967303 0.20499843],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.07544436 0.13727754 0.18841594 0.25433818],[0.07738597 0.1709972  0.23358877 0.34854975],[ 8.983997 15.805094 24.860691 36.373856],[ 2.1098697  5.581413  12.004538  22.09924  ],[8.165867 8.131837 8.087279 8.039074],[0.56566745 0.64160115 0.72129536 0.8026081 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.24858432 0.40442526 0.62821853 0.8159975 ],[0.40727663 0.5127756  0.6822465  0.76530886],[ 21.246105  45.859398  91.5535   141.82428 ],[  9.633781  34.660854  77.55222  126.26063 ],[7.8102303 7.6733646 7.4439154 7.1556683],[1.0371612 1.1971074 1.3149974 1.5088278],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.03806257 0.04197927 0.04531793 0.04882228],[0.01361188 0.01439403 0.01697944 0.01919847],[ 8.10657   8.894534  9.38979  10.115281],[2.9426455 3.277462  3.5204866 4.0675864],[8.236669 8.234128 8.232992 8.231378],[0.5147912  0.51541203 0.516683   0.51789653],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.08686768 0.13209386 0.1912594  0.23189074],[0.06016101 0.1066028  0.23539932 0.18854116],[14.93461  22.110567 31.218529 42.783825],[ 4.6537137  7.972748  13.602914  22.93895  ],[8.082637  8.050849  8.009672  7.9593706],[0.64347804 0.70155543 0.76282555 0.82882273],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.21325569 0.38365647 0.5947944  0.7497254 ],[0.27253148 0.44415686 0.5620933  0.46283787],[ 31.898727  60.846466 106.80018  155.71399 ],[ 15.348346  45.98242   88.62982  131.66046 ],[7.915107  7.7308307 7.34471   6.9397955],[1.0638107 1.2208912 1.5370114 1.5928373],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02513669 0.0282922  0.03027219 0.03233926],[0.0080773  0.00949841 0.01048831 0.01195717],[5.761424  6.4736943 6.9165406 7.3855686],[1.8499995 2.1240013 2.3365784 2.7189817],[8.186213 8.184171 8.183383 8.182913],[0.35649875 0.35788015 0.35932305 0.36056647],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.0670417  0.10259459 0.14586332 0.19749407],[0.04008093 0.06521722 0.09360476 0.1426894 ],[12.471021 19.323267 28.876854 40.62585 ],[ 4.1354775  7.146483  12.514409  20.832212 ],[8.103966 8.072568 8.030624 7.981994],[0.64504945 0.70966643 0.7782648  0.8458055 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.14346102 0.2593169  0.42296967 0.59825605],[0.09757192 0.19150679 0.29169738 0.4412552 ],[ 25.464039  49.324905  90.67128  141.07458 ],[ 10.569102  33.599392  67.28437  112.549675],[7.8949447 7.782626  7.5625825 7.2440925],[1.0101117 1.13883   1.3442326 1.6006235],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04155576 0.04818619 0.05422725 0.06125337],[0.02437296 0.02862139 0.03225375 0.03766244],[4.818365  5.6765957 6.391658  7.432912 ],[0.79952794 1.093917   1.4315923  1.9796764 ],[8.303632 8.301168 8.298729 8.295579],[0.13230912 0.13520728 0.1385831  0.14231472],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,0,[0.10172902 0.20038252 0.32738858 0.44539443],[0.0754878  0.17639686 0.27179062 0.3111707 ],[11.512934 24.159224 45.687817 73.37436 ],[ 3.8869224 13.61076   32.27194   53.900154 ],[8.163651  8.082669  7.9595337 7.7951045],[0.45352402 0.5228525  0.6407969  0.8082712 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,vanilla,0,[0.3599831  0.7621305  0.86995506 0.9997822 ],[0.33217278 0.562289   0.45268565 0.5251269 ],[ 59.412567 140.49431  192.63713  219.42441 ],[ 46.69865 105.78924 123.49194 123.83148],[7.964713  7.319571  6.7285533 6.208219 ],[0.7707118 1.1294848 1.3840673 1.6198757],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,vanilla,0,[0.03446255 0.03889449 0.04237612 0.04662671],[0.01089905 0.01227639 0.01361981 0.01604324],[6.984813  7.8448653 8.457222  9.331546 ],[1.3160872 1.7032615 2.0579116 2.7193873],[8.25736  8.25246  8.248702 8.244155],[0.2013892  0.2035287  0.20592622 0.20853901],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
