model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.02702411 0.03060861 0.03394228 0.03715416],[0.022733   0.02430602 0.02845248 0.02836255],[4.596365  5.2512145 5.910513  6.684287 ],[1.2214999 1.6201949 2.109464  2.8590493],[8.316644 8.313772 8.309543 8.306568],[0.18998106 0.19446078 0.19943167 0.2049827 ],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.07840431 0.13249981 0.19505142 0.2777492 ],[0.08698044 0.13089135 0.21608785 0.39874262],[ 9.441746 16.70386  26.549555 40.48656 ],[ 2.5251908  7.45976   14.232477  25.965124 ],[8.164499 8.131082 8.086574 8.030545],[0.5653601  0.6361974  0.70892763 0.78591144],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.2858665  0.43114904 0.64365333 0.7632756 ],[0.5647705  0.55250686 0.6586575  0.5579018 ],[ 21.164236  46.03661   91.481514 146.85678 ],[  9.561659  33.905296  77.12973  127.982994],[7.8078628 7.690581  7.4383626 7.1212544],[1.0400606 1.1336721 1.3041505 1.4888515],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.03937461 0.04178829 0.04442087 0.04821639],[0.01491775 0.01539622 0.01703766 0.0192356 ],[ 8.609175  9.001346  9.589294 10.199226],[3.270928  3.4236898 3.7765062 4.1811953],[8.234607 8.234063 8.232395 8.231492],[0.51410973 0.51482034 0.51594555 0.5174418 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.08779116 0.1354047  0.188066   0.24300796],[0.05855708 0.11856571 0.18083313 0.21485418],[15.402105 22.458715 31.650654 43.69582 ],[ 4.9208927  8.468979  14.72146   25.143974 ],[8.079268  8.047051  8.004696  7.9524693],[0.6442488  0.70383996 0.7665672  0.8318523 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.24347857 0.46274897 0.612249   0.7559345 ],[0.44058666 1.2347914  0.6698469  0.44961149],[ 31.1513    57.990025 105.710625 157.95595 ],[ 12.805011  40.810078  88.20096  136.213   ],[7.9041886 7.7443895 7.401344  6.958989 ],[1.083425  1.1977963 1.4145733 1.5243589],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02597046 0.02728334 0.02899005 0.03131753],[0.00856743 0.00927319 0.01028012 0.01219735],[5.987292  6.2354956 6.657126  7.0906954],[2.0664966 2.1953437 2.412549  2.7543123],[8.185276 8.18549  8.184963 8.18459 ],[0.3568203  0.35775203 0.35895154 0.360381  ],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.06734106 0.10284568 0.14198476 0.19398569],[0.04135258 0.07053345 0.09315637 0.13652849],[12.442046 19.10894  28.00949  40.01432 ],[ 4.0058227  6.974182  12.026363  20.6197   ],[8.103627  8.073091  8.0337    7.9842505],[0.64635557 0.71021986 0.7776008  0.8484228 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.14740443 0.25148562 0.4211595  0.60085803],[0.10534875 0.18610767 0.29963708 0.42212853],[ 24.86347   46.611366  88.5541   144.00386 ],[  9.363625  29.572792  66.22491  118.74396 ],[7.8902545 7.7932343 7.56885   7.2340684],[1.0090048 1.117596  1.3241714 1.5587581],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04381506 0.04934264 0.05507679 0.06227554],[0.03126977 0.03395964 0.04261054 0.04948054],[5.2046404 5.9463286 6.8140755 7.925714 ],[0.89923656 1.1467667  1.5677766  2.2556317 ],[8.302182 8.30054  8.297469 8.294804],[0.13215801 0.13494863 0.138051   0.1418814 ],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,0,[0.10373472 0.2013519  0.33815545 0.4578822 ],[0.0733752  0.15051998 0.2879627  0.3235873 ],[11.981306 25.241194 47.857056 77.791145],[ 4.3446608 14.62016   34.103153  57.310684 ],[8.162857  8.0795965 7.9491186 7.749893 ],[0.45308575 0.52574855 0.64926845 0.8674841 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,vanilla,0,[0.34898746 0.67906934 0.89170724 0.97937685],[0.31506833 0.4790223  0.5513465  0.4273825 ],[ 57.447792 131.83452  187.77104  221.22719 ],[ 46.99725  98.92971 117.219   127.85915],[7.9809737 7.3667536 6.738552  6.2888155],[0.7438362 1.1684337 1.4126925 1.4590596],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,vanilla,0,[0.0355066  0.03875612 0.04212594 0.04692446],[0.010558   0.01203897 0.01314352 0.0161872 ],[7.3489647 7.9111705 8.666174  9.470232 ],[1.380924  1.7508037 2.2125206 2.8461642],[8.255084 8.251677 8.2473   8.243172],[0.20126094 0.20354486 0.20593415 0.20866565],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
DDK8,C,1e-07,10,False,False,TDD,vanilla,0,[0.08587129 0.15285411 0.25000465 0.36388096],[0.02901259 0.06727291 0.12684101 0.19733104],[17.80854  32.750206 56.8062   87.507385],[ 5.1309223 17.351774  39.620853  66.231995 ],[8.144337  8.070938  7.9393945 7.7415123],[0.42129686 0.4714186  0.5285188  0.6222819 ],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
