model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.0271067  0.03033423 0.03519525 0.03841616],[0.02137386 0.02233409 0.02828026 0.02850567],[4.518142 5.334021 5.945936 6.817337],[0.9959482 1.3302952 1.6960102 2.167938 ],[8.316806 8.312612 8.308497 8.303852],[0.19008018 0.19445838 0.1992453  0.20424946],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.07599732 0.12735894 0.1900698  0.27805728],[0.07171308 0.13438822 0.2412995  0.51205814],[ 9.3055   15.815873 25.005955 37.28019 ],[ 2.3353262  5.652332  11.485392  21.472239 ],[8.164392 8.131436 8.084709 8.029998],[0.5669493 0.6413297 0.7187964 0.8007467],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.25825092 0.41492462 0.6460399  0.8202213 ],[0.5423557 0.4721167 0.6828098 0.676747 ],[ 20.785488  45.28232   90.447586 143.64151 ],[  9.7430935  35.00111    75.757484  125.90088  ],[7.815048  7.6822186 7.4313645 7.073772 ],[1.03362   1.1647886 1.3230978 1.6286345],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.03913195 0.04241107 0.04604762 0.04987313],[0.01492715 0.01485874 0.01789889 0.01996084],[ 8.622928  9.437641  9.974297 10.787512],[3.2585652 3.5369942 3.8004756 4.1868873],[8.236233 8.233594 8.231705 8.229304],[0.51420456 0.5144197  0.5151578  0.51576185],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.08722656 0.12838757 0.18720947 0.22876707],[0.06267542 0.10003275 0.20800303 0.17292687],[15.157162 21.648659 30.831161 42.313198],[ 4.820953  8.064793 14.073116 23.529758],[8.081994 8.05211  8.008714 7.957907],[0.6432624  0.6997457  0.761275   0.82445264],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.22096641 0.42371377 0.5845439  0.76957947],[0.3088153  0.7316082  0.53409576 0.48715433],[ 31.068192  58.32563  102.55347  151.27908 ],[ 13.158488  45.669506  87.6166   125.4517  ],[7.907194  7.737235  7.3654127 6.962637 ],[1.0800432 1.2231508 1.513106  1.5745689],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02541078 0.02766789 0.02976155 0.0320575 ],[0.00747032 0.00803822 0.0088092  0.00957716],[5.950284  6.498735  6.9480805 7.507509 ],[1.8649203 1.9619981 2.0423484 2.1373365],[8.185923 8.184136 8.183361 8.181958],[0.35647425 0.3578534  0.3592757  0.36087772],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.06711571 0.10278232 0.14546137 0.19902378],[0.0404038  0.07036808 0.09882562 0.14234746],[12.434274 19.083094 28.410463 40.94591 ],[ 4.044459  6.951397 12.123875 20.693443],[8.10479  8.074372 8.032767 7.979665],[0.64380854 0.70678616 0.7729777  0.84181666],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.1411103  0.2564042  0.4316754  0.60607684],[0.09194937 0.1923046  0.3388338  0.47100815],[ 24.748352  48.213524  89.124626 139.03961 ],[  9.340577  32.18285   65.69039  112.511024],[7.896833  7.791606  7.5693054 7.2271786],[0.9996952 1.1212113 1.3202118 1.6196429],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04181119 0.04724355 0.05498629 0.06188367],[0.02464977 0.02817899 0.03666988 0.04039564],[5.0737395 5.992939  6.7017126 7.8033824],[0.8025874 1.0246824 1.3009474 1.746015 ],[8.302739 8.299802 8.297125 8.293398],[0.13223799 0.13496903 0.13817401 0.14148386],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
