model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.03326409 0.03634191 0.04349815 0.0503761 ],[0.02978251 0.02966098 0.03544818 0.0392408 ],[5.2069554 5.9063525 7.1146364 8.572802 ],[1.5824807 2.2947226 3.1976333 4.4300337],[8.312762 8.308482 8.30211  8.29623 ],[0.19008587 0.19451053 0.19949247 0.20485437],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.09228258 0.15876645 0.22065361 0.30089426],[0.09203801 0.20617232 0.2612243  0.4047084 ],[10.667392 18.29428  29.432549 46.202656],[ 2.4365711  6.3299246 13.115529  24.537743 ],[8.154311 8.117825 8.065914 8.003511],[0.5711227  0.6460644  0.7290653  0.81412005],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.34318268 0.4873774  0.73869723 0.8864591 ],[0.7557864 0.5184674 0.811448  0.7465782],[ 24.44718   56.105637 102.354225 157.36475 ],[ 11.053591  46.83707   87.990814 142.69612 ],[7.782028  7.6351337 7.3864636 6.9879866],[1.0628061 1.1663979 1.3502442 1.6875002],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.04653379 0.05000448 0.0580826  0.06394172],[0.02236623 0.02355299 0.0305608  0.03192461],[ 9.958083 10.625824 12.045498 13.277582],[3.975556  4.5418663 5.4416704 6.4357824],[8.229003 8.226361 8.221046 8.217672],[0.51328045 0.5143298  0.51478106 0.516219  ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.10486532 0.16114911 0.22800793 0.27741596],[0.08034454 0.1597224  0.24579036 0.20145929],[17.602438 25.314156 36.876038 51.94915 ],[ 5.585349  9.358737 16.584837 28.576542],[8.062859  8.023574  7.9661884 7.89884  ],[0.6475456  0.70851034 0.78009534 0.8540077 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.22739862 0.44986257 0.642997   0.8404585 ],[0.25532067 0.66567487 0.59724927 0.62336916],[ 33.994278  69.28235  114.215546 166.00504 ],[ 14.857823  54.314182 101.92871  143.14944 ],[7.8908496 7.681947  7.313188  6.766091 ],[1.0723472 1.2487713 1.4408076 1.7166048],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02813924 0.03137215 0.03715241 0.04208954],[0.00931794 0.01149596 0.0145777  0.01774884],[6.5614576 7.3051586 8.546145  9.734394 ],[2.4648619 2.9691823 3.6555753 4.5712037],[8.183125  8.181075  8.176374  8.1736355],[0.35613582 0.35743973 0.35912386 0.36047584],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.07080632 0.10831921 0.15730451 0.21811874],[0.04145238 0.0661774  0.09416946 0.14187801],[13.035309 20.289875 31.02756  45.770462],[ 3.9781811  6.8396873 12.311702  22.548868 ],[8.09963   8.064622  8.015032  7.9553814],[0.64844906 0.7140894  0.78803957 0.8626352 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.14973544 0.28895465 0.4790905  0.6813061 ],[0.10968633 0.23058471 0.43317723 0.62498695],[ 25.381567  54.01372   94.30733  151.321   ],[  8.946735  40.925903  69.599144 120.32048 ],[7.8851914 7.7526026 7.5149627 7.196236 ],[1.0180883 1.1604365 1.3950849 1.5928702],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.05045835 0.05620822 0.06974132 0.07954307],[0.02820905 0.03408859 0.04469188 0.05093123],[5.941309  6.6989417 8.094154  9.665018 ],[1.2005717 1.7040197 2.3337743 3.226084 ],[8.298166  8.2953825 8.289988  8.285334 ],[0.1320596  0.1347381  0.13823812 0.14239676],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,0,[0.12433462 0.23662753 0.37606183 0.50064075],[0.0897039  0.21332982 0.31143636 0.3459126 ],[13.509176 28.509926 52.46646  84.65577 ],[ 4.262802 16.382418 36.216854 59.162758],[8.150478  8.056126  7.9130516 7.7111416],[0.45772105 0.53655016 0.6696336  0.85422426],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,vanilla,0,[0.42670172 0.83959067 1.0158324  1.1518892 ],[0.39241505 0.73533696 0.81506914 0.69684553],[ 68.636055 156.29094  202.05717  236.50182 ],[ 57.169853 129.19789  130.57881  133.81294 ],[7.9226713 7.1107335 6.5768723 5.980141 ],[0.7469166 1.3625251 1.4927076 1.7265686],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,vanilla,0,[0.04110597 0.04490639 0.05317056 0.05936941],[0.01387657 0.0157231  0.01973836 0.02251328],[ 8.489163  9.247013 10.770503 12.12882 ],[1.8722715 2.513951  3.4032192 4.5676184],[8.248214 8.243775 8.235986 8.229834],[0.20065142 0.20271868 0.20491953 0.20775054],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
DDK8,C,1e-07,10,False,False,TDD,vanilla,0,[0.09689495 0.17201886 0.2777361  0.39571518],[0.03248239 0.07374281 0.13104922 0.19093807],[19.798975 36.703808 63.03995  96.06465 ],[ 5.47674  19.9103   41.461983 67.69181 ],[8.129545 8.04518  7.899542 7.69366 ],[0.42353904 0.47421363 0.5419058  0.648483  ],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
DDK8,C,1e-07,30,False,False,TDD,vanilla,0,[0.28803787 0.5313818  0.7210546  0.82789075],[0.16739585 0.27714363 0.27538532 0.2487677 ],[ 59.834564 126.16377  179.05397  218.86603 ],[ 37.09544   91.00581  116.237465 130.03944 ],[7.888995  7.3825703 6.836151  6.3529735],[0.6768992 0.9054132 1.1415507 1.4544442],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
DDK8,C,3e-07,1,False,False,TDD,vanilla,0,[0.03528634 0.03858098 0.04505499 0.04999891],[0.00644459 0.00852831 0.01120725 0.01472154],[ 9.508614 10.377886 11.997389 13.282234],[1.8023019 2.3708215 3.0755982 3.9822161],[8.273413 8.269423 8.261849 8.25721 ],[0.12747684 0.12877257 0.1303415  0.1326485 ],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
DDK8,C,3e-07,10,False,False,TDD,vanilla,0,[0.08479966 0.1427413  0.22394453 0.31877446],[0.0267065  0.05832974 0.09900465 0.14252135],[21.316008 35.99782  57.734253 84.87205 ],[ 4.8370476 12.465315  24.703474  40.266426 ],[8.150235 8.062641 7.934694 7.762713],[0.3572482  0.4167379  0.49539256 0.6018882 ],[8.250104 8.243475 8.238306 8.233626],[0.33855358 0.37196392 0.40309045 0.43264046]
DDK8,C,3e-07,30,False,False,TDD,vanilla,0,[0.24577339 0.47529125 0.63358194 0.7307581 ],[0.15255304 0.28631547 0.27950546 0.25792444],[ 59.95469  124.953026 178.76157  216.10887 ],[ 33.938976  74.83252   89.75218  106.731285],[7.9171553 7.36131   6.957926  6.704934 ],[0.68052125 1.220159   1.3581569  1.4259242 ],[8.243394  8.2595005 8.280929  8.2970915],[0.5275148  0.56576973 0.5995795  0.6289665 ]
DDK8,D,3e-08,1,False,False,TDD,vanilla,0,[0.01129158 0.0132868  0.01553418 0.01812909],[0.00346917 0.005403   0.00655564 0.00948523],[3.308357  3.8998423 4.5627074 5.3193116],[1.1007384 1.6302552 2.0103562 2.8682652],[8.299822 8.297265 8.294055 8.290808],[0.16874348 0.16932563 0.16958642 0.17038192],[8.314398 8.314319 8.314234 8.314145],[0.1689577  0.1692839  0.16965668 0.17007592]
DDK8,D,3e-08,10,False,False,TDD,vanilla,0,[0.02521004 0.03837521 0.05591433 0.07865055],[0.00654606 0.01238891 0.02029576 0.03041843],[ 7.424842 11.298994 16.555895 23.52969 ],[2.0325398 3.5426326 5.8420587 9.232463 ],[8.283444 8.267788 8.248298 8.227427],[0.22229254 0.23522924 0.24784221 0.26158413],[8.316226 8.317209 8.319232 8.322231],[0.22064124 0.22971565 0.23861213 0.24789669]
DDK8,D,3e-08,30,False,False,TDD,vanilla,0,[0.04967913 0.09199458 0.13678429 0.19660617],[0.02565322 0.05993648 0.0906656  0.11863304],[13.980666 25.844921 38.552784 56.217896],[ 6.885233 16.784428 26.325207 36.9114  ],[8.219562 8.157984 8.095339 8.029627],[0.33017254 0.3646677  0.39844483 0.45432016],[8.279626 8.265633 8.254636 8.245803],[0.3149234  0.33140603 0.3475315  0.37491977]
DDK8,D,1e-07,1,False,False,TDD,vanilla,0,[0.01224634 0.01430578 0.01653717 0.01918891],[0.00320254 0.00502945 0.00604031 0.00872807],[3.6421614 4.2603583 4.930813  5.728788 ],[0.9937155 1.5531031 1.8875902 2.729565 ],[8.292282 8.289848 8.286793 8.283687],[0.04597213 0.04716043 0.04840204 0.04991046],[8.30858  8.308749 8.308917 8.309082],[0.04570846 0.04691132 0.04821616 0.04961289]
DDK8,D,1e-07,10,False,False,TDD,vanilla,0,[0.02621682 0.0373687  0.05370473 0.07414595],[0.00585267 0.0093727  0.01576329 0.02300514],[ 7.700429 10.989881 15.814928 21.971888],[1.5293823 2.515758  4.2635994 6.5900965],[8.267557 8.253785 8.234048 8.213073],[0.14811926 0.16822313 0.18943821 0.20940623],[8.302197 8.302738 8.303449 8.304353],[0.14413556 0.16243479 0.18018848 0.19722274]
DDK8,D,1e-07,30,False,False,TDD,vanilla,0,[0.04592469 0.07897386 0.11794028 0.16449757],[0.01681803 0.04136305 0.06154365 0.092985  ],[13.446481 23.253569 34.751102 48.850952],[ 4.5705175 11.908183  17.243359  25.257244 ],[8.250258  8.21804   8.1812315 8.14155  ],[0.3007368  0.33924904 0.37863863 0.43229765],[8.307436 8.310596 8.312113 8.31137 ],[0.28931206 0.31602684 0.33770058 0.35521185]
DDK8,D,3e-07,1,False,False,TDD,vanilla,0,[0.01527709 0.01703042 0.01908647 0.0213413 ],[0.00433544 0.00602349 0.0067707  0.00926292],[4.5150037 5.0392103 5.6493697 6.317184 ],[1.2803891 1.7887402 2.0132043 2.7664025],[8.285117 8.283014 8.280047 8.277338],[0.02297051 0.02502352 0.02703694 0.02946323],[8.304571 8.304598 8.304624 8.304644],[0.02125929 0.02278931 0.02444145 0.02619203]
DDK8,D,3e-07,10,False,False,TDD,vanilla,0,[0.03268495 0.04427178 0.05960919 0.07674225],[0.00843668 0.01176157 0.01710558 0.02367359],[ 9.576681 12.955131 17.47058  22.591145],[2.3994424 3.2092876 4.5916953 6.569852 ],[8.25113  8.23636  8.217875 8.199555],[0.13912572 0.16019197 0.18219455 0.204511  ],[8.291802 8.291453 8.291422 8.291797],[0.13622427 0.15536554 0.17447104 0.193445  ]
DDK8,D,3e-07,30,False,False,TDD,vanilla,0,[0.04852889 0.07219899 0.10008148 0.13706689],[0.01677973 0.03125225 0.04601752 0.06233658],[14.237474 21.12431  29.526373 40.925995],[ 4.156538  8.367401 14.029435 20.567558],[8.2565975 8.225173  8.18926   8.150531 ],[0.26918465 0.30604735 0.34375724 0.3760173 ],[8.314291 8.305841 8.296564 8.287483],[0.25759736 0.28634158 0.31637365 0.34177953]
DDK8,A,3e-08,1,False,False,TDD,vanilla,5,[0.01524747 0.01716806 0.02001225 0.02346834],[0.01336987 0.01573065 0.01899477 0.02046919],[2.552387  2.8833485 3.3544364 4.041806 ],[0.71431255 0.9811534  1.3743845  1.9671196 ],[8.324594 8.322113 8.319169 8.315851],[0.19013405 0.19468859 0.19959998 0.20494524],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,5,[0.04926306 0.10807674 0.16501905 0.2378305 ],[0.04891542 0.17191096 0.22406118 0.36240187],[ 5.976758 11.721056 20.855629 34.853825],[ 1.77223    5.6677184 12.885951  23.96804  ],[8.180212 8.154673 8.117571 8.072147],[0.5591937  0.6290241  0.70217955 0.7774334 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,5,[0.27399766 0.4397166  0.6701252  0.82996523],[0.6330017  0.676818   0.71906614 0.73860854],[ 18.584417  48.303764  94.34347  149.98578 ],[ 10.34215  46.09579  86.40608 140.56544],[7.8278527 7.6909294 7.4567137 7.09195  ],[1.0283384 1.147731  1.3260121 1.6434046],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,5,[0.02617173 0.02817381 0.03158162 0.03500656],[0.00835212 0.01027759 0.01302066 0.0156258 ],[6.196537  6.5315247 7.1258564 7.73269  ],[2.1753657 2.410518  2.7826161 3.309885 ],[8.247591  8.2468605 8.245552  8.244404 ],[0.514976  0.5156026 0.5162789 0.5171508],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,5,[0.05805184 0.09974708 0.15431136 0.19892289],[0.0365153  0.10403495 0.2082391  0.16002281],[10.376841 15.650613 24.21561  36.8445  ],[ 3.1741228  6.3400373 12.872526  24.626364 ],[8.105844 8.082697 8.047199 8.002544],[0.635611   0.68943185 0.7506896  0.81249994],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,5,[0.16125719 0.3776862  0.5454723  0.79839206],[0.19377063 0.75792676 0.50804925 0.6891581 ],[ 22.918747  55.27864   98.90535  154.24081 ],[ 11.340949  48.21547   95.965004 138.52585 ],[7.967088  7.78278   7.4525337 6.925858 ],[1.0324832 1.1967651 1.4060324 1.6909621],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,5,[0.0147057  0.01626609 0.01855094 0.02111843],[0.00558902 0.00623644 0.0073796  0.00890545],[3.6314733 3.977273  4.4411345 5.015015 ],[1.6627513 1.7903037 1.9628255 2.2677   ],[8.198666 8.198378 8.197513 8.197058],[0.35455558 0.35579988 0.35739562 0.3588139 ],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,5,[0.03831208 0.06620438 0.10394689 0.15527184],[0.02144026 0.04307672 0.07055242 0.11504664],[ 7.3784513 12.39959   20.275219  32.324615 ],[ 2.8542733  5.154997   9.921464  19.606056 ],[8.135143 8.112955 8.080518 8.038567],[0.6318139  0.6908271  0.75392765 0.8197692 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,5,[0.09796179 0.2260518  0.40386087 0.6235114 ],[0.07670017 0.19129448 0.3603257  0.56210244],[ 16.540598  42.776485  80.682144 138.82832 ],[  7.6104374  38.483494   67.317665  117.2813   ],[7.9496293 7.8407245 7.630123  7.3165746],[0.96877325 1.0932367  1.3144324  1.5332245 ],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,5,[0.02460702 0.02823918 0.03381069 0.04066129],[0.01463933 0.01874301 0.02277391 0.02763898],[3.0618644 3.4475608 4.0918865 4.9539676],[0.6175661 0.8191559 1.1879927 1.7651048],[8.311318 8.310476 8.308781 8.306628],[0.13180006 0.13424836 0.13725196 0.14045759],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,5,[0.07041862 0.16505311 0.3024921  0.4262303 ],[0.05380177 0.16211297 0.28510842 0.32138768],[ 8.039374 20.564264 42.682827 73.51627 ],[ 3.3690772 14.764391  35.16065   59.173496 ],[8.180317 8.105261 7.986326 7.813631],[0.44720867 0.5144955  0.6310712  0.7821649 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,vanilla,5,[0.379062  0.8013752 0.988881  1.1294061],[0.37744653 0.6968041  0.7801517  0.6726461 ],[ 61.93297 150.24448 196.97015 232.31702],[ 57.78928 130.60777 132.33699 134.38655],[7.964436  7.1815057 6.632513  6.0447345],[0.7294278 1.3118333 1.4974171 1.724028 ],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
