model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.02847864 0.0309654  0.0374075  0.04176794],[0.02363048 0.02300929 0.02946885 0.03088455],[4.7467012 5.470184  6.633732  7.5623755],[1.4446938 2.0078897 2.973922  3.9477303],[8.3165045 8.312454  8.306732  8.302604 ],[0.18991737 0.19455944 0.19946837 0.20487599],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.07820006 0.14528318 0.21820663 0.29009908],[0.07561649 0.16548626 0.2969016  0.43729657],[ 9.819156 17.175304 28.024641 41.933792],[ 2.4078813  6.116393  12.989247  23.96582  ],[8.162522 8.125333 8.073819 8.013409],[0.566904   0.6453854  0.7271978  0.82076114],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.2810495  0.42541596 0.6186472  0.7885978 ],[0.6343466 0.5501231 0.5515754 0.5690921],[ 21.156204  46.98096   94.13561  145.00801 ],[  9.526166  34.823902  79.1227   123.000404],[7.8125563 7.6745934 7.413659  7.1003914],[1.0261967 1.1541028 1.3415065 1.5334908],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.04103085 0.04351411 0.04869513 0.05226972],[0.01502791 0.01640394 0.01947621 0.02156803],[ 8.957886  9.433656 10.40972  11.050476],[3.491034  3.664684  4.3010793 4.646916 ],[8.233753 8.232853 8.22971  8.22858 ],[0.5139517  0.51541215 0.5162248  0.51762307],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.09312187 0.14421128 0.19981617 0.24626642],[0.06768753 0.13064282 0.20515123 0.1767263 ],[16.001524 23.037682 33.060123 46.39225 ],[ 5.1661825  8.521678  15.070081  26.371927 ],[8.075239  8.041872  7.996355  7.9382453],[0.6440283  0.7021964  0.76482904 0.8314371 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.21866551 0.3956605  0.6186193  0.7860376 ],[0.27283394 0.53221303 0.6706931  0.5318662 ],[ 31.500526  61.565235 111.4122   162.37341 ],[ 12.754874  45.04034   94.593346 136.43195 ],[7.901145 7.72643  7.348543 6.93626 ],[1.0813853 1.2053721 1.4428319 1.5339509],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02795022 0.02960619 0.03258095 0.03546911],[0.00921774 0.01033539 0.01208402 0.01355645],[6.4906926 6.841538  7.515804  8.144754 ],[2.364991  2.5874493 3.0788026 3.441278 ],[8.183134 8.183109 8.181205 8.180009],[0.35653606 0.35763982 0.35869992 0.36035997],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.06980319 0.10398855 0.14715461 0.20484732],[0.03952186 0.06641863 0.08479515 0.12953305],[13.087367 19.35702  29.275618 42.678356],[ 4.2015133  6.752527  12.400127  21.95125  ],[8.099579  8.070773  8.028305  7.9716406],[0.647582   0.70905316 0.77444136 0.8470583 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.1418317  0.26244012 0.43931806 0.60186934],[0.09667396 0.19440392 0.32463202 0.40459728],[ 24.268272  49.71611   93.239494 146.50026 ],[  8.996133  33.162567  71.17703  122.49975 ],[7.890311  7.7757826 7.5478377 7.226554 ],[1.0131838 1.1395192 1.3383714 1.5826154],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04317757 0.04878064 0.05846173 0.06622733],[0.02552539 0.02956985 0.04040079 0.04596102],[5.32499   6.1525464 7.4234385 8.500251 ],[1.0825094 1.4782678 2.082845  2.77362  ],[8.302186 8.299653 8.295344 8.292295],[0.13242912 0.1352625  0.13853005 0.14226595],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,0,[0.10438047 0.20629017 0.3563496  0.45113504],[0.06806352 0.16660516 0.3868196  0.30942646],[11.998606 25.087227 46.92728  75.92897 ],[ 3.6606257 13.712842  31.519342  54.617912 ],[8.161961  8.076595  7.9511175 7.7644606],[0.4538786  0.52860624 0.64981455 0.8538085 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,vanilla,0,[0.38194343 0.73547906 0.8590771  0.9517146 ],[0.35764232 0.5830858  0.42980748 0.42692858],[ 58.844166 143.6712   195.21931  220.6216  ],[ 47.130516 110.23475  127.31679  125.605194],[7.958189  7.255885  6.6885247 6.2502747],[0.76925373 1.2449255  1.3740801  1.6129432 ],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,vanilla,0,[0.03661584 0.04033231 0.04555493 0.05007036],[0.0114928  0.01397174 0.01642324 0.01857435],[ 7.6487126  8.281315   9.337708  10.171005 ],[1.7093554 2.1284244 2.7887273 3.332094 ],[8.253868 8.250071 8.244327 8.239986],[0.20071834 0.20286615 0.20522362 0.20801085],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
DDK8,C,1e-07,10,False,False,TDD,vanilla,0,[0.08601502 0.15358049 0.24999304 0.36444512],[0.02723364 0.06446264 0.1212464  0.18298943],[17.938654 32.84101  56.902275 87.87461 ],[ 5.0092616 17.314783  39.746105  65.80529  ],[8.142301 8.067724 7.93894  7.742923],[0.4213786  0.4701058  0.52796966 0.622913  ],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
DDK8,C,1e-07,30,False,False,TDD,vanilla,0,[0.26814795 0.50082153 0.6665985  0.7944818 ],[0.1579859  0.253155   0.2510938  0.23475914],[ 55.160206 120.14341  168.35414  215.78593 ],[ 35.036922  86.30696  105.27824  129.57338 ],[7.914524  7.4460926 7.0212593 6.4223237],[0.6710612 0.8631881 1.0127306 1.3427193],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
DDK8,C,3e-07,1,False,False,TDD,vanilla,0,[0.03642332 0.03808611 0.04129085 0.0447845 ],[0.00612765 0.00740979 0.00926708 0.0103745 ],[ 9.770618 10.13435  10.911598 11.714762],[1.7616911 1.9331802 2.4039278 2.6090195],[8.271351 8.270382 8.266368 8.262186],[0.12744865 0.12918082 0.13093126 0.13305525],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
DDK8,C,3e-07,10,False,False,TDD,vanilla,0,[0.0883512  0.13650882 0.2085616  0.2949771 ],[0.02614855 0.05212061 0.08994924 0.13183701],[22.316872 34.521732 53.575687 77.93074 ],[ 4.8245826 11.717744  22.890684  37.6292   ],[8.143628  8.068786  7.9557714 7.8017645],[0.35690647 0.40722838 0.47322303 0.5611194 ],[8.250104 8.243475 8.238306 8.233626],[0.33855358 0.37196392 0.40309045 0.43264046]
DDK8,C,3e-07,30,False,False,TDD,vanilla,0,[0.2296684  0.42854682 0.5963385  0.70186865],[0.13466224 0.23420136 0.25567093 0.2414479 ],[ 54.90212 112.28899 168.40651 209.98087],[ 27.369785  63.46382   84.63211  106.1687  ],[7.936117  7.5378323 7.102698  6.6951184],[0.6696694 0.9797401 1.2277207 1.372703 ],[8.243394  8.2595005 8.280929  8.2970915],[0.5275148  0.56576973 0.5995795  0.6289665 ]
DDK8,D,3e-08,1,False,False,TDD,vanilla,0,[0.01002263 0.01197065 0.0146182  0.01626866],[0.00306456 0.00449682 0.00627217 0.00821855],[2.9252334 3.4990113 4.28207   4.7666783],[0.94017893 1.3506778  1.8773212  2.4573164 ],[8.30174  8.299091 8.295416 8.293255],[0.16907679 0.16969942 0.1703687  0.17117791],[8.314398 8.314319 8.314234 8.314145],[0.1689577  0.1692839  0.16965668 0.17007592]
DDK8,D,3e-08,10,False,False,TDD,vanilla,0,[0.02123496 0.03311223 0.04776466 0.06443847],[0.00606653 0.01094843 0.01718836 0.0245944 ],[ 6.2274175  9.689125  14.031009  19.049572 ],[1.7630668 2.955385  4.672868  7.0922346],[8.289341 8.274727 8.257796 8.240227],[0.22246993 0.23360878 0.24543352 0.25648007],[8.316226 8.317209 8.319232 8.322231],[0.22064124 0.22971565 0.23861213 0.24789669]
DDK8,D,3e-08,30,False,False,TDD,vanilla,0,[0.04082397 0.07757545 0.1256648  0.17818731],[0.02062806 0.0518021  0.09004708 0.11931122],[11.415314 21.496496 34.75794  50.31023 ],[ 4.8890133 13.603727  23.518778  34.55039  ],[8.229367 8.172838 8.112928 8.039523],[0.32925278 0.36208946 0.4032834  0.45969328],[8.279626 8.265633 8.254636 8.245803],[0.3149234  0.33140603 0.3475315  0.37491977]
DDK8,D,1e-07,1,False,False,TDD,vanilla,0,[0.01163663 0.0136005  0.01611745 0.01760092],[0.0029939  0.00417782 0.00571943 0.0073502 ],[3.4542844 4.0435534 4.7947145 5.238886 ],[0.9237873 1.2854695 1.7518746 2.248541 ],[8.293648 8.291247 8.288091 8.286318],[0.04613449 0.0472023  0.04858531 0.05009472],[8.30858  8.308749 8.308917 8.309082],[0.04570846 0.04691132 0.04821616 0.04961289]
DDK8,D,1e-07,10,False,False,TDD,vanilla,0,[0.02271757 0.03412433 0.04672664 0.0605736 ],[0.00512612 0.00946253 0.01405909 0.01985452],[ 6.6779313 10.016498  13.750821  17.798744 ],[1.3970441 2.5367155 3.8890095 5.2817183],[8.273078 8.258725 8.243322 8.226167],[0.14710943 0.16774555 0.18784729 0.20926574],[8.302197 8.302738 8.303449 8.304353],[0.14413556 0.16243479 0.18018848 0.19722274]
DDK8,D,1e-07,30,False,False,TDD,vanilla,0,[0.04077707 0.07040307 0.10999656 0.15470749],[0.0148395  0.03435278 0.05785276 0.08437658],[11.891637 20.566364 31.992504 45.367462],[ 3.823426  9.715291 15.415943 22.894058],[8.257254 8.227233 8.188799 8.14528 ],[0.30065316 0.3385137  0.38189405 0.42384574],[8.307436 8.310596 8.312113 8.31137 ],[0.28931206 0.31602684 0.33770058 0.35521185]
DDK8,D,3e-07,1,False,False,TDD,vanilla,0,[0.01535936 0.01717449 0.01950908 0.02075219],[0.00450028 0.00559619 0.00696752 0.00847303],[4.540916  5.08593   5.7807703 6.152555 ],[1.3279606 1.6594145 2.0699487 2.5241516],[8.285841 8.283566 8.280544 8.27897 ],[0.02306885 0.02496209 0.02705693 0.02943824],[8.304571 8.304598 8.304624 8.304644],[0.02125929 0.02278931 0.02444145 0.02619203]
DDK8,D,3e-07,10,False,False,TDD,vanilla,0,[0.03015162 0.04107608 0.05309094 0.06566579],[0.00828086 0.0110537  0.0148663  0.01848438],[ 8.826596 12.05599  15.596583 19.32103 ],[2.3780267 3.2086675 4.25854   5.33591  ],[8.255767 8.241375 8.226529 8.210534],[0.13867147 0.15849061 0.17969467 0.2005667 ],[8.291802 8.291453 8.291422 8.291797],[0.13622427 0.15536554 0.17447104 0.193445  ]
DDK8,D,3e-07,30,False,False,TDD,vanilla,0,[0.04322179 0.06300117 0.08961317 0.12303001],[0.01432553 0.02428555 0.03763695 0.05448328],[12.626706 18.354671 26.159101 35.96747 ],[ 3.3216238  5.9581366  9.62307   14.623319 ],[8.263195 8.234942 8.200419 8.159259],[0.26854736 0.30352044 0.3408187  0.37445626],[8.314291 8.305841 8.296564 8.287483],[0.25759736 0.28634158 0.31637365 0.34177953]
DDK8,A,3e-08,1,False,False,TDD,vanilla,5,[0.01400168 0.01595309 0.01803433 0.02021677],[0.01110682 0.0126175  0.01360571 0.015973  ],[2.4129124 2.786539  3.2330978 3.570771 ],[0.62513125 0.8094922  1.0547494  1.400659  ],[8.325167 8.32261  8.319905 8.31766 ],[0.19012354 0.19470005 0.19969179 0.20499673],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,5,[0.04343937 0.09392888 0.16811022 0.22778198],[0.04269944 0.12546101 0.29067844 0.37974623],[ 5.5819697 10.794716  19.429363  31.474205 ],[ 1.8957276  5.033372  11.707107  22.668327 ],[8.183262 8.158786 8.12347  8.080071],[0.55783516 0.6293345  0.7029709  0.7812404 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,5,[0.22229151 0.3609709  0.55831784 0.7356821 ],[0.5409979  0.4957158  0.52599275 0.585113  ],[ 16.053665  39.79187   86.243126 136.82579 ],[  9.173204  34.79797   79.52493  122.602844],[7.8496313 7.738765  7.5128937 7.2070146],[1.0015066 1.1068027 1.2496405 1.4853941],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,5,[0.02316043 0.02472714 0.02694509 0.0288507 ],[0.00759603 0.00821566 0.01006883 0.01158316],[5.3577766 5.649118  6.0223846 6.332219 ],[1.9439088 2.074208  2.2692516 2.4125881],[8.249033 8.2487   8.247931 8.247807],[0.514961   0.51554406 0.5161931  0.51719093],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,5,[0.05300462 0.08796229 0.13567874 0.17254889],[0.03309916 0.07854455 0.16767718 0.1373857 ],[ 9.457452 14.088148 21.480846 31.542454],[ 2.9858577  5.6418996 11.44462   20.793581 ],[8.109223 8.089335 8.059153 8.019422],[0.6342516 0.6870486 0.7441749 0.805646 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,5,[0.1533297  0.34413382 0.5301765  0.7214788 ],[0.20386425 0.6741094  0.6074702  0.50753814],[ 20.899328  48.322964  97.1249   149.12007 ],[  9.50407   41.240948  92.55218  134.00064 ],[7.969733  7.8168645 7.468976  7.09792  ],[1.038776  1.1526169 1.3958174 1.4546623],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,5,[0.01465934 0.01570893 0.01685133 0.01803946],[0.00529959 0.00578836 0.00634516 0.00689787],[3.5310235 3.750146  3.998595  4.2289534],[1.4803895 1.538064  1.6539099 1.7099601],[8.198328 8.198699 8.198612 8.198772],[0.3548557  0.3560867  0.35743695 0.35903013],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,5,[0.03844025 0.06216222 0.0946616  0.1380729 ],[0.02168195 0.04086453 0.06336317 0.10097698],[ 7.3918056 11.514756  18.263945  27.760862 ],[ 2.6683905  4.4971075  8.748977  16.30491  ],[8.133346  8.115113  8.087232  8.0513315],[0.63276577 0.6891469  0.74731904 0.8071632 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
