model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.0272935  0.03019841 0.03382971 0.03862833],[0.02144061 0.02237623 0.02609583 0.03007173],[4.689659  5.311549  5.9304743 6.7130566],[1.1014698 1.3397075 1.6569332 2.2414548],[8.316814 8.313001 8.309746 8.305609],[0.19002223 0.19442694 0.19937891 0.20457444],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.0823696  0.13700618 0.18764265 0.2502341 ],[0.08773127 0.14803547 0.2061294  0.28008506],[ 9.673517 16.65912  26.466595 39.43386 ],[ 2.4180458  5.986585  13.02002   23.35399  ],[8.162692 8.126693 8.07875  8.019367],[0.56638277 0.64058435 0.7186012  0.80019057],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.2637647  0.4186384  0.6052579  0.78295165],[0.51812613 0.5511737  0.57070154 0.5698247 ],[ 19.413109  44.4507    88.946815 139.11282 ],[  7.86848   31.753317  74.13605  118.5446  ],[7.816641  7.686414  7.4323063 7.091368 ],[1.0298454 1.1436224 1.3118522 1.5434642],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.04049467 0.04348979 0.04627033 0.04983916],[0.0150655  0.0161309  0.01873029 0.02083215],[ 8.910116  9.503927  9.900424 10.475162],[3.3463063 3.580882  3.6547337 3.8891065],[8.234937 8.232817 8.231722 8.229953],[0.51437587 0.514515   0.5156154  0.51661175],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.09169216 0.13808276 0.19667804 0.24320015],[0.06157876 0.11013222 0.22620197 0.177061  ],[16.100153 23.416723 32.892845 45.835625],[ 5.2393007  8.919561  15.078315  25.12899  ],[8.077648 8.043334 8.000084 7.941526],[0.64419794 0.7002023  0.7618194  0.82774264],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.20944366 0.41088104 0.601801   0.78910065],[0.24032849 0.5934084  0.5885221  0.52112234],[ 30.364113  59.31634  103.23757  152.2157  ],[ 11.693271  41.448803  85.25294  124.42948 ],[7.9163294 7.7288957 7.4054246 6.957899 ],[1.0682652 1.22255   1.4017586 1.5392228],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02611189 0.02794927 0.02948711 0.03210954],[0.00792248 0.00819092 0.0089181  0.01007793],[6.1009426 6.516087  6.847885  7.367144 ],[1.9200109 1.9538621 2.0224261 2.1965194],[8.185718  8.184322  8.184134  8.1830635],[0.35639384 0.357668   0.35895652 0.36024174],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.068754   0.10654538 0.147337   0.20620719],[0.04132958 0.06996595 0.08997263 0.13242644],[12.743068 19.965923 29.49382  43.338234],[ 4.0365033  7.329936  12.947355  21.894545 ],[8.103597 8.06947  8.027574 7.969334],[0.64516246 0.70993984 0.77620375 0.8459672 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.13714892 0.25542325 0.42931998 0.6011923 ],[0.09177661 0.18477358 0.31348687 0.42106792],[ 23.401705  48.522022  90.76137  140.6881  ],[  8.163054  32.40961   70.96058  114.199585],[7.902001  7.7865157 7.565875  7.2118115],[1.0018743 1.1283096 1.3358074 1.6019751],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.04314036 0.04924252 0.05556439 0.06311764],[0.0271526  0.03347594 0.04005817 0.04579313],[5.308385 5.9618   6.710685 7.624234],[0.9481536 1.1366333 1.4292411 1.812524 ],[8.302464 8.300321 8.298159 8.295032],[0.13226958 0.13502422 0.13815196 0.14191554],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
