model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.02556202 0.02959166 0.03451388 0.03960069],[0.02063637 0.02223462 0.0273726  0.03051173],[4.414375  5.142023  5.894556  6.9302306],[1.111157  1.4384952 1.8621624 2.504794 ],[8.318251 8.313947 8.309907 8.30585 ],[0.1900993  0.19464496 0.19958517 0.2049696 ],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.07771447 0.13295591 0.19435507 0.26404423],[0.09495107 0.14855063 0.27062953 0.3421356 ],[ 9.496619 16.477463 26.064913 38.359936],[ 2.3280752  5.958841  12.355369  22.064903 ],[8.16623   8.133008  8.0902    8.0402775],[0.5643899  0.63649154 0.71012986 0.7911444 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.24352637 0.42926845 0.61159647 0.7806051 ],[0.4166887  0.4904572  0.5524682  0.58324236],[ 21.484531  47.757572  93.94335  144.10318 ],[ 10.85209   35.942055  80.457954 128.44409 ],[7.816627  7.6460667 7.4368544 7.1324067],[1.0271049 1.2292023 1.31752   1.4904078],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.03823843 0.0416301  0.04545007 0.04975525],[0.0136182  0.01487466 0.01705649 0.01884463],[ 8.377365  8.977125  9.65205  10.41467 ],[3.015331  3.211841  3.4994457 3.8390384],[8.235787 8.234178 8.231699 8.230056],[0.51466346 0.51564854 0.5164013  0.51733947],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.08874615 0.13446319 0.192532   0.2315098 ],[0.06045426 0.11618435 0.23380004 0.17225674],[15.536351 22.166275 31.952343 43.870102],[ 4.9998055  8.596946  15.263433  24.97744  ],[8.082045  8.051372  8.008502  7.9589887],[0.6433109 0.7002495 0.7624757 0.8260823],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.19962911 0.38865468 0.56067723 0.7498875 ],[0.17801803 0.57313156 0.4573992  0.4671296 ],[ 31.596834  59.569176 103.60428  151.02866 ],[ 14.171243  42.4208    83.255455 124.19388 ],[7.911347  7.731182  7.3768163 6.940744 ],[1.0723594 1.2258488 1.5035379 1.6129493],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02635268 0.02836732 0.03097183 0.03331203],[0.00813293 0.00898055 0.00970601 0.0110294 ],[6.0165434 6.420463  7.018208  7.5501337],[1.8329321 1.8980496 2.0522788 2.333469 ],[8.185234 8.184455 8.182684 8.182347],[0.35631126 0.35765868 0.35914713 0.36059332],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.0671686  0.10246468 0.14444403 0.1990284 ],[0.03864263 0.06576126 0.08552171 0.12572554],[12.568193 19.417885 29.215857 41.91031 ],[ 3.9107969  7.2825828 12.862268  21.084263 ],[8.103443 8.074207 8.034464 7.984039],[0.6458592  0.7082812  0.77340215 0.84254366],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.14386325 0.26456752 0.43569306 0.5961511 ],[0.10083141 0.19526425 0.35163528 0.43029156],[ 24.907967  51.432583  92.40798  142.36977 ],[  9.03417   35.435165  70.61578  115.60697 ],[7.894778  7.779517  7.5647187 7.242824 ],[1.0092779 1.1341332 1.34386   1.5857937],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.03905832 0.04674347 0.05384109 0.06375036],[0.02144025 0.02780692 0.03439539 0.04643241],[4.945199  5.7735457 6.606047  7.7788973],[0.83927876 1.0367286  1.3550017  1.7884488 ],[8.303806 8.301162 8.298395 8.295384],[0.13229193 0.1349892  0.13821463 0.14193064],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,vanilla,0,[0.10071497 0.19769388 0.3380339  0.4445197 ],[0.06528427 0.15243018 0.30417252 0.30396557],[12.132252 25.129692 46.50753  74.810104],[ 4.169752 14.002448 31.528473 53.61813 ],[8.164423  8.0825405 7.963748  7.790972 ],[0.45211256 0.5228086  0.6369932  0.817738  ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,vanilla,0,[0.37235942 0.7465273  0.87881005 0.9549738 ],[0.35485628 0.63133633 0.50394356 0.42565823],[ 57.15927 136.52167 188.27512 216.70464],[ 42.026756 102.230125 114.23052  118.73134 ],[7.9774365 7.2941155 6.6572905 6.2967796],[0.74903905 1.281236   1.5480659  1.4971737 ],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,vanilla,0,[0.03474216 0.03875271 0.04300089 0.04790151],[0.01046183 0.01240316 0.01439824 0.0163926 ],[7.1806054 7.891484  8.664653  9.578003 ],[1.3168069 1.6026319 1.9251795 2.3889759],[8.256442 8.25215  8.247377 8.242652],[0.20126434 0.2033547  0.20582315 0.20847665],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
DDK8,C,1e-07,10,False,False,TDD,vanilla,0,[0.08348573 0.1465441  0.23952673 0.3475812 ],[0.02784047 0.06033615 0.11554686 0.17969383],[17.489574 31.681751 54.82252  83.64112 ],[ 5.17497  16.299513 36.718555 62.379765],[8.14647  8.075592 7.952689 7.774924],[0.4189855  0.4673324  0.5234624  0.60865927],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
DDK8,C,1e-07,30,False,False,TDD,vanilla,0,[0.25037178 0.4913051  0.6766115  0.78744316],[0.14796102 0.25227177 0.2686809  0.23871946],[ 51.741833 115.844444 168.95029  211.72194 ],[ 32.856186  83.451065 109.997025 130.33844 ],[7.939863  7.4957347 7.0495887 6.551076 ],[0.661841   0.82368773 1.0218132  1.2990297 ],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
DDK8,C,3e-07,1,False,False,TDD,vanilla,0,[0.03281229 0.03521289 0.03806698 0.04075583],[0.00546806 0.00638574 0.00734006 0.00899049],[ 8.593915  9.196186  9.914004 10.541347],[1.1679639 1.3704431 1.5404855 1.8705499],[8.27696  8.273957 8.270437 8.267549],[0.12834173 0.12964484 0.131394   0.13346794],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
DDK8,C,3e-07,10,False,False,TDD,vanilla,0,[0.08346411 0.1319657  0.20367733 0.2836808 ],[0.02508128 0.0519058  0.09100321 0.12523894],[20.936201 33.37657  52.311718 75.04502 ],[ 4.911612 11.898448 22.738493 35.75672 ],[8.151739  8.08063   7.974572  7.8383927],[0.35498524 0.4039172  0.46883628 0.5468942 ],[8.250104 8.243475 8.238306 8.233626],[0.33855358 0.37196392 0.40309045 0.43264046]
DDK8,C,3e-07,30,False,False,TDD,vanilla,0,[0.22041346 0.42573798 0.57842845 0.68644464],[0.12270156 0.24155399 0.24643198 0.23422453],[ 53.44495  111.307594 162.3239   205.28326 ],[25.354116 63.049    76.84967  99.06788 ],[7.9561806 7.518454  7.1473346 6.821203 ],[0.64799386 1.0566325  1.256738   1.3060626 ],[8.243394  8.2595005 8.280929  8.2970915],[0.5275148  0.56576973 0.5995795  0.6289665 ]
DDK8,D,3e-08,1,False,False,TDD,vanilla,0,[0.00911642 0.01125061 0.01303509 0.01520201],[0.00229884 0.0030716  0.00415281 0.00516554],[2.662763  3.2928736 3.827048  4.46891  ],[0.7230337 0.9719551 1.3197948 1.6344985],[8.302947 8.299863 8.297408 8.294748],[0.16911754 0.16946764 0.16995244 0.17064096],[8.314398 8.314319 8.314234 8.314145],[0.1689577  0.1692839  0.16965668 0.17007592]
DDK8,D,3e-08,10,False,False,TDD,vanilla,0,[0.0201151  0.03066391 0.04301408 0.05775156],[0.00547461 0.00931075 0.01444428 0.02136026],[ 5.934393  9.077454 12.768558 17.231232],[1.7265279 2.8413723 4.311493  6.576737 ],[8.290714 8.277781 8.264133 8.249162],[0.22166725 0.2318305  0.24242584 0.25288036],[8.316226 8.317209 8.319232 8.322231],[0.22064124 0.22971565 0.23861213 0.24789669]
DDK8,D,3e-08,30,False,False,TDD,vanilla,0,[0.04030372 0.07954925 0.12358117 0.17582643],[0.02024831 0.05190725 0.08164403 0.11226542],[11.2405615 22.102427  34.638084  49.70316  ],[ 4.430902 13.80586  22.694437 33.728924],[8.23168  8.176313 8.117926 8.057527],[0.32906982 0.3580337  0.39258254 0.442336  ],[8.279626 8.265633 8.254636 8.245803],[0.3149234  0.33140603 0.3475315  0.37491977]
DDK8,D,1e-07,1,False,False,TDD,vanilla,0,[0.01085766 0.0129428  0.01476699 0.01678455],[0.00218726 0.00282167 0.0036056  0.0043447 ],[3.2214103 3.8451014 4.3886776 4.992792 ],[0.68191   0.8850371 1.1257571 1.3447734],[8.294685 8.292012 8.289751 8.287655],[0.04610567 0.04714888 0.0483939  0.04981637],[8.30858  8.308749 8.308917 8.309082],[0.04570846 0.04691132 0.04821616 0.04961289]
DDK8,D,1e-07,10,False,False,TDD,vanilla,0,[0.0226164  0.03270673 0.04448308 0.05701073],[0.00546268 0.00871999 0.01325207 0.01845802],[ 6.650837  9.618472 13.077989 16.779877],[1.5496215 2.425737  3.6109064 5.0529137],[8.273258 8.260425 8.245759 8.231146],[0.14685228 0.16701174 0.18779051 0.2080575 ],[8.302197 8.302738 8.303449 8.304353],[0.14413556 0.16243479 0.18018848 0.19722274]
DDK8,D,1e-07,30,False,False,TDD,vanilla,0,[0.03898044 0.07073163 0.11045153 0.1517033 ],[0.01491041 0.03600017 0.06028664 0.08905828],[11.330082 20.646008 32.358597 44.455326],[ 3.6933913 10.067133  16.522762  23.451206 ],[8.259544 8.228947 8.191063 8.152258],[0.30031225 0.33878276 0.38232186 0.42801097],[8.307436 8.310596 8.312113 8.31137 ],[0.28931206 0.31602684 0.33770058 0.35521185]
DDK8,D,3e-07,1,False,False,TDD,vanilla,0,[0.01459198 0.01661717 0.0183533  0.02064946],[0.0035523  0.0041473  0.00475411 0.00554111],[4.314821  4.9179688 5.4347863 6.1195354],[1.0454241 1.2252207 1.4075197 1.6407456],[8.286746 8.284049 8.28172  8.279248],[0.02290818 0.02454123 0.02630593 0.02827289],[8.304571 8.304598 8.304624 8.304644],[0.02125929 0.02278931 0.02444145 0.02619203]
DDK8,D,3e-07,10,False,False,TDD,vanilla,0,[0.02979594 0.03844487 0.04860984 0.06000418],[0.00866432 0.01128309 0.01406502 0.01812466],[ 8.727598 11.272968 14.275069 17.614038],[2.5055468 3.2520094 4.044792  5.0410123],[8.256361  8.244849  8.2320385 8.21941  ],[0.13819447 0.15841827 0.17873977 0.19990112],[8.291802 8.291453 8.291422 8.291797],[0.13622427 0.15536554 0.17447104 0.193445  ]
DDK8,D,3e-07,30,False,False,TDD,vanilla,0,[0.04529893 0.0663441  0.09479845 0.12890336],[0.02968007 0.0288591  0.0445332  0.06239037],[13.090933 19.275627 27.63294  38.184334],[ 6.5270247  7.1359386 11.619912  19.250723 ],[8.263342 8.232726 8.199518 8.160478],[0.2695389  0.30385593 0.34266382 0.37562189],[8.314291 8.305841 8.296564 8.287483],[0.25759736 0.28634158 0.31637365 0.34177953]
DDK8,A,3e-08,1,False,False,TDD,vanilla,5,[0.013351   0.01520969 0.01745976 0.02007132],[0.01072098 0.01179732 0.01394665 0.01478017],[2.3194048 2.6936605 3.0446558 3.5859818],[0.5609389  0.69008046 0.8555024  1.2261155 ],[8.32518  8.322679 8.319928 8.317293],[0.19013919 0.19472237 0.19964068 0.20501967],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,5,[0.04519517 0.09204569 0.1451332  0.2128245 ],[0.05915943 0.12238367 0.1933282  0.31996623],[ 5.6380525 10.6825695 18.694538  29.695078 ],[ 1.7597264  4.8991303 11.113992  20.726702 ],[8.184088 8.161093 8.129119 8.089361],[0.5570725  0.62536794 0.69513094 0.77201587],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
