model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,5e-08,3,True,False,TDD,vanilla,0,[0.04337412 0.05549822 0.07017718 0.09026927],[0.02457834 0.03285036 0.0418308  0.05526925],[ 7.829799  9.946135 12.864633 16.90307 ],[2.8662944 4.0430026 6.027305  8.833664 ],[8.211293 8.206217 8.199076 8.190403],[0.36775374 0.38439366 0.40295875 0.42357975],[8.233838 8.237641 8.241822 8.246357],[0.36562672 0.3805851  0.39700893 0.4147793 ]
DDK8,A,5e-08,6,True,False,TDD,vanilla,0,[0.05745249 0.08490378 0.11656156 0.15475582],[0.02943396 0.05326308 0.06914792 0.09681156],[10.72364  15.080249 21.265005 29.37589 ],[ 3.5767155  5.7008758  9.861222  16.412374 ],[8.251227 8.235408 8.212874 8.185777],[0.4485069  0.4901511  0.535112   0.58286303],[8.28204  8.2848   8.287399 8.290143],[0.44220755 0.47809482 0.5148415  0.55173457]
DDK8,A,5e-08,9,True,False,TDD,vanilla,0,[0.08425897 0.14130777 0.19010934 0.23601013],[0.07378854 0.17471503 0.15392639 0.17036723],[12.23008  19.034328 28.794722 39.971786],[ 4.1066465  8.092431  14.598896  23.08851  ],[8.193184  8.150424  8.098495  8.0420265],[0.560223   0.6240242  0.6924835  0.76813823],[8.232175 8.218963 8.206256 8.19461 ],[0.5494946  0.6048245  0.66238713 0.7200331 ]
DDK8,A,5e-08,12,True,False,TDD,vanilla,0,[0.0861109  0.15217552 0.21892117 0.3170721 ],[0.06149767 0.12384444 0.175561   0.29298225],[13.996076 24.300064 37.08152  55.62001 ],[ 4.718477 10.835676 20.02108  36.200104],[8.122699 8.078965 8.026917 7.949179],[0.58199054 0.6633946  0.75303155 0.85163724],[8.1713705 8.169162  8.165635  8.1618185],[0.5680532  0.6353437  0.7046337  0.77285534]
DDK8,A,5e-08,15,True,False,TDD,vanilla,0,[0.09836242 0.1766256  0.26298165 0.3947069 ],[0.07881854 0.14324334 0.23633598 0.35210097],[17.64841  31.681396 50.610195 79.19495 ],[ 7.5937514 17.510405  37.296932  69.34753  ],[8.168869 8.112968 8.05646  7.962248],[0.74603367 0.8412717  0.94030935 1.0444765 ],[8.229278 8.228537 8.234898 8.246084],[0.716445   0.7802941  0.83712816 0.889672  ]
DDK8,A,5e-08,18,True,False,TDD,vanilla,0,[0.14082997 0.28761545 0.4107966  0.6004608 ],[0.13669622 0.5030939  0.52753776 0.728469  ],[18.709295 34.17622  58.003624 92.16929 ],[ 7.0600553 17.416967  38.54062   73.164986 ],[8.090699  8.02454   7.934461  7.7812767],[0.8623834 0.9550293 1.0749817 1.2423848],[8.165414 8.166351 8.164887 8.15692 ],[0.8150258 0.8670547 0.9366969 1.025056 ]
DDK8,A,5e-08,21,True,False,TDD,vanilla,0,[0.1417659  0.24757297 0.37038344 0.51861507],[0.11886255 0.22570612 0.3210442  0.38701844],[ 20.626919  37.765076  61.960346 100.85935 ],[ 9.452016 21.492193 41.114162 77.923515],[8.013408  7.909389  7.776541  7.5603275],[0.9422291 1.0264622 1.1313026 1.2800128],[8.097888  8.0776415 8.057297  8.0439825],[0.8918794  0.9238005  0.95249516 0.97904676]
DDK8,A,5e-08,24,True,False,TDD,vanilla,0,[0.13518044 0.27123633 0.40922412 0.54722553],[0.10520907 0.44019908 0.4089969  0.44229877],[ 23.144533  41.703663  75.72732  120.84058 ],[10.756443 28.882864 65.36323  99.16023 ],[8.166036  8.071446  7.898411  7.6239085],[0.8169576  0.90440565 1.0561236  1.3529943 ],[8.248478 8.227171 8.202078 8.1868  ],[0.7698817  0.82811874 0.88698286 0.9156224 ]
DDK8,A,5e-08,27,True,False,TDD,vanilla,0,[0.16766016 0.30282426 0.5364343  0.76388544],[0.15488008 0.2502101  0.74459    0.7117612 ],[ 23.917557  46.589474  86.408066 137.74318 ],[  9.882258  28.844616  66.42845  115.21422 ],[7.973909  7.857535  7.660622  7.3149366],[0.86816674 0.9683011  1.1055806  1.3803961 ],[8.073305 8.057036 8.035699 8.017298],[0.81447893 0.87702554 0.95565355 1.0139018 ]
DDK8,A,5e-08,33,True,False,TDD,vanilla,0,[0.24146982 0.44420865 0.6608573  0.79687905],[0.26627803 0.56637114 0.6214662  0.5448132 ],[ 31.328981  65.10316  124.25376  182.60689 ],[ 15.809837  47.967785  98.66604  153.23051 ],[8.058129  7.9115615 7.5616817 7.1604767],[1.0325558 1.1683624 1.3617834 1.5004915],[8.180847  8.193614  8.203002  8.1704445],[0.9456215  0.95782167 0.92753166 0.9645922 ]
