model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,B,2e-07,12,True,False,TDD,vanilla,0,[0.1288892  0.2732765  0.44725513 0.58087045],[0.05904328 0.16912892 0.27073917 0.29527318],[ 27.491192  59.524975 101.61719  139.75336 ],[10.6162   34.185547 60.105255 76.82657 ],[7.964197  7.731494  7.3181047 6.877169 ],[0.48681673 0.664563   1.0509417  1.3866265 ],[8.120098  8.1142645 8.112743  8.113856 ],[0.43833014 0.4555621  0.47286943 0.49387443]
DDK8,B,2e-07,12,True,False,TDD,vanilla,5,[0.08500497 0.2142656  0.3816497  0.52001536],[0.04811284 0.16095777 0.26744288 0.30358154],[ 17.88362   46.015316  86.27187  124.97617 ],[ 8.414117 32.210716 59.70913  78.30435 ],[8.021909  7.832317  7.478226  7.0563827],[0.47145572 0.61986154 0.9535697  1.3216767 ],[8.120098  8.1142645 8.112743  8.113856 ],[0.43833014 0.4555621  0.47286943 0.49387443]
DDK8,B,2e-07,12,True,False,TDD,vanilla,10,[0.06063696 0.18068306 0.34507927 0.48645934],[0.04032623 0.1547648  0.26548365 0.30970845],[ 12.781681  38.67861   78.14541  117.37917 ],[ 6.9498367 30.665112  59.10064   79.34338  ],[8.0512295 7.8824425 7.552316  7.138153 ],[0.4626488  0.5964856  0.91244787 1.2988118 ],[8.120098  8.1142645 8.112743  8.113856 ],[0.43833014 0.4555621  0.47286943 0.49387443]
DDK8,B,2e-07,12,True,False,TDD,vanilla,15,[0.04815952 0.16264161 0.32535276 0.46858096],[0.03557472 0.15133005 0.26554814 0.31409958],[ 10.19364   34.764454  73.91135  113.495224],[ 6.2232685 30.10408   59.28742   80.292946 ],[8.066507  7.9095716 7.5900073 7.179269 ],[0.45753565 0.5823442  0.8925183  1.282862  ],[8.120098  8.1142645 8.112743  8.113856 ],[0.43833014 0.4555621  0.47286943 0.49387443]
DDK8,B,2e-07,12,True,False,TDD,vanilla,20,[0.04194353 0.1527994  0.3143546  0.45878288],[0.03283175 0.1492657  0.26643828 0.31800455],[  8.912861  32.600883  71.34505  111.03861 ],[ 5.756512 29.622211 59.276947 80.64011 ],[8.073913  7.924146  7.6123905 7.207425 ],[0.4549315  0.57475126 0.8800306  1.2744762 ],[8.120098  8.1142645 8.112743  8.113856 ],[0.43833014 0.4555621  0.47286943 0.49387443]
DDK8,B,2e-07,12,True,False,TDD,vanilla,25,[0.03914546 0.14786527 0.30861    0.45371115],[0.03152796 0.14786185 0.2663682  0.31978682],[  8.367961  31.606728  70.18473  109.97001 ],[ 5.5768337 29.373964  59.35257   80.99952  ],[8.077121  7.9311213 7.6229033 7.2211876],[0.45364234 0.5705125  0.8738569  1.2669255 ],[8.120098  8.1142645 8.112743  8.113856 ],[0.43833014 0.4555621  0.47286943 0.49387443]
DDK8,B,2e-07,15,True,False,TDD,vanilla,0,[0.1552669  0.33704093 0.5143182  0.6402259 ],[0.07581473 0.20020871 0.26163378 0.24523686],[ 35.230343  82.16457  136.72571  181.02806 ],[15.818313 51.45072  83.466324 98.31685 ],[8.010551  7.713484  7.2662215 6.848495 ],[0.53947437 0.72217757 1.0326071  1.259859  ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
DDK8,B,2e-07,15,True,False,TDD,vanilla,5,[0.10921059 0.28183827 0.45490697 0.58758044],[0.07081523 0.21082938 0.27618372 0.26463857],[ 24.478632  68.346695 121.64879  167.08466 ],[ 14.536591  52.39504   86.00162  101.001854],[8.071371  7.803963  7.404728  7.0173836],[0.52491546 0.7101958  1.0060503  1.2364041 ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
DDK8,B,2e-07,15,True,False,TDD,vanilla,10,[0.08549359 0.2538126  0.42694798 0.56306887],[0.0672934  0.21532963 0.28157023 0.27296966],[ 19.057295  61.35666  114.329346 160.52048 ],[ 13.811765  52.959366  86.820496 101.9601  ],[8.1019    7.8512783 7.4702215 7.1006956],[0.51709944 0.6976556  0.98891073 1.2124181 ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
DDK8,B,2e-07,15,True,False,TDD,vanilla,15,[0.07332859 0.2392405  0.41339236 0.5510162 ],[0.06548583 0.21889393 0.28775445 0.27881065],[ 16.332443  57.824562 111.05056  157.72429 ],[ 13.4527645  53.37903    87.77605   103.20421  ],[8.116707  7.87381   7.500564  7.1301036],[0.51340634 0.6917998  0.9788891  1.2080594 ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
DDK8,B,2e-07,15,True,False,TDD,vanilla,20,[0.06749111 0.23135988 0.40522096 0.544676  ],[0.06425164 0.22012387 0.2898879  0.28308806],[ 15.030338  55.851    109.028145 155.9741  ],[ 13.2282715  53.48269    88.17704   103.69453  ],[8.123847  7.885527  7.515727  7.1473756],[0.5114221 0.6894462 0.9776844 1.2124232],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
DDK8,B,2e-07,15,True,False,TDD,vanilla,25,[0.06507472 0.227857   0.4016753  0.5415138 ],[0.0639477  0.22097261 0.29166365 0.28537434],[ 14.501429  55.009655 108.18855  155.24606 ],[ 13.131116  53.500618  88.47174  104.15459 ],[8.126758  7.8908796 7.5218577 7.155019 ],[0.51066124 0.6877461  0.9778911  1.2135805 ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
