model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,phase,10.0,[0.00934106 0.0102541  0.01130119 0.01305135],[0.00177256 0.00232517 0.00317148 0.00528932],[2.6895752 2.9440885 3.2246673 3.6422684],[0.6211703  0.69624346 0.86426985 1.2697616 ],[8.328138 8.326306 8.324252 8.322274],[0.19014582 0.19467108 0.19960079 0.20484886],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,phase,10.0,[0.03109874 0.06634428 0.11892644 0.19220822],[0.03784003 0.07637542 0.15512505 0.33988085],[ 5.277616  9.796325 17.628334 28.870966],[ 2.1392107  5.3698874 11.77306   21.895424 ],[8.19158  8.173659 8.146885 8.112661],[0.55205005 0.61658925 0.6834401  0.75574565],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,phase,10.0,[0.14445004 0.30314007 0.4983435  0.69534385],[0.20348707 0.3260594  0.44039804 0.5896522 ],[ 16.069164  40.043118  85.91902  134.78212 ],[ 10.825259  36.944576  82.30901  130.00247 ],[7.8647943 7.73529   7.563912  7.2693357],[0.98749614 1.1526328  1.198217   1.4831891 ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,phase,10.0,[0.01684579 0.01743715 0.0184875  0.01979847],[0.00143685 0.00153784 0.00197606 0.00299311],[5.055141  5.281287  5.6057677 5.969323 ],[1.6990422 1.8572409 2.056598  2.264614 ],[8.255396 8.255362 8.255147 8.255109],[0.5153267  0.51568204 0.5162155  0.51701134],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,phase,10.0,[0.03452116 0.05892207 0.09681237 0.12910661],[0.01363495 0.04169284 0.10627571 0.09340276],[ 7.922038 11.772025 18.26205  27.348215],[ 3.065755  5.632059 10.964101 19.499252],[8.125271  8.111207  8.088751  8.0607605],[0.6269667  0.67562157 0.72823954 0.78357947],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,phase,10.0,[0.10669678 0.3020463  0.4267597  0.64087754],[0.09580092 0.8446362  0.3883602  0.45552447],[ 18.962923  42.892857  85.90664  133.65205 ],[ 11.450145  38.408775  81.955154 121.61844 ],[8.004785 7.870385 7.581934 7.193082],[1.001368  1.1230156 1.3765639 1.5067464],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,phase,10.0,[0.0092418  0.0097476  0.01045344 0.01117719],[0.00316434 0.0031793  0.00326923 0.00353251],[2.573661  2.741063  2.9659846 3.1970484],[1.0354129 1.0559705 1.1070361 1.2099856],[8.205598  8.206045  8.206483  8.2071295],[0.35378042 0.354992   0.35631716 0.35779384],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,phase,10.0,[0.0222624  0.04060918 0.06850311 0.10507208],[0.00881781 0.02224887 0.04213131 0.07075929],[ 5.3137035  8.975297  15.042092  23.61336  ],[ 2.2428129  4.365137   8.636986  15.794638 ],[8.150852 8.13735  8.117063 8.092433],[0.6222432  0.6754923  0.72927976 0.7803777 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,phase,10.0,[0.06688523 0.16236326 0.31210202 0.49197936],[0.05123879 0.13467355 0.24668422 0.35861737],[ 12.747063  33.572227  70.61886  121.908905],[  6.6449094  30.023447   67.309204  113.2769   ],[7.9834566 7.9122267 7.757567  7.4880443],[0.9372235 1.0301603 1.1802822 1.3854321],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,phase,10.0,[0.01180733 0.01293538 0.01489297 0.01808549],[0.00243299 0.00303939 0.00481833 0.0078423 ],[2.9717066 3.2361646 3.5872943 4.13382  ],[0.51310104 0.54372555 0.6713134  0.93341786],[8.316119 8.316074 8.315707 8.315156],[0.13162436 0.13402772 0.13689153 0.14004818],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
