model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.03571553 0.04096702 0.04759637 0.05407675],[0.03809924 0.04544075 0.0535408  0.05975771],[4.705715  5.1442037 5.844417  6.7298336],[1.0763694 1.3694445 1.8354124 2.569586 ],[8.313776  8.310761  8.306802  8.3024435],[0.19051449 0.19515431 0.20029618 0.20585439],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.09906097 0.16237155 0.23125058 0.29235896],[0.11427031 0.2069437  0.36544266 0.3677304 ],[10.7964735 17.826466  28.150496  41.93994  ],[ 2.8910873  6.5085607 13.722022  24.835144 ],[8.152855 8.11747  8.071112 8.008628],[0.5709779 0.6478637 0.7280146 0.8206512],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.336191   0.46981066 0.6913209  0.8431027 ],[0.72071505 0.5409733  0.6993498  0.60546076],[ 22.465836  50.8524    98.89587  151.24709 ],[ 10.017004  38.57445   84.220764 131.1372  ],[7.788651  7.641194  7.372083  6.9972315],[1.0521804 1.1988151 1.3586718 1.5738858],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.04905042 0.05517624 0.05843708 0.06390505],[0.03197845 0.04015001 0.03660486 0.03985149],[ 9.389349  9.936201 10.572003 11.321417],[3.6880538 3.9364707 4.2205925 4.642528 ],[8.228894 8.226908 8.224429 8.221706],[0.51333755 0.51440597 0.5156642  0.51732856],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.10526859 0.16592345 0.22560215 0.27818316],[0.09425249 0.18389888 0.27314702 0.26450393],[16.841825 24.720892 34.96164  48.357887],[ 5.617508  9.410655 16.787882 28.227201],[8.064145 8.021984 7.972741 7.906532],[0.64669454 0.70976907 0.7766274  0.850821  ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.23239958 0.47528756 0.6560607  0.85408837],[0.24712455 0.9242807  0.78052145 0.6504747 ],[ 33.378563  64.3245   112.72512  162.1154  ],[ 13.160353  42.79319   91.510376 131.07854 ],[7.8762584 7.677928  7.2805486 6.8217373],[1.0825725 1.2226713 1.4950927 1.5947235],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02572157 0.0281481  0.03165985 0.03548158],[0.00852834 0.01019646 0.01204436 0.01495999],[5.7983947 6.2518077 6.9734216 7.7495284],[1.8886383 2.1153667 2.3159251 2.7759807],[8.186375 8.185312 8.183039 8.180735],[0.35610998 0.35737863 0.35892433 0.36044204],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.06607953 0.10404642 0.14859122 0.20765147],[0.03933705 0.07149759 0.09836514 0.15194866],[12.07757  18.980873 28.854277 42.03325 ],[ 3.8268943  6.769816  13.158308  23.471666 ],[8.105832 8.071522 8.025825 7.966371],[0.6438047  0.70936465 0.77874506 0.8515289 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.1408677  0.27965298 0.47962615 0.6637199 ],[0.10536259 0.2394694  0.45775494 0.59384674],[ 23.19555   49.998417  93.12506  146.7217  ],[  8.626921  31.95125   66.93487  114.36785 ],[7.893206  7.762174  7.4995723 7.1488094],[1.00419   1.1418723 1.3887274 1.6340902],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.05668849 0.07020167 0.07984403 0.09295366],[0.04124804 0.06326944 0.06940392 0.07935268],[5.4233375 6.0504785 6.9523253 8.114613 ],[0.9066453 1.1597776 1.5336715 2.1463716],[8.299669 8.297551 8.294361 8.290435],[0.13231662 0.13513371 0.13859513 0.14271732],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
