model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,5e-08,3,True,False,TDD,vanilla,0,[0.05934336 0.07853021 0.09930454 0.1221883 ],[0.05876748 0.08387032 0.10750814 0.11817839],[ 7.926123 10.111999 13.266871 17.277624],[2.7672145 4.217491  6.3745904 9.034075 ],[8.204399 8.198682 8.190259 8.17926 ],[0.36855984 0.3856952  0.40510467 0.42683986],[8.233838 8.237641 8.241822 8.246357],[0.36562672 0.3805851  0.39700893 0.4147793 ]
DDK8,A,5e-08,6,True,False,TDD,vanilla,0,[0.07337436 0.11144898 0.15529433 0.2027075 ],[0.05711297 0.09225052 0.1361735  0.16079998],[10.936213 15.976851 23.165045 32.480213],[ 3.4506323  6.133842  10.8658085 17.363512 ],[8.241032 8.222104 8.197206 8.163521],[0.4498392  0.49262825 0.5404239  0.59145296],[8.28204  8.2848   8.287399 8.290143],[0.44220755 0.47809482 0.5148415  0.55173457]
DDK8,A,5e-08,9,True,False,TDD,vanilla,0,[0.12529859 0.18693915 0.24996868 0.32474083],[0.23458758 0.32197893 0.38240084 0.4751139 ],[13.271923 20.703638 30.031746 42.376568],[ 4.4502296  8.332547  14.076374  23.142246 ],[8.178881  8.1325865 8.082566  8.019218 ],[0.56294453 0.62742925 0.6977544  0.77335685],[8.232175 8.218963 8.206256 8.19461 ],[0.5494946  0.6048245  0.66238713 0.7200331 ]
DDK8,A,5e-08,12,True,False,TDD,vanilla,0,[0.11040772 0.18829818 0.2658216  0.36526662],[0.12562026 0.1914248  0.23624012 0.30290082],[15.043105 25.639532 40.178257 60.97811 ],[ 5.116137 11.445559 21.921057 39.955635],[8.104654  8.053467  7.9910254 7.8998713],[0.5877657 0.6729929 0.7669702 0.8722258],[8.1713705 8.169162  8.165635  8.1618185],[0.5680532  0.6353437  0.7046337  0.77285534]
DDK8,A,5e-08,15,True,False,TDD,vanilla,0,[0.11382495 0.20502596 0.29689312 0.4264763 ],[0.10264051 0.19635619 0.27549434 0.36583173],[18.257269 32.23743  53.650623 85.07997 ],[ 7.1077332 16.076586  37.436398  71.78637  ],[8.150159  8.08826   8.017731  7.9009056],[0.74909747 0.8478938  0.9507928  1.0767231 ],[8.229278 8.228537 8.234898 8.246084],[0.716445   0.7802941  0.83712816 0.889672  ]
DDK8,A,5e-08,18,True,False,TDD,vanilla,0,[0.18761109 0.33466172 0.46235475 0.6259938 ],[0.21797127 0.5334214  0.5816882  0.6867143 ],[20.164644 36.4508   60.599743 97.516975],[ 7.166121 17.716454 38.69744  76.3005  ],[8.064105  7.986365  7.8846526 7.705754 ],[0.8799301 0.9815019 1.1071677 1.2808831],[8.165414 8.166351 8.164887 8.15692 ],[0.8150258 0.8670547 0.9366969 1.025056 ]
DDK8,A,5e-08,21,True,False,TDD,vanilla,0,[0.17617708 0.307047   0.43511924 0.5948872 ],[0.18347931 0.36693588 0.4157579  0.52116793],[ 21.898201  39.393013  64.96148  104.6094  ],[ 8.065382 19.934616 41.61127  78.29147 ],[7.983394  7.8731194 7.7249017 7.4957566],[0.9631099 1.0544076 1.1564194 1.3297399],[8.097888  8.0776415 8.057297  8.0439825],[0.8918794  0.9238005  0.95249516 0.97904676]
DDK8,A,5e-08,24,True,False,TDD,vanilla,0,[0.16479975 0.32635581 0.539984   0.6407305 ],[0.14763905 0.552006   0.719034   0.65534663],[ 23.990898  45.390224  82.74458  130.4018  ],[  9.281726  28.316896  64.93994  105.361725],[8.137625  8.028759  7.8340993 7.5350575],[0.83083004 0.92096204 1.0773273  1.3341687 ],[8.248478 8.227171 8.202078 8.1868  ],[0.7698817  0.82811874 0.88698286 0.9156224 ]
DDK8,A,5e-08,27,True,False,TDD,vanilla,0,[0.21886235 0.3664322  0.6018747  0.8790842 ],[0.26203328 0.33512694 0.5747167  0.81460655],[ 25.030603  49.835865  93.26349  145.50134 ],[  9.068857  28.394041  66.477066 117.450745],[7.945096  7.8127165 7.5667663 7.1768794],[0.878982  0.9875808 1.1603051 1.4678172],[8.073305 8.057036 8.035699 8.017298],[0.81447893 0.87702554 0.95565355 1.0139018 ]
DDK8,A,5e-08,33,True,False,TDD,vanilla,0,[0.28614542 0.51265657 0.7248851  0.8768326 ],[0.35271138 0.763761   0.7382578  0.6095534 ],[ 31.689924  68.49287  126.213844 184.3089  ],[ 14.24554   47.564198  97.80334  150.19894 ],[8.024864  7.854035  7.474408  7.0379004],[1.0514721 1.204828  1.4167924 1.5392869],[8.180847  8.193614  8.203002  8.1704445],[0.9456215  0.95782167 0.92753166 0.9645922 ]
DDK8,A,5e-08,36,True,False,TDD,vanilla,0,[0.28085813 0.51786757 0.86656046 1.0982107 ],[0.3028649  0.46583268 0.8095227  1.0335093 ],[ 32.839596  72.366585 139.62265  206.49059 ],[ 13.765358  47.41301  102.276566 146.03868 ],[7.922269  7.7162066 7.327511  6.840232 ],[0.9371947 1.0857114 1.3771963 1.6069785],[8.093336 8.087319 8.075918 8.088953],[0.84122604 0.8823591  0.96047276 0.99210644]
DDK8,A,5e-08,42,True,False,TDD,vanilla,0,[0.37977827 0.61920077 0.8754504  1.133705  ],[0.39497492 0.5564679  0.7270517  0.9673088 ],[ 37.32322   89.841545 156.01262  216.45946 ],[ 19.603643  62.476097 111.24998  156.7555  ],[7.592843  7.341669  6.9340887 6.2432942],[1.195683  1.3099506 1.4659561 1.8168907],[7.833758 7.885902 7.919857 7.917343],[1.0413706 1.023846  1.0217247 1.0423343]
DDK8,A,2e-07,3,True,False,TDD,vanilla,0,[0.05172531 0.06677993 0.08381811 0.1051727 ],[0.02662444 0.0391291  0.05012262 0.06323282],[ 9.425982 11.692541 14.575377 18.443867],[2.8811336 3.956885  5.3081293 7.567973 ],[8.087449  8.079055  8.068459  8.0547495],[0.63454807 0.6397211  0.646358   0.6550312 ],[8.130689 8.134304 8.138219 8.142409],[0.6257091 0.6282687 0.6312905 0.6347323]
DDK8,A,2e-07,6,True,False,TDD,vanilla,0,[0.06282457 0.08667952 0.11562297 0.15145887],[0.03499388 0.05227922 0.07061751 0.09389345],[12.183991 16.51813  22.400291 30.320873],[ 4.2085423  6.461156  10.314156  15.98393  ],[8.224153  8.208504  8.18874   8.1624155],[0.6130502  0.6353913  0.6627465  0.69600385],[8.274826 8.279523 8.284403 8.289545],[0.6015826  0.61828643 0.63822275 0.6610321 ]
DDK8,A,2e-07,9,True,False,TDD,vanilla,0,[0.07626261 0.11248402 0.15213373 0.20301487],[0.05280745 0.08678147 0.11338327 0.13987298],[14.11356  20.302355 28.023497 39.075928],[ 4.4923806  7.2338    11.644119  19.92272  ],[8.148356 8.126723 8.09954  8.059257],[0.6934009  0.7237741  0.76067686 0.8042666 ],[8.212872 8.222125 8.22945  8.234579],[0.6716166  0.6904289  0.7124399  0.73767006]
DDK8,A,2e-07,12,True,False,TDD,vanilla,0,[0.10583119 0.16196685 0.22465503 0.3043923 ],[0.07614738 0.12503943 0.16994226 0.2457618 ],[17.15474 25.5234  36.47892 51.06959],[ 5.4667225  9.707212  18.606298  34.35104  ],[8.025869  7.9555573 7.876236  7.783105 ],[0.77072084 0.83431804 0.9071736  0.9850802 ],[8.118894 8.099322 8.080267 8.061373],[0.72288525 0.7593847  0.79724795 0.8372211 ]
DDK8,A,2e-07,15,True,False,TDD,vanilla,0,[0.12053681 0.19032279 0.28095058 0.382525  ],[0.08128481 0.13677646 0.20046756 0.25938416],[18.431559 29.705215 46.75907  70.75768 ],[ 6.307687 12.512791 28.160265 54.077198],[7.852227  7.7771025 7.6884294 7.573478 ],[0.8596269 0.9363445 1.022572  1.1131735],[7.960368 7.953955 7.952423 7.9545  ],[0.8137213 0.856927  0.8997762 0.942242 ]
DDK8,A,2e-07,18,True,False,TDD,vanilla,0,[0.11668482 0.18987368 0.29060254 0.43524686],[0.06304798 0.11342893 0.18467087 0.29569727],[21.888723 34.743717 54.565853 84.940994],[ 8.938747 13.961098 29.077223 55.894577],[8.0173235 7.9248214 7.80333   7.61322  ],[0.85253316 0.9340344  1.0311402  1.1712718 ],[8.126295 8.107923 8.089695 8.074124],[0.8090824  0.8441579  0.88169974 0.92264533]
DDK8,A,2e-07,21,True,False,TDD,vanilla,0,[0.15249693 0.23355864 0.34671563 0.4863101 ],[0.11735959 0.15936202 0.20268178 0.27025568],[25.423122 40.152058 65.67939  99.20427 ],[ 8.373585 13.829862 29.329939 53.949635],[7.9664116 7.8759446 7.735613  7.5176897],[0.9303231 1.0084037 1.096228  1.2400881],[8.111541 8.108097 8.098149 8.079145],[0.84507656 0.87269056 0.9155379  0.9743686 ]
DDK8,A,2e-07,24,True,False,TDD,vanilla,0,[0.16526127 0.26942882 0.4100253  0.56872934],[0.14813842 0.24326918 0.35209885 0.44727048],[ 26.83281   44.965668  76.57499  119.61501 ],[ 8.674418 18.347681 41.761986 72.91661 ],[7.9519677 7.810543  7.6136847 7.350087 ],[0.91169274 1.0695028  1.2274629  1.437361  ],[8.102798 8.079458 8.073869 8.082761],[0.8285165 0.893055  0.9226012 0.9377865]
DDK8,A,2e-07,27,True,False,TDD,vanilla,0,[0.14691551 0.25754014 0.43150055 0.6323197 ],[0.09797374 0.17777497 0.30502546 0.4651996 ],[ 25.959095  47.09129   84.713905 129.93086 ],[  8.740707  26.177303  66.07795  111.47503 ],[7.9686975 7.828335  7.5801654 7.2601776],[0.8632812 0.9741933 1.1485943 1.3550092],[8.11104  8.084653 8.048851 8.015041],[0.78864    0.83198315 0.884727   0.9329143 ]
DDK8,A,2e-07,33,True,False,TDD,vanilla,0,[0.18207647 0.3529261  0.57041764 0.7891612 ],[0.13643542 0.25467986 0.3598935  0.43232578],[ 32.976036  70.0811   127.02723  186.10883 ],[ 12.493073  43.63287   92.61398  142.04681 ],[8.052896  7.884083  7.5774517 7.0727262],[0.9008993 1.0256165 1.1926934 1.4806911],[8.216682  8.2085085 8.163704  8.084707 ],[0.8136454 0.8615523 0.9495743 1.0525955]
DDK8,A,2e-07,36,True,False,TDD,vanilla,0,[0.19963796 0.39927042 0.665775   0.87461   ],[0.15329237 0.3463871  0.5165162  0.49207318],[ 33.367844  71.209305 136.8409   209.07024 ],[ 10.962795  43.303326  96.28832  154.40279 ],[7.8818426 7.643213  7.2368374 6.8786006],[0.94808316 1.1191881  1.3832175  1.3667687 ],[8.077505 8.06925  8.089985 8.128924],[0.82759804 0.8323908  0.8334932  0.87066954]
