model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,phase,10.0,[0.00894639 0.00900256 0.01013045 0.01150458],[0.00342163 0.00366218 0.00570405 0.00805444],[2.3522    2.369223  2.4967763 2.6632614],[0.5207464 0.5726922 0.6849115 0.75823  ],[8.327894  8.326452  8.3245945 8.322704 ],[0.19026643 0.19478802 0.19976823 0.20502555],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,phase,10.0,[0.02684455 0.06278116 0.10788321 0.18454352],[0.02368903 0.07814972 0.11732289 0.3430817 ],[ 4.8374257  9.015308  16.28912   26.766804 ],[ 1.9531002  5.0392666 11.396361  22.144657 ],[8.19129  8.173931 8.147658 8.114438],[0.55193484 0.6153935  0.68126726 0.7496633 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,phase,10.0,[0.17912847 0.2982215  0.4938157  0.66589004],[0.3699494  0.3706798  0.43896028 0.46434027],[ 14.84311  38.1257   82.71913 134.1753 ],[  9.784316  38.037853  81.64703  130.66168 ],[7.8628473 7.755736  7.5522394 7.2738814],[0.99621195 1.1353277  1.2427272  1.4270407 ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,phase,10.0,[0.01641167 0.01669281 0.01727524 0.01843019],[0.00203095 0.00229909 0.00311928 0.00433506],[4.8853154 5.001129  5.0256186 5.1839323],[1.6566099 1.7636384 1.7879869 1.8575441],[8.254269 8.253866 8.254355 8.254095],[0.5151006 0.5152345 0.5160494 0.5171023],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,phase,10.0,[0.03389627 0.05796982 0.09745906 0.1292718 ],[0.01379016 0.03834876 0.12797129 0.0915115 ],[ 7.648197 11.586956 17.709679 26.77349 ],[ 2.9317787  5.7266245 11.062421  19.678343 ],[8.125418 8.108946 8.08552  8.051865],[0.6263526  0.67498213 0.7282171  0.7845857 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,phase,10.0,[0.10863768 0.29638517 0.4583277  0.6557775 ],[0.10548592 0.8231592  0.66226447 0.4426773 ],[ 18.003046  42.59038   86.480095 135.7599  ],[  9.852582  38.46077   85.98082  123.98441 ],[8.001359  7.8700666 7.572034  7.169234 ],[1.0077987 1.1093026 1.3360097 1.4755149],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,phase,10.0,[0.00930422 0.00925806 0.00959369 0.01014438],[0.00297219 0.00312172 0.00325353 0.00357117],[2.6026297 2.6009479 2.6719286 2.8003314],[0.992793  1.0162495 1.0443475 1.1001749],[8.205838 8.206753 8.207355 8.207811],[0.35368785 0.354926   0.35630205 0.35784033],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,phase,10.0,[0.02199296 0.0393307  0.06682705 0.10655579],[0.00956925 0.02332911 0.04539488 0.07957856],[ 5.0517936  8.277288  14.012749  22.764519 ],[ 2.1395617  3.9464648  8.189439  15.884514 ],[8.152587 8.139895 8.118456 8.089772],[0.6222622  0.67536986 0.7297521  0.78445494],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,phase,10.0,[0.0627818  0.15345757 0.31588054 0.49607933],[0.04764338 0.13075888 0.2749328  0.40034845],[ 11.571154  30.578686  67.48365  117.620605],[  6.4725213  27.759405   63.55739   107.04636  ],[7.9872355 7.914625  7.73387   7.4744725],[0.9365328 1.0329373 1.234087  1.4410506],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,phase,10.0,[0.01155334 0.01248326 0.01456196 0.01815214],[0.00313524 0.00443723 0.00674684 0.01069995],[2.6973155 2.7839446 2.9824731 3.3510957],[0.46448067 0.50727546 0.58010757 0.7631529 ],[8.3158455 8.31598   8.315652  8.314938 ],[0.13172665 0.13417603 0.13706554 0.1403587 ],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK8,C,3e-08,10,False,False,TDD,phase,10.0,[0.03978443 0.10735117 0.22902903 0.34806105],[0.02651162 0.09524093 0.239031   0.30049455],[ 6.2342925 15.704685  34.73733   62.215267 ],[ 2.597547 11.284039 29.934029 53.863625],[8.19488   8.137682  8.043449  7.8929305],[0.4405955 0.497657  0.5940815 0.7624908],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK8,C,3e-08,30,False,False,TDD,phase,10.0,[0.31234026 0.6564813  0.8137856  0.92792165],[0.3393346  0.49492124 0.462364   0.46884754],[ 52.965424 130.74496  183.5917   211.00134 ],[ 49.187138 103.0929   118.272675 118.02741 ],[8.0035515 7.370657  6.830619  6.4246087],[0.7414265 1.166656  1.4326811 1.4724746],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK8,C,1e-07,1,False,False,TDD,phase,10.0,[0.01434228 0.01480533 0.01572113 0.01756932],[0.00190741 0.00237708 0.00341514 0.00520331],[4.1197724 4.2415257 4.362713  4.696437 ],[0.69300026 0.7769672  0.93552244 1.1839958 ],[8.274652 8.27269  8.271079 8.268491],[0.2011891  0.20337537 0.20588383 0.20858595],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
DDK8,C,1e-07,10,False,False,TDD,phase,10.0,[0.03704187 0.08147604 0.15880682 0.26132438],[0.01500203 0.05128993 0.10994097 0.17689547],[ 8.853571 18.934975 38.271496 65.41106 ],[ 3.9872172 15.455161  38.114956  64.10249  ],[8.196628  8.151935  8.061938  7.9180713],[0.4075119 0.4473501 0.4931301 0.5677303],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
DDK8,C,1e-07,30,False,False,TDD,phase,10.0,[0.19903971 0.41065383 0.5900254  0.7172143 ],[0.1619579  0.2451383  0.25479266 0.25702593],[ 43.811596 102.81463  153.84222  195.34933 ],[ 39.23321   86.687996 110.05153  125.8728  ],[8.006262  7.6342735 7.233169  6.8296337],[0.63150275 0.7588758  0.8971867  1.1803656 ],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
DDK8,C,3e-07,1,False,False,TDD,phase,10.0,[0.01338654 0.0139021  0.01468572 0.01612938],[0.00176344 0.00195644 0.00242092 0.00341889],[3.9847922 4.1757994 4.3674974 4.7679634],[0.61323535 0.6716974  0.7694504  0.99284554],[8.299512 8.298389 8.297459 8.295566],[0.12793757 0.12917918 0.13074918 0.13262287],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
DDK8,C,3e-07,10,False,False,TDD,phase,10.0,[0.02926085 0.05674106 0.10592833 0.17707694],[0.00993931 0.03200116 0.07063249 0.11700764],[ 7.92381  15.1252   28.236889 48.154694],[ 2.4203486  7.988373  18.600145  33.586086 ],[8.223847 8.18407  8.117641 8.016758],[0.34007663 0.3796782  0.42789012 0.494087  ],[8.250104 8.243475 8.238306 8.233626],[0.33855358 0.37196392 0.40309045 0.43264046]
DDK8,C,3e-07,30,False,False,TDD,phase,10.0,[0.14517754 0.3440877  0.4878902  0.6038394 ],[0.11564086 0.24696817 0.26028946 0.25453869],[ 35.675385  89.92721  136.69424  180.08961 ],[ 28.014126  63.260513  79.482574 102.76229 ],[8.070279 7.721835 7.414468 7.13623 ],[0.60802144 0.9517867  1.1646225  1.2609386 ],[8.243394  8.2595005 8.280929  8.2970915],[0.5275148  0.56576973 0.5995795  0.6289665 ]
DDK8,D,3e-08,1,False,False,TDD,phase,10.0,[0.00395709 0.00391492 0.00440697 0.00468068],[0.00086151 0.00085749 0.00099088 0.00111211],[1.1855055 1.1761662 1.3226824 1.4080184],[0.30915916 0.31088033 0.34505093 0.3835199 ],[8.311226 8.311004 8.31031  8.309829],[0.16915089 0.16946705 0.16989401 0.17033203],[8.314398 8.314319 8.314234 8.314145],[0.1689577  0.1692839  0.16965668 0.17007592]
DDK8,D,3e-08,10,False,False,TDD,phase,10.0,[0.0073537  0.01079289 0.01655115 0.02406013],[0.00227403 0.00484028 0.00938861 0.01560253],[2.2257295 3.2893238 5.0440526 7.3502703],[0.87097675 1.7831208  3.2635527  5.2834105 ],[8.309318 8.305896 8.301864 8.297205],[0.22057357 0.22975296 0.23943675 0.24938951],[8.316226 8.317209 8.319232 8.322231],[0.22064124 0.22971565 0.23861213 0.24789669]
DDK8,D,3e-08,30,False,False,TDD,phase,10.0,[0.02095473 0.04994628 0.08724634 0.13485849],[0.01551182 0.04766466 0.0854106  0.121359  ],[ 5.990801 14.16424  24.424019 38.12363 ],[ 4.349317 13.774594 24.11475  34.898804],[8.258702 8.216821 8.171896 8.121839],[0.3212479  0.34663945 0.38397467 0.42653668],[8.279626 8.265633 8.254636 8.245803],[0.3149234  0.33140603 0.3475315  0.37491977]
DDK8,D,1e-07,1,False,False,TDD,phase,10.0,[0.00450185 0.00443215 0.00496487 0.00522037],[0.0010325  0.0010671  0.00116126 0.00128343],[1.3447363 1.3264128 1.4872671 1.5672415],[0.31899735 0.3302249  0.36701608 0.40975887],[8.304664 8.304681 8.304181 8.303886],[0.046076   0.047248   0.04855387 0.04992217],[8.30858  8.308749 8.308917 8.309082],[0.04570846 0.04691132 0.04821616 0.04961289]
DDK8,D,1e-07,10,False,False,TDD,phase,10.0,[0.00814496 0.01117585 0.01573645 0.02164851],[0.0022331  0.00375803 0.00673839 0.01085711],[2.415714  3.3128672 4.651432  6.3821754],[0.68560433 1.1081252  1.908986   3.035266  ],[8.293831 8.290291 8.286037 8.280278],[0.14466372 0.1636754  0.18282898 0.2016312 ],[8.302197 8.302738 8.303449 8.304353],[0.14413556 0.16243479 0.18018848 0.19722274]
DDK8,D,1e-07,30,False,False,TDD,phase,10.0,[0.01827036 0.03986274 0.0689682  0.10382625],[0.00794757 0.02323582 0.04193258 0.06606362],[ 5.3799686 11.842468  20.384712  30.48048  ],[ 2.2382247  7.6007004 12.16001   17.738815 ],[8.288698 8.271203 8.25225  8.224795],[0.29216456 0.32279697 0.35518596 0.39143673],[8.307436 8.310596 8.312113 8.31137 ],[0.28931206 0.31602684 0.33770058 0.35521185]
DDK8,D,3e-07,1,False,False,TDD,phase,10.0,[0.00586752 0.00586569 0.0063539  0.00661664],[0.00186245 0.00190809 0.00200084 0.0021291 ],[1.7388558 1.7393553 1.8848424 1.9644961],[0.54991895 0.56288    0.5914451  0.629201  ],[8.298849 8.298728 8.298179 8.297846],[0.02187818 0.02339733 0.02503769 0.02678307],[8.304571 8.304598 8.304624 8.304644],[0.02125929 0.02278931 0.02444145 0.02619203]
