model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,B,5e-08,3,True,False,TDD,vanilla,0,[0.04145448 0.05908281 0.0822404  0.11464246],[0.01371463 0.02097924 0.03369248 0.05372416],[ 7.8464947 11.310198  15.997581  22.549593 ],[ 2.1269815  3.909936   7.0728393 12.057275 ],[8.277003 8.263035 8.245321 8.217542],[0.28952205 0.3028838  0.3171444  0.33251622],[8.310018 8.311025 8.311322 8.311014],[0.2866387  0.29886192 0.3112389  0.32331753]
DDK8,B,5e-08,6,True,False,TDD,vanilla,0,[0.06313138 0.11446974 0.18461896 0.27228695],[0.02923857 0.07608046 0.12783739 0.1836079 ],[10.445279 18.84376  33.16195  53.468693],[ 3.563013  9.452269 21.260159 39.046516],[8.151307  8.1093235 8.032844  7.905461 ],[0.40370995 0.42663887 0.47441128 0.57661015],[8.200852 8.201835 8.201868 8.201473],[0.3916575  0.3997785  0.4085088  0.41598982]
DDK8,B,5e-08,9,True,False,TDD,vanilla,0,[0.0791667  0.1702593  0.29930016 0.4492184 ],[0.04158285 0.12109058 0.21468873 0.33867395],[13.918231 30.931307 60.084003 95.28785 ],[ 5.658073 21.758646 49.300255 76.46287 ],[8.187763  8.110686  7.9475927 7.669741 ],[0.455402   0.49594733 0.6073837  0.87892896],[8.251503 8.261046 8.269067 8.268886],[0.43901262 0.44828576 0.46303815 0.48474985]
DDK8,B,5e-08,12,True,False,TDD,vanilla,0,[0.11338544 0.27066457 0.44335225 0.58840364],[0.06497165 0.192402   0.28117228 0.31771645],[ 17.968775  47.620106  89.078094 132.69788 ],[ 8.21459 33.41735 63.09025 90.84514],[8.079428  7.9145226 7.6033506 7.169085 ],[0.4509942  0.57697546 0.84866357 1.2214448 ],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534238 0.45664805 0.49680933 0.52424616]
DDK8,B,5e-08,15,True,False,TDD,vanilla,0,[0.15379237 0.36380193 0.5667458  0.69357306],[0.13163656 0.27811274 0.36572054 0.3417997 ],[ 27.36644  78.67437 135.68965 184.17403],[ 17.055489  61.207367  98.800865 123.98317 ],[8.17299   7.8401055 7.27225   6.811234 ],[0.5806015  0.86412317 1.4346862  1.5013815 ],[8.301512 8.301376 8.2951   8.286509],[0.51885885 0.5244441  0.5284308  0.55424315]
DDK8,B,5e-08,18,True,False,TDD,vanilla,0,[0.22760434 0.60025764 0.80531335 0.92083275],[0.14583796 0.40117636 0.4552329  0.3680857 ],[ 41.77898  126.196175 190.73988  241.72101 ],[ 30.600933  98.41477  127.20501  147.82649 ],[7.916358  7.201359  6.508523  6.0197954],[0.6195361 1.1403109 1.537868  1.6038777],[8.143848 8.165355 8.190139 8.226463],[0.55700666 0.5532856  0.58807176 0.6425339 ]
DDK8,B,5e-08,21,True,False,TDD,vanilla,0,[0.2811137 0.6672849 0.9142867 0.9601725],[0.23560412 0.4493666  0.57767695 0.38351202],[ 50.613   142.85307 201.47343 242.03627],[ 41.02374  109.16273  122.56321  124.967384],[7.828859  6.966088  6.1708775 5.6887145],[0.693422  1.3984311 1.6836698 1.6915544],[8.123272 8.136701 8.135805 8.151181],[0.5637357  0.5555875  0.58310056 0.62311316]
DDK8,B,5e-08,24,True,False,TDD,vanilla,0,[0.29757917 0.6655709  0.8379355  0.93457705],[0.26529542 0.48301455 0.41498697 0.30032757],[ 58.964203 156.55878  212.02583  255.83313 ],[ 50.09114  125.335106 134.77324  142.87498 ],[7.953424  7.022458  6.4304256 5.8953924],[0.6899757 1.4339552 1.582925  1.6059524],[8.27013  8.258452 8.255481 8.262504],[0.5118271  0.5137656  0.52345896 0.57083213]
DDK8,B,5e-08,27,True,False,TDD,vanilla,0,[0.3364942  0.70894    0.91274476 0.9930152 ],[0.26533774 0.41821858 0.43447793 0.32685974],[ 63.82955 160.08598 219.30255 251.57771],[ 56.32221 120.0215  133.80586 128.68181],[7.8088984 6.7542353 6.1240497 5.6587653],[0.6979981 1.6096573 1.6317108 1.5728841],[8.164666 8.149782 8.144776 8.15001 ],[0.5907433  0.6523984  0.6741813  0.66140956]
DDK8,B,5e-08,33,True,False,TDD,vanilla,0,[0.54795337 1.0002161  1.1379898  1.3004403 ],[0.47296515 0.8371084  0.5722279  0.73862433],[107.58218 211.44455 264.05887 298.3972 ],[ 87.71523 139.76608 140.81349 143.2718 ],[7.567875  6.4880323 5.8706365 5.431932 ],[1.063042  1.6490058 1.6031435 1.4821607],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
DDK8,B,5e-08,36,True,False,TDD,vanilla,0,[0.7861743 1.1873004 1.2711482 1.2605443],[0.6440945  0.8183346  0.5101881  0.43476975],[151.69557 253.53078 300.34415 309.55814],[105.93167 159.48883 143.77214 132.58426],[7.213503  6.0833044 5.3227415 4.95506  ],[1.2716589 1.6786126 1.686937  1.6859223],[8.266979 8.223077 8.203336 8.203679],[0.63908565 0.639546   0.6131122  0.6540083 ]
DDK8,B,5e-08,42,True,False,TDD,vanilla,0,[0.84064466 1.1026256  1.1627556  1.1882473 ],[0.6023613  0.5167439  0.42843133 0.44510657],[168.77313 258.67093 301.32874 326.8936 ],[143.94449 164.43256 152.98952 147.2071 ],[6.8352904 5.957342  5.474655  4.906926 ],[1.5070668 1.6482425 1.5120293 1.5854307],[8.1687   8.187472 8.230034 8.259732],[0.55716753 0.59658355 0.62573683 0.63968205]
DDK8,B,2e-07,3,True,False,TDD,vanilla,0,[0.04990958 0.06729341 0.09152502 0.11798611],[0.01512085 0.0252838  0.04051221 0.0567012 ],[11.209204 15.013473 20.53672  27.032455],[ 3.4958441  5.663851   9.337122  13.987158 ],[8.082328 8.064842 8.041619 8.011868],[0.4072871  0.41569507 0.4260569  0.4376288 ],[8.140387 8.142667 8.144901 8.14683 ],[0.40203154 0.40776485 0.4140067  0.42071092]
DDK8,B,2e-07,6,True,False,TDD,vanilla,0,[0.07425557 0.11673433 0.1819207  0.2592203 ],[0.02710718 0.0532961  0.09401053 0.14691705],[17.307175 27.097734 43.032764 63.149044],[ 5.325976 10.820972 20.83323  34.97675 ],[8.113704  8.066094  7.9868646 7.8672667],[0.38715166 0.40922847 0.4502458  0.53063154],[8.200198 8.203735 8.207058 8.210534],[0.37354085 0.38056552 0.38964164 0.39972013]
DDK8,B,2e-07,9,True,False,TDD,vanilla,0,[0.09202669 0.16770144 0.28262877 0.413115  ],[0.02725621 0.0666839  0.1286179  0.19970961],[ 22.21741   41.068085  72.02698  109.69342 ],[ 8.036215 21.261618 44.689342 73.503555],[8.107755  8.009972  7.8346057 7.5678844],[0.41496202 0.42345372 0.46040905 0.58341414],[8.216351 8.215251 8.214624 8.214304],[0.40763524 0.41026488 0.41645426 0.42503932]
DDK8,B,2e-07,12,True,False,TDD,vanilla,0,[0.12903634 0.2717425  0.44696358 0.5848113 ],[0.06170654 0.17110111 0.27311715 0.30532512],[ 27.397406  58.91439  101.38339  139.64528 ],[10.621313 33.95096  60.32851  76.91999 ],[7.963626  7.7326007 7.312581  6.874617 ],[0.49014688 0.66868305 1.0705901  1.3927646 ],[8.120098  8.1142645 8.112743  8.113856 ],[0.43833026 0.45556214 0.4728695  0.49387437]
DDK8,B,2e-07,15,True,False,TDD,vanilla,0,[0.15263842 0.33153576 0.5096474  0.6350782 ],[0.07384226 0.2023787  0.2614406  0.2486967 ],[ 34.560455  80.141266 135.2201   179.41582 ],[15.012424 49.949158 82.5395   98.6897  ],[8.012201  7.7157326 7.251212  6.819311 ],[0.5385321  0.72619957 1.0708654  1.2909032 ],[8.197627 8.204033 8.217084 8.230653],[0.4852605  0.50316983 0.5246719  0.54396856]
DDK8,B,2e-07,18,True,False,TDD,vanilla,0,[0.1878004  0.40211415 0.5817766  0.7120171 ],[0.10893003 0.25912976 0.3001245  0.27159888],[ 41.34396   96.581024 149.22797  193.19794 ],[ 24.716318  73.08497   94.39601  100.391846],[7.939567  7.5351396 7.036625  6.509609 ],[0.550326  0.8785623 1.223562  1.4705184],[8.1638975 8.175692  8.188434  8.202104 ],[0.48944053 0.50745434 0.51854205 0.52203894]
DDK8,B,2e-07,21,True,False,TDD,vanilla,0,[0.24728507 0.5586203  0.7615779  0.8778645 ],[0.1408345  0.32028717 0.35240436 0.34227556],[ 58.367886 139.09361  193.61334  229.30098 ],[33.954803 83.39192  96.75256  98.902245],[7.869942  7.1718364 6.395643  5.886534 ],[0.5261564  0.96546316 1.4101822  1.4512626 ],[8.188612 8.176667 8.144227 8.140654],[0.44568118 0.44044286 0.45722884 0.47989476]
DDK8,B,2e-07,24,True,False,TDD,vanilla,0,[0.2849969 0.5994078 0.7930748 0.8825525],[0.19676353 0.35731348 0.36925253 0.27475545],[ 63.98102 145.21933 201.76825 248.7364 ],[ 40.586     89.21584   99.01363  110.934654],[7.739645  6.8913684 6.234746  5.816075 ],[0.6994078 1.3886211 1.6100882 1.5667226],[8.138821 8.121225 8.131564 8.179232],[0.5049219 0.5401906 0.5545749 0.5767097]
DDK8,B,2e-07,27,True,False,TDD,vanilla,0,[0.30716273 0.6071103  0.791472   0.89655626],[0.22158292 0.32892403 0.3165915  0.2567212 ],[ 72.26016 155.56325 209.05537 244.65536],[ 54.48364  102.93871  110.617485 107.27628 ],[7.7715406 6.974203  6.2892013 5.6500525],[0.7607615 1.2941922 1.5263511 1.5889186],[8.195907 8.177614 8.161719 8.149494],[0.58492225 0.59560144 0.5773279  0.56295604]
