model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK10,A,3e-08,1,False,False,TDD,vanilla,0,[0.04781766 0.05254964 0.0546336  0.0572253 ],[0.0443143  0.04843036 0.04429173 0.04833936],[ 8.893286  9.363767 10.090719 10.438835],[1.8696413 1.9783399 2.309678  2.3996804],[8.315781 8.312334 8.30787  8.305047],[0.1906866  0.1954906  0.20039015 0.20572233],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK10,A,3e-08,10,False,False,TDD,vanilla,0,[0.10288722 0.1663971  0.23327883 0.35177886],[0.10011472 0.1920888  0.30089772 0.72166866],[13.178837 18.661348 27.12283  37.732784],[ 2.8384116  5.6858654 10.700819  19.639595 ],[8.158456  8.127818  8.084997  8.0400715],[0.57457286 0.65105945 0.7267886  0.8024652 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK10,A,3e-08,30,False,False,TDD,vanilla,0,[0.46440697 0.616695   0.86869323 1.075741  ],[1.3251257 1.167514  1.2659571 1.1086324],[ 22.344475  44.020485  85.75519  138.5652  ],[  7.382957  28.20459   67.88782  121.55869 ],[7.8066216 7.6911016 7.476636  7.1296883],[1.044493  1.1490337 1.2838753 1.5235932],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK10,A,1e-07,1,False,False,TDD,vanilla,0,[0.11197963 0.11766501 0.12085427 0.12288004],[0.02120066 0.02687087 0.02361695 0.02091441],[31.74975  32.382256 33.228363 33.864567],[11.320877 11.448806 11.785478 12.002318],[8.219149 8.216364 8.210838 8.208485],[0.52902234 0.53050584 0.5322684  0.5338258 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK10,A,1e-07,10,False,False,TDD,vanilla,0,[0.15584485 0.20167431 0.2817328  0.3118543 ],[0.06824146 0.13897122 0.4402839  0.26962024],[35.60005  41.11395  49.26554  59.239986],[12.644501 15.060619 19.614695 27.267303],[8.057071  8.021936  7.9673195 7.913533 ],[0.650225   0.70624083 0.7675376  0.83091164],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK10,A,1e-07,30,False,False,TDD,vanilla,0,[0.2769189  0.5667546  0.77141136 0.9950173 ],[0.27510956 1.534669   0.9590384  0.91677946],[ 48.113144  69.41638  105.98655  153.26874 ],[ 21.147427  39.523968  75.71399  122.5493  ],[7.874169 7.702137 7.360469 7.034151],[1.0954123 1.2272936 1.5147506 1.5555377],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK10,A,3e-07,1,False,False,TDD,vanilla,0,[0.03194144 0.0344643  0.03763707 0.03991074],[0.01278419 0.01373486 0.01447514 0.01518915],[7.84351   8.295828  9.085172  9.5644045],[3.6688266 3.7718515 4.070883  4.1759768],[8.180614 8.179544 8.177016 8.176314],[0.35358918 0.35501522 0.35646808 0.35837024],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK10,A,3e-07,10,False,False,TDD,vanilla,0,[0.06564143 0.09762455 0.13750419 0.18810298],[0.0349736  0.06188485 0.08513049 0.14416671],[12.986595 18.649712 26.928875 36.719933],[ 5.243242  7.234626 11.109644 17.628504],[8.104557  8.07616   8.035914  7.9924374],[0.63880444 0.70124346 0.7628971  0.82615817],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK10,A,3e-07,30,False,False,TDD,vanilla,0,[0.13175565 0.25198686 0.47824556 0.68908066],[0.10034834 0.23089391 0.53993016 0.6829815 ],[ 20.811916  39.956818  77.32916  127.47248 ],[ 7.8211484 21.990997  52.08711   94.92549  ],[7.912356 7.814859 7.609923 7.295207],[0.99395996 1.1048013  1.2927384  1.5434923 ],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK10,C,3e-08,1,False,False,TDD,vanilla,0,[0.07237399 0.08327917 0.09077284 0.09564631],[0.03387587 0.04446127 0.05329774 0.05305463],[10.857689 11.500989 12.394846 13.005219],[2.1866972 2.222578  2.3694358 2.5193596],[8.294479 8.292425 8.289257 8.287402],[0.13386208 0.13657604 0.13987978 0.14330445],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
