model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK10,A,3e-08,1,False,False,TDD,phase,10.0,[0.02509505 0.02552289 0.02683595 0.02761522],[0.00642472 0.0063384  0.00729758 0.00820903],[7.114242  7.2199764 7.4775767 7.5834703],[1.5156587 1.5283705 1.6377572 1.6840272],[8.327793 8.326149 8.324321 8.322497],[0.19037494 0.1949398  0.19984345 0.20509788],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK10,A,3e-08,10,False,False,TDD,phase,10.0,[0.043052   0.07831187 0.12764792 0.21093807],[0.03297253 0.0899189  0.1877812  0.45395184],[ 8.715763 12.281321 17.906956 25.717554],[ 2.9566731  4.9356327  9.520607  16.836449 ],[8.190697 8.173731 8.149932 8.122619],[0.55434144 0.6195276  0.6833584  0.7495999 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK10,A,3e-08,30,False,False,TDD,phase,10.0,[0.21913229 0.35239482 0.6091019  0.8506663 ],[0.5841282 0.6524145 0.9226065 0.8625741],[ 15.202882  33.02252   69.89576  120.81296 ],[  8.359507  28.995499  68.48765  120.42152 ],[7.8729663 7.7881184 7.6233478 7.3115783],[0.98593414 1.0819032  1.1920389  1.442745  ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK10,A,1e-07,1,False,False,TDD,phase,10.0,[0.094111   0.09521665 0.09667709 0.09800462],[0.00556703 0.00554874 0.00561325 0.00577247],[29.82733  30.175415 30.589314 30.968836],[10.53825  10.682853 10.89811  11.068338],[8.238446 8.237656 8.236043 8.234507],[0.529164   0.53021353 0.5315795  0.53331566],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK10,A,1e-07,10,False,False,TDD,phase,10.0,[0.10864048 0.13233435 0.17366455 0.1991573 ],[0.01245185 0.04448169 0.17590827 0.11504526],[30.55527  34.046974 39.237232 46.36161 ],[12.211599 14.197539 17.923042 24.0232  ],[8.108188 8.090367 8.062999 8.029663],[0.63404524 0.68269163 0.73611283 0.794122  ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK10,A,1e-07,30,False,False,TDD,phase,10.0,[0.16425051 0.39453048 0.53411096 0.8087164 ],[0.07902402 1.2142584  0.73944163 0.73328716],[ 39.166298  56.21001   88.92676  136.21672 ],[ 21.720388  40.082336  75.60502  120.217125],[7.9911027 7.8675227 7.5883007 7.256923 ],[1.0116986 1.1247869 1.3811094 1.4889023],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK10,A,3e-07,1,False,False,TDD,phase,10.0,[0.02223471 0.02314617 0.0241426  0.02509306],[0.01188517 0.01211847 0.01230333 0.01259146],[5.958511  6.1927533 6.511626  6.758696 ],[3.426825  3.5038762 3.5952957 3.6694813],[8.194606 8.195245 8.195619 8.19615 ],[0.3530381  0.35424367 0.35568833 0.35741308],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK10,A,3e-07,10,False,False,TDD,phase,10.0,[0.03288697 0.04940728 0.07330365 0.10707816],[0.01550411 0.02608353 0.04315936 0.07621965],[ 8.026929 11.157062 16.049402 22.664522],[ 4.82706   6.265352  9.144277 13.928606],[8.141848 8.129858 8.111521 8.087513],[0.6219276  0.6742848  0.72564435 0.7769797 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK10,A,3e-07,30,False,False,TDD,phase,10.0,[0.06582649 0.14345784 0.3222671  0.5430129 ],[0.04475614 0.13067816 0.35041004 0.5455203 ],[ 12.585693  26.713142  58.22151  104.91543 ],[ 6.7345667 21.19572   50.178493  90.9178   ],[7.987202  7.9360847 7.7882056 7.517999 ],[0.93547755 1.0114042  1.1644135  1.4199563 ],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK10,C,3e-08,1,False,False,TDD,phase,10.0,[0.04220067 0.0428487  0.04528889 0.04729814],[0.01300064 0.01311625 0.01428253 0.01557136],[9.027012 9.08584  9.452636 9.696332],[2.1472726 2.1596773 2.2089405 2.2765148],[8.307052  8.3073845 8.307318  8.307226 ],[0.13347231 0.13591194 0.13876177 0.14195636],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
