model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK10,A,3e-08,1,False,False,TDD,vanilla,0,[0.17151651 0.17688082 0.18524238 0.19587746],[0.14582936 0.14564775 0.15061614 0.15580238],[24.700224 26.162561 27.98416  30.27433 ],[5.653063  6.532647  7.7342873 9.074397 ],[8.22553  8.218562 8.2125   8.202939],[0.19273207 0.1981598  0.20406272 0.21086377],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK10,A,3e-08,10,False,False,TDD,vanilla,0,[0.35413933 0.47258237 0.6045306  0.669966  ],[0.39010146 0.6645897  1.1071863  0.98943925],[36.40321  44.920536 56.57868  70.06324 ],[ 5.965563  9.692422 18.04472  31.154922],[8.018348  7.96723   7.9001417 7.8248   ],[0.63201886 0.7259902  0.8293054  0.9425868 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK10,A,3e-08,30,False,False,TDD,vanilla,0,[0.9574752 1.0580322 1.5391585 1.8856707],[2.553059  1.5202818 2.1426528 2.531071 ],[ 45.63184  71.8092  119.53515 180.38213],[  8.54587  31.58123  75.98276 132.94612],[7.629436 7.48415  7.229948 6.846499],[1.1451519 1.2647041 1.3921057 1.6242392],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK10,A,1e-07,1,False,False,TDD,vanilla,0,[0.16834559 0.17661455 0.18703134 0.19990782],[0.111418   0.11419724 0.11930761 0.12567087],[27.971035 30.093054 32.570824 35.57041 ],[11.829019 13.539774 15.732563 18.175951],[8.155024  8.150297  8.146158  8.1390915],[0.5206249  0.5225307  0.52448684 0.5274641 ],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK10,A,1e-07,10,False,False,TDD,vanilla,0,[0.3589305  0.45992973 0.5715642  0.6102074 ],[0.31930858 0.54897183 0.8849757  0.6639878 ],[56.655224 67.59125  80.22154  93.7038  ],[19.554314 24.18399  32.450413 45.108253],[7.860995  7.7980957 7.731015  7.66546  ],[0.7127931  0.7793858  0.84142625 0.8991928 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK10,A,1e-07,30,False,False,TDD,vanilla,0,[0.53354096 0.84316856 1.2042415  1.4438323 ],[0.81950086 1.7905055  1.978331   1.5582587 ],[ 68.76044  93.70678 134.87549 185.6732 ],[ 22.701128  44.099785  84.6146   126.83308 ],[7.655953  7.4600177 7.110268  6.6383147],[1.1986097 1.3296446 1.5366381 1.6830337],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK10,A,3e-07,1,False,False,TDD,vanilla,0,[0.1115003  0.11740834 0.12467991 0.13369146],[0.03168177 0.0347098  0.03849816 0.04336255],[24.848074 26.379751 28.262178 30.567854],[ 6.944709  7.896857  9.144526 10.58085 ],[8.093635 8.08812  8.083983 8.076325],[0.36111042 0.36233306 0.36360934 0.36530602],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK10,A,3e-07,10,False,False,TDD,vanilla,0,[0.2171815  0.26848498 0.32269165 0.40136728],[0.1567505  0.21969882 0.25037223 0.3462818 ],[39.082397 48.055782 60.15198  74.72558 ],[ 9.714174 13.172523 20.654114 33.095238],[7.958733  7.9117517 7.8528    7.783482 ],[0.6943316  0.7679505  0.84531224 0.9194138 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK10,A,3e-07,30,False,False,TDD,vanilla,0,[0.3088722  0.47362423 0.75611    1.0362984 ],[0.27537018 0.5575678  1.0319644  1.4199022 ],[ 47.58485  70.34092 111.42707 162.93951],[  9.539109  26.751638  59.81644  101.89386 ],[7.729173  7.6006427 7.356238  7.002859 ],[1.1060866 1.2334747 1.4418492 1.6984719],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK10,C,3e-08,1,False,False,TDD,vanilla,0,[0.24842726 0.25825036 0.27033094 0.28854132],[0.16338252 0.17037798 0.1777907  0.19998074],[24.902996 26.483583 28.42226  30.814835],[3.9679906 4.6836357 5.656157  6.7022543],[8.212308 8.20662  8.201299 8.192807],[0.13589287 0.13956705 0.14366099 0.1487984 ],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
