model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.0416506  0.04506831 0.05157651 0.05441857],[0.02463783 0.02489722 0.03246668 0.03349468],[ 8.8544035  9.55519   10.391851  11.060763 ],[1.7957288 2.1696312 2.608046  3.1593122],[8.316378 8.312789 8.30755  8.304096],[0.19064379 0.1951778  0.20030199 0.20557697],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.10182404 0.16598421 0.23639318 0.29700896],[0.12076556 0.21739547 0.3382891  0.411876  ],[12.650391 18.556276 27.198084 38.72631 ],[ 2.9430013  6.063595  11.848956  20.724443 ],[8.165001 8.13456  8.091644 8.040929],[0.5695363  0.6419568  0.72342485 0.80649614],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.3951482  0.576186   0.81667227 1.0539719 ],[1.0907749  0.94426185 0.97902256 1.1157905 ],[ 23.693022  47.018486  88.17323  143.0295  ],[ 10.04777   38.823418  81.15553  131.9513  ],[7.8049097 7.684731  7.4787254 7.2004004],[1.0636023 1.2135417 1.3283077 1.4984149],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.11209311 0.11592654 0.12022704 0.12365253],[0.01108712 0.01344904 0.01582046 0.01737552],[32.614487 33.219433 34.009106 34.652637],[11.681925  11.8436575 12.17403   12.423288 ],[8.214966 8.212037 8.207381 8.204286],[0.53041786 0.53232485 0.5329766  0.53579545],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.16419467 0.2107759  0.27418002 0.3139119 ],[0.07965948 0.1607301  0.28962803 0.23058541],[36.599392 42.268295 50.86033  62.05137 ],[12.901314 15.33636  20.435482 29.71214 ],[8.051257  8.013575  7.9589887 7.8939385],[0.6533403  0.7115341  0.78046316 0.848608  ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.29885352 0.6556269  0.7559133  1.0029447 ],[0.31200212 2.0888243  0.970887   0.94327754],[ 51.37191  75.28562 111.22493 159.96552],[ 23.114622  49.204845  84.60988  130.71234 ],[7.8695674 7.7056966 7.3686914 6.94276  ],[1.0954742 1.216197  1.4426686 1.5974312],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.03628267 0.03833905 0.04157155 0.04440376],[0.01429696 0.01539879 0.01637468 0.01804508],[ 8.858191  9.303995 10.106262 10.653472],[3.9918475 4.2522106 4.6294775 4.877179 ],[8.176318  8.175636  8.172332  8.1727495],[0.35459575 0.3556663  0.35699338 0.35852662],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.07743596 0.1115984  0.15482111 0.21262006],[0.04310569 0.07444809 0.1052191  0.16685644],[14.929558 21.015457 30.00041  41.513195],[ 5.64292   8.153371 12.939789 20.845106],[8.095928 8.065349 8.022556 7.971944],[0.6430932  0.7050047  0.771779   0.83597285],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.15748687 0.28364775 0.49250448 0.69714767],[0.11761947 0.24989635 0.47205895 0.6805892 ],[ 25.72718  49.03032  87.57828 137.23355],[  8.9607525  32.352448   60.178726  106.78442  ],[7.8883724 7.7792134 7.5462646 7.2525806],[1.0117066 1.1282088 1.3548152 1.5862124],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.06844477 0.07595593 0.08426309 0.09075648],[0.02787858 0.03401197 0.04020191 0.04364619],[10.933545 11.774411 12.700654 13.640644],[2.237609 2.379832 2.565945 2.927414],[8.295045 8.292789 8.28872  8.286024],[0.13365515 0.13654585 0.13990122 0.14361946],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
