model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,phase,10.0,[0.02405555 0.02595483 0.02791065 0.0288348 ],[0.00629896 0.00658137 0.00770027 0.00885914],[6.758553  7.26687   7.6661186 7.9162507],[1.4446504 1.5584002 1.6996222 2.0157645],[8.327692  8.325899  8.3240385 8.322029 ],[0.19039643 0.19495846 0.19990064 0.20516679],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,phase,10.0,[0.04335591 0.08748756 0.13982886 0.23598629],[0.03573778 0.10719056 0.18262602 0.5503214 ],[ 8.498532 12.974484 19.7789   29.67335 ],[ 2.9699035  5.6980557 11.242642  20.399176 ],[8.19067  8.172081 8.145249 8.111041],[0.55309093 0.6186712  0.6861529  0.75547755],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,phase,10.0,[0.23800667 0.41369945 0.6099665  0.86503553],[0.5450386  0.65025693 0.70179206 0.8416425 ],[ 17.842598  39.659462  78.81677  132.36603 ],[ 10.4811325  40.166126   82.8384    132.72179  ],[7.85893   7.7459645 7.5674157 7.3316402],[0.99884254 1.1709759  1.281952   1.3935808 ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,phase,10.0,[0.09421755 0.09600923 0.09763997 0.09843285],[0.00581318 0.00563269 0.00574899 0.0063936 ],[29.907122 30.409313 30.852863 31.021124],[10.668186 10.846067 11.062668 11.213048],[8.238104 8.237563 8.237145 8.236353],[0.52957    0.5302858  0.5313382  0.53291386],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,phase,10.0,[0.10788997 0.13588195 0.1788629  0.21189177],[0.01288868 0.04529356 0.14288539 0.11682072],[30.353514 34.60346  40.72045  49.116817],[12.375477 14.709468 19.075983 26.967041],[8.109705 8.091235 8.062455 8.026694],[0.6328953  0.6821951  0.73875093 0.7950919 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,phase,10.0,[0.17530936 0.47710446 0.55301625 0.8512314 ],[0.1042084  1.6205088  0.75023884 0.7924966 ],[ 40.276592  62.252777  94.04219  142.51823 ],[ 22.643047  47.651287  82.05959  126.19721 ],[7.9891973 7.853814  7.59007   7.1857533],[1.0158074 1.1278546 1.322182  1.510857 ],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,phase,10.0,[0.0211489  0.02271262 0.02393643 0.02450697],[0.01221893 0.01229703 0.01247359 0.01276639],[5.6184278 6.085085  6.4790196 6.6560493],[3.4201636 3.4903386 3.590456  3.7439194],[8.19477  8.195146 8.195645 8.196192],[0.35337892 0.35459015 0.3558879  0.35737726],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,phase,10.0,[0.03091283 0.05211398 0.0795858  0.11635505],[0.01424377 0.02799348 0.0469972  0.08003087],[ 7.679303 11.904522 17.783047 25.676214],[ 4.642995  6.405471  9.832553 16.041641],[8.142675 8.128432 8.106948 8.079452],[0.62122387 0.6747122  0.729481   0.78277636],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,phase,10.0,[0.0732272  0.16748565 0.34522054 0.5588264 ],[0.05026124 0.14545617 0.33990285 0.5678129 ],[ 13.958091  32.530315  66.018425 115.68304 ],[  7.1698494  27.896673   56.966244  104.59305  ],[7.979638  7.9094257 7.742835  7.4763823],[0.9384794 1.0267823 1.1898826 1.4211038],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,phase,10.0,[0.04115289 0.04364354 0.04656433 0.05019716],[0.01256697 0.01289624 0.01429075 0.02137489],[ 8.675876  9.242183  9.72648  10.165502],[2.0976691 2.1296008 2.1454968 2.2669592],[8.307128  8.307058  8.3067665 8.306041 ],[0.13336208 0.13592683 0.13880755 0.1422243 ],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
