model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,B,5e-08,3,True,False,TDD,vanilla,0,[0.0547556  0.07878911 0.11143544 0.15291415],[0.01862352 0.02885727 0.04549838 0.06565005],[10.067307 14.705684 21.622974 30.6233  ],[ 2.638699   4.7257504  8.541684  14.133322 ],[8.263707 8.244508 8.215664 8.178094],[0.29021063 0.30481875 0.32023764 0.3380813 ],[8.310017 8.311025 8.311322 8.311014],[0.28663874 0.29886186 0.31123886 0.32331756]
DDK8,B,5e-08,6,True,False,TDD,vanilla,0,[0.08174472 0.14238411 0.22514096 0.32450497],[0.03615234 0.09548706 0.14224496 0.19987166],[13.029302 23.108833 41.425083 65.406204],[ 4.0392456 10.570887  23.89811   41.96055  ],[8.135114 8.084652 7.987006 7.831469],[0.40497556 0.43202552 0.48659697 0.60693663],[8.200852 8.201836 8.201868 8.201473],[0.3916575  0.39977843 0.40850884 0.41598985]
DDK8,B,5e-08,9,True,False,TDD,vanilla,0,[0.0991813  0.20242828 0.34276456 0.49320784],[0.05591642 0.13669857 0.22325882 0.3192279 ],[ 16.651045  36.689205  70.94399  110.653114],[ 6.168692 23.451395 52.626713 79.861244],[8.169009  8.075844  7.879624  7.5605116],[0.46114996 0.50859    0.6440843  0.94253993],[8.251503 8.261046 8.269067 8.268887],[0.43901262 0.44828582 0.46303815 0.4847499 ]
DDK8,B,5e-08,12,True,False,TDD,vanilla,0,[0.140581   0.3117447  0.49422732 0.64155954],[0.07991606 0.22201794 0.30228138 0.32660955],[ 22.076357  56.342686 101.54836  149.13153 ],[10.624849 38.751102 67.680984 93.68457 ],[8.051257  7.8495874 7.4732823 6.976907 ],[0.4584612 0.6117884 0.9980844 1.3994972],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534223 0.456648   0.4968093  0.52424604]
DDK8,B,5e-08,15,True,False,TDD,vanilla,0,[0.17097498 0.40546325 0.6075745  0.7468367 ],[0.13039003 0.3093811  0.37617072 0.3650613 ],[ 29.670654  85.40422  145.23257  196.17955 ],[ 15.93527  59.61122  97.32253 122.66009],[8.154317  7.803676  7.1913557 6.634115 ],[0.583639  0.862911  1.4229419 1.6503316],[8.301512 8.301376 8.295099 8.286509],[0.5188588  0.5244441  0.5284308  0.55424315]
DDK8,B,5e-08,18,True,False,TDD,vanilla,0,[0.25456092 0.62982136 0.8284236  0.9538149 ],[0.15641859 0.38716862 0.38326418 0.34089616],[ 47.21125 134.8722  205.44414 255.08107],[ 32.35739  98.42511 132.7367  153.66805],[7.882178  7.0918055 6.2915993 5.7634325],[0.6290914 1.2531376 1.6232055 1.6985196],[8.143847 8.165355 8.19014  8.226463],[0.5570067  0.5532856  0.5880717  0.64253396]
DDK8,B,5e-08,21,True,False,TDD,vanilla,0,[0.29362154 0.68258876 0.9037434  0.9665416 ],[0.20485035 0.41593483 0.4509938  0.31865016],[ 56.029118 146.4581   207.88455  248.2671  ],[ 42.846287 102.165    122.8211   124.6299  ],[7.78351   6.9318438 6.185667  5.6221757],[0.7078692 1.3739841 1.5800837 1.6233863],[8.123272 8.136701 8.135805 8.15118 ],[0.5637358  0.5555875  0.58310056 0.62311333]
DDK8,B,5e-08,24,True,False,TDD,vanilla,0,[0.333709   0.6864969  0.88408655 0.9850579 ],[0.29038736 0.4598797  0.4397332  0.32404056],[ 66.32282 165.59439 224.07562 268.49142],[ 57.263306 135.87448  143.9601   144.64943 ],[7.91029   7.015287  6.4025764 5.874123 ],[0.7058422 1.3516104 1.5455037 1.4945148],[8.270131 8.258452 8.255482 8.262504],[0.5118271  0.51376563 0.5234589  0.57083213]
DDK8,B,5e-08,27,True,False,TDD,vanilla,0,[0.3706492 0.7387369 0.9489716 1.031508 ],[0.24594256 0.38189778 0.5150023  0.33429426],[ 70.462555 169.43547  226.4024   260.10455 ],[ 56.29291 122.08039 134.3061  126.96868],[7.7505383 6.6796513 6.031114  5.46191  ],[0.7258932 1.5174057 1.6228828 1.6169934],[8.164666 8.149782 8.144778 8.15001 ],[0.5907433 0.6523984 0.6741813 0.6614096]
DDK8,B,5e-08,33,True,False,TDD,vanilla,0,[0.5896505 1.0147703 1.1909732 1.2851808],[0.46001256 0.7007644  0.6178303  0.69346744],[117.52012 217.01752 272.2204  295.20398],[ 93.453995 153.59573  139.63756  145.04572 ],[7.508419  6.4051137 5.785671  5.4791846],[0.9923948 1.7106149 1.6132839 1.5580717],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
DDK8,B,5e-08,36,True,False,TDD,vanilla,0,[0.79922557 1.1665864  1.2938869  1.3210275 ],[0.6107132  0.7921164  0.52995265 0.4620582 ],[160.92899 247.86777 301.1824  325.80975],[111.73841 137.35594 144.58409 133.87637],[7.1547356 6.0771503 5.447008  4.899923 ],[1.2956165 1.6239657 1.5406432 1.557736 ],[8.266978 8.223077 8.203336 8.203679],[0.6390856  0.63954604 0.61311203 0.6540083 ]
DDK8,B,5e-08,42,True,False,TDD,vanilla,0,[0.8707258 1.1054244 1.2979598 1.2227656],[0.6029712  0.48917022 0.5902042  0.34191942],[171.05025 257.13046 323.43195 337.06696],[136.68803 154.36263 168.65512 149.5916 ],[6.8434353 5.905812  5.3782444 4.977942 ],[1.409538  1.5363656 1.5135279 1.2977165],[8.1687   8.187472 8.230034 8.259732],[0.55716753 0.59658355 0.6257369  0.63968194]
DDK8,B,2e-07,3,True,False,TDD,vanilla,0,[0.05567807 0.07761297 0.10575207 0.14133213],[0.01673481 0.02855035 0.04515071 0.06616353],[12.670965 17.54286  24.192644 32.76547 ],[ 3.892372  6.466397 10.834553 16.6216  ],[8.072116  8.049778  8.019517  7.9798374],[0.40666053 0.41571966 0.42638397 0.44215408],[8.140387 8.142667 8.144901 8.14683 ],[0.4020315  0.40776485 0.41400665 0.42071086]
DDK8,B,2e-07,6,True,False,TDD,vanilla,0,[0.07876239 0.1308113  0.2090084  0.30114168],[0.02492693 0.05356741 0.09926061 0.15434188],[18.498055 30.642464 50.183285 74.382774],[ 5.2793508 11.283392  22.915754  38.01444  ],[8.104587  8.044426  7.9411106 7.7961826],[0.38554335 0.41085386 0.45841253 0.54751235],[8.200198 8.203735 8.207059 8.210534],[0.37354088 0.3805655  0.3896417  0.39972013]
DDK8,B,2e-07,9,True,False,TDD,vanilla,0,[0.09623503 0.1861832  0.31874773 0.46188623],[0.02684817 0.07074687 0.14039145 0.20454298],[ 23.144218  45.657047  82.07067  124.68345 ],[ 7.9756594 23.038479  49.709747  78.13744  ],[8.099628  7.9843874 7.7752647 7.4638157],[0.41307372 0.4231645  0.46738905 0.59900594],[8.216351 8.215251 8.214624 8.214304],[0.40763524 0.41026485 0.41645423 0.42503932]
DDK8,B,2e-07,12,True,False,TDD,vanilla,0,[0.1368516  0.29984486 0.49116677 0.6357682 ],[0.06534982 0.18238814 0.28770462 0.30582455],[ 28.898523  65.24529  112.30433  156.26755 ],[11.223338 36.953457 63.939476 84.018394],[7.952102  7.6865997 7.228289  6.711106 ],[0.491882  0.678988  1.0862677 1.4194493],[8.120098  8.1142645 8.112743  8.113856 ],[0.43833014 0.4555621  0.47286943 0.49387443]
DDK8,B,2e-07,15,True,False,TDD,vanilla,0,[0.15830366 0.35902843 0.5495669  0.6860762 ],[0.0788474  0.210904   0.27234706 0.25191143],[ 35.480312  86.84084  145.98315  194.41705 ],[ 15.771948  53.217453  87.457504 101.94534 ],[8.003529  7.677183  7.1601405 6.6835365],[0.5416338 0.7335024 1.109502  1.2981371],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
DDK8,B,2e-07,18,True,False,TDD,vanilla,0,[0.1903121  0.430435   0.62955856 0.7545901 ],[0.10516926 0.25841454 0.32444227 0.280945  ],[ 42.16408 103.68915 161.70824 206.60818],[ 24.825071  72.91467  101.39655  107.18601 ],[7.9323583 7.482348  6.9006114 6.3757563],[0.5476826  0.89103484 1.3362343  1.5262649 ],[8.1638975 8.175692  8.188434  8.202102 ],[0.48944053 0.50745434 0.51854205 0.5220388 ]
DDK8,B,2e-07,21,True,False,TDD,vanilla,0,[0.25937846 0.5942127  0.77922654 0.88869315],[0.14115866 0.32630655 0.33044022 0.31125417],[ 62.19864 149.54735 200.78014 235.68578],[ 35.023296  85.3772    95.622345 100.62537 ],[7.847207  7.0521083 6.294043  5.764871 ],[0.5347179 1.0450711 1.4413005 1.422375 ],[8.188612 8.176667 8.144227 8.140654],[0.44568112 0.44044286 0.4572289  0.47989473]
DDK8,B,2e-07,24,True,False,TDD,vanilla,0,[0.28904063 0.623328   0.8149352  0.9131329 ],[0.17834021 0.3410141  0.34485644 0.26327047],[ 65.91247 153.49942 210.8293  256.71405],[ 39.95615  92.70263 100.95431 112.09277],[7.7297034 6.773134  6.202214  5.6503158],[0.6792074 1.4394299 1.4935696 1.6050129],[8.138821 8.121225 8.131564 8.179233],[0.5049219  0.5401905  0.55457497 0.5767097 ]
DDK8,B,2e-07,27,True,False,TDD,vanilla,0,[0.31879237 0.64265305 0.81106186 0.9105519 ],[0.21626288 0.31766525 0.2900113  0.2277903 ],[ 74.98555 164.51646 215.20377 249.25389],[ 53.114418 100.63525  104.52798  102.03157 ],[7.7426677 6.8663545 6.1354523 5.5200195],[0.77640885 1.3374623  1.5541788  1.5322692 ],[8.195908 8.177614 8.161719 8.149493],[0.58492225 0.5956014  0.5773279  0.5629562 ]
