model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DFTGRID,A,3e-08,1,False,False,TDD,vanilla,0,[3.2215786 3.1966734 3.1892958 3.190607 ],[2.401875  2.3308134 2.3235373 2.3555012],[569.8199  570.0364  569.2351  569.70447],[266.79028 266.87256 266.02106 266.76395],[7.3316584 7.3315773 7.328558  7.3258214],[0.1961624  0.20016189 0.20509002 0.21244916],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DFTGRID,A,3e-08,10,False,False,TDD,vanilla,0,[9.431184 9.666208 9.781539 8.269259],[13.200325 14.761786 19.058548 10.935448],[892.49524 890.8603  891.3462  894.1032 ],[337.27283 323.0482  315.65573 311.9936 ],[6.1476536 6.154399  6.150401  6.1435018],[1.0712537 1.0599723 1.0974165 1.1780158],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DFTGRID,A,3e-08,30,False,False,TDD,vanilla,0,[20.927876 17.288404 14.106248 12.920611],[63.453205 39.873497 24.451035 17.611128],[898.87134 899.79156 905.0776  909.6807 ],[358.54672 352.18045 360.28238 376.54556],[5.786785  5.7970514 5.8337092 5.874169 ],[1.4474894 1.4036741 1.4092534 1.4867271],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DFTGRID,A,1e-07,1,False,False,TDD,vanilla,0,[2.8750393 2.8634176 2.8598633 2.845723 ],[1.8490447 1.8480439 1.8266087 1.8148646],[513.3696  512.6664  513.51526 512.63873],[272.68665 272.75906 272.81467 272.11942],[7.22925   7.2291937 7.231299  7.2329197],[0.5312984  0.5314635  0.5307626  0.53269124],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DFTGRID,A,1e-07,10,False,False,TDD,vanilla,0,[7.0124474 7.337306  7.609785  7.082737 ],[ 7.326606  9.218715 11.184312  8.995148],[937.37164 931.7656  926.17944 922.32477],[405.10596 397.25476 390.8217  387.00485],[6.121579  6.1356764 6.1441474 6.1537075],[1.1953865 1.2118529 1.2332656 1.2363036],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DFTGRID,A,1e-07,30,False,False,TDD,vanilla,0,[12.952056 11.037987 14.107911 11.51312 ],[50.383183 20.916338 45.6709   24.455023],[967.7017  938.7944  909.06494 884.8257 ],[436.6872 393.596  360.5611 350.1103],[5.730944  5.7244015 5.7032466 5.62605  ],[1.6083819 1.573802  1.5163339 1.5074131],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DFTGRID,A,3e-07,1,False,False,TDD,vanilla,0,[2.2550738 2.251047  2.2555864 2.249771 ],[0.8985295 0.8981015 0.9105245 0.9029796],[557.3586  557.15753 558.6075  558.0353 ],[284.19458 283.94434 285.23148 283.96768],[7.129584  7.13062   7.1321    7.1363564],[0.40866184 0.41003993 0.4115814  0.41265705],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DFTGRID,A,3e-07,10,False,False,TDD,vanilla,0,[4.9556713 5.1389465 5.037145  5.1444044],[3.9170005 4.7831273 4.442862  4.8850737],[894.9318  900.73846 905.4164  911.4908 ],[325.2951  324.94748 326.8473  331.9481 ],[6.002517  6.014658  6.0197463 6.0223565],[0.91831833 0.9748035  1.0412774  1.110708  ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DFTGRID,A,3e-07,30,False,False,TDD,vanilla,0,[5.760565  5.9685755 6.298903  6.4220796],[5.7468014 6.6127462 7.529679  7.7890778],[903.87164 909.78076 917.8561  929.8551 ],[353.22974 345.36633 348.68176 366.46997],[5.6681457 5.7638593 5.8300433 5.8403816],[1.348135  1.3792202 1.4001222 1.4202452],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DFTGRID,C,3e-08,1,False,False,TDD,vanilla,0,[4.4540033 4.453014  4.4191756 4.418618 ],[2.6684651 2.7623804 2.72943   2.728479 ],[565.61444 565.21313 565.62195 566.1084 ],[206.86555 206.65675 206.28343 208.0633 ],[7.2167645 7.2148943 7.2171745 7.2211385],[0.18461797 0.18698764 0.19062278 0.1942081 ],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DFTGRID,C,3e-08,10,False,False,TDD,vanilla,0,[8.706227 9.548941 9.11482  8.513893],[7.1637673 9.49928   7.966605  6.730228 ],[948.55994 944.72375 948.67737 956.68823],[292.55194 287.14682 285.8814  290.47375],[5.6979284 5.7071033 5.7348957 5.7562213],[1.1105412 1.100639  1.112706  1.1594259],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DFTGRID,C,3e-08,30,False,False,TDD,vanilla,0,[7.3138485 7.287036  7.7866516 8.590917 ],[5.7718625 5.157375  6.4461036 8.979317 ],[900.9189  895.7006  899.31036 885.3382 ],[315.1216  317.37857 302.97723 280.06067],[5.1376734 5.1798687 5.134009  5.209724 ],[1.574788  1.5306822 1.5613964 1.4035083],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DFTGRID,C,1e-07,1,False,False,TDD,vanilla,0,[2.770614  2.7683592 2.780937  2.7771966],[1.3010087 1.2954003 1.3043728 1.2890967],[520.8588  520.20715 520.5504  519.7167 ],[227.3626  226.94504 227.13127 224.74542],[7.205028  7.2023077 7.1992793 7.1971297],[0.23701607 0.238411   0.24087769 0.24532168],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
DFTGRID,C,1e-07,10,False,False,TDD,vanilla,0,[4.9256883 4.910244  4.9395514 4.9767694],[2.939684  2.9786854 2.978634  2.9764245],[928.3265  925.628   922.29694 918.72076],[292.0433  296.86734 302.32495 309.0019 ],[5.7514606 5.752589  5.7496862 5.739515 ],[1.0204656 1.0297129 1.0431768 1.095873 ],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
DFTGRID,C,1e-07,30,False,False,TDD,vanilla,0,[5.400852  5.4696345 5.6359825 5.3577633],[3.6896226 3.499352  3.8876486 3.3128397],[912.3606  911.0505  908.13776 911.1534 ],[264.58865 243.30708 231.86598 237.7422 ],[4.867452  4.853382  4.8253183 4.866752 ],[1.2673153 1.2013083 1.1889124 1.250893 ],[8.210542 8.202722 8.19268  8.180748],[0.5592177  0.55600965 0.5821842  0.64674735]
DFTGRID,C,3e-07,1,False,False,TDD,vanilla,0,[2.0757308 2.0754738 2.0728827 2.077948 ],[0.7064678  0.7037673  0.7038962  0.70993125],[531.5349  532.2024  531.235   531.82983],[202.57063 202.39902 202.17459 203.31989],[7.1873145 7.187378  7.1898756 7.190561 ],[0.17834766 0.1782838  0.17891954 0.18049337],[8.30922  8.309395 8.309544 8.309666],[0.12782563 0.12907478 0.13059264 0.132371  ]
DFTGRID,C,3e-07,10,False,False,TDD,vanilla,0,[3.6331348 3.6394167 3.6538959 3.6869326],[1.6880804 1.6603351 1.6551077 1.6768955],[889.49585 889.2849  890.2165  894.37695],[282.79874 275.52985 269.873   267.9871 ],[5.6638904 5.6272216 5.606317  5.5786023],[1.0284498 1.061012  1.0889784 1.117398 ],[8.250104 8.243475 8.238306 8.233626],[0.33855358 0.37196392 0.40309045 0.43264046]
DFTGRID,C,3e-07,30,False,False,TDD,vanilla,0,[4.285656  4.284061  4.2829957 4.3362617],[2.1062644 2.226481  2.2895057 2.3994803],[965.8541  967.14166 969.317   969.59314],[268.33658 268.32837 271.23364 270.67767],[4.9637947 4.9530377 5.0105357 5.087335 ],[1.0934155 1.1577944 1.178741  1.1561942],[8.243394  8.2595005 8.280929  8.2970915],[0.5275148  0.56576973 0.5995795  0.6289665 ]
DFTGRID,D,3e-08,1,False,False,TDD,vanilla,0,[1.6662859 1.6645546 1.6677463 1.6652548],[0.8587161  0.8549302  0.8586753  0.85721433],[492.5647  492.09894 492.78247 492.16507],[261.19846 260.49564 261.3673  261.2202 ],[7.4348063 7.4309664 7.4332495 7.431946 ],[0.1666819  0.16543818 0.16671509 0.16577043],[8.314398 8.314319 8.314234 8.314145],[0.1689577  0.1692839  0.16965668 0.17007592]
DFTGRID,D,3e-08,10,False,False,TDD,vanilla,0,[3.1006088 3.1039276 3.106978  3.1028585],[1.6004646 1.5933243 1.5922    1.5901324],[908.786   910.57007 912.9785  913.9508 ],[458.5373  456.19553 456.47122 456.5367 ],[7.2566376 7.261995  7.263539  7.2682023],[0.18158932 0.19081973 0.20418851 0.21796092],[8.316226 8.317209 8.319232 8.322231],[0.22064124 0.22971565 0.23861213 0.24789669]
DFTGRID,D,3e-08,30,False,False,TDD,vanilla,0,[3.312333  3.3671558 3.4131207 3.4543107],[1.6445551 1.6633455 1.6657867 1.6878233],[919.73615 923.9051  927.9599  931.8014 ],[389.3143  392.26535 394.9978  393.61823],[7.16859   7.1676927 7.168258  7.16405  ],[0.33029863 0.34304366 0.35818055 0.38497785],[8.279626 8.265633 8.254636 8.245803],[0.3149234  0.33140603 0.3475315  0.37491977]
